# _root_ One customer , Dayna Brunsdon , says she spurned a color portrait for black and white because `` it 's more dramatic .
#goldHeads=2,7,2,5,2,2,0,9,7,12,12,9,9,13,14,15,9,20,20,17,22,20,7,
#predictedHeads=2,7,2,5,2,2,0,9,7,12,12,9,12,13,14,15,9,17,20,17,22,20,7,
(0,1),-6.63749 # DEPENDENCYPART_ARC
(0,2),-5.6305 # DEPENDENCYPART_ARC
(0,3),-6.44355 # DEPENDENCYPART_ARC
(0,4),-6.71346 # DEPENDENCYPART_ARC
(0,5),-6.32867 # DEPENDENCYPART_ARC
(0,6),-6.61652 # DEPENDENCYPART_ARC
(0,7),-0.413949 # DEPENDENCYPART_ARC
(0,8),-6.0796 # DEPENDENCYPART_ARC
(0,9),-2.39263 # DEPENDENCYPART_ARC
(0,10),-7.51497 # DEPENDENCYPART_ARC
(0,11),-6.21364 # DEPENDENCYPART_ARC
(0,12),-6.49835 # DEPENDENCYPART_ARC
(0,13),-6.54023 # DEPENDENCYPART_ARC
(0,14),-6.54639 # DEPENDENCYPART_ARC
(0,15),-8.25641 # DEPENDENCYPART_ARC
(0,16),-6.91497 # DEPENDENCYPART_ARC
(0,17),-6.98165 # DEPENDENCYPART_ARC
(0,18),-7.91519 # DEPENDENCYPART_ARC
(0,19),-7.70869 # DEPENDENCYPART_ARC
(0,20),-5.46613 # DEPENDENCYPART_ARC
(0,21),-7.75916 # DEPENDENCYPART_ARC
(0,22),-7.21124 # DEPENDENCYPART_ARC
(0,23),-5.36872 # DEPENDENCYPART_ARC
(1,2),0.750389 # DEPENDENCYPART_ARC
(1,3),0.353349 # DEPENDENCYPART_ARC
(1,4),0.172093 # DEPENDENCYPART_ARC
(1,5),0.021375 # DEPENDENCYPART_ARC
(1,6),0.313259 # DEPENDENCYPART_ARC
(1,7),-0.217635 # DEPENDENCYPART_ARC
(1,8),-0.887713 # DEPENDENCYPART_ARC
(1,9),-0.175876 # DEPENDENCYPART_ARC
(1,10),-0.96793 # DEPENDENCYPART_ARC
(1,11),-0.852814 # DEPENDENCYPART_ARC
(1,12),-1.60656 # DEPENDENCYPART_ARC
(1,13),-1.24674 # DEPENDENCYPART_ARC
(1,14),-1.76848 # DEPENDENCYPART_ARC
(1,15),-0.865591 # DEPENDENCYPART_ARC
(1,16),-1.44488 # DEPENDENCYPART_ARC
(1,17),-2.3542 # DEPENDENCYPART_ARC
(1,18),-1.63172 # DEPENDENCYPART_ARC
(1,19),-2.04432 # DEPENDENCYPART_ARC
(1,20),-1.88856 # DEPENDENCYPART_ARC
(1,21),-2.17914 # DEPENDENCYPART_ARC
(1,22),-2.72703 # DEPENDENCYPART_ARC
(1,23),-0.683303 # DEPENDENCYPART_ARC
(2,1),4.05325 # DEPENDENCYPART_ARC
(2,3),2.84275 # DEPENDENCYPART_ARC
(2,4),2.04956 # DEPENDENCYPART_ARC
(2,5),2.32425 # DEPENDENCYPART_ARC
(2,6),4.14731 # DEPENDENCYPART_ARC
(2,7),1.16562 # DEPENDENCYPART_ARC
(2,8),0.859162 # DEPENDENCYPART_ARC
(2,9),0.85366 # DEPENDENCYPART_ARC
(2,10),0.355341 # DEPENDENCYPART_ARC
(2,11),0.586316 # DEPENDENCYPART_ARC
(2,12),0.128055 # DEPENDENCYPART_ARC
(2,13),-0.230716 # DEPENDENCYPART_ARC
(2,14),0.00291972 # DEPENDENCYPART_ARC
(2,15),0.0409101 # DEPENDENCYPART_ARC
(2,16),-0.221227 # DEPENDENCYPART_ARC
(2,17),-1.27555 # DEPENDENCYPART_ARC
(2,18),0.837395 # DEPENDENCYPART_ARC
(2,19),0.0447171 # DEPENDENCYPART_ARC
(2,20),-1.79331 # DEPENDENCYPART_ARC
(2,21),-0.66106 # DEPENDENCYPART_ARC
(2,22),-1.23702 # DEPENDENCYPART_ARC
(2,23),2.07112 # DEPENDENCYPART_ARC
