# _root_ The ad would have run during the World Series tomorrow , replacing the debut commercial of Shearson 's new ad campaign , `` Leadership by Example . ''
#goldHeads=2,3,0,3,4,5,9,9,6,5,5,5,15,15,12,15,21,17,21,21,16,21,21,21,24,25,3,3,
#predictedHeads=2,3,0,3,4,5,9,9,10,6,5,5,15,15,12,15,21,17,21,21,16,21,21,21,24,25,3,3,
(0,1),-6.22455 # DEPENDENCYPART_ARC
(0,2),-5.99146 # DEPENDENCYPART_ARC
(0,3),-2.79353 # DEPENDENCYPART_ARC
(0,4),-4.59747 # DEPENDENCYPART_ARC
(0,5),-5.07669 # DEPENDENCYPART_ARC
(0,6),-6.59269 # DEPENDENCYPART_ARC
(0,7),-7.39387 # DEPENDENCYPART_ARC
(0,8),-6.65834 # DEPENDENCYPART_ARC
(0,9),-6.31933 # DEPENDENCYPART_ARC
(0,10),-6.81722 # DEPENDENCYPART_ARC
(0,11),-7.223 # DEPENDENCYPART_ARC
(0,12),-6.51025 # DEPENDENCYPART_ARC
(0,13),-8.01392 # DEPENDENCYPART_ARC
(0,14),-6.40631 # DEPENDENCYPART_ARC
(0,15),-6.61524 # DEPENDENCYPART_ARC
(0,16),-8.57224 # DEPENDENCYPART_ARC
(0,17),-7.70001 # DEPENDENCYPART_ARC
(0,18),-8.94103 # DEPENDENCYPART_ARC
(0,19),-6.32055 # DEPENDENCYPART_ARC
(0,20),-7.30918 # DEPENDENCYPART_ARC
(0,21),-6.83537 # DEPENDENCYPART_ARC
(0,22),-9.24863 # DEPENDENCYPART_ARC
(0,23),-8.22339 # DEPENDENCYPART_ARC
(0,24),-8.01191 # DEPENDENCYPART_ARC
(0,25),-10.2967 # DEPENDENCYPART_ARC
(0,26),-7.6643 # DEPENDENCYPART_ARC
(0,27),-6.02921 # DEPENDENCYPART_ARC
(0,28),-8.09118 # DEPENDENCYPART_ARC
(1,2),-0.448234 # DEPENDENCYPART_ARC
(1,3),-0.341141 # DEPENDENCYPART_ARC
(1,4),-1.46825 # DEPENDENCYPART_ARC
(1,5),-1.64217 # DEPENDENCYPART_ARC
(1,6),-1.83168 # DEPENDENCYPART_ARC
(1,7),-2.70706 # DEPENDENCYPART_ARC
(1,8),-2.78776 # DEPENDENCYPART_ARC
(1,9),-2.77785 # DEPENDENCYPART_ARC
(1,10),-2.45741 # DEPENDENCYPART_ARC
(1,11),-1.73405 # DEPENDENCYPART_ARC
(1,12),-2.51938 # DEPENDENCYPART_ARC
(1,13),-3.60772 # DEPENDENCYPART_ARC
