# _root_ Leery of the costs -- and , critics say , competition -- the airlines have sought to gain leverage over the city of Denver .
#goldHeads=15,1,4,2,9,9,9,9,4,9,9,9,14,15,0,15,16,17,18,19,22,20,22,23,15,
#predictedHeads=15,1,4,2,2,1,9,9,0,9,6,11,14,15,9,15,16,17,18,19,22,20,22,23,9,
(0,1),-6.55154 # DEPENDENCYPART_ARC
(0,2),-6.42752 # DEPENDENCYPART_ARC
(0,3),-7.15501 # DEPENDENCYPART_ARC
(0,4),-5.71166 # DEPENDENCYPART_ARC
(0,5),-7.37315 # DEPENDENCYPART_ARC
(0,6),-7.49747 # DEPENDENCYPART_ARC
(0,7),-6.93819 # DEPENDENCYPART_ARC
(0,8),-5.98375 # DEPENDENCYPART_ARC
(0,9),-1.84103 # DEPENDENCYPART_ARC
(0,10),-7.30365 # DEPENDENCYPART_ARC
(0,11),-5.09668 # DEPENDENCYPART_ARC
(0,12),-7.18432 # DEPENDENCYPART_ARC
(0,13),-8.18926 # DEPENDENCYPART_ARC
(0,14),-6.15955 # DEPENDENCYPART_ARC
(0,15),-3.01002 # DEPENDENCYPART_ARC
(0,16),-6.8708 # DEPENDENCYPART_ARC
(0,17),-8.31135 # DEPENDENCYPART_ARC
(0,18),-5.58073 # DEPENDENCYPART_ARC
(0,19),-6.40928 # DEPENDENCYPART_ARC
(0,20),-8.86548 # DEPENDENCYPART_ARC
(0,21),-9.12923 # DEPENDENCYPART_ARC
(0,22),-6.66522 # DEPENDENCYPART_ARC
(0,23),-9.59182 # DEPENDENCYPART_ARC
(0,24),-7.24059 # DEPENDENCYPART_ARC
(0,25),-5.24757 # DEPENDENCYPART_ARC
(1,2),3.52609 # DEPENDENCYPART_ARC
(1,3),0.721402 # DEPENDENCYPART_ARC
(1,4),1.08003 # DEPENDENCYPART_ARC
(1,5),1.23998 # DEPENDENCYPART_ARC
(1,6),1.28446 # DEPENDENCYPART_ARC
(1,7),1.46999 # DEPENDENCYPART_ARC
(1,8),0.0379773 # DEPENDENCYPART_ARC
(1,9),0.604891 # DEPENDENCYPART_ARC
(1,10),1.15837 # DEPENDENCYPART_ARC
(1,11),-0.142265 # DEPENDENCYPART_ARC
(1,12),1.14285 # DEPENDENCYPART_ARC
(1,13),-1.08577 # DEPENDENCYPART_ARC
(1,14),-0.766913 # DEPENDENCYPART_ARC
(1,15),0.360816 # DEPENDENCYPART_ARC
(1,16),0.0442 # DEPENDENCYPART_ARC
(1,17),-0.168662 # DEPENDENCYPART_ARC
(1,18),-0.909061 # DEPENDENCYPART_ARC
(1,19),-1.07083 # DEPENDENCYPART_ARC
(1,20),-0.251161 # DEPENDENCYPART_ARC
(1,21),-2.01847 # DEPENDENCYPART_ARC
(1,22),-1.34606 # DEPENDENCYPART_ARC
(1,23),-2.88495 # DEPENDENCYPART_ARC
(1,24),-2.20494 # DEPENDENCYPART_ARC
(1,25),0.478829 # DEPENDENCYPART_ARC
(2,1),0.30468 # DEPENDENCYPART_ARC
(2,3),0.852066 # DEPENDENCYPART_ARC
(2,4),4.19697 # DEPENDENCYPART_ARC
(2,5),1.43964 # DEPENDENCYPART_ARC
(2,6),-0.156073 # DEPENDENCYPART_ARC
(2,7),0.181666 # DEPENDENCYPART_ARC
(2,8),-0.317283 # DEPENDENCYPART_ARC
(2,9),-0.266749 # DEPENDENCYPART_ARC
(2,10),0.291956 # DEPENDENCYPART_ARC
(2,11),-2.7443 # DEPENDENCYPART_ARC
(2,12),0.186918 # DEPENDENCYPART_ARC
(2,13),-2.57448 # DEPENDENCYPART_ARC
(2,14),-4.93029 # DEPENDENCYPART_ARC
(2,15),-3.07684 # DEPENDENCYPART_ARC
(2,16),-0.951308 # DEPENDENCYPART_ARC
(2,17),-3.60472 # DEPENDENCYPART_ARC
(2,18),-1.16907 # DEPENDENCYPART_ARC
(2,19),-7.15824 # DEPENDENCYPART_ARC
(2,20),-1.9413 # DEPENDENCYPART_ARC
(2,21),-3.75002 # DEPENDENCYPART_ARC
(2,22),-9.64405 # DEPENDENCYPART_ARC
(2,23),-1.91902 # DEPENDENCYPART_ARC
(2,24),-11.0977 # DEPENDENCYPART_ARC
(2,25),0.869016 # DEPENDENCYPART_ARC
(3,1),-1.72738 # DEPENDENCYPART_ARC
(3,2),-0.874116 # DEPENDENCYPART_ARC
(3,4),-0.93287 # DEPENDENCYPART_ARC
(3,5),-1.44511 # DEPENDENCYPART_ARC
(3,6),-1.37542 # DEPENDENCYPART_ARC
(3,7),-1.6321 # DEPENDENCYPART_ARC
(3,8),-2.16969 # DEPENDENCYPART_ARC
(3,9),-2.27397 # DEPENDENCYPART_ARC
(3,10),-1.37016 # DEPENDENCYPART_ARC
(3,11),-2.34264 # DEPENDENCYPART_ARC
(3,12),-1.9559 # DEPENDENCYPART_ARC
(3,13),-3.45306 # DEPENDENCYPART_ARC
(3,14),-3.035 # DEPENDENCYPART_ARC
(3,15),-3.90733 # DEPENDENCYPART_ARC
(3,16),-3.14024 # DEPENDENCYPART_ARC
(3,17),-3.64859 # DEPENDENCYPART_ARC
(3,18),-3.87073 # DEPENDENCYPART_ARC
(3,19),-3.25154 # DEPENDENCYPART_ARC
(3,20),-4.16055 # DEPENDENCYPART_ARC
(3,21),-4.53832 # DEPENDENCYPART_ARC
(3,22),-3.44474 # DEPENDENCYPART_ARC
(3,23),-4.01185 # DEPENDENCYPART_ARC
