# _root_ Domestic leisure sales , however , were lower .
#goldHeads=3,3,7,7,7,7,0,7,7,
#predictedHeads=3,3,7,7,7,7,0,7,7,
(0,1),-6.00249 # DEPENDENCYPART_ARC
(0,2),-6.34571 # DEPENDENCYPART_ARC
(0,3),-6.25219 # DEPENDENCYPART_ARC
(0,4),-6.9188 # DEPENDENCYPART_ARC
(0,5),-6.63188 # DEPENDENCYPART_ARC
(0,6),-6.85597 # DEPENDENCYPART_ARC
(0,7),-1.97688 # DEPENDENCYPART_ARC
(0,8),-7.10726 # DEPENDENCYPART_ARC
(0,9),-6.6114 # DEPENDENCYPART_ARC
(1,2),1.11488 # DEPENDENCYPART_ARC
(1,3),0.76326 # DEPENDENCYPART_ARC
(1,4),0.296461 # DEPENDENCYPART_ARC
(1,5),-0.618432 # DEPENDENCYPART_ARC
(1,6),0.0499832 # DEPENDENCYPART_ARC
(1,7),-0.728533 # DEPENDENCYPART_ARC
(1,8),-0.969046 # DEPENDENCYPART_ARC
(1,9),-0.491579 # DEPENDENCYPART_ARC
(2,1),1.51966 # DEPENDENCYPART_ARC
(2,3),1.26771 # DEPENDENCYPART_ARC
(2,4),0.29904 # DEPENDENCYPART_ARC
(2,5),-0.132232 # DEPENDENCYPART_ARC
(2,6),0.345572 # DEPENDENCYPART_ARC
(2,7),-0.28649 # DEPENDENCYPART_ARC
(2,8),-0.581955 # DEPENDENCYPART_ARC
(2,9),-0.298121 # DEPENDENCYPART_ARC
(3,1),3.99936 # DEPENDENCYPART_ARC
(3,2),4.69203 # DEPENDENCYPART_ARC
(3,4),1.55406 # DEPENDENCYPART_ARC
(3,5),0.607408 # DEPENDENCYPART_ARC
(3,6),2.09288 # DEPENDENCYPART_ARC
(3,7),1.06403 # DEPENDENCYPART_ARC
(3,8),0.179697 # DEPENDENCYPART_ARC
(3,9),0.921736 # DEPENDENCYPART_ARC
(4,1),-0.911774 # DEPENDENCYPART_ARC
(4,2),-1.28973 # DEPENDENCYPART_ARC
(4,3),-0.968592 # DEPENDENCYPART_ARC
(4,5),-0.355877 # DEPENDENCYPART_ARC
(4,6),0.560069 # DEPENDENCYPART_ARC
(4,7),-0.718992 # DEPENDENCYPART_ARC
(4,8),-1.34212 # DEPENDENCYPART_ARC
(4,9),-1.27455 # DEPENDENCYPART_ARC
(5,1),0.140723 # DEPENDENCYPART_ARC
(5,2),-0.581795 # DEPENDENCYPART_ARC
(5,3),-0.666575 # DEPENDENCYPART_ARC
(5,4),1.09445 # DEPENDENCYPART_ARC
(5,6),1.59501 # DEPENDENCYPART_ARC
(5,7),0.791066 # DEPENDENCYPART_ARC
(5,8),-0.101069 # DEPENDENCYPART_ARC
(5,9),0.131308 # DEPENDENCYPART_ARC
(6,1),-1.57564 # DEPENDENCYPART_ARC
(6,2),-1.33913 # DEPENDENCYPART_ARC
(6,3),-1.46076 # DEPENDENCYPART_ARC
(6,4),-0.0879667 # DEPENDENCYPART_ARC
(6,5),-0.662948 # DEPENDENCYPART_ARC
(6,7),-0.49783 # DEPENDENCYPART_ARC
(6,8),-1.56572 # DEPENDENCYPART_ARC
(6,9),-1.62293 # DEPENDENCYPART_ARC
(7,1),1.3179 # DEPENDENCYPART_ARC
(7,2),0.782247 # DEPENDENCYPART_ARC
(7,3),1.25975 # DEPENDENCYPART_ARC
(7,4),2.30979 # DEPENDENCYPART_ARC
(7,5),2.42379 # DEPENDENCYPART_ARC
(7,6),2.76681 # DEPENDENCYPART_ARC
(7,8),2.68788 # DEPENDENCYPART_ARC
(7,9),4.14357 # DEPENDENCYPART_ARC
(8,1),0.0369044 # DEPENDENCYPART_ARC
(8,2),-0.402171 # DEPENDENCYPART_ARC
(8,3),0.137995 # DEPENDENCYPART_ARC
(8,4),0.721251 # DEPENDENCYPART_ARC
(8,5),0.606388 # DEPENDENCYPART_ARC
(8,6),1.1841 # DEPENDENCYPART_ARC
(8,7),1.07991 # DEPENDENCYPART_ARC
(8,9),0.518636 # DEPENDENCYPART_ARC
(9,1),-1.83675 # DEPENDENCYPART_ARC
(9,2),-1.61431 # DEPENDENCYPART_ARC
(9,3),-1.67844 # DEPENDENCYPART_ARC
(9,4),-0.427167 # DEPENDENCYPART_ARC
(9,5),-0.939994 # DEPENDENCYPART_ARC
(9,6),0.264067 # DEPENDENCYPART_ARC
(9,7),-1.42331 # DEPENDENCYPART_ARC
(9,8),-0.169808 # DEPENDENCYPART_ARC
