# _root_ James Alexander , a Burmah spokesman , said SHV had previously owned `` a little under 5 % '' of Burmah for about two years .
#goldHeads=2,8,2,6,6,2,2,0,10,8,10,10,15,15,18,15,15,12,18,18,20,12,25,23,22,8,
#predictedHeads=2,8,2,6,6,2,2,0,10,8,10,10,18,15,18,12,18,16,18,18,20,10,25,23,22,8,
(0,1),-5.88856 # DEPENDENCYPART_ARC
(0,2),-6.30221 # DEPENDENCYPART_ARC
(0,3),-6.69215 # DEPENDENCYPART_ARC
(0,4),-7.37919 # DEPENDENCYPART_ARC
(0,5),-7.09806 # DEPENDENCYPART_ARC
(0,6),-7.28305 # DEPENDENCYPART_ARC
(0,7),-7.21004 # DEPENDENCYPART_ARC
(0,8),0.0263421 # DEPENDENCYPART_ARC
(0,9),-7.2801 # DEPENDENCYPART_ARC
(0,10),-2.59814 # DEPENDENCYPART_ARC
(0,11),-7.41817 # DEPENDENCYPART_ARC
(0,12),-5.55952 # DEPENDENCYPART_ARC
(0,13),-7.73131 # DEPENDENCYPART_ARC
(0,14),-8.20233 # DEPENDENCYPART_ARC
(0,15),-7.36562 # DEPENDENCYPART_ARC
(0,16),-9.22735 # DEPENDENCYPART_ARC
(0,17),-9.17388 # DEPENDENCYPART_ARC
(0,18),-8.6774 # DEPENDENCYPART_ARC
(0,19),-7.649 # DEPENDENCYPART_ARC
(0,20),-9.54776 # DEPENDENCYPART_ARC
(0,21),-9.13564 # DEPENDENCYPART_ARC
(0,22),-9.75075 # DEPENDENCYPART_ARC
(0,23),-8.7529 # DEPENDENCYPART_ARC
(0,24),-9.94375 # DEPENDENCYPART_ARC
(0,25),-6.94585 # DEPENDENCYPART_ARC
(0,26),-6.71263 # DEPENDENCYPART_ARC
(1,2),1.35462 # DEPENDENCYPART_ARC
(1,3),1.93901 # DEPENDENCYPART_ARC
(1,4),-0.31842 # DEPENDENCYPART_ARC
(1,5),-0.341682 # DEPENDENCYPART_ARC
(1,6),0.974027 # DEPENDENCYPART_ARC
(1,7),1.90621 # DEPENDENCYPART_ARC
(1,8),-0.566443 # DEPENDENCYPART_ARC
(1,9),-0.720316 # DEPENDENCYPART_ARC
(1,10),-1.28089 # DEPENDENCYPART_ARC
(1,11),-1.45322 # DEPENDENCYPART_ARC
(1,12),-1.1377 # DEPENDENCYPART_ARC
(1,13),-0.223194 # DEPENDENCYPART_ARC
(1,14),-1.23755 # DEPENDENCYPART_ARC
(1,15),-1.79565 # DEPENDENCYPART_ARC
(1,16),-2.7889 # DEPENDENCYPART_ARC
(1,17),-2.59553 # DEPENDENCYPART_ARC
(1,18),-3.6735 # DEPENDENCYPART_ARC
(1,19),-0.465852 # DEPENDENCYPART_ARC
(1,20),-2.95472 # DEPENDENCYPART_ARC
(1,21),-3.11425 # DEPENDENCYPART_ARC
(1,22),-3.47912 # DEPENDENCYPART_ARC
(1,23),-2.43301 # DEPENDENCYPART_ARC
(1,24),-3.6359 # DEPENDENCYPART_ARC
(1,25),-2.93008 # DEPENDENCYPART_ARC
(1,26),0.197282 # DEPENDENCYPART_ARC
(2,1),4.69215 # DEPENDENCYPART_ARC
(2,3),3.81641 # DEPENDENCYPART_ARC
(2,4),0.971295 # DEPENDENCYPART_ARC
(2,5),1.14746 # DEPENDENCYPART_ARC
(2,6),2.94396 # DEPENDENCYPART_ARC
(2,7),4.0112 # DEPENDENCYPART_ARC
(2,8),0.904905 # DEPENDENCYPART_ARC
(2,9),-0.280803 # DEPENDENCYPART_ARC
(2,10),0.760788 # DEPENDENCYPART_ARC
(2,11),0.0852066 # DEPENDENCYPART_ARC
(2,12),0.362787 # DEPENDENCYPART_ARC
(2,13),0.828786 # DEPENDENCYPART_ARC
(2,14),-0.126325 # DEPENDENCYPART_ARC
(2,15),-0.714684 # DEPENDENCYPART_ARC
(2,16),-1.22139 # DEPENDENCYPART_ARC
(2,17),-1.59464 # DEPENDENCYPART_ARC
(2,18),-2.32902 # DEPENDENCYPART_ARC
(2,19),0.856644 # DEPENDENCYPART_ARC
(2,20),-1.79778 # DEPENDENCYPART_ARC
(2,21),-2.32094 # DEPENDENCYPART_ARC
(2,22),-1.95505 # DEPENDENCYPART_ARC
(2,23),-0.599571 # DEPENDENCYPART_ARC
(2,24),-2.58862 # DEPENDENCYPART_ARC
(2,25),-1.69513 # DEPENDENCYPART_ARC
(2,26),1.23022 # DEPENDENCYPART_ARC
(3,1),-2.00259 # DEPENDENCYPART_ARC
(3,2),-1.44187 # DEPENDENCYPART_ARC
(3,4),-0.596601 # DEPENDENCYPART_ARC
(3,5),-0.880432 # DEPENDENCYPART_ARC
(3,6),-1.60574 # DEPENDENCYPART_ARC
(3,7),-0.135417 # DEPENDENCYPART_ARC
(3,8),-1.39034 # DEPENDENCYPART_ARC
(3,9),-2.00614 # DEPENDENCYPART_ARC
(3,10),-1.62269 # DEPENDENCYPART_ARC
(3,11),-2.12028 # DEPENDENCYPART_ARC
(3,12),-2.13175 # DEPENDENCYPART_ARC
(3,13),-1.35308 # DEPENDENCYPART_ARC
(3,14),-2.55237 # DEPENDENCYPART_ARC
(3,15),-2.79673 # DEPENDENCYPART_ARC
(3,16),-2.1844 # DEPENDENCYPART_ARC
(3,17),-3.17359 # DEPENDENCYPART_ARC
(3,18),-3.33508 # DEPENDENCYPART_ARC
(3,19),-2.05625 # DEPENDENCYPART_ARC
(3,20),-2.50931 # DEPENDENCYPART_ARC
(3,21),-3.33178 # DEPENDENCYPART_ARC
(3,22),-2.65807 # DEPENDENCYPART_ARC
(3,23),-3.32313 # DEPENDENCYPART_ARC
(3,24),-3.77464 # DEPENDENCYPART_ARC
(3,25),-3.8962 # DEPENDENCYPART_ARC
(3,26),-2.83214 # DEPENDENCYPART_ARC
(4,1),-1.14823 # DEPENDENCYPART_ARC
(4,2),-1.10187 # DEPENDENCYPART_ARC
(4,3),-0.198126 # DEPENDENCYPART_ARC
(4,5),0.618155 # DEPENDENCYPART_ARC
(4,6),0.480632 # DEPENDENCYPART_ARC
(4,7),0.480688 # DEPENDENCYPART_ARC
(4,8),0.174785 # DEPENDENCYPART_ARC
(4,9),-0.256649 # DEPENDENCYPART_ARC
(4,10),-0.485295 # DEPENDENCYPART_ARC
(4,11),-0.620857 # DEPENDENCYPART_ARC
(4,12),-0.609153 # DEPENDENCYPART_ARC
(4,13),-0.943385 # DEPENDENCYPART_ARC
(4,14),-1.62953 # DEPENDENCYPART_ARC
(4,15),-1.55201 # DEPENDENCYPART_ARC
(4,16),-1.55332 # DEPENDENCYPART_ARC
(4,17),-1.2717 # DEPENDENCYPART_ARC
(4,18),-1.67391 # DEPENDENCYPART_ARC
(4,19),-0.998234 # DEPENDENCYPART_ARC
(4,20),-1.76 # DEPENDENCYPART_ARC
(4,21),-1.88903 # DEPENDENCYPART_ARC
(4,22),-1.94405 # DEPENDENCYPART_ARC
(4,23),-2.0866 # DEPENDENCYPART_ARC
(4,24),-2.11098 # DEPENDENCYPART_ARC
(4,25),-2.15879 # DEPENDENCYPART_ARC
(4,26),-0.835973 # DEPENDENCYPART_ARC
(5,1),-0.708072 # DEPENDENCYPART_ARC
(5,2),-0.761322 # DEPENDENCYPART_ARC
(5,3),0.463431 # DEPENDENCYPART_ARC
