# _root_ Indeed , the Dow Jones Transportation Average plunged 102.06 points , its second-worst drop in history .
#goldHeads=8,8,7,7,7,7,8,0,10,8,8,14,14,8,14,15,8,
#predictedHeads=8,8,7,7,7,7,8,0,10,8,8,14,14,8,14,15,8,
(0,1),-5.27905 # DEPENDENCYPART_ARC
(0,2),-6.59059 # DEPENDENCYPART_ARC
(0,3),-6.81835 # DEPENDENCYPART_ARC
(0,4),-5.42013 # DEPENDENCYPART_ARC
(0,5),-4.89059 # DEPENDENCYPART_ARC
(0,6),-5.83141 # DEPENDENCYPART_ARC
(0,7),-5.51843 # DEPENDENCYPART_ARC
(0,8),-2.82668 # DEPENDENCYPART_ARC
(0,9),-8.01337 # DEPENDENCYPART_ARC
(0,10),-5.30617 # DEPENDENCYPART_ARC
(0,11),-7.04194 # DEPENDENCYPART_ARC
(0,12),-7.11166 # DEPENDENCYPART_ARC
(0,13),-6.36126 # DEPENDENCYPART_ARC
(0,14),-7.89319 # DEPENDENCYPART_ARC
(0,15),-9.17602 # DEPENDENCYPART_ARC
(0,16),-7.33702 # DEPENDENCYPART_ARC
(0,17),-6.4317 # DEPENDENCYPART_ARC
(1,2),0.557099 # DEPENDENCYPART_ARC
(1,3),0.0777215 # DEPENDENCYPART_ARC
(1,4),-0.414363 # DEPENDENCYPART_ARC
(1,5),-0.680125 # DEPENDENCYPART_ARC
(1,6),-0.903087 # DEPENDENCYPART_ARC
(1,7),-1.66993 # DEPENDENCYPART_ARC
(1,8),0.141283 # DEPENDENCYPART_ARC
(1,9),-1.21913 # DEPENDENCYPART_ARC
(1,10),-1.2278 # DEPENDENCYPART_ARC
(1,11),0.139054 # DEPENDENCYPART_ARC
(1,12),-1.65425 # DEPENDENCYPART_ARC
(1,13),-1.32171 # DEPENDENCYPART_ARC
(1,14),-3.24899 # DEPENDENCYPART_ARC
(1,15),-1.63867 # DEPENDENCYPART_ARC
(1,16),-3.24654 # DEPENDENCYPART_ARC
(1,17),-0.191549 # DEPENDENCYPART_ARC
(2,1),-1.45662 # DEPENDENCYPART_ARC
(2,3),-0.366514 # DEPENDENCYPART_ARC
(2,4),-0.669158 # DEPENDENCYPART_ARC
(2,5),-0.93698 # DEPENDENCYPART_ARC
(2,6),-1.21457 # DEPENDENCYPART_ARC
(2,7),-1.39681 # DEPENDENCYPART_ARC
(2,8),-1.27675 # DEPENDENCYPART_ARC
(2,9),-2.23589 # DEPENDENCYPART_ARC
(2,10),-2.251 # DEPENDENCYPART_ARC
(2,11),-0.541909 # DEPENDENCYPART_ARC
(2,12),-2.45232 # DEPENDENCYPART_ARC
(2,13),-2.44408 # DEPENDENCYPART_ARC
(2,14),-3.01392 # DEPENDENCYPART_ARC
(2,15),-2.0452 # DEPENDENCYPART_ARC
(2,16),-3.04682 # DEPENDENCYPART_ARC
(2,17),-1.91276 # DEPENDENCYPART_ARC
(3,1),-1.39669 # DEPENDENCYPART_ARC
(3,2),-0.729194 # DEPENDENCYPART_ARC
(3,4),-0.264911 # DEPENDENCYPART_ARC
(3,5),-0.660777 # DEPENDENCYPART_ARC
(3,6),-0.809908 # DEPENDENCYPART_ARC
(3,7),-1.03593 # DEPENDENCYPART_ARC
(3,8),-0.612587 # DEPENDENCYPART_ARC
(3,9),-1.18166 # DEPENDENCYPART_ARC
(3,10),-1.44237 # DEPENDENCYPART_ARC
(3,11),-0.492193 # DEPENDENCYPART_ARC
(3,12),-2.15716 # DEPENDENCYPART_ARC
(3,13),-1.72122 # DEPENDENCYPART_ARC
(3,14),-2.10526 # DEPENDENCYPART_ARC
(3,15),-3.03737 # DEPENDENCYPART_ARC
(3,16),-2.26291 # DEPENDENCYPART_ARC
(3,17),-2.05833 # DEPENDENCYPART_ARC
(4,1),-1.841 # DEPENDENCYPART_ARC
(4,2),-1.19765 # DEPENDENCYPART_ARC
(4,3),1.50942 # DEPENDENCYPART_ARC
(4,5),0.332295 # DEPENDENCYPART_ARC
(4,6),0.409622 # DEPENDENCYPART_ARC
(4,7),0.223999 # DEPENDENCYPART_ARC
(4,8),-0.991925 # DEPENDENCYPART_ARC
(4,9),-1.39585 # DEPENDENCYPART_ARC
(4,10),-1.27789 # DEPENDENCYPART_ARC
(4,11),-1.12899 # DEPENDENCYPART_ARC
