# _root_ Other , more thinly traded Asian markets were hit harder than Tokyo 's , but there were no free-fall declines .
#goldHeads=7,7,5,5,7,7,8,0,8,9,10,11,12,8,8,17,15,20,20,17,8,
#predictedHeads=7,7,4,5,7,7,8,0,8,9,10,11,12,8,8,17,15,20,20,17,8,
(0,1),-6.04561 # DEPENDENCYPART_ARC
(0,2),-6.64744 # DEPENDENCYPART_ARC
(0,3),-5.9473 # DEPENDENCYPART_ARC
(0,4),-6.63811 # DEPENDENCYPART_ARC
(0,5),-4.91538 # DEPENDENCYPART_ARC
(0,6),-6.54959 # DEPENDENCYPART_ARC
(0,7),-5.96782 # DEPENDENCYPART_ARC
(0,8),-2.654 # DEPENDENCYPART_ARC
(0,9),-5.16337 # DEPENDENCYPART_ARC
(0,10),-6.63163 # DEPENDENCYPART_ARC
(0,11),-6.7793 # DEPENDENCYPART_ARC
(0,12),-6.38989 # DEPENDENCYPART_ARC
(0,13),-8.44663 # DEPENDENCYPART_ARC
(0,14),-7.47832 # DEPENDENCYPART_ARC
(0,15),-8.23189 # DEPENDENCYPART_ARC
(0,16),-7.39189 # DEPENDENCYPART_ARC
(0,17),-2.90268 # DEPENDENCYPART_ARC
(0,18),-8.20659 # DEPENDENCYPART_ARC
(0,19),-7.49505 # DEPENDENCYPART_ARC
(0,20),-5.8206 # DEPENDENCYPART_ARC
(0,21),-7.03973 # DEPENDENCYPART_ARC
(1,2),1.53918 # DEPENDENCYPART_ARC
(1,3),0.418391 # DEPENDENCYPART_ARC
(1,4),0.394471 # DEPENDENCYPART_ARC
(1,5),0.436263 # DEPENDENCYPART_ARC
(1,6),0.601044 # DEPENDENCYPART_ARC
(1,7),-0.139779 # DEPENDENCYPART_ARC
(1,8),-0.18068 # DEPENDENCYPART_ARC
(1,9),-0.00356286 # DEPENDENCYPART_ARC
(1,10),-0.71001 # DEPENDENCYPART_ARC
(1,11),0.79695 # DEPENDENCYPART_ARC
(1,12),-1.0654 # DEPENDENCYPART_ARC
(1,13),-0.209049 # DEPENDENCYPART_ARC
(1,14),0.717356 # DEPENDENCYPART_ARC
(1,15),-0.747907 # DEPENDENCYPART_ARC
(1,16),-1.12507 # DEPENDENCYPART_ARC
