# _root_ On Oct. 16 , 1987 -- the Friday before the Black Monday crash -- the New York market dropped 4.6 % , and Tokyo followed on Monday with a 2.4 % drop .
#goldHeads=19,1,2,2,2,8,8,2,8,13,13,13,9,8,18,18,18,19,0,21,19,19,19,25,23,25,26,25,32,31,32,28,19,
#predictedHeads=19,1,2,2,2,19,8,13,25,13,13,13,9,19,18,18,18,19,9,21,19,19,19,25,0,25,26,25,32,31,32,28,19,
(0,1),-6.26068 # DEPENDENCYPART_ARC
(0,2),-5.60666 # DEPENDENCYPART_ARC
(0,3),-7.14171 # DEPENDENCYPART_ARC
(0,4),-6.57564 # DEPENDENCYPART_ARC
(0,5),-7.591 # DEPENDENCYPART_ARC
(0,6),-6.58805 # DEPENDENCYPART_ARC
(0,7),-7.32038 # DEPENDENCYPART_ARC
(0,8),-7.24334 # DEPENDENCYPART_ARC
(0,9),-7.9723 # DEPENDENCYPART_ARC
(0,10),-7.7272 # DEPENDENCYPART_ARC
(0,11),-7.26781 # DEPENDENCYPART_ARC
(0,12),-7.11669 # DEPENDENCYPART_ARC
(0,13),-6.02268 # DEPENDENCYPART_ARC
(0,14),-7.18947 # DEPENDENCYPART_ARC
(0,15),-8.23462 # DEPENDENCYPART_ARC
(0,16),-8.38087 # DEPENDENCYPART_ARC
(0,17),-9.08093 # DEPENDENCYPART_ARC
(0,18),-7.61139 # DEPENDENCYPART_ARC
(0,19),-5.10412 # DEPENDENCYPART_ARC
(0,20),-9.14178 # DEPENDENCYPART_ARC
(0,21),-8.93591 # DEPENDENCYPART_ARC
(0,22),-9.02627 # DEPENDENCYPART_ARC
(0,23),-9.34494 # DEPENDENCYPART_ARC
(0,24),-9.25204 # DEPENDENCYPART_ARC
(0,25),-2.70914 # DEPENDENCYPART_ARC
(0,26),-11.5923 # DEPENDENCYPART_ARC
(0,27),-10.8849 # DEPENDENCYPART_ARC
(0,28),-12.0946 # DEPENDENCYPART_ARC
(0,29),-9.61335 # DEPENDENCYPART_ARC
(0,30),-10.1251 # DEPENDENCYPART_ARC
(0,31),-10.2183 # DEPENDENCYPART_ARC
(0,32),-9.67345 # DEPENDENCYPART_ARC
(0,33),-5.14802 # DEPENDENCYPART_ARC
(1,2),3.26569 # DEPENDENCYPART_ARC
(1,3),1.76731 # DEPENDENCYPART_ARC
