# _root_ FAST-FOOD chicken chains , faced with a worsening business slump , are struggling to hatch some new marketing strategies .
#goldHeads=3,3,12,3,3,5,10,10,10,6,3,0,12,13,14,19,19,19,15,12,
#predictedHeads=3,3,12,3,12,5,10,10,10,6,3,0,12,13,14,19,19,19,15,12,
(0,1),-6.09188 # DEPENDENCYPART_ARC
(0,2),-6.18755 # DEPENDENCYPART_ARC
(0,3),-6.74761 # DEPENDENCYPART_ARC
(0,4),-7.14112 # DEPENDENCYPART_ARC
(0,5),-4.99321 # DEPENDENCYPART_ARC
(0,6),-7.15096 # DEPENDENCYPART_ARC
(0,7),-7.58301 # DEPENDENCYPART_ARC
(0,8),-7.03323 # DEPENDENCYPART_ARC
(0,9),-6.69056 # DEPENDENCYPART_ARC
(0,10),-6.80909 # DEPENDENCYPART_ARC
(0,11),-7.76851 # DEPENDENCYPART_ARC
(0,12),-2.16981 # DEPENDENCYPART_ARC
(0,13),-7.29415 # DEPENDENCYPART_ARC
(0,14),-8.16811 # DEPENDENCYPART_ARC
(0,15),-5.32066 # DEPENDENCYPART_ARC
(0,16),-8.49714 # DEPENDENCYPART_ARC
(0,17),-6.66948 # DEPENDENCYPART_ARC
(0,18),-7.08875 # DEPENDENCYPART_ARC
(0,19),-5.87764 # DEPENDENCYPART_ARC
(0,20),-6.20947 # DEPENDENCYPART_ARC
(1,2),1.30148 # DEPENDENCYPART_ARC
(1,3),0.621498 # DEPENDENCYPART_ARC
(1,4),0.885271 # DEPENDENCYPART_ARC
(1,5),0.35292 # DEPENDENCYPART_ARC
(1,6),0.367913 # DEPENDENCYPART_ARC
(1,7),-0.510343 # DEPENDENCYPART_ARC
(1,8),-0.220381 # DEPENDENCYPART_ARC
(1,9),-0.540645 # DEPENDENCYPART_ARC
(1,10),-0.838683 # DEPENDENCYPART_ARC
(1,11),0.432502 # DEPENDENCYPART_ARC
(1,12),-1.12519 # DEPENDENCYPART_ARC
(1,13),-0.958252 # DEPENDENCYPART_ARC
(1,14),-1.45231 # DEPENDENCYPART_ARC
(1,15),-1.54091 # DEPENDENCYPART_ARC
(1,16),-1.47242 # DEPENDENCYPART_ARC
(1,17),-1.75807 # DEPENDENCYPART_ARC
(1,18),-1.81555 # DEPENDENCYPART_ARC
(1,19),-1.91628 # DEPENDENCYPART_ARC
(1,20),0.108168 # DEPENDENCYPART_ARC
(2,1),1.59276 # DEPENDENCYPART_ARC
(2,3),1.57638 # DEPENDENCYPART_ARC
(2,4),0.848619 # DEPENDENCYPART_ARC
(2,5),0.603045 # DEPENDENCYPART_ARC
(2,6),0.25299 # DEPENDENCYPART_ARC
(2,7),-0.801823 # DEPENDENCYPART_ARC
(2,8),-0.0302852 # DEPENDENCYPART_ARC
(2,9),-0.375833 # DEPENDENCYPART_ARC
(2,10),-0.603147 # DEPENDENCYPART_ARC
(2,11),0.452031 # DEPENDENCYPART_ARC
(2,12),-0.900474 # DEPENDENCYPART_ARC
(2,13),-0.797868 # DEPENDENCYPART_ARC
(2,14),-1.3375 # DEPENDENCYPART_ARC
(2,15),-1.43876 # DEPENDENCYPART_ARC
(2,16),-1.68432 # DEPENDENCYPART_ARC
(2,17),-1.94604 # DEPENDENCYPART_ARC
(2,18),-1.6245 # DEPENDENCYPART_ARC
(2,19),-1.48135 # DEPENDENCYPART_ARC
(2,20),-0.15147 # DEPENDENCYPART_ARC
(3,1),4.43981 # DEPENDENCYPART_ARC
(3,2),4.74934 # DEPENDENCYPART_ARC
(3,4),2.71834 # DEPENDENCYPART_ARC
(3,5),1.56805 # DEPENDENCYPART_ARC
(3,6),1.36931 # DEPENDENCYPART_ARC
(3,7),0.10675 # DEPENDENCYPART_ARC
(3,8),0.294409 # DEPENDENCYPART_ARC
(3,9),0.593496 # DEPENDENCYPART_ARC
(3,10),0.586244 # DEPENDENCYPART_ARC
(3,11),2.63292 # DEPENDENCYPART_ARC
(3,12),-0.306879 # DEPENDENCYPART_ARC
(3,13),-0.205493 # DEPENDENCYPART_ARC
(3,14),-0.849369 # DEPENDENCYPART_ARC
(3,15),-0.232957 # DEPENDENCYPART_ARC
(3,16),-0.657365 # DEPENDENCYPART_ARC
(3,17),-1.23456 # DEPENDENCYPART_ARC
(3,18),-1.06023 # DEPENDENCYPART_ARC
(3,19),-0.801669 # DEPENDENCYPART_ARC
(3,20),-0.446563 # DEPENDENCYPART_ARC
(4,1),-1.05527 # DEPENDENCYPART_ARC
(4,2),-1.53748 # DEPENDENCYPART_ARC
(4,3),-1.20048 # DEPENDENCYPART_ARC
(4,5),-0.514664 # DEPENDENCYPART_ARC
(4,6),-1.35152 # DEPENDENCYPART_ARC
(4,7),-1.72174 # DEPENDENCYPART_ARC
(4,8),-1.66388 # DEPENDENCYPART_ARC
(4,9),-2.16047 # DEPENDENCYPART_ARC
(4,10),-2.42764 # DEPENDENCYPART_ARC
(4,11),-0.525022 # DEPENDENCYPART_ARC
(4,12),-2.15717 # DEPENDENCYPART_ARC
(4,13),-2.18132 # DEPENDENCYPART_ARC
(4,14),-2.34259 # DEPENDENCYPART_ARC
(4,15),-2.24113 # DEPENDENCYPART_ARC
(4,16),-2.88521 # DEPENDENCYPART_ARC
(4,17),-3.0378 # DEPENDENCYPART_ARC
(4,18),-3.39806 # DEPENDENCYPART_ARC
