# _root_ Gitano Group Inc. said it agreed to buy 50 % of Regatta Sport Ltd. , a closely held apparel maker , with the assumption of $ 3 million of contingent debt .
#goldHeads=2,4,2,0,6,4,6,7,10,8,10,13,11,13,13,20,18,20,20,13,13,8,24,22,24,25,26,26,26,31,29,4,
#predictedHeads=2,4,2,0,6,4,6,7,10,8,10,13,11,13,13,20,18,20,20,13,13,20,24,22,24,25,26,26,26,31,29,4,
(0,1),-6.03779 # DEPENDENCYPART_ARC
(0,2),-6.20964 # DEPENDENCYPART_ARC
(0,3),-5.09992 # DEPENDENCYPART_ARC
(0,4),-2.15272 # DEPENDENCYPART_ARC
(0,5),-6.814 # DEPENDENCYPART_ARC
(0,6),-4.17547 # DEPENDENCYPART_ARC
(0,7),-6.83303 # DEPENDENCYPART_ARC
(0,8),-6.77685 # DEPENDENCYPART_ARC
(0,9),-8.45236 # DEPENDENCYPART_ARC
(0,10),-7.94635 # DEPENDENCYPART_ARC
(0,11),-8.32027 # DEPENDENCYPART_ARC
(0,12),-8.42276 # DEPENDENCYPART_ARC
(0,13),-8.08743 # DEPENDENCYPART_ARC
(0,14),-9.2674 # DEPENDENCYPART_ARC
(0,15),-7.97157 # DEPENDENCYPART_ARC
(0,16),-8.34549 # DEPENDENCYPART_ARC
(0,17),-8.06867 # DEPENDENCYPART_ARC
(0,18),-6.68085 # DEPENDENCYPART_ARC
(0,19),-7.89311 # DEPENDENCYPART_ARC
(0,20),-8.2397 # DEPENDENCYPART_ARC
(0,21),-9.12777 # DEPENDENCYPART_ARC
(0,22),-10.0843 # DEPENDENCYPART_ARC
(0,23),-9.60349 # DEPENDENCYPART_ARC
(0,24),-8.46142 # DEPENDENCYPART_ARC
(0,25),-10.9905 # DEPENDENCYPART_ARC
(0,26),-11.0961 # DEPENDENCYPART_ARC
(0,27),-10.3276 # DEPENDENCYPART_ARC
(0,28),-10.546 # DEPENDENCYPART_ARC
(0,29),-11.3494 # DEPENDENCYPART_ARC
(0,30),-7.35786 # DEPENDENCYPART_ARC
(0,31),-8.71406 # DEPENDENCYPART_ARC
(0,32),-6.69201 # DEPENDENCYPART_ARC
(1,2),-0.0660029 # DEPENDENCYPART_ARC
(1,3),2.39141 # DEPENDENCYPART_ARC
(1,4),-0.760938 # DEPENDENCYPART_ARC
(1,5),-1.31703 # DEPENDENCYPART_ARC
(1,6),-1.68329 # DEPENDENCYPART_ARC
(1,7),-1.51731 # DEPENDENCYPART_ARC
(1,8),-2.108 # DEPENDENCYPART_ARC
(1,9),-2.03327 # DEPENDENCYPART_ARC
(1,10),-3.20311 # DEPENDENCYPART_ARC
(1,11),-1.28854 # DEPENDENCYPART_ARC
(1,12),-2.57554 # DEPENDENCYPART_ARC
(1,13),-2.27266 # DEPENDENCYPART_ARC
(1,14),-1.89132 # DEPENDENCYPART_ARC
(1,15),-0.887379 # DEPENDENCYPART_ARC
(1,16),-2.37539 # DEPENDENCYPART_ARC
(1,17),-2.83934 # DEPENDENCYPART_ARC
(1,18),-2.72203 # DEPENDENCYPART_ARC
(1,19),-4.91108 # DEPENDENCYPART_ARC
(1,20),-3.91048 # DEPENDENCYPART_ARC
(1,21),-1.97758 # DEPENDENCYPART_ARC
(1,22),-4.48113 # DEPENDENCYPART_ARC
(1,23),-2.98244 # DEPENDENCYPART_ARC
(1,24),-6.04555 # DEPENDENCYPART_ARC
(1,25),-6.11595 # DEPENDENCYPART_ARC
(1,26),-3.91442 # DEPENDENCYPART_ARC
(1,27),-5.13129 # DEPENDENCYPART_ARC
(1,28),-5.72339 # DEPENDENCYPART_ARC
(1,29),-6.90449 # DEPENDENCYPART_ARC
(1,30),-4.25159 # DEPENDENCYPART_ARC
(1,31),-8.08306 # DEPENDENCYPART_ARC
(1,32),-0.427209 # DEPENDENCYPART_ARC
(2,1),4.39606 # DEPENDENCYPART_ARC
(2,3),5.78162 # DEPENDENCYPART_ARC
(2,4),0.880583 # DEPENDENCYPART_ARC
(2,5),0.585794 # DEPENDENCYPART_ARC
(2,6),0.0470148 # DEPENDENCYPART_ARC
(2,7),-0.16355 # DEPENDENCYPART_ARC
(2,8),-0.446839 # DEPENDENCYPART_ARC
(2,9),-0.376003 # DEPENDENCYPART_ARC
(2,10),-1.55984 # DEPENDENCYPART_ARC
(2,11),-0.131977 # DEPENDENCYPART_ARC
(2,12),-1.09591 # DEPENDENCYPART_ARC
(2,13),-0.27388 # DEPENDENCYPART_ARC
(2,14),0.34547 # DEPENDENCYPART_ARC
(2,15),0.859136 # DEPENDENCYPART_ARC
(2,16),-0.990118 # DEPENDENCYPART_ARC
(2,17),-1.42357 # DEPENDENCYPART_ARC
(2,18),-1.08259 # DEPENDENCYPART_ARC
(2,19),-3.15568 # DEPENDENCYPART_ARC
(2,20),-1.68488 # DEPENDENCYPART_ARC
(2,21),0.367301 # DEPENDENCYPART_ARC
(2,22),-3.01455 # DEPENDENCYPART_ARC
(2,23),-1.46258 # DEPENDENCYPART_ARC
(2,24),-3.93112 # DEPENDENCYPART_ARC
(2,25),-5.16624 # DEPENDENCYPART_ARC
(2,26),-2.74158 # DEPENDENCYPART_ARC
(2,27),-3.29367 # DEPENDENCYPART_ARC
(2,28),-4.02736 # DEPENDENCYPART_ARC
(2,29),-5.69447 # DEPENDENCYPART_ARC
(2,30),-2.10406 # DEPENDENCYPART_ARC
(2,31),-5.68255 # DEPENDENCYPART_ARC
(2,32),1.10811 # DEPENDENCYPART_ARC
(3,1),2.63464 # DEPENDENCYPART_ARC
(3,2),2.2803 # DEPENDENCYPART_ARC
(3,4),-0.452493 # DEPENDENCYPART_ARC
(3,5),-0.633945 # DEPENDENCYPART_ARC
(3,6),-1.48563 # DEPENDENCYPART_ARC
(3,7),-1.51609 # DEPENDENCYPART_ARC
(3,8),-2.02005 # DEPENDENCYPART_ARC
(3,9),-2.07154 # DEPENDENCYPART_ARC
(3,10),-3.73632 # DEPENDENCYPART_ARC
(3,11),-1.84123 # DEPENDENCYPART_ARC
(3,12),-3.26479 # DEPENDENCYPART_ARC
(3,13),-2.74902 # DEPENDENCYPART_ARC
(3,14),-1.84802 # DEPENDENCYPART_ARC
(3,15),-2.47473 # DEPENDENCYPART_ARC
(3,16),-2.70973 # DEPENDENCYPART_ARC
(3,17),-2.80073 # DEPENDENCYPART_ARC
(3,18),-2.75815 # DEPENDENCYPART_ARC
(3,19),-5.60926 # DEPENDENCYPART_ARC
(3,20),-4.61997 # DEPENDENCYPART_ARC
(3,21),-3.21022 # DEPENDENCYPART_ARC
(3,22),-3.43466 # DEPENDENCYPART_ARC
(3,23),-3.21941 # DEPENDENCYPART_ARC
(3,24),-6.83507 # DEPENDENCYPART_ARC
(3,25),-5.8848 # DEPENDENCYPART_ARC
(3,26),-4.28196 # DEPENDENCYPART_ARC
(3,27),-5.07233 # DEPENDENCYPART_ARC
(3,28),-5.69299 # DEPENDENCYPART_ARC
(3,29),-6.4763 # DEPENDENCYPART_ARC
(3,30),-4.36093 # DEPENDENCYPART_ARC
(3,31),-8.6771 # DEPENDENCYPART_ARC
(3,32),-1.08688 # DEPENDENCYPART_ARC
(4,1),2.23897 # DEPENDENCYPART_ARC
(4,2),2.30812 # DEPENDENCYPART_ARC
(4,3),1.71629 # DEPENDENCYPART_ARC
(4,5),0.717585 # DEPENDENCYPART_ARC
(4,6),4.01948 # DEPENDENCYPART_ARC
(4,7),0.0361004 # DEPENDENCYPART_ARC
(4,8),0.410769 # DEPENDENCYPART_ARC
(4,9),-0.833296 # DEPENDENCYPART_ARC
(4,10),-1.96846 # DEPENDENCYPART_ARC
(4,11),-1.47392 # DEPENDENCYPART_ARC
(4,12),-2.16679 # DEPENDENCYPART_ARC
