# _root_ The Tokyo Stock Exchange index for the second section fell 100.96 , or 2.7 % , to 3655.40 .
#goldHeads=5,5,5,5,10,5,9,9,6,0,10,11,11,15,13,11,10,17,10,
#predictedHeads=5,5,5,5,10,5,9,9,6,0,10,11,11,15,13,11,10,17,10,
(0,1),-6.20509 # DEPENDENCYPART_ARC
(0,2),-5.84574 # DEPENDENCYPART_ARC
(0,3),-5.32648 # DEPENDENCYPART_ARC
(0,4),-5.89622 # DEPENDENCYPART_ARC
(0,5),-7.24823 # DEPENDENCYPART_ARC
(0,6),-7.48774 # DEPENDENCYPART_ARC
(0,7),-7.4022 # DEPENDENCYPART_ARC
(0,8),-6.2535 # DEPENDENCYPART_ARC
(0,9),-7.28269 # DEPENDENCYPART_ARC
(0,10),-2.90772 # DEPENDENCYPART_ARC
(0,11),-8.01475 # DEPENDENCYPART_ARC
(0,12),-7.40827 # DEPENDENCYPART_ARC
(0,13),-7.80465 # DEPENDENCYPART_ARC
(0,14),-8.38238 # DEPENDENCYPART_ARC
(0,15),-8.39002 # DEPENDENCYPART_ARC
(0,16),-7.99325 # DEPENDENCYPART_ARC
(0,17),-7.87393 # DEPENDENCYPART_ARC
(0,18),-8.96291 # DEPENDENCYPART_ARC
(0,19),-5.68869 # DEPENDENCYPART_ARC
(1,2),-0.67426 # DEPENDENCYPART_ARC
(1,3),-1.07683 # DEPENDENCYPART_ARC
(1,4),-1.22157 # DEPENDENCYPART_ARC
(1,5),-1.32104 # DEPENDENCYPART_ARC
(1,6),-1.34819 # DEPENDENCYPART_ARC
(1,7),-2.27689 # DEPENDENCYPART_ARC
(1,8),-1.85403 # DEPENDENCYPART_ARC
(1,9),-1.9866 # DEPENDENCYPART_ARC
(1,10),-1.79237 # DEPENDENCYPART_ARC
(1,11),-2.27787 # DEPENDENCYPART_ARC
(1,12),-1.68398 # DEPENDENCYPART_ARC
(1,13),-2.28094 # DEPENDENCYPART_ARC
(1,14),-2.46521 # DEPENDENCYPART_ARC
(1,15),-2.8713 # DEPENDENCYPART_ARC
(1,16),-1.84093 # DEPENDENCYPART_ARC
(1,17),-2.50344 # DEPENDENCYPART_ARC
