# _root_ The offer , made June 1 , has been extended several times .
#goldHeads=2,8,2,2,4,5,2,0,8,9,12,10,8,
#predictedHeads=2,8,4,2,4,5,2,0,8,9,12,10,8,
(0,1),-6.22455 # DEPENDENCYPART_ARC
(0,2),-6.29665 # DEPENDENCYPART_ARC
(0,3),-6.37626 # DEPENDENCYPART_ARC
(0,4),-1.61243 # DEPENDENCYPART_ARC
(0,5),-5.90047 # DEPENDENCYPART_ARC
(0,6),-7.71949 # DEPENDENCYPART_ARC
(0,7),-6.63823 # DEPENDENCYPART_ARC
(0,8),-1.27554 # DEPENDENCYPART_ARC
(0,9),-3.49088 # DEPENDENCYPART_ARC
(0,10),-4.1712 # DEPENDENCYPART_ARC
(0,11),-6.56664 # DEPENDENCYPART_ARC
(0,12),-5.6637 # DEPENDENCYPART_ARC
(0,13),-5.92065 # DEPENDENCYPART_ARC
(1,2),-0.808978 # DEPENDENCYPART_ARC
(1,3),-1.5743 # DEPENDENCYPART_ARC
(1,4),-1.42188 # DEPENDENCYPART_ARC
(1,5),-2.21005 # DEPENDENCYPART_ARC
(1,6),-2.03706 # DEPENDENCYPART_ARC
(1,7),-1.44418 # DEPENDENCYPART_ARC
(1,8),-2.6837 # DEPENDENCYPART_ARC
(1,9),-2.60864 # DEPENDENCYPART_ARC
(1,10),-2.69826 # DEPENDENCYPART_ARC
(1,11),-2.89742 # DEPENDENCYPART_ARC
(1,12),-3.19208 # DEPENDENCYPART_ARC
(1,13),-1.73693 # DEPENDENCYPART_ARC
(2,1),4.77655 # DEPENDENCYPART_ARC
(2,3),1.67978 # DEPENDENCYPART_ARC
(2,4),1.72425 # DEPENDENCYPART_ARC
(2,5),0.293515 # DEPENDENCYPART_ARC
(2,6),0.125821 # DEPENDENCYPART_ARC
(2,7),2.30979 # DEPENDENCYPART_ARC
(2,8),-0.79972 # DEPENDENCYPART_ARC
(2,9),0.257076 # DEPENDENCYPART_ARC
(2,10),-0.110153 # DEPENDENCYPART_ARC
(2,11),-0.723348 # DEPENDENCYPART_ARC
(2,12),-0.899517 # DEPENDENCYPART_ARC
(2,13),-0.0672716 # DEPENDENCYPART_ARC
(3,1),-0.59372 # DEPENDENCYPART_ARC
(3,2),-0.954739 # DEPENDENCYPART_ARC
(3,4),0.00308754 # DEPENDENCYPART_ARC
(3,5),-0.814575 # DEPENDENCYPART_ARC
(3,6),-1.55186 # DEPENDENCYPART_ARC
(3,7),0.063692 # DEPENDENCYPART_ARC
(3,8),-1.40421 # DEPENDENCYPART_ARC
(3,9),-1.82692 # DEPENDENCYPART_ARC
(3,10),-1.94116 # DEPENDENCYPART_ARC
(3,11),-2.33044 # DEPENDENCYPART_ARC
(3,12),-2.54576 # DEPENDENCYPART_ARC
(3,13),-1.74226 # DEPENDENCYPART_ARC
(4,1),0.171553 # DEPENDENCYPART_ARC
(4,2),1.05627 # DEPENDENCYPART_ARC
(4,3),1.89193 # DEPENDENCYPART_ARC
(4,5),3.37905 # DEPENDENCYPART_ARC
(4,6),1.66772 # DEPENDENCYPART_ARC
(4,7),1.53167 # DEPENDENCYPART_ARC
(4,8),1.77857 # DEPENDENCYPART_ARC
(4,9),0.760094 # DEPENDENCYPART_ARC
(4,10),0.312376 # DEPENDENCYPART_ARC
(4,11),-0.17411 # DEPENDENCYPART_ARC
(4,12),1.08671 # DEPENDENCYPART_ARC
(4,13),3.73405 # DEPENDENCYPART_ARC
(5,1),0.016909 # DEPENDENCYPART_ARC
(5,2),-1.93238 # DEPENDENCYPART_ARC
(5,3),-0.333767 # DEPENDENCYPART_ARC
(5,4),-0.167578 # DEPENDENCYPART_ARC
(5,6),3.95332 # DEPENDENCYPART_ARC
(5,7),1.79289 # DEPENDENCYPART_ARC
(5,8),0.904147 # DEPENDENCYPART_ARC
(5,9),0.424237 # DEPENDENCYPART_ARC
(5,10),0.208826 # DEPENDENCYPART_ARC
(5,11),0.292921 # DEPENDENCYPART_ARC
(5,12),-0.331878 # DEPENDENCYPART_ARC
(5,13),0.806704 # DEPENDENCYPART_ARC
(6,1),0.800639 # DEPENDENCYPART_ARC
(6,2),-0.578911 # DEPENDENCYPART_ARC
(6,3),0.27406 # DEPENDENCYPART_ARC
(6,4),0.438331 # DEPENDENCYPART_ARC
(6,5),1.75401 # DEPENDENCYPART_ARC
(6,7),0.839898 # DEPENDENCYPART_ARC
(6,8),0.775855 # DEPENDENCYPART_ARC
(6,9),0.0644336 # DEPENDENCYPART_ARC
(6,10),-0.166816 # DEPENDENCYPART_ARC
(6,11),-0.428439 # DEPENDENCYPART_ARC
(6,12),-0.462107 # DEPENDENCYPART_ARC
(6,13),-0.160883 # DEPENDENCYPART_ARC
(7,1),-1.09153 # DEPENDENCYPART_ARC
(7,2),-1.54112 # DEPENDENCYPART_ARC
(7,3),-0.10859 # DEPENDENCYPART_ARC
(7,4),-1.0901 # DEPENDENCYPART_ARC
(7,5),-1.38247 # DEPENDENCYPART_ARC
(7,6),-0.454317 # DEPENDENCYPART_ARC
(7,8),-0.608268 # DEPENDENCYPART_ARC
(7,9),-1.49513 # DEPENDENCYPART_ARC
(7,10),-1.90626 # DEPENDENCYPART_ARC
(7,11),-2.27351 # DEPENDENCYPART_ARC
(7,12),-2.48386 # DEPENDENCYPART_ARC
(7,13),-1.8971 # DEPENDENCYPART_ARC
(8,1),-0.670162 # DEPENDENCYPART_ARC
(8,2),1.72746 # DEPENDENCYPART_ARC
(8,3),0.877703 # DEPENDENCYPART_ARC
(8,4),0.0426667 # DEPENDENCYPART_ARC
(8,5),1.46929 # DEPENDENCYPART_ARC
(8,6),-0.29497 # DEPENDENCYPART_ARC
(8,7),2.21513 # DEPENDENCYPART_ARC
(8,9),4.59999 # DEPENDENCYPART_ARC
(8,10),2.05738 # DEPENDENCYPART_ARC
(8,11),-0.649755 # DEPENDENCYPART_ARC
(8,12),-0.102231 # DEPENDENCYPART_ARC
(8,13),4.62241 # DEPENDENCYPART_ARC
(9,1),-0.408189 # DEPENDENCYPART_ARC
(9,2),-1.22418 # DEPENDENCYPART_ARC
(9,3),-0.0750964 # DEPENDENCYPART_ARC
(9,4),-0.381432 # DEPENDENCYPART_ARC
(9,5),-0.0926159 # DEPENDENCYPART_ARC
(9,6),0.0578076 # DEPENDENCYPART_ARC
(9,7),0.469932 # DEPENDENCYPART_ARC
(9,8),1.12603 # DEPENDENCYPART_ARC
(9,10),4.17806 # DEPENDENCYPART_ARC
(9,11),1.19795 # DEPENDENCYPART_ARC
(9,12),1.6941 # DEPENDENCYPART_ARC
(9,13),1.02967 # DEPENDENCYPART_ARC
(10,1),-0.118711 # DEPENDENCYPART_ARC
(10,2),-1.04959 # DEPENDENCYPART_ARC
(10,3),-0.15959 # DEPENDENCYPART_ARC
(10,4),-0.207847 # DEPENDENCYPART_ARC
(10,5),-0.0948534 # DEPENDENCYPART_ARC
(10,6),-0.00757566 # DEPENDENCYPART_ARC
(10,7),0.728789 # DEPENDENCYPART_ARC
(10,8),0.0671705 # DEPENDENCYPART_ARC
(10,9),0.890409 # DEPENDENCYPART_ARC
(10,11),2.29102 # DEPENDENCYPART_ARC
(10,12),3.06781 # DEPENDENCYPART_ARC
(10,13),1.54492 # DEPENDENCYPART_ARC
(11,1),-1.43639 # DEPENDENCYPART_ARC
(11,2),-2.41046 # DEPENDENCYPART_ARC
(11,3),-2.01963 # DEPENDENCYPART_ARC
(11,4),-2.3595 # DEPENDENCYPART_ARC
(11,5),-1.5455 # DEPENDENCYPART_ARC
(11,6),-0.772197 # DEPENDENCYPART_ARC
(11,7),-1.24067 # DEPENDENCYPART_ARC
(11,8),-1.32232 # DEPENDENCYPART_ARC
(11,9),-0.799599 # DEPENDENCYPART_ARC
(11,10),-0.10596 # DEPENDENCYPART_ARC
(11,12),0.950419 # DEPENDENCYPART_ARC
(11,13),0.119719 # DEPENDENCYPART_ARC
(12,1),-0.130733 # DEPENDENCYPART_ARC
(12,2),-1.13486 # DEPENDENCYPART_ARC
(12,3),-0.40454 # DEPENDENCYPART_ARC
(12,4),-0.256402 # DEPENDENCYPART_ARC
(12,5),0.379073 # DEPENDENCYPART_ARC
(12,6),1.10087 # DEPENDENCYPART_ARC
(12,7),0.553838 # DEPENDENCYPART_ARC
(12,8),0.329955 # DEPENDENCYPART_ARC
(12,9),1.87962 # DEPENDENCYPART_ARC
(12,10),2.93069 # DEPENDENCYPART_ARC
(12,11),4.78627 # DEPENDENCYPART_ARC
(12,13),0.309104 # DEPENDENCYPART_ARC
(13,1),-1.86802 # DEPENDENCYPART_ARC
(13,2),-2.51243 # DEPENDENCYPART_ARC
(13,3),-1.24171 # DEPENDENCYPART_ARC
(13,4),-1.66005 # DEPENDENCYPART_ARC
(13,5),-1.83555 # DEPENDENCYPART_ARC
(13,6),-1.92534 # DEPENDENCYPART_ARC
(13,7),-0.541151 # DEPENDENCYPART_ARC
(13,8),-1.43672 # DEPENDENCYPART_ARC
(13,9),-1.40049 # DEPENDENCYPART_ARC
(13,10),-1.0516 # DEPENDENCYPART_ARC
(13,11),-1.71286 # DEPENDENCYPART_ARC
(13,12),-1.74859 # DEPENDENCYPART_ARC
