# _root_ Goldman , Sachs & Co. , and Drexel Burnham Lambert Inc. are lead underwriters .
#goldHeads=12,1,1,3,4,5,5,10,10,7,10,0,14,12,12,
#predictedHeads=12,1,1,3,4,1,4,10,10,14,10,0,14,12,12,
(0,1),-6.55575 # DEPENDENCYPART_ARC
(0,2),-7.01269 # DEPENDENCYPART_ARC
(0,3),-7.56242 # DEPENDENCYPART_ARC
(0,4),-7.61127 # DEPENDENCYPART_ARC
(0,5),-7.54705 # DEPENDENCYPART_ARC
(0,6),-6.9159 # DEPENDENCYPART_ARC
(0,7),-7.85044 # DEPENDENCYPART_ARC
(0,8),-8.04239 # DEPENDENCYPART_ARC
(0,9),-7.73337 # DEPENDENCYPART_ARC
(0,10),-8.16284 # DEPENDENCYPART_ARC
(0,11),-7.21891 # DEPENDENCYPART_ARC
(0,12),-2.76988 # DEPENDENCYPART_ARC
(0,13),-6.51441 # DEPENDENCYPART_ARC
(0,14),-6.91867 # DEPENDENCYPART_ARC
(0,15),-7.31802 # DEPENDENCYPART_ARC
(1,2),4.09766 # DEPENDENCYPART_ARC
(1,3),3.33452 # DEPENDENCYPART_ARC
(1,4),3.12585 # DEPENDENCYPART_ARC
(1,5),2.07168 # DEPENDENCYPART_ARC
(1,6),2.29808 # DEPENDENCYPART_ARC
(1,7),1.69696 # DEPENDENCYPART_ARC
(1,8),-1.34591 # DEPENDENCYPART_ARC
(1,9),-0.806281 # DEPENDENCYPART_ARC
(1,10),-0.641776 # DEPENDENCYPART_ARC
(1,11),-1.1855 # DEPENDENCYPART_ARC
(1,12),1.54641 # DEPENDENCYPART_ARC
(1,13),0.0939246 # DEPENDENCYPART_ARC
(1,14),1.24925 # DEPENDENCYPART_ARC
(1,15),1.19143 # DEPENDENCYPART_ARC
(2,1),-1.00308 # DEPENDENCYPART_ARC
(2,3),-0.279939 # DEPENDENCYPART_ARC
(2,4),-0.918789 # DEPENDENCYPART_ARC
(2,5),-1.16838 # DEPENDENCYPART_ARC
(2,6),0.0626511 # DEPENDENCYPART_ARC
(2,7),-1.71818 # DEPENDENCYPART_ARC
(2,8),-2.01689 # DEPENDENCYPART_ARC
(2,9),-2.15252 # DEPENDENCYPART_ARC
(2,10),-2.30337 # DEPENDENCYPART_ARC
(2,11),-2.38903 # DEPENDENCYPART_ARC
(2,12),-2.11324 # DEPENDENCYPART_ARC
(2,13),-2.65312 # DEPENDENCYPART_ARC
(2,14),-2.85886 # DEPENDENCYPART_ARC
(2,15),-1.77794 # DEPENDENCYPART_ARC
(3,1),0.423675 # DEPENDENCYPART_ARC
(3,2),1.16606 # DEPENDENCYPART_ARC
(3,4),4.60411 # DEPENDENCYPART_ARC
(3,5),3.52481 # DEPENDENCYPART_ARC
(3,6),0.915691 # DEPENDENCYPART_ARC
(3,7),0.893112 # DEPENDENCYPART_ARC
(3,8),-0.220464 # DEPENDENCYPART_ARC
(3,9),0.148291 # DEPENDENCYPART_ARC
(3,10),0.231811 # DEPENDENCYPART_ARC
(3,11),-0.0670307 # DEPENDENCYPART_ARC
(3,12),1.07459 # DEPENDENCYPART_ARC
(3,13),0.160066 # DEPENDENCYPART_ARC
(3,14),0.505221 # DEPENDENCYPART_ARC
(3,15),0.702474 # DEPENDENCYPART_ARC
(4,1),0.561833 # DEPENDENCYPART_ARC
(4,2),-0.00217721 # DEPENDENCYPART_ARC
(4,3),1.82536 # DEPENDENCYPART_ARC
(4,5),4.25442 # DEPENDENCYPART_ARC
(4,6),2.02155 # DEPENDENCYPART_ARC
(4,7),2.26514 # DEPENDENCYPART_ARC
(4,8),0.840214 # DEPENDENCYPART_ARC
(4,9),0.688404 # DEPENDENCYPART_ARC
(4,10),-0.467496 # DEPENDENCYPART_ARC
(4,11),-0.227982 # DEPENDENCYPART_ARC
(4,12),-0.303664 # DEPENDENCYPART_ARC
(4,13),-0.317684 # DEPENDENCYPART_ARC
(4,14),-1.21182 # DEPENDENCYPART_ARC
(4,15),0.0301326 # DEPENDENCYPART_ARC
(5,1),-3.28893 # DEPENDENCYPART_ARC
(5,2),-1.64453 # DEPENDENCYPART_ARC
(5,3),-1.90333 # DEPENDENCYPART_ARC
(5,4),-0.741649 # DEPENDENCYPART_ARC
(5,6),-0.233844 # DEPENDENCYPART_ARC
(5,7),0.662728 # DEPENDENCYPART_ARC
(5,8),-1.62479 # DEPENDENCYPART_ARC
(5,9),-0.82936 # DEPENDENCYPART_ARC
(5,10),-0.795642 # DEPENDENCYPART_ARC
(5,11),-0.722059 # DEPENDENCYPART_ARC
(5,12),-1.10195 # DEPENDENCYPART_ARC
(5,13),-1.91161 # DEPENDENCYPART_ARC
(5,14),-1.83117 # DEPENDENCYPART_ARC
(5,15),-1.35344 # DEPENDENCYPART_ARC
(6,1),-1.72783 # DEPENDENCYPART_ARC
(6,2),-0.0424164 # DEPENDENCYPART_ARC
(6,3),-1.02989 # DEPENDENCYPART_ARC
(6,4),-0.749427 # DEPENDENCYPART_ARC
(6,5),-0.546768 # DEPENDENCYPART_ARC
(6,7),-0.205606 # DEPENDENCYPART_ARC
(6,8),-0.51571 # DEPENDENCYPART_ARC
(6,9),-0.778327 # DEPENDENCYPART_ARC
(6,10),-1.05592 # DEPENDENCYPART_ARC
(6,11),-1.23816 # DEPENDENCYPART_ARC
(6,12),-1.32022 # DEPENDENCYPART_ARC
(6,13),-1.79502 # DEPENDENCYPART_ARC
(6,14),-2.06652 # DEPENDENCYPART_ARC
(6,15),-1.22876 # DEPENDENCYPART_ARC
(7,1),0.684098 # DEPENDENCYPART_ARC
(7,2),-0.953817 # DEPENDENCYPART_ARC
(7,3),1.74994 # DEPENDENCYPART_ARC
(7,4),-0.4662 # DEPENDENCYPART_ARC
(7,5),2.02976 # DEPENDENCYPART_ARC
(7,6),0.152336 # DEPENDENCYPART_ARC
(7,8),1.61121 # DEPENDENCYPART_ARC
(7,9),1.91095 # DEPENDENCYPART_ARC
(7,10),1.50462 # DEPENDENCYPART_ARC
(7,11),1.21393 # DEPENDENCYPART_ARC
(7,12),1.86814 # DEPENDENCYPART_ARC
(7,13),-0.518693 # DEPENDENCYPART_ARC
(7,14),-0.00133376 # DEPENDENCYPART_ARC
(7,15),0.14039 # DEPENDENCYPART_ARC
(8,1),-6.56786 # DEPENDENCYPART_ARC
(8,2),-3.80527 # DEPENDENCYPART_ARC
(8,3),-4.71616 # DEPENDENCYPART_ARC
(8,4),-3.41646 # DEPENDENCYPART_ARC
(8,5),-2.22134 # DEPENDENCYPART_ARC
(8,6),-1.6819 # DEPENDENCYPART_ARC
(8,7),-1.73289 # DEPENDENCYPART_ARC
(8,9),1.80175 # DEPENDENCYPART_ARC
(8,10),1.28271 # DEPENDENCYPART_ARC
(8,11),1.74238 # DEPENDENCYPART_ARC
(8,12),-0.607681 # DEPENDENCYPART_ARC
(8,13),-0.768715 # DEPENDENCYPART_ARC
(8,14),-0.908339 # DEPENDENCYPART_ARC
(8,15),-0.384445 # DEPENDENCYPART_ARC
(9,1),-5.19464 # DEPENDENCYPART_ARC
(9,2),-2.33831 # DEPENDENCYPART_ARC
(9,3),-3.47655 # DEPENDENCYPART_ARC
(9,4),-2.43838 # DEPENDENCYPART_ARC
(9,5),-0.704982 # DEPENDENCYPART_ARC
(9,6),-1.11344 # DEPENDENCYPART_ARC
(9,7),-1.40403 # DEPENDENCYPART_ARC
(9,8),2.85149 # DEPENDENCYPART_ARC
(9,10),0.47596 # DEPENDENCYPART_ARC
(9,11),1.8839 # DEPENDENCYPART_ARC
(9,12),-0.944558 # DEPENDENCYPART_ARC
(9,13),-1.24419 # DEPENDENCYPART_ARC
(9,14),-0.977033 # DEPENDENCYPART_ARC
(9,15),-0.596116 # DEPENDENCYPART_ARC
(10,1),-2.98106 # DEPENDENCYPART_ARC
(10,2),-0.471369 # DEPENDENCYPART_ARC
(10,3),-1.2457 # DEPENDENCYPART_ARC
(10,4),-0.877406 # DEPENDENCYPART_ARC
(10,5),1.5237 # DEPENDENCYPART_ARC
(10,6),0.56354 # DEPENDENCYPART_ARC
(10,7),-0.163451 # DEPENDENCYPART_ARC
(10,8),4.72983 # DEPENDENCYPART_ARC
(10,9),4.14354 # DEPENDENCYPART_ARC
(10,11),4.84528 # DEPENDENCYPART_ARC
(10,12),1.22273 # DEPENDENCYPART_ARC
(10,13),0.823263 # DEPENDENCYPART_ARC
(10,14),0.842727 # DEPENDENCYPART_ARC
(10,15),0.920679 # DEPENDENCYPART_ARC
(11,1),-3.01733 # DEPENDENCYPART_ARC
(11,2),-1.67512 # DEPENDENCYPART_ARC
(11,3),-1.72586 # DEPENDENCYPART_ARC
(11,4),-2.08492 # DEPENDENCYPART_ARC
(11,5),-0.255976 # DEPENDENCYPART_ARC
(11,6),-0.825749 # DEPENDENCYPART_ARC
(11,7),-1.66109 # DEPENDENCYPART_ARC
(11,8),3.25859 # DEPENDENCYPART_ARC
(11,9),2.588 # DEPENDENCYPART_ARC
(11,10),2.20403 # DEPENDENCYPART_ARC
(11,12),-0.323276 # DEPENDENCYPART_ARC
(11,13),-0.700111 # DEPENDENCYPART_ARC
(11,14),-1.18807 # DEPENDENCYPART_ARC
(11,15),-1.01559 # DEPENDENCYPART_ARC
(12,1),2.49437 # DEPENDENCYPART_ARC
(12,2),1.1891 # DEPENDENCYPART_ARC
(12,3),1.50799 # DEPENDENCYPART_ARC
(12,4),0.390489 # DEPENDENCYPART_ARC
(12,5),1.26944 # DEPENDENCYPART_ARC
(12,6),1.15152 # DEPENDENCYPART_ARC
(12,7),0.0088731 # DEPENDENCYPART_ARC
(12,8),1.42067 # DEPENDENCYPART_ARC
(12,9),1.6012 # DEPENDENCYPART_ARC
(12,10),1.3589 # DEPENDENCYPART_ARC
(12,11),1.33253 # DEPENDENCYPART_ARC
(12,13),2.27321 # DEPENDENCYPART_ARC
(12,14),3.11144 # DEPENDENCYPART_ARC
(12,15),3.95784 # DEPENDENCYPART_ARC
(13,1),-1.46686 # DEPENDENCYPART_ARC
(13,2),-0.54245 # DEPENDENCYPART_ARC
(13,3),-1.07765 # DEPENDENCYPART_ARC
(13,4),-2.19184 # DEPENDENCYPART_ARC
(13,5),-0.984649 # DEPENDENCYPART_ARC
(13,6),-0.602543 # DEPENDENCYPART_ARC
(13,7),-2.02451 # DEPENDENCYPART_ARC
(13,8),-0.0523906 # DEPENDENCYPART_ARC
(13,9),-0.160221 # DEPENDENCYPART_ARC
(13,10),0.0721284 # DEPENDENCYPART_ARC
(13,11),0.144046 # DEPENDENCYPART_ARC
(13,12),-0.235931 # DEPENDENCYPART_ARC
(13,14),0.8125 # DEPENDENCYPART_ARC
(13,15),0.00227653 # DEPENDENCYPART_ARC
(14,1),-2.57478 # DEPENDENCYPART_ARC
(14,2),-1.28444 # DEPENDENCYPART_ARC
(14,3),-2.09697 # DEPENDENCYPART_ARC
(14,4),-0.822351 # DEPENDENCYPART_ARC
(14,5),-0.767137 # DEPENDENCYPART_ARC
(14,6),-0.653996 # DEPENDENCYPART_ARC
(14,7),-0.974828 # DEPENDENCYPART_ARC
(14,8),1.24515 # DEPENDENCYPART_ARC
(14,9),1.46047 # DEPENDENCYPART_ARC
(14,10),1.56987 # DEPENDENCYPART_ARC
(14,11),1.20059 # DEPENDENCYPART_ARC
(14,12),0.553557 # DEPENDENCYPART_ARC
(14,13),4.22756 # DEPENDENCYPART_ARC
(14,15),0.44673 # DEPENDENCYPART_ARC
(15,1),-2.08586 # DEPENDENCYPART_ARC
(15,2),-1.95006 # DEPENDENCYPART_ARC
(15,3),-2.0942 # DEPENDENCYPART_ARC
(15,4),-1.59526 # DEPENDENCYPART_ARC
(15,5),-1.7882 # DEPENDENCYPART_ARC
(15,6),-1.36351 # DEPENDENCYPART_ARC
(15,7),-1.55119 # DEPENDENCYPART_ARC
(15,8),-1.33097 # DEPENDENCYPART_ARC
(15,9),-1.2694 # DEPENDENCYPART_ARC
(15,10),-1.64932 # DEPENDENCYPART_ARC
(15,11),-1.53058 # DEPENDENCYPART_ARC
(15,12),-1.25239 # DEPENDENCYPART_ARC
(15,13),-1.60004 # DEPENDENCYPART_ARC
(15,14),-1.63528 # DEPENDENCYPART_ARC
