# _root_ Gatoil Suisse owns an oil refinery in Switzerland with a capacity of 70,000 barrels a day , along with a network of gasoline retailing outlets .
#goldHeads=2,3,0,6,6,3,6,7,6,11,9,11,14,12,16,14,3,3,18,21,19,21,25,25,22,3,
#predictedHeads=2,3,0,6,6,3,6,7,3,11,9,11,14,12,16,14,3,11,18,21,19,21,22,25,22,3,
(0,1),-6.03779 # DEPENDENCYPART_ARC
(0,2),-5.48592 # DEPENDENCYPART_ARC
(0,3),-3.04843 # DEPENDENCYPART_ARC
(0,4),-7.40707 # DEPENDENCYPART_ARC
(0,5),-6.96857 # DEPENDENCYPART_ARC
(0,6),-7.13341 # DEPENDENCYPART_ARC
(0,7),-7.9187 # DEPENDENCYPART_ARC
(0,8),-7.79611 # DEPENDENCYPART_ARC
(0,9),-8.25757 # DEPENDENCYPART_ARC
(0,10),-7.96529 # DEPENDENCYPART_ARC
(0,11),-7.37595 # DEPENDENCYPART_ARC
(0,12),-8.84526 # DEPENDENCYPART_ARC
(0,13),-8.78156 # DEPENDENCYPART_ARC
(0,14),-5.25064 # DEPENDENCYPART_ARC
(0,15),-8.44629 # DEPENDENCYPART_ARC
(0,16),-7.38249 # DEPENDENCYPART_ARC
(0,17),-8.76993 # DEPENDENCYPART_ARC
(0,18),-9.24962 # DEPENDENCYPART_ARC
(0,19),-9.58156 # DEPENDENCYPART_ARC
(0,20),-9.09375 # DEPENDENCYPART_ARC
(0,21),-7.17457 # DEPENDENCYPART_ARC
(0,22),-10.2343 # DEPENDENCYPART_ARC
(0,23),-7.09624 # DEPENDENCYPART_ARC
(0,24),-7.46088 # DEPENDENCYPART_ARC
(0,25),-6.27799 # DEPENDENCYPART_ARC
(0,26),-4.84676 # DEPENDENCYPART_ARC
(1,2),1.80439 # DEPENDENCYPART_ARC
(1,3),-0.232505 # DEPENDENCYPART_ARC
(1,4),-0.765159 # DEPENDENCYPART_ARC
(1,5),-0.540297 # DEPENDENCYPART_ARC
(1,6),-0.647725 # DEPENDENCYPART_ARC
(1,7),-1.09627 # DEPENDENCYPART_ARC
(1,8),-1.72551 # DEPENDENCYPART_ARC
(1,9),-1.59792 # DEPENDENCYPART_ARC
(1,10),-1.43171 # DEPENDENCYPART_ARC
(1,11),-2.42446 # DEPENDENCYPART_ARC
(1,12),-3.12406 # DEPENDENCYPART_ARC
(1,13),-2.9028 # DEPENDENCYPART_ARC
(1,14),-2.32989 # DEPENDENCYPART_ARC
(1,15),-2.07406 # DEPENDENCYPART_ARC
(1,16),-3.56893 # DEPENDENCYPART_ARC
(1,17),-0.526023 # DEPENDENCYPART_ARC
(1,18),-3.48937 # DEPENDENCYPART_ARC
(1,19),-3.77555 # DEPENDENCYPART_ARC
(1,20),-2.74469 # DEPENDENCYPART_ARC
(1,21),-5.33584 # DEPENDENCYPART_ARC
(1,22),-6.73505 # DEPENDENCYPART_ARC
(1,23),-6.74081 # DEPENDENCYPART_ARC
(1,24),-2.94928 # DEPENDENCYPART_ARC
(1,25),-3.90441 # DEPENDENCYPART_ARC
(1,26),0.145288 # DEPENDENCYPART_ARC
(2,1),4.41641 # DEPENDENCYPART_ARC
(2,3),1.00945 # DEPENDENCYPART_ARC
(2,4),-0.0258493 # DEPENDENCYPART_ARC
(2,5),-0.0283881 # DEPENDENCYPART_ARC
(2,6),0.108758 # DEPENDENCYPART_ARC
(2,7),-0.408979 # DEPENDENCYPART_ARC
(2,8),-1.21501 # DEPENDENCYPART_ARC
(2,9),-0.529626 # DEPENDENCYPART_ARC
(2,10),-0.895916 # DEPENDENCYPART_ARC
(2,11),-1.93021 # DEPENDENCYPART_ARC
(2,12),-2.12886 # DEPENDENCYPART_ARC
(2,13),-2.23971 # DEPENDENCYPART_ARC
(2,14),-1.71949 # DEPENDENCYPART_ARC
(2,15),-1.51155 # DEPENDENCYPART_ARC
(2,16),-3.2439 # DEPENDENCYPART_ARC
(2,17),0.131868 # DEPENDENCYPART_ARC
(2,18),-2.27584 # DEPENDENCYPART_ARC
(2,19),-2.5325 # DEPENDENCYPART_ARC
(2,20),-2.17885 # DEPENDENCYPART_ARC
(2,21),-4.87906 # DEPENDENCYPART_ARC
(2,22),-5.585 # DEPENDENCYPART_ARC
(2,23),-6.10919 # DEPENDENCYPART_ARC
(2,24),-2.13557 # DEPENDENCYPART_ARC
(2,25),-3.2383 # DEPENDENCYPART_ARC
(2,26),0.72137 # DEPENDENCYPART_ARC
