# _root_ Texas Air Corp. , which owns Continental , and the Air Transport Association were prominent in the lobbying .
#goldHeads=2,14,2,2,6,2,6,2,2,13,13,13,9,0,14,15,18,16,14,
#predictedHeads=2,14,2,2,6,2,6,2,6,13,13,13,9,0,14,14,18,16,14,
(0,1),-6.14794 # DEPENDENCYPART_ARC
(0,2),-6.00318 # DEPENDENCYPART_ARC
(0,3),-6.30083 # DEPENDENCYPART_ARC
(0,4),-7.0095 # DEPENDENCYPART_ARC
(0,5),-7.47722 # DEPENDENCYPART_ARC
(0,6),-4.41666 # DEPENDENCYPART_ARC
(0,7),-8.25553 # DEPENDENCYPART_ARC
(0,8),-7.19167 # DEPENDENCYPART_ARC
(0,9),-8.13485 # DEPENDENCYPART_ARC
(0,10),-8.03042 # DEPENDENCYPART_ARC
(0,11),-8.24111 # DEPENDENCYPART_ARC
(0,12),-7.87739 # DEPENDENCYPART_ARC
(0,13),-6.64946 # DEPENDENCYPART_ARC
(0,14),-2.54455 # DEPENDENCYPART_ARC
(0,15),-7.14985 # DEPENDENCYPART_ARC
(0,16),-10.0054 # DEPENDENCYPART_ARC
(0,17),-8.7374 # DEPENDENCYPART_ARC
(0,18),-6.2505 # DEPENDENCYPART_ARC
(0,19),-5.62629 # DEPENDENCYPART_ARC
(1,2),-0.0529223 # DEPENDENCYPART_ARC
(1,3),1.77046 # DEPENDENCYPART_ARC
(1,4),0.9918 # DEPENDENCYPART_ARC
(1,5),-2.54612 # DEPENDENCYPART_ARC
(1,6),0.59767 # DEPENDENCYPART_ARC
(1,7),-1.5346 # DEPENDENCYPART_ARC
(1,8),0.157081 # DEPENDENCYPART_ARC
(1,9),-1.26249 # DEPENDENCYPART_ARC
(1,10),-1.51588 # DEPENDENCYPART_ARC
(1,11),-3.07242 # DEPENDENCYPART_ARC
(1,12),-2.78718 # DEPENDENCYPART_ARC
(1,13),-2.04864 # DEPENDENCYPART_ARC
(1,14),-0.811803 # DEPENDENCYPART_ARC
(1,15),-2.57652 # DEPENDENCYPART_ARC
(1,16),-3.48734 # DEPENDENCYPART_ARC
(1,17),-2.10564 # DEPENDENCYPART_ARC
(1,18),-3.0016 # DEPENDENCYPART_ARC
(1,19),-1.7536 # DEPENDENCYPART_ARC
(2,1),4.15971 # DEPENDENCYPART_ARC
(2,3),5.04671 # DEPENDENCYPART_ARC
(2,4),3.78449 # DEPENDENCYPART_ARC
(2,5),0.126999 # DEPENDENCYPART_ARC
(2,6),3.48101 # DEPENDENCYPART_ARC
(2,7),1.26807 # DEPENDENCYPART_ARC
(2,8),3.27869 # DEPENDENCYPART_ARC
(2,9),1.49735 # DEPENDENCYPART_ARC
(2,10),0.821191 # DEPENDENCYPART_ARC
(2,11),-0.457432 # DEPENDENCYPART_ARC
(2,12),0.221576 # DEPENDENCYPART_ARC
(2,13),0.882946 # DEPENDENCYPART_ARC
(2,14),1.53318 # DEPENDENCYPART_ARC
(2,15),-0.19891 # DEPENDENCYPART_ARC
(2,16),-1.21274 # DEPENDENCYPART_ARC
(2,17),0.276351 # DEPENDENCYPART_ARC
(2,18),-0.466392 # DEPENDENCYPART_ARC
(2,19),1.1907 # DEPENDENCYPART_ARC
(3,1),2.18717 # DEPENDENCYPART_ARC
(3,2),1.97127 # DEPENDENCYPART_ARC
(3,4),1.61179 # DEPENDENCYPART_ARC
(3,5),-0.754145 # DEPENDENCYPART_ARC
(3,6),1.67048 # DEPENDENCYPART_ARC
(3,7),-0.182646 # DEPENDENCYPART_ARC
(3,8),0.854135 # DEPENDENCYPART_ARC
(3,9),-0.157428 # DEPENDENCYPART_ARC
(3,10),-0.60601 # DEPENDENCYPART_ARC
(3,11),-2.61869 # DEPENDENCYPART_ARC
(3,12),-2.39772 # DEPENDENCYPART_ARC
(3,13),-2.37553 # DEPENDENCYPART_ARC
(3,14),0.340706 # DEPENDENCYPART_ARC
(3,15),-1.52853 # DEPENDENCYPART_ARC
(3,16),-1.76539 # DEPENDENCYPART_ARC
(3,17),-1.2311 # DEPENDENCYPART_ARC
(3,18),-1.68595 # DEPENDENCYPART_ARC
(3,19),-0.11477 # DEPENDENCYPART_ARC
(4,1),-1.28079 # DEPENDENCYPART_ARC
(4,2),-1.41753 # DEPENDENCYPART_ARC
(4,3),-0.826504 # DEPENDENCYPART_ARC
(4,5),-1.06123 # DEPENDENCYPART_ARC
(4,6),-0.797423 # DEPENDENCYPART_ARC
(4,7),-1.36318 # DEPENDENCYPART_ARC
(4,8),0.101047 # DEPENDENCYPART_ARC
(4,9),-1.95886 # DEPENDENCYPART_ARC
(4,10),-2.20988 # DEPENDENCYPART_ARC
(4,11),-2.33946 # DEPENDENCYPART_ARC
(4,12),-2.49552 # DEPENDENCYPART_ARC
(4,13),-2.58147 # DEPENDENCYPART_ARC
(4,14),-2.14348 # DEPENDENCYPART_ARC
(4,15),-2.87501 # DEPENDENCYPART_ARC
(4,16),-2.55277 # DEPENDENCYPART_ARC
(4,17),-2.99428 # DEPENDENCYPART_ARC
(4,18),-2.63772 # DEPENDENCYPART_ARC
(4,19),-2.26376 # DEPENDENCYPART_ARC
(5,1),-0.948346 # DEPENDENCYPART_ARC
(5,2),-0.611602 # DEPENDENCYPART_ARC
(5,3),-0.485771 # DEPENDENCYPART_ARC
(5,4),0.341431 # DEPENDENCYPART_ARC
(5,6),0.502706 # DEPENDENCYPART_ARC
(5,7),-0.524033 # DEPENDENCYPART_ARC
(5,8),-0.537224 # DEPENDENCYPART_ARC
(5,9),-1.04518 # DEPENDENCYPART_ARC
(5,10),-1.81634 # DEPENDENCYPART_ARC
(5,11),-1.79346 # DEPENDENCYPART_ARC
(5,12),-1.9077 # DEPENDENCYPART_ARC
(5,13),-2.04446 # DEPENDENCYPART_ARC
(5,14),-1.98578 # DEPENDENCYPART_ARC
(5,15),-2.17449 # DEPENDENCYPART_ARC
(5,16),-2.13683 # DEPENDENCYPART_ARC
(5,17),-2.67398 # DEPENDENCYPART_ARC
(5,18),-2.10985 # DEPENDENCYPART_ARC
(5,19),-1.80648 # DEPENDENCYPART_ARC
(6,1),-0.0183073 # DEPENDENCYPART_ARC
(6,2),-0.0778108 # DEPENDENCYPART_ARC
(6,3),-0.777982 # DEPENDENCYPART_ARC
(6,4),1.23458 # DEPENDENCYPART_ARC
(6,5),3.74179 # DEPENDENCYPART_ARC
(6,7),2.85191 # DEPENDENCYPART_ARC
(6,8),0.902051 # DEPENDENCYPART_ARC
(6,9),1.51784 # DEPENDENCYPART_ARC
(6,10),-0.688209 # DEPENDENCYPART_ARC
(6,11),0.659897 # DEPENDENCYPART_ARC
(6,12),0.48479 # DEPENDENCYPART_ARC
(6,13),0.569631 # DEPENDENCYPART_ARC
(6,14),0.392919 # DEPENDENCYPART_ARC
(6,15),0.189113 # DEPENDENCYPART_ARC
(6,16),-1.38753 # DEPENDENCYPART_ARC
(6,17),-1.72812 # DEPENDENCYPART_ARC
(6,18),-0.269526 # DEPENDENCYPART_ARC
(6,19),2.18912 # DEPENDENCYPART_ARC
(7,1),-0.649935 # DEPENDENCYPART_ARC
(7,2),0.0275197 # DEPENDENCYPART_ARC
(7,3),-0.305488 # DEPENDENCYPART_ARC
(7,4),-0.0283686 # DEPENDENCYPART_ARC
(7,5),0.380223 # DEPENDENCYPART_ARC
(7,6),0.2833 # DEPENDENCYPART_ARC
(7,8),2.00891 # DEPENDENCYPART_ARC
(7,9),1.46019 # DEPENDENCYPART_ARC
(7,10),0.112449 # DEPENDENCYPART_ARC
(7,11),-0.53567 # DEPENDENCYPART_ARC
(7,12),-0.450259 # DEPENDENCYPART_ARC
(7,13),-0.769273 # DEPENDENCYPART_ARC
(7,14),0.336147 # DEPENDENCYPART_ARC
(7,15),-0.621877 # DEPENDENCYPART_ARC
(7,16),-0.504427 # DEPENDENCYPART_ARC
(7,17),-0.417281 # DEPENDENCYPART_ARC
(7,18),-1.02692 # DEPENDENCYPART_ARC
(7,19),-0.463508 # DEPENDENCYPART_ARC
(8,1),-1.67291 # DEPENDENCYPART_ARC
(8,2),-1.56195 # DEPENDENCYPART_ARC
(8,3),-1.76946 # DEPENDENCYPART_ARC
(8,4),-0.0407527 # DEPENDENCYPART_ARC
(8,5),-0.124349 # DEPENDENCYPART_ARC
(8,6),-0.93856 # DEPENDENCYPART_ARC
(8,7),-0.542828 # DEPENDENCYPART_ARC
(8,9),-0.411286 # DEPENDENCYPART_ARC
(8,10),-1.00098 # DEPENDENCYPART_ARC
(8,11),-0.898551 # DEPENDENCYPART_ARC
(8,12),-1.18135 # DEPENDENCYPART_ARC
(8,13),-1.36359 # DEPENDENCYPART_ARC
(8,14),-1.26456 # DEPENDENCYPART_ARC
(8,15),-1.93573 # DEPENDENCYPART_ARC
(8,16),-1.74673 # DEPENDENCYPART_ARC
(8,17),-2.08444 # DEPENDENCYPART_ARC
(8,18),-1.82773 # DEPENDENCYPART_ARC
(8,19),-1.41846 # DEPENDENCYPART_ARC
(9,1),-0.389772 # DEPENDENCYPART_ARC
(9,2),-0.321692 # DEPENDENCYPART_ARC
(9,3),-0.0973871 # DEPENDENCYPART_ARC
(9,4),-1.1283 # DEPENDENCYPART_ARC
(9,5),-0.0895138 # DEPENDENCYPART_ARC
(9,6),-0.190202 # DEPENDENCYPART_ARC
(9,7),0.352989 # DEPENDENCYPART_ARC
(9,8),-0.0205175 # DEPENDENCYPART_ARC
(9,10),1.08382 # DEPENDENCYPART_ARC
(9,11),1.03894 # DEPENDENCYPART_ARC
(9,12),1.48287 # DEPENDENCYPART_ARC
(9,13),2.51006 # DEPENDENCYPART_ARC
(9,14),3.18106 # DEPENDENCYPART_ARC
(9,15),-0.294529 # DEPENDENCYPART_ARC
(9,16),-0.485311 # DEPENDENCYPART_ARC
(9,17),-1.18659 # DEPENDENCYPART_ARC
(9,18),0.41326 # DEPENDENCYPART_ARC
(9,19),0.561737 # DEPENDENCYPART_ARC
(10,1),-3.52488 # DEPENDENCYPART_ARC
(10,2),-3.42308 # DEPENDENCYPART_ARC
(10,3),-3.2898 # DEPENDENCYPART_ARC
(10,4),-3.01488 # DEPENDENCYPART_ARC
(10,5),-1.99449 # DEPENDENCYPART_ARC
(10,6),-2.85373 # DEPENDENCYPART_ARC
(10,7),-2.39913 # DEPENDENCYPART_ARC
(10,8),-2.05584 # DEPENDENCYPART_ARC
(10,9),-1.62211 # DEPENDENCYPART_ARC
(10,11),-0.238233 # DEPENDENCYPART_ARC
(10,12),-0.652844 # DEPENDENCYPART_ARC
(10,13),-0.802433 # DEPENDENCYPART_ARC
