# _root_ Within about six months , `` things will be moving in the right direction , '' he predicts .
#goldHeads=8,4,2,1,8,8,8,18,8,9,10,14,14,11,8,8,18,0,18,
#predictedHeads=18,4,2,1,8,8,8,1,8,9,10,14,14,11,18,18,18,0,18,
(0,1),-6.78245 # DEPENDENCYPART_ARC
(0,2),-6.11038 # DEPENDENCYPART_ARC
(0,3),-7.12538 # DEPENDENCYPART_ARC
(0,4),-6.77707 # DEPENDENCYPART_ARC
(0,5),-6.83838 # DEPENDENCYPART_ARC
(0,6),-6.90051 # DEPENDENCYPART_ARC
(0,7),-6.07545 # DEPENDENCYPART_ARC
(0,8),-3.83416 # DEPENDENCYPART_ARC
(0,9),-5.24433 # DEPENDENCYPART_ARC
(0,10),-6.88888 # DEPENDENCYPART_ARC
(0,11),-7.63981 # DEPENDENCYPART_ARC
(0,12),-7.80819 # DEPENDENCYPART_ARC
(0,13),-6.64398 # DEPENDENCYPART_ARC
(0,14),-5.92434 # DEPENDENCYPART_ARC
(0,15),-7.68625 # DEPENDENCYPART_ARC
(0,16),-6.86275 # DEPENDENCYPART_ARC
(0,17),-3.40665 # DEPENDENCYPART_ARC
(0,18),-1.17698 # DEPENDENCYPART_ARC
(0,19),-5.34614 # DEPENDENCYPART_ARC
(1,2),1.33303 # DEPENDENCYPART_ARC
(1,3),1.92688 # DEPENDENCYPART_ARC
(1,4),4.20039 # DEPENDENCYPART_ARC
(1,5),1.12744 # DEPENDENCYPART_ARC
(1,6),1.06439 # DEPENDENCYPART_ARC
(1,7),0.140678 # DEPENDENCYPART_ARC
(1,8),1.50414 # DEPENDENCYPART_ARC
(1,9),0.941477 # DEPENDENCYPART_ARC
(1,10),0.740704 # DEPENDENCYPART_ARC
(1,11),0.132134 # DEPENDENCYPART_ARC
(1,12),-1.95801 # DEPENDENCYPART_ARC
(1,13),-0.790865 # DEPENDENCYPART_ARC
(1,14),-1.77619 # DEPENDENCYPART_ARC
(1,15),0.151382 # DEPENDENCYPART_ARC
(1,16),0.826269 # DEPENDENCYPART_ARC
(1,17),-2.02376 # DEPENDENCYPART_ARC
(1,18),-1.75979 # DEPENDENCYPART_ARC
(1,19),1.04681 # DEPENDENCYPART_ARC
(2,1),1.54753 # DEPENDENCYPART_ARC
(2,3),4.6845 # DEPENDENCYPART_ARC
(2,4),0.935221 # DEPENDENCYPART_ARC
(2,5),0.950951 # DEPENDENCYPART_ARC
(2,6),0.572476 # DEPENDENCYPART_ARC
(2,7),-0.818179 # DEPENDENCYPART_ARC
(2,8),0.406004 # DEPENDENCYPART_ARC
(2,9),-0.357816 # DEPENDENCYPART_ARC
(2,10),-0.0778549 # DEPENDENCYPART_ARC
(2,11),-0.0344601 # DEPENDENCYPART_ARC
(2,12),-0.363309 # DEPENDENCYPART_ARC
(2,13),-0.843157 # DEPENDENCYPART_ARC
(2,14),-1.33196 # DEPENDENCYPART_ARC
(2,15),-0.024621 # DEPENDENCYPART_ARC
(2,16),0.525077 # DEPENDENCYPART_ARC
(2,17),-0.593917 # DEPENDENCYPART_ARC
(2,18),-1.08989 # DEPENDENCYPART_ARC
(2,19),0.0607524 # DEPENDENCYPART_ARC
(3,1),0.166664 # DEPENDENCYPART_ARC
(3,2),2.21824 # DEPENDENCYPART_ARC
(3,4),0.210433 # DEPENDENCYPART_ARC
(3,5),-0.337827 # DEPENDENCYPART_ARC
