# _root_ The company , however , said orders in the U.S. showed `` good gains '' during the latest quarter .
#goldHeads=2,6,6,6,6,0,11,7,10,8,6,11,14,11,11,11,19,19,16,6,
#predictedHeads=2,6,6,6,6,0,11,7,10,8,6,14,14,11,14,11,19,19,16,6,
(0,1),-6.22455 # DEPENDENCYPART_ARC
(0,2),-6.32906 # DEPENDENCYPART_ARC
(0,3),-6.39779 # DEPENDENCYPART_ARC
(0,4),-6.06753 # DEPENDENCYPART_ARC
(0,5),-6.87758 # DEPENDENCYPART_ARC
(0,6),-0.416263 # DEPENDENCYPART_ARC
(0,7),-6.19598 # DEPENDENCYPART_ARC
(0,8),-6.97822 # DEPENDENCYPART_ARC
(0,9),-7.65822 # DEPENDENCYPART_ARC
(0,10),-5.88879 # DEPENDENCYPART_ARC
(0,11),-2.02124 # DEPENDENCYPART_ARC
(0,12),-7.2105 # DEPENDENCYPART_ARC
(0,13),-6.27709 # DEPENDENCYPART_ARC
(0,14),-6.48313 # DEPENDENCYPART_ARC
(0,15),-6.70645 # DEPENDENCYPART_ARC
(0,16),-7.6803 # DEPENDENCYPART_ARC
(0,17),-8.44812 # DEPENDENCYPART_ARC
(0,18),-8.33354 # DEPENDENCYPART_ARC
(0,19),-6.54464 # DEPENDENCYPART_ARC
(0,20),-5.95336 # DEPENDENCYPART_ARC
(1,2),-1.20152 # DEPENDENCYPART_ARC
(1,3),-1.93499 # DEPENDENCYPART_ARC
(1,4),-2.16183 # DEPENDENCYPART_ARC
(1,5),-2.17669 # DEPENDENCYPART_ARC
(1,6),-2.52363 # DEPENDENCYPART_ARC
(1,7),-2.60936 # DEPENDENCYPART_ARC
(1,8),-2.86916 # DEPENDENCYPART_ARC
(1,9),-3.58884 # DEPENDENCYPART_ARC
(1,10),-3.50502 # DEPENDENCYPART_ARC
(1,11),-3.46177 # DEPENDENCYPART_ARC
(1,12),-3.28371 # DEPENDENCYPART_ARC
(1,13),-3.72403 # DEPENDENCYPART_ARC
(1,14),-3.4698 # DEPENDENCYPART_ARC
(1,15),-2.88046 # DEPENDENCYPART_ARC
(1,16),-4.1084 # DEPENDENCYPART_ARC
(1,17),-4.60029 # DEPENDENCYPART_ARC
(1,18),-4.74104 # DEPENDENCYPART_ARC
(1,19),-4.12633 # DEPENDENCYPART_ARC
(1,20),-3.08534 # DEPENDENCYPART_ARC
(2,1),5.11192 # DEPENDENCYPART_ARC
(2,3),1.85471 # DEPENDENCYPART_ARC
(2,4),0.411799 # DEPENDENCYPART_ARC
(2,5),2.47074 # DEPENDENCYPART_ARC
(2,6),0.461421 # DEPENDENCYPART_ARC
(2,7),-0.0999673 # DEPENDENCYPART_ARC
(2,8),-0.754609 # DEPENDENCYPART_ARC
(2,9),-0.418334 # DEPENDENCYPART_ARC
(2,10),-0.536178 # DEPENDENCYPART_ARC
(2,11),-0.872659 # DEPENDENCYPART_ARC
(2,12),0.0935188 # DEPENDENCYPART_ARC
(2,13),-0.992112 # DEPENDENCYPART_ARC
(2,14),-0.736887 # DEPENDENCYPART_ARC
(2,15),0.936272 # DEPENDENCYPART_ARC
(2,16),-2.26449 # DEPENDENCYPART_ARC
(2,17),-1.44176 # DEPENDENCYPART_ARC
(2,18),-0.733299 # DEPENDENCYPART_ARC
(2,19),-1.2548 # DEPENDENCYPART_ARC
(2,20),0.502592 # DEPENDENCYPART_ARC
(3,1),-0.624377 # DEPENDENCYPART_ARC
(3,2),-1.00589 # DEPENDENCYPART_ARC
(3,4),-0.0550583 # DEPENDENCYPART_ARC
(3,5),0.917839 # DEPENDENCYPART_ARC
(3,6),-0.403121 # DEPENDENCYPART_ARC
(3,7),-1.13439 # DEPENDENCYPART_ARC
(3,8),-0.970677 # DEPENDENCYPART_ARC
(3,9),-1.41389 # DEPENDENCYPART_ARC
(3,10),-1.53601 # DEPENDENCYPART_ARC
(3,11),-1.19687 # DEPENDENCYPART_ARC
(3,12),-0.670747 # DEPENDENCYPART_ARC
(3,13),-1.93186 # DEPENDENCYPART_ARC
(3,14),-2.21381 # DEPENDENCYPART_ARC
(3,15),-1.12962 # DEPENDENCYPART_ARC
(3,16),-1.60003 # DEPENDENCYPART_ARC
(3,17),-2.32132 # DEPENDENCYPART_ARC
(3,18),-2.49764 # DEPENDENCYPART_ARC
(3,19),-2.86125 # DEPENDENCYPART_ARC
(3,20),-1.80447 # DEPENDENCYPART_ARC
(4,1),0.391901 # DEPENDENCYPART_ARC
(4,2),-0.165686 # DEPENDENCYPART_ARC
(4,3),1.0402 # DEPENDENCYPART_ARC
(4,5),1.71291 # DEPENDENCYPART_ARC
(4,6),0.7695 # DEPENDENCYPART_ARC
(4,7),-0.223032 # DEPENDENCYPART_ARC
(4,8),-0.403235 # DEPENDENCYPART_ARC
(4,9),-0.812317 # DEPENDENCYPART_ARC
(4,10),-1.3003 # DEPENDENCYPART_ARC
(4,11),0.022733 # DEPENDENCYPART_ARC
(4,12),-0.568914 # DEPENDENCYPART_ARC
(4,13),-1.23399 # DEPENDENCYPART_ARC
(4,14),-1.57713 # DEPENDENCYPART_ARC
(4,15),-0.000257876 # DEPENDENCYPART_ARC
(4,16),-1.6075 # DEPENDENCYPART_ARC
(4,17),-1.722 # DEPENDENCYPART_ARC
(4,18),-2.07284 # DEPENDENCYPART_ARC
(4,19),-2.75798 # DEPENDENCYPART_ARC
(4,20),0.759241 # DEPENDENCYPART_ARC
(5,1),-0.773273 # DEPENDENCYPART_ARC
(5,2),-0.939129 # DEPENDENCYPART_ARC
(5,3),0.132879 # DEPENDENCYPART_ARC
(5,4),-0.560462 # DEPENDENCYPART_ARC
(5,6),-0.201542 # DEPENDENCYPART_ARC
(5,7),-1.2931 # DEPENDENCYPART_ARC
(5,8),-1.51942 # DEPENDENCYPART_ARC
(5,9),-2.09694 # DEPENDENCYPART_ARC
(5,10),-1.84208 # DEPENDENCYPART_ARC
(5,11),-1.75986 # DEPENDENCYPART_ARC
(5,12),-1.53012 # DEPENDENCYPART_ARC
(5,13),-2.5807 # DEPENDENCYPART_ARC
(5,14),-2.81582 # DEPENDENCYPART_ARC
(5,15),-1.90464 # DEPENDENCYPART_ARC
(5,16),-2.38374 # DEPENDENCYPART_ARC
(5,17),-2.97508 # DEPENDENCYPART_ARC
(5,18),-3.12659 # DEPENDENCYPART_ARC
(5,19),-3.57427 # DEPENDENCYPART_ARC
(5,20),-2.37065 # DEPENDENCYPART_ARC
(6,1),-0.0374082 # DEPENDENCYPART_ARC
(6,2),1.92277 # DEPENDENCYPART_ARC
(6,3),2.24182 # DEPENDENCYPART_ARC
(6,4),2.29482 # DEPENDENCYPART_ARC
(6,5),3.10442 # DEPENDENCYPART_ARC
(6,7),0.873043 # DEPENDENCYPART_ARC
(6,8),1.21174 # DEPENDENCYPART_ARC
(6,9),-1.15804 # DEPENDENCYPART_ARC
(6,10),-0.78612 # DEPENDENCYPART_ARC
(6,11),2.4276 # DEPENDENCYPART_ARC
(6,12),0.699272 # DEPENDENCYPART_ARC
(6,13),-0.746584 # DEPENDENCYPART_ARC
(6,14),-1.78993 # DEPENDENCYPART_ARC
(6,15),0.932915 # DEPENDENCYPART_ARC
(6,16),0.237636 # DEPENDENCYPART_ARC
(6,17),-2.8399 # DEPENDENCYPART_ARC
(6,18),-1.27163 # DEPENDENCYPART_ARC
(6,19),-2.56164 # DEPENDENCYPART_ARC
(6,20),6.85269 # DEPENDENCYPART_ARC
(7,1),0.302033 # DEPENDENCYPART_ARC
(7,2),-0.749029 # DEPENDENCYPART_ARC
(7,3),-0.241718 # DEPENDENCYPART_ARC
(7,4),-1.07611 # DEPENDENCYPART_ARC
(7,5),-0.114949 # DEPENDENCYPART_ARC
(7,6),0.882718 # DEPENDENCYPART_ARC
(7,8),3.02155 # DEPENDENCYPART_ARC
(7,9),0.532222 # DEPENDENCYPART_ARC
(7,10),1.10083 # DEPENDENCYPART_ARC
(7,11),1.73626 # DEPENDENCYPART_ARC
(7,12),0.655452 # DEPENDENCYPART_ARC
(7,13),0.642396 # DEPENDENCYPART_ARC
(7,14),0.506293 # DEPENDENCYPART_ARC
(7,15),1.16107 # DEPENDENCYPART_ARC
(7,16),0.675339 # DEPENDENCYPART_ARC
(7,17),-0.276731 # DEPENDENCYPART_ARC
(7,18),-0.281063 # DEPENDENCYPART_ARC
(7,19),0.117419 # DEPENDENCYPART_ARC
(7,20),0.632839 # DEPENDENCYPART_ARC
(8,1),-0.994785 # DEPENDENCYPART_ARC
(8,2),-1.70812 # DEPENDENCYPART_ARC
(8,3),-0.64465 # DEPENDENCYPART_ARC
(8,4),-1.00473 # DEPENDENCYPART_ARC
(8,5),-0.353546 # DEPENDENCYPART_ARC
(8,6),-0.538162 # DEPENDENCYPART_ARC
(8,7),0.58536 # DEPENDENCYPART_ARC
(8,9),0.588905 # DEPENDENCYPART_ARC
(8,10),4.24238 # DEPENDENCYPART_ARC
(8,11),0.898456 # DEPENDENCYPART_ARC
(8,12),-0.0668458 # DEPENDENCYPART_ARC
(8,13),0.115099 # DEPENDENCYPART_ARC
(8,14),1.20043 # DEPENDENCYPART_ARC
(8,15),0.951662 # DEPENDENCYPART_ARC
(8,16),-0.57098 # DEPENDENCYPART_ARC
(8,17),-1.68448 # DEPENDENCYPART_ARC
(8,18),-0.298651 # DEPENDENCYPART_ARC
(8,19),-0.460601 # DEPENDENCYPART_ARC
(8,20),-0.759773 # DEPENDENCYPART_ARC
(9,1),-2.82106 # DEPENDENCYPART_ARC
(9,2),-3.59164 # DEPENDENCYPART_ARC
(9,3),-3.01645 # DEPENDENCYPART_ARC
(9,4),-2.97165 # DEPENDENCYPART_ARC
(9,5),-2.52995 # DEPENDENCYPART_ARC
(9,6),-2.47286 # DEPENDENCYPART_ARC
(9,7),-2.34891 # DEPENDENCYPART_ARC
(9,8),-1.25319 # DEPENDENCYPART_ARC
(9,10),-0.582563 # DEPENDENCYPART_ARC
(9,11),0.0817551 # DEPENDENCYPART_ARC
(9,12),-1.14415 # DEPENDENCYPART_ARC
(9,13),-1.18437 # DEPENDENCYPART_ARC
(9,14),-1.34852 # DEPENDENCYPART_ARC
(9,15),-1.02167 # DEPENDENCYPART_ARC
(9,16),-1.6929 # DEPENDENCYPART_ARC
(9,17),-2.37551 # DEPENDENCYPART_ARC
(9,18),-2.59685 # DEPENDENCYPART_ARC
(9,19),-1.81105 # DEPENDENCYPART_ARC
(9,20),-1.60253 # DEPENDENCYPART_ARC
(10,1),-1.92366 # DEPENDENCYPART_ARC
(10,2),-3.98864 # DEPENDENCYPART_ARC
(10,3),-1.28332 # DEPENDENCYPART_ARC
(10,4),-2.09649 # DEPENDENCYPART_ARC
(10,5),-0.828867 # DEPENDENCYPART_ARC
(10,6),-1.17132 # DEPENDENCYPART_ARC
(10,7),-0.689929 # DEPENDENCYPART_ARC
(10,8),0.483983 # DEPENDENCYPART_ARC
(10,9),4.04224 # DEPENDENCYPART_ARC
(10,11),0.230519 # DEPENDENCYPART_ARC
(10,12),-0.274767 # DEPENDENCYPART_ARC
(10,13),-0.483945 # DEPENDENCYPART_ARC
(10,14),-0.868631 # DEPENDENCYPART_ARC
(10,15),-0.42429 # DEPENDENCYPART_ARC
(10,16),-1.12904 # DEPENDENCYPART_ARC
(10,17),-1.11219 # DEPENDENCYPART_ARC
(10,18),-1.5257 # DEPENDENCYPART_ARC
(10,19),-1.89274 # DEPENDENCYPART_ARC
(10,20),-1.11047 # DEPENDENCYPART_ARC
(11,1),-1.162 # DEPENDENCYPART_ARC
(11,2),-0.306095 # DEPENDENCYPART_ARC
(11,3),0.928416 # DEPENDENCYPART_ARC
(11,4),0.497089 # DEPENDENCYPART_ARC
(11,5),0.906279 # DEPENDENCYPART_ARC
(11,6),-0.00331097 # DEPENDENCYPART_ARC
