# _root_ He was flawless afield ( ditto in game two ) , moved a runner along in the A 's three-run second inning , and homered for his team 's final tally .
#goldHeads=2,0,2,2,6,2,6,7,8,6,2,2,14,12,12,12,22,22,22,22,22,16,12,12,24,25,28,31,28,31,26,2,
#predictedHeads=2,0,2,2,6,2,6,7,8,6,12,2,14,12,12,15,22,22,22,22,22,16,12,12,24,25,28,31,28,31,26,12,
(0,1),-4.82566 # DEPENDENCYPART_ARC
(0,2),-2.17803 # DEPENDENCYPART_ARC
(0,3),-6.24539 # DEPENDENCYPART_ARC
(0,4),-6.52001 # DEPENDENCYPART_ARC
(0,5),-7.18186 # DEPENDENCYPART_ARC
(0,6),-6.59973 # DEPENDENCYPART_ARC
(0,7),-6.51489 # DEPENDENCYPART_ARC
(0,8),-6.68264 # DEPENDENCYPART_ARC
(0,9),-8.14034 # DEPENDENCYPART_ARC
(0,10),-6.4948 # DEPENDENCYPART_ARC
(0,11),-7.11985 # DEPENDENCYPART_ARC
(0,12),-2.82443 # DEPENDENCYPART_ARC
(0,13),-7.68773 # DEPENDENCYPART_ARC
(0,14),-6.78938 # DEPENDENCYPART_ARC
(0,15),-7.25965 # DEPENDENCYPART_ARC
(0,16),-7.43406 # DEPENDENCYPART_ARC
(0,17),-8.57628 # DEPENDENCYPART_ARC
(0,18),-6.67686 # DEPENDENCYPART_ARC
(0,19),-6.9439 # DEPENDENCYPART_ARC
(0,20),-6.77196 # DEPENDENCYPART_ARC
(0,21),-6.71216 # DEPENDENCYPART_ARC
(0,22),-7.80021 # DEPENDENCYPART_ARC
(0,23),-9.29331 # DEPENDENCYPART_ARC
(0,24),-9.43546 # DEPENDENCYPART_ARC
(0,25),-4.34233 # DEPENDENCYPART_ARC
(0,26),-7.51355 # DEPENDENCYPART_ARC
(0,27),-8.61012 # DEPENDENCYPART_ARC
(0,28),-8.31279 # DEPENDENCYPART_ARC
(0,29),-10.0393 # DEPENDENCYPART_ARC
(0,30),-7.31296 # DEPENDENCYPART_ARC
(0,31),-8.8232 # DEPENDENCYPART_ARC
