# _root_ The newsletter Medicine & Health , which first disclosed her selection by Dr. Sullivan , said she is 44 years old and she studied at the University of Puerto Rico School of Medicine .
#goldHeads=3,3,16,3,4,3,9,9,3,11,9,11,14,12,3,0,18,16,20,21,18,18,24,22,24,31,31,27,30,28,25,31,32,16,
#predictedHeads=3,3,16,3,4,3,9,9,2,11,9,11,14,12,9,0,18,16,20,21,18,18,24,22,24,31,31,27,31,31,25,31,32,16,
(0,1),-6.22455 # DEPENDENCYPART_ARC
(0,2),-5.86895 # DEPENDENCYPART_ARC
(0,3),-5.99869 # DEPENDENCYPART_ARC
(0,4),-7.15396 # DEPENDENCYPART_ARC
(0,5),-6.71421 # DEPENDENCYPART_ARC
(0,6),-6.56678 # DEPENDENCYPART_ARC
(0,7),-7.0152 # DEPENDENCYPART_ARC
(0,8),-6.92402 # DEPENDENCYPART_ARC
(0,9),-3.19577 # DEPENDENCYPART_ARC
(0,10),-7.12076 # DEPENDENCYPART_ARC
(0,11),-7.53041 # DEPENDENCYPART_ARC
(0,12),-8.03733 # DEPENDENCYPART_ARC
(0,13),-7.22618 # DEPENDENCYPART_ARC
(0,14),-7.17796 # DEPENDENCYPART_ARC
(0,15),-7.71379 # DEPENDENCYPART_ARC
(0,16),-1.87761 # DEPENDENCYPART_ARC
(0,17),-6.77057 # DEPENDENCYPART_ARC
(0,18),-3.40754 # DEPENDENCYPART_ARC
(0,19),-8.90399 # DEPENDENCYPART_ARC
(0,20),-6.77436 # DEPENDENCYPART_ARC
(0,21),-6.68436 # DEPENDENCYPART_ARC
(0,22),-9.15376 # DEPENDENCYPART_ARC
(0,23),-7.66596 # DEPENDENCYPART_ARC
(0,24),-4.19095 # DEPENDENCYPART_ARC
(0,25),-9.2712 # DEPENDENCYPART_ARC
(0,26),-9.60706 # DEPENDENCYPART_ARC
(0,27),-10.2904 # DEPENDENCYPART_ARC
(0,28),-10.0116 # DEPENDENCYPART_ARC
(0,29),-8.98393 # DEPENDENCYPART_ARC
(0,30),-8.70989 # DEPENDENCYPART_ARC
(0,31),-9.64966 # DEPENDENCYPART_ARC
(0,32),-11.6912 # DEPENDENCYPART_ARC
(0,33),-9.8409 # DEPENDENCYPART_ARC
