# _root_ But shortly before then , some of Wall Street 's sharpest traders say , they sensed a turn .
#goldHeads=13,3,13,3,13,13,6,9,12,9,12,7,0,13,16,13,18,16,13,
#predictedHeads=16,3,16,3,13,13,6,9,12,9,12,7,0,16,16,13,18,16,16,
(0,1),-7.13184 # DEPENDENCYPART_ARC
(0,2),-6.30695 # DEPENDENCYPART_ARC
(0,3),-5.8609 # DEPENDENCYPART_ARC
(0,4),-6.22441 # DEPENDENCYPART_ARC
(0,5),-6.90712 # DEPENDENCYPART_ARC
(0,6),-7.05682 # DEPENDENCYPART_ARC
(0,7),-5.93 # DEPENDENCYPART_ARC
(0,8),-5.92948 # DEPENDENCYPART_ARC
(0,9),-5.74996 # DEPENDENCYPART_ARC
(0,10),-7.99991 # DEPENDENCYPART_ARC
(0,11),-7.65203 # DEPENDENCYPART_ARC
(0,12),-5.95912 # DEPENDENCYPART_ARC
(0,13),-1.92388 # DEPENDENCYPART_ARC
(0,14),-7.53054 # DEPENDENCYPART_ARC
(0,15),-4.61017 # DEPENDENCYPART_ARC
(0,16),-2.60532 # DEPENDENCYPART_ARC
(0,17),-8.13578 # DEPENDENCYPART_ARC
(0,18),-6.47478 # DEPENDENCYPART_ARC
(0,19),-5.41368 # DEPENDENCYPART_ARC
(1,2),-1.04417 # DEPENDENCYPART_ARC
(1,3),-1.58178 # DEPENDENCYPART_ARC
(1,4),-1.93653 # DEPENDENCYPART_ARC
(1,5),-1.6754 # DEPENDENCYPART_ARC
(1,6),-3.54541 # DEPENDENCYPART_ARC
(1,7),-2.25022 # DEPENDENCYPART_ARC
(1,8),-4.76383 # DEPENDENCYPART_ARC
(1,9),-4.97889 # DEPENDENCYPART_ARC
(1,10),-4.02391 # DEPENDENCYPART_ARC
(1,11),-3.43983 # DEPENDENCYPART_ARC
(1,12),-5.39794 # DEPENDENCYPART_ARC
(1,13),-1.73068 # DEPENDENCYPART_ARC
(1,14),-2.51323 # DEPENDENCYPART_ARC
(1,15),-4.14315 # DEPENDENCYPART_ARC
(1,16),-2.69633 # DEPENDENCYPART_ARC
