# _root_ And Fairfax County , Va. , Water Authority 's 7 1\/4 % issue of 2027 was down 3\/4 at 99 7\/8 bid .
#goldHeads=16,5,5,5,8,5,8,13,8,11,13,11,16,13,14,0,16,17,16,21,22,19,16,
#predictedHeads=16,3,16,3,3,5,8,13,8,11,13,13,16,13,14,0,16,17,16,21,19,21,16,
(0,1),-6.72828 # DEPENDENCYPART_ARC
(0,2),-5.94929 # DEPENDENCYPART_ARC
(0,3),-5.47978 # DEPENDENCYPART_ARC
(0,4),-6.46667 # DEPENDENCYPART_ARC
(0,5),-7.43534 # DEPENDENCYPART_ARC
(0,6),-6.38945 # DEPENDENCYPART_ARC
(0,7),-7.94759 # DEPENDENCYPART_ARC
(0,8),-6.34526 # DEPENDENCYPART_ARC
(0,9),-9.83718 # DEPENDENCYPART_ARC
(0,10),-8.07866 # DEPENDENCYPART_ARC
(0,11),-8.0719 # DEPENDENCYPART_ARC
(0,12),-7.78991 # DEPENDENCYPART_ARC
(0,13),-7.18201 # DEPENDENCYPART_ARC
(0,14),-8.78745 # DEPENDENCYPART_ARC
(0,15),-8.54771 # DEPENDENCYPART_ARC
(0,16),-3.33743 # DEPENDENCYPART_ARC
(0,17),-7.90053 # DEPENDENCYPART_ARC
(0,18),-9.02847 # DEPENDENCYPART_ARC
(0,19),-9.45656 # DEPENDENCYPART_ARC
(0,20),-9.23595 # DEPENDENCYPART_ARC
(0,21),-9.33266 # DEPENDENCYPART_ARC
(0,22),-7.30112 # DEPENDENCYPART_ARC
(0,23),-6.21684 # DEPENDENCYPART_ARC
(1,2),-0.258168 # DEPENDENCYPART_ARC
(1,3),-0.0454162 # DEPENDENCYPART_ARC
(1,4),-0.904478 # DEPENDENCYPART_ARC
(1,5),-1.51651 # DEPENDENCYPART_ARC
(1,6),-1.43155 # DEPENDENCYPART_ARC
(1,7),-3.40201 # DEPENDENCYPART_ARC
(1,8),-2.48036 # DEPENDENCYPART_ARC
(1,9),-3.83342 # DEPENDENCYPART_ARC
(1,10),-3.14913 # DEPENDENCYPART_ARC
(1,11),-3.21436 # DEPENDENCYPART_ARC
(1,12),-2.95694 # DEPENDENCYPART_ARC
(1,13),-1.6966 # DEPENDENCYPART_ARC
(1,14),-3.87201 # DEPENDENCYPART_ARC
(1,15),-3.84995 # DEPENDENCYPART_ARC
(1,16),-2.71954 # DEPENDENCYPART_ARC
(1,17),-2.93489 # DEPENDENCYPART_ARC
(1,18),-3.85284 # DEPENDENCYPART_ARC
(1,19),-3.90489 # DEPENDENCYPART_ARC
(1,20),-4.16185 # DEPENDENCYPART_ARC
(1,21),-4.21865 # DEPENDENCYPART_ARC
(1,22),-4.26872 # DEPENDENCYPART_ARC
(1,23),-2.32495 # DEPENDENCYPART_ARC
(2,1),-1.65828 # DEPENDENCYPART_ARC
(2,3),2.67161 # DEPENDENCYPART_ARC
(2,4),1.93514 # DEPENDENCYPART_ARC
(2,5),1.58113 # DEPENDENCYPART_ARC
(2,6),1.67407 # DEPENDENCYPART_ARC
(2,7),0.609128 # DEPENDENCYPART_ARC
