# _root_ `` It seems computers as hobbies have waned , '' says Ian Brightman , Beseler 's chairman and chief executive officer .
#goldHeads=3,3,11,7,4,5,3,7,3,3,0,13,11,13,17,15,13,17,21,21,18,11,
#predictedHeads=11,3,11,3,3,7,5,7,11,11,0,13,11,13,17,15,13,17,21,21,18,11,
(0,1),-6.38143 # DEPENDENCYPART_ARC
(0,2),-5.5215 # DEPENDENCYPART_ARC
(0,3),-3.37859 # DEPENDENCYPART_ARC
(0,4),-6.38966 # DEPENDENCYPART_ARC
(0,5),-6.71928 # DEPENDENCYPART_ARC
(0,6),-5.62329 # DEPENDENCYPART_ARC
(0,7),-4.63637 # DEPENDENCYPART_ARC
(0,8),-5.02374 # DEPENDENCYPART_ARC
(0,9),-6.76844 # DEPENDENCYPART_ARC
(0,10),-6.53573 # DEPENDENCYPART_ARC
(0,11),1.33215 # DEPENDENCYPART_ARC
(0,12),-6.64814 # DEPENDENCYPART_ARC
(0,13),-6.65585 # DEPENDENCYPART_ARC
(0,14),-7.27786 # DEPENDENCYPART_ARC
(0,15),-7.93823 # DEPENDENCYPART_ARC
(0,16),-9.24494 # DEPENDENCYPART_ARC
(0,17),-7.18919 # DEPENDENCYPART_ARC
(0,18),-8.68458 # DEPENDENCYPART_ARC
(0,19),-6.75506 # DEPENDENCYPART_ARC
(0,20),-6.58544 # DEPENDENCYPART_ARC
(0,21),-7.46045 # DEPENDENCYPART_ARC
(0,22),-6.26502 # DEPENDENCYPART_ARC
(1,2),-1.58687 # DEPENDENCYPART_ARC
(1,3),-1.82087 # DEPENDENCYPART_ARC
(1,4),-2.57327 # DEPENDENCYPART_ARC
(1,5),-2.45696 # DEPENDENCYPART_ARC
(1,6),-2.95357 # DEPENDENCYPART_ARC
(1,7),-3.00184 # DEPENDENCYPART_ARC
(1,8),-2.69231 # DEPENDENCYPART_ARC
(1,9),-2.31075 # DEPENDENCYPART_ARC
(1,10),-1.76448 # DEPENDENCYPART_ARC
(1,11),-3.04695 # DEPENDENCYPART_ARC
(1,12),-3.45817 # DEPENDENCYPART_ARC
(1,13),-3.60512 # DEPENDENCYPART_ARC
(1,14),-2.791 # DEPENDENCYPART_ARC
(1,15),-3.78916 # DEPENDENCYPART_ARC
(1,16),-3.89679 # DEPENDENCYPART_ARC
(1,17),-3.85647 # DEPENDENCYPART_ARC
(1,18),-4.04195 # DEPENDENCYPART_ARC
(1,19),-3.84036 # DEPENDENCYPART_ARC
(1,20),-3.94566 # DEPENDENCYPART_ARC
(1,21),-4.03344 # DEPENDENCYPART_ARC
(1,22),-3.18383 # DEPENDENCYPART_ARC
(2,1),0.163187 # DEPENDENCYPART_ARC
(2,3),0.896255 # DEPENDENCYPART_ARC
(2,4),0.0460301 # DEPENDENCYPART_ARC
(2,5),0.44974 # DEPENDENCYPART_ARC
(2,6),-0.468387 # DEPENDENCYPART_ARC
(2,7),-0.639996 # DEPENDENCYPART_ARC
(2,8),-1.12984 # DEPENDENCYPART_ARC
(2,9),-0.308173 # DEPENDENCYPART_ARC
(2,10),-0.662092 # DEPENDENCYPART_ARC
(2,11),-0.70593 # DEPENDENCYPART_ARC
(2,12),-1.30556 # DEPENDENCYPART_ARC
(2,13),-1.45599 # DEPENDENCYPART_ARC
