# _root_ West German Economics Minister Helmut Haussmann said , `` In my view , the stock market will stabilize relatively quickly .
#goldHeads=6,6,6,6,6,7,0,7,7,17,12,10,17,16,16,17,7,17,18,19,7,
#predictedHeads=2,6,6,6,6,7,0,7,17,17,12,10,17,16,16,17,7,17,18,19,7,
(0,1),-6.03673 # DEPENDENCYPART_ARC
(0,2),-6.10649 # DEPENDENCYPART_ARC
(0,3),-5.46848 # DEPENDENCYPART_ARC
(0,4),-5.32513 # DEPENDENCYPART_ARC
(0,5),-5.78714 # DEPENDENCYPART_ARC
(0,6),-5.96143 # DEPENDENCYPART_ARC
(0,7),-1.40208 # DEPENDENCYPART_ARC
(0,8),-7.01193 # DEPENDENCYPART_ARC
(0,9),-7.30397 # DEPENDENCYPART_ARC
(0,10),-8.9911 # DEPENDENCYPART_ARC
(0,11),-7.04223 # DEPENDENCYPART_ARC
(0,12),-8.19777 # DEPENDENCYPART_ARC
(0,13),-7.60219 # DEPENDENCYPART_ARC
(0,14),-8.13701 # DEPENDENCYPART_ARC
(0,15),-8.06472 # DEPENDENCYPART_ARC
(0,16),-7.96577 # DEPENDENCYPART_ARC
(0,17),-4.21031 # DEPENDENCYPART_ARC
(0,18),-6.04145 # DEPENDENCYPART_ARC
(0,19),-8.28891 # DEPENDENCYPART_ARC
(0,20),-7.93883 # DEPENDENCYPART_ARC
(0,21),-6.48158 # DEPENDENCYPART_ARC
(1,2),1.20337 # DEPENDENCYPART_ARC
(1,3),0.681023 # DEPENDENCYPART_ARC
(1,4),0.33832 # DEPENDENCYPART_ARC
(1,5),0.148057 # DEPENDENCYPART_ARC
(1,6),-0.0110888 # DEPENDENCYPART_ARC
(1,7),-0.120478 # DEPENDENCYPART_ARC
(1,8),-0.552245 # DEPENDENCYPART_ARC
(1,9),-0.679446 # DEPENDENCYPART_ARC
(1,10),-0.756465 # DEPENDENCYPART_ARC
(1,11),-1.55665 # DEPENDENCYPART_ARC
(1,12),-0.943214 # DEPENDENCYPART_ARC
(1,13),-1.25256 # DEPENDENCYPART_ARC
(1,14),-1.90604 # DEPENDENCYPART_ARC
(1,15),-1.30207 # DEPENDENCYPART_ARC
(1,16),-1.51883 # DEPENDENCYPART_ARC
(1,17),-1.45328 # DEPENDENCYPART_ARC
(1,18),-1.88642 # DEPENDENCYPART_ARC
(1,19),-1.74619 # DEPENDENCYPART_ARC
(1,20),-1.76243 # DEPENDENCYPART_ARC
(1,21),-0.538852 # DEPENDENCYPART_ARC
(2,1),3.99323 # DEPENDENCYPART_ARC
(2,3),1.49311 # DEPENDENCYPART_ARC
(2,4),1.07823 # DEPENDENCYPART_ARC
