# _root_ They said the exchange 's trading procedures , personnel , equipment and links with other exchanges could n't have performed better .
#goldHeads=2,0,4,7,4,7,17,7,7,9,9,11,12,13,16,14,2,17,17,19,20,2,
#predictedHeads=2,0,4,7,4,7,17,7,7,9,9,11,12,13,16,14,2,17,17,19,20,2,
(0,1),-5.35202 # DEPENDENCYPART_ARC
(0,2),-1.09015 # DEPENDENCYPART_ARC
(0,3),-6.73734 # DEPENDENCYPART_ARC
(0,4),-5.77838 # DEPENDENCYPART_ARC
(0,5),-6.75762 # DEPENDENCYPART_ARC
(0,6),-5.91353 # DEPENDENCYPART_ARC
(0,7),-5.88066 # DEPENDENCYPART_ARC
(0,8),-6.7903 # DEPENDENCYPART_ARC
(0,9),-5.56756 # DEPENDENCYPART_ARC
(0,10),-7.00974 # DEPENDENCYPART_ARC
(0,11),-5.70501 # DEPENDENCYPART_ARC
(0,12),-7.77498 # DEPENDENCYPART_ARC
(0,13),-6.06491 # DEPENDENCYPART_ARC
(0,14),-7.43473 # DEPENDENCYPART_ARC
(0,15),-5.72732 # DEPENDENCYPART_ARC
(0,16),-6.06817 # DEPENDENCYPART_ARC
(0,17),-3.49082 # DEPENDENCYPART_ARC
(0,18),-8.47825 # DEPENDENCYPART_ARC
(0,19),-3.87026 # DEPENDENCYPART_ARC
(0,20),-3.60993 # DEPENDENCYPART_ARC
(0,21),-7.09929 # DEPENDENCYPART_ARC
(0,22),-6.03302 # DEPENDENCYPART_ARC
(1,2),1.33139 # DEPENDENCYPART_ARC
(1,3),0.505869 # DEPENDENCYPART_ARC
(1,4),0.413575 # DEPENDENCYPART_ARC
(1,5),-0.92985 # DEPENDENCYPART_ARC
(1,6),-0.0773963 # DEPENDENCYPART_ARC
(1,7),-0.347556 # DEPENDENCYPART_ARC
(1,8),0.528187 # DEPENDENCYPART_ARC
(1,9),-0.644024 # DEPENDENCYPART_ARC
(1,10),0.794959 # DEPENDENCYPART_ARC
(1,11),-0.8066 # DEPENDENCYPART_ARC
(1,12),-0.703073 # DEPENDENCYPART_ARC
(1,13),-1.23174 # DEPENDENCYPART_ARC
(1,14),-1.01282 # DEPENDENCYPART_ARC
(1,15),-1.9325 # DEPENDENCYPART_ARC
(1,16),-1.42991 # DEPENDENCYPART_ARC
(1,17),-1.39614 # DEPENDENCYPART_ARC
(1,18),-1.52593 # DEPENDENCYPART_ARC
(1,19),-2.44124 # DEPENDENCYPART_ARC
(1,20),-2.15272 # DEPENDENCYPART_ARC
(1,21),-2.23591 # DEPENDENCYPART_ARC
(1,22),-1.09296 # DEPENDENCYPART_ARC
(2,1),3.7236 # DEPENDENCYPART_ARC
(2,3),0.0765969 # DEPENDENCYPART_ARC
(2,4),-0.221828 # DEPENDENCYPART_ARC
(2,5),0.365669 # DEPENDENCYPART_ARC
(2,6),-0.278045 # DEPENDENCYPART_ARC
(2,7),-0.00673165 # DEPENDENCYPART_ARC
(2,8),0.840249 # DEPENDENCYPART_ARC
(2,9),-1.33242 # DEPENDENCYPART_ARC
(2,10),0.0757239 # DEPENDENCYPART_ARC
