# _root_ Synchronized circuit breakers would not have halted the slide in prices on Friday , but they probably would have made for smoother , less volatile executions .
#goldHeads=3,3,4,0,4,4,6,9,7,9,10,9,12,4,4,18,18,15,18,19,20,26,26,25,26,21,4,
#predictedHeads=3,3,4,0,4,4,6,9,7,9,10,11,12,4,4,18,18,15,18,19,20,26,26,25,26,21,4,
(0,1),-6.25237 # DEPENDENCYPART_ARC
(0,2),-5.94025 # DEPENDENCYPART_ARC
(0,3),-6.1027 # DEPENDENCYPART_ARC
(0,4),-3.66921 # DEPENDENCYPART_ARC
(0,5),-7.37202 # DEPENDENCYPART_ARC
(0,6),-4.68295 # DEPENDENCYPART_ARC
(0,7),-5.31352 # DEPENDENCYPART_ARC
(0,8),-7.79763 # DEPENDENCYPART_ARC
(0,9),-6.48921 # DEPENDENCYPART_ARC
(0,10),-7.90589 # DEPENDENCYPART_ARC
(0,11),-6.37104 # DEPENDENCYPART_ARC
(0,12),-8.11178 # DEPENDENCYPART_ARC
(0,13),-7.10114 # DEPENDENCYPART_ARC
(0,14),-7.96923 # DEPENDENCYPART_ARC
(0,15),-8.61793 # DEPENDENCYPART_ARC
(0,16),-6.43297 # DEPENDENCYPART_ARC
(0,17),-7.80179 # DEPENDENCYPART_ARC
(0,18),-4.54503 # DEPENDENCYPART_ARC
(0,19),-5.61002 # DEPENDENCYPART_ARC
(0,20),-6.36968 # DEPENDENCYPART_ARC
(0,21),-7.72123 # DEPENDENCYPART_ARC
(0,22),-8.33015 # DEPENDENCYPART_ARC
(0,23),-9.13104 # DEPENDENCYPART_ARC
(0,24),-8.31629 # DEPENDENCYPART_ARC
(0,25),-7.17121 # DEPENDENCYPART_ARC
(0,26),-5.99837 # DEPENDENCYPART_ARC
(0,27),-6.73527 # DEPENDENCYPART_ARC
(1,2),2.26742 # DEPENDENCYPART_ARC
(1,3),1.75671 # DEPENDENCYPART_ARC
(1,4),0.971597 # DEPENDENCYPART_ARC
(1,5),0.448717 # DEPENDENCYPART_ARC
(1,6),0.188875 # DEPENDENCYPART_ARC
(1,7),0.446592 # DEPENDENCYPART_ARC
(1,8),-0.915721 # DEPENDENCYPART_ARC
(1,9),-0.182568 # DEPENDENCYPART_ARC
(1,10),0.344338 # DEPENDENCYPART_ARC
(1,11),-0.452262 # DEPENDENCYPART_ARC
(1,12),-0.0987233 # DEPENDENCYPART_ARC
(1,13),-0.462924 # DEPENDENCYPART_ARC
(1,14),0.317186 # DEPENDENCYPART_ARC
(1,15),-0.121046 # DEPENDENCYPART_ARC
(1,16),-0.882129 # DEPENDENCYPART_ARC
(1,17),-1.32849 # DEPENDENCYPART_ARC
(1,18),-0.587274 # DEPENDENCYPART_ARC
(1,19),-1.29936 # DEPENDENCYPART_ARC
(1,20),-1.35035 # DEPENDENCYPART_ARC
(1,21),-1.35627 # DEPENDENCYPART_ARC
(1,22),-1.84557 # DEPENDENCYPART_ARC
(1,23),-0.640204 # DEPENDENCYPART_ARC
(1,24),-1.70822 # DEPENDENCYPART_ARC
(1,25),-2.61879 # DEPENDENCYPART_ARC
(1,26),-3.39438 # DEPENDENCYPART_ARC
(1,27),1.27481 # DEPENDENCYPART_ARC
(2,1),1.34375 # DEPENDENCYPART_ARC
(2,3),1.45223 # DEPENDENCYPART_ARC
(2,4),0.510584 # DEPENDENCYPART_ARC
(2,5),-0.101321 # DEPENDENCYPART_ARC
(2,6),-0.0171621 # DEPENDENCYPART_ARC
(2,7),-0.212911 # DEPENDENCYPART_ARC
(2,8),-0.960068 # DEPENDENCYPART_ARC
(2,9),-0.809955 # DEPENDENCYPART_ARC
