# _root_ Aimed at commercial photographers , the film can be used in very low light without sacrificing quality , says Donald Franz of Photofinishing Newsletter .
#goldHeads=8,1,4,2,8,7,8,19,8,9,10,13,14,11,10,15,16,8,0,21,19,21,24,22,19,
#predictedHeads=8,1,4,2,8,7,8,19,8,9,10,13,14,11,10,15,16,19,0,21,19,21,24,22,19,
(0,1),-6.6247 # DEPENDENCYPART_ARC
(0,2),-6.90495 # DEPENDENCYPART_ARC
(0,3),-6.19997 # DEPENDENCYPART_ARC
(0,4),-6.56587 # DEPENDENCYPART_ARC
(0,5),-7.04895 # DEPENDENCYPART_ARC
(0,6),-7.41626 # DEPENDENCYPART_ARC
(0,7),-6.20586 # DEPENDENCYPART_ARC
(0,8),-3.75563 # DEPENDENCYPART_ARC
(0,9),-5.09275 # DEPENDENCYPART_ARC
(0,10),-5.48632 # DEPENDENCYPART_ARC
(0,11),-7.71778 # DEPENDENCYPART_ARC
(0,12),-7.05565 # DEPENDENCYPART_ARC
(0,13),-6.65275 # DEPENDENCYPART_ARC
(0,14),-6.43084 # DEPENDENCYPART_ARC
(0,15),-7.68849 # DEPENDENCYPART_ARC
(0,16),-7.36507 # DEPENDENCYPART_ARC
(0,17),-6.69198 # DEPENDENCYPART_ARC
(0,18),-8.60854 # DEPENDENCYPART_ARC
(0,19),0.246434 # DEPENDENCYPART_ARC
(0,20),-6.66858 # DEPENDENCYPART_ARC
(0,21),-6.66312 # DEPENDENCYPART_ARC
(0,22),-8.85214 # DEPENDENCYPART_ARC
(0,23),-7.412 # DEPENDENCYPART_ARC
(0,24),-6.88901 # DEPENDENCYPART_ARC
(0,25),-6.20167 # DEPENDENCYPART_ARC
(1,2),3.35319 # DEPENDENCYPART_ARC
(1,3),0.494597 # DEPENDENCYPART_ARC
(1,4),0.88053 # DEPENDENCYPART_ARC
(1,5),0.261634 # DEPENDENCYPART_ARC
(1,6),-0.796166 # DEPENDENCYPART_ARC
(1,7),-0.924734 # DEPENDENCYPART_ARC
(1,8),-0.223586 # DEPENDENCYPART_ARC
(1,9),-0.400706 # DEPENDENCYPART_ARC
(1,10),-0.0599136 # DEPENDENCYPART_ARC
(1,11),0.0284672 # DEPENDENCYPART_ARC
(1,12),-1.16762 # DEPENDENCYPART_ARC
(1,13),-1.74339 # DEPENDENCYPART_ARC
(1,14),-1.88564 # DEPENDENCYPART_ARC
(1,15),-0.356164 # DEPENDENCYPART_ARC
(1,16),-0.569709 # DEPENDENCYPART_ARC
(1,17),-2.47118 # DEPENDENCYPART_ARC
(1,18),-0.643245 # DEPENDENCYPART_ARC
(1,19),-1.88197 # DEPENDENCYPART_ARC
(1,20),-2.58088 # DEPENDENCYPART_ARC
(1,21),-2.2278 # DEPENDENCYPART_ARC
(1,22),-3.7553 # DEPENDENCYPART_ARC
(1,23),-3.47812 # DEPENDENCYPART_ARC
(1,24),-3.23993 # DEPENDENCYPART_ARC
(1,25),-1.15763 # DEPENDENCYPART_ARC
(2,1),0.452043 # DEPENDENCYPART_ARC
(2,3),1.94457 # DEPENDENCYPART_ARC
(2,4),3.7783 # DEPENDENCYPART_ARC
(2,5),0.71039 # DEPENDENCYPART_ARC
(2,6),-1.56902 # DEPENDENCYPART_ARC
(2,7),0.290967 # DEPENDENCYPART_ARC
(2,8),0.435063 # DEPENDENCYPART_ARC
(2,9),-0.554598 # DEPENDENCYPART_ARC
(2,10),-0.847033 # DEPENDENCYPART_ARC
(2,11),-0.0805651 # DEPENDENCYPART_ARC
