# _root_ Foreign stock markets , which kicked off Black Monday with a huge selling spree , began the day off by relatively modest amounts .
#goldHeads=3,3,16,3,6,3,6,9,6,6,14,14,14,10,3,0,18,16,16,19,23,23,20,16,
#predictedHeads=3,3,16,3,6,3,6,9,6,6,14,14,14,10,16,0,18,16,18,19,22,23,20,16,
(0,1),-6.08568 # DEPENDENCYPART_ARC
(0,2),-6.46921 # DEPENDENCYPART_ARC
(0,3),-6.25248 # DEPENDENCYPART_ARC
(0,4),-6.93882 # DEPENDENCYPART_ARC
(0,5),-7.30055 # DEPENDENCYPART_ARC
(0,6),-5.09184 # DEPENDENCYPART_ARC
(0,7),-6.72259 # DEPENDENCYPART_ARC
(0,8),-6.62454 # DEPENDENCYPART_ARC
(0,9),-6.76747 # DEPENDENCYPART_ARC
(0,10),-8.05299 # DEPENDENCYPART_ARC
(0,11),-7.67165 # DEPENDENCYPART_ARC
(0,12),-6.5379 # DEPENDENCYPART_ARC
(0,13),-7.2504 # DEPENDENCYPART_ARC
(0,14),-7.56805 # DEPENDENCYPART_ARC
(0,15),-8.16482 # DEPENDENCYPART_ARC
(0,16),-2.2383 # DEPENDENCYPART_ARC
(0,17),-8.79271 # DEPENDENCYPART_ARC
(0,18),-8.05454 # DEPENDENCYPART_ARC
(0,19),-6.77276 # DEPENDENCYPART_ARC
(0,20),-9.67182 # DEPENDENCYPART_ARC
(0,21),-8.56381 # DEPENDENCYPART_ARC
(0,22),-6.32447 # DEPENDENCYPART_ARC
(0,23),-5.90241 # DEPENDENCYPART_ARC
(0,24),-7.24068 # DEPENDENCYPART_ARC
(1,2),1.00788 # DEPENDENCYPART_ARC
(1,3),0.695881 # DEPENDENCYPART_ARC
(1,4),0.217366 # DEPENDENCYPART_ARC
(1,5),-1.34964 # DEPENDENCYPART_ARC
(1,6),-0.328277 # DEPENDENCYPART_ARC
(1,7),-0.771524 # DEPENDENCYPART_ARC
(1,8),-1.28252 # DEPENDENCYPART_ARC
(1,9),-1.38972 # DEPENDENCYPART_ARC
(1,10),-1.26905 # DEPENDENCYPART_ARC
(1,11),-1.85528 # DEPENDENCYPART_ARC
(1,12),-1.36748 # DEPENDENCYPART_ARC
(1,13),-1.4708 # DEPENDENCYPART_ARC
(1,14),-1.96435 # DEPENDENCYPART_ARC
(1,15),-1.00412 # DEPENDENCYPART_ARC
(1,16),-0.889609 # DEPENDENCYPART_ARC
(1,17),-2.64164 # DEPENDENCYPART_ARC
(1,18),-2.52296 # DEPENDENCYPART_ARC
(1,19),-1.84711 # DEPENDENCYPART_ARC
(1,20),-2.34769 # DEPENDENCYPART_ARC
(1,21),-2.4153 # DEPENDENCYPART_ARC
(1,22),-1.8742 # DEPENDENCYPART_ARC
(1,23),-2.2286 # DEPENDENCYPART_ARC
(1,24),-1.12406 # DEPENDENCYPART_ARC
(2,1),1.45214 # DEPENDENCYPART_ARC
(2,3),0.692352 # DEPENDENCYPART_ARC
(2,4),-0.228593 # DEPENDENCYPART_ARC
(2,5),-1.71002 # DEPENDENCYPART_ARC
(2,6),1.06114 # DEPENDENCYPART_ARC
(2,7),-1.33488 # DEPENDENCYPART_ARC
(2,8),-1.63895 # DEPENDENCYPART_ARC
(2,9),-0.857263 # DEPENDENCYPART_ARC
(2,10),-1.52977 # DEPENDENCYPART_ARC
(2,11),-2.00041 # DEPENDENCYPART_ARC
(2,12),-2.06566 # DEPENDENCYPART_ARC
(2,13),-1.75395 # DEPENDENCYPART_ARC
(2,14),-2.43885 # DEPENDENCYPART_ARC
(2,15),0.29982 # DEPENDENCYPART_ARC
(2,16),-0.754294 # DEPENDENCYPART_ARC
(2,17),-2.74012 # DEPENDENCYPART_ARC
(2,18),-3.08574 # DEPENDENCYPART_ARC
(2,19),-2.92912 # DEPENDENCYPART_ARC
(2,20),-4.47312 # DEPENDENCYPART_ARC
(2,21),-3.04342 # DEPENDENCYPART_ARC
(2,22),-3.44971 # DEPENDENCYPART_ARC
(2,23),-2.79503 # DEPENDENCYPART_ARC
(2,24),-1.10285 # DEPENDENCYPART_ARC
(3,1),3.49722 # DEPENDENCYPART_ARC
(3,2),4.94568 # DEPENDENCYPART_ARC
(3,4),2.65966 # DEPENDENCYPART_ARC
(3,5),-0.450041 # DEPENDENCYPART_ARC
(3,6),2.53605 # DEPENDENCYPART_ARC
(3,7),0.339524 # DEPENDENCYPART_ARC
(3,8),0.40408 # DEPENDENCYPART_ARC
(3,9),0.434821 # DEPENDENCYPART_ARC
(3,10),-0.168094 # DEPENDENCYPART_ARC
(3,11),-0.459361 # DEPENDENCYPART_ARC
(3,12),-0.35561 # DEPENDENCYPART_ARC
(3,13),0.0143294 # DEPENDENCYPART_ARC
(3,14),0.255584 # DEPENDENCYPART_ARC
(3,15),2.1225 # DEPENDENCYPART_ARC
(3,16),-0.141774 # DEPENDENCYPART_ARC
(3,17),-0.995427 # DEPENDENCYPART_ARC
(3,18),-0.437441 # DEPENDENCYPART_ARC
(3,19),-1.4765 # DEPENDENCYPART_ARC
(3,20),-1.39998 # DEPENDENCYPART_ARC
(3,21),-0.926753 # DEPENDENCYPART_ARC
(3,22),-1.41028 # DEPENDENCYPART_ARC
(3,23),-1.06087 # DEPENDENCYPART_ARC
(3,24),-0.252035 # DEPENDENCYPART_ARC
(4,1),-1.12254 # DEPENDENCYPART_ARC
(4,2),-1.49608 # DEPENDENCYPART_ARC
