# _root_ At 3:30 , after intense telephone negotiations between the trading markets and Washington , the futures exchanges reopened .
#goldHeads=18,1,18,18,7,7,4,7,11,11,8,11,12,18,17,17,18,0,18,
#predictedHeads=18,1,18,18,7,7,4,7,11,11,8,11,12,18,17,17,18,0,18,
(0,1),-7.33393 # DEPENDENCYPART_ARC
(0,2),-6.86719 # DEPENDENCYPART_ARC
(0,3),-6.27669 # DEPENDENCYPART_ARC
(0,4),-6.41597 # DEPENDENCYPART_ARC
(0,5),-6.65965 # DEPENDENCYPART_ARC
(0,6),-6.11995 # DEPENDENCYPART_ARC
(0,7),-6.50336 # DEPENDENCYPART_ARC
(0,8),-7.43767 # DEPENDENCYPART_ARC
(0,9),-7.72602 # DEPENDENCYPART_ARC
(0,10),-6.37448 # DEPENDENCYPART_ARC
(0,11),-6.40009 # DEPENDENCYPART_ARC
(0,12),-7.95072 # DEPENDENCYPART_ARC
(0,13),-6.54228 # DEPENDENCYPART_ARC
(0,14),-7.73515 # DEPENDENCYPART_ARC
(0,15),-8.33335 # DEPENDENCYPART_ARC
(0,16),-6.33948 # DEPENDENCYPART_ARC
(0,17),-5.98276 # DEPENDENCYPART_ARC
(0,18),-1.74395 # DEPENDENCYPART_ARC
(0,19),-6.3376 # DEPENDENCYPART_ARC
(1,2),3.26535 # DEPENDENCYPART_ARC
(1,3),0.573007 # DEPENDENCYPART_ARC
(1,4),0.129397 # DEPENDENCYPART_ARC
(1,5),0.193712 # DEPENDENCYPART_ARC
(1,6),-0.100473 # DEPENDENCYPART_ARC
(1,7),-0.0865632 # DEPENDENCYPART_ARC
(1,8),-0.0316121 # DEPENDENCYPART_ARC
(1,9),-2.35755 # DEPENDENCYPART_ARC
(1,10),-4.06555 # DEPENDENCYPART_ARC
(1,11),-2.73892 # DEPENDENCYPART_ARC
(1,12),-0.143215 # DEPENDENCYPART_ARC
(1,13),-4.718 # DEPENDENCYPART_ARC
(1,14),0.375397 # DEPENDENCYPART_ARC
(1,15),-3.40978 # DEPENDENCYPART_ARC
(1,16),-7.20117 # DEPENDENCYPART_ARC
(1,17),-7.15635 # DEPENDENCYPART_ARC
(1,18),-2.69125 # DEPENDENCYPART_ARC
(1,19),-0.161276 # DEPENDENCYPART_ARC
(2,1),0.264562 # DEPENDENCYPART_ARC
(2,3),0.501503 # DEPENDENCYPART_ARC
(2,4),-0.233454 # DEPENDENCYPART_ARC
(2,5),0.0812755 # DEPENDENCYPART_ARC
(2,6),0.795869 # DEPENDENCYPART_ARC
(2,7),-0.476301 # DEPENDENCYPART_ARC
(2,8),-0.314968 # DEPENDENCYPART_ARC
(2,9),-0.852132 # DEPENDENCYPART_ARC
(2,10),-0.0653176 # DEPENDENCYPART_ARC
(2,11),-0.62818 # DEPENDENCYPART_ARC
(2,12),-0.365411 # DEPENDENCYPART_ARC
(2,13),-0.926728 # DEPENDENCYPART_ARC
(2,14),0.147529 # DEPENDENCYPART_ARC
(2,15),-1.50302 # DEPENDENCYPART_ARC
(2,16),-1.2728 # DEPENDENCYPART_ARC
(2,17),-1.33525 # DEPENDENCYPART_ARC
(2,18),-0.618705 # DEPENDENCYPART_ARC
(2,19),-0.8063 # DEPENDENCYPART_ARC
(3,1),-1.0716 # DEPENDENCYPART_ARC
(3,2),-0.503358 # DEPENDENCYPART_ARC
(3,4),-0.711806 # DEPENDENCYPART_ARC
(3,5),-1.08702 # DEPENDENCYPART_ARC
