# _root_ A widening of that magnitude , said one New York trader , is `` not a favorable number ... .
#goldHeads=2,13,2,5,3,7,0,11,11,11,7,13,7,18,18,18,18,13,13,13,
#predictedHeads=2,7,2,5,3,7,0,11,11,11,13,7,7,13,13,18,18,13,7,7,
(0,1),-6.11737 # DEPENDENCYPART_ARC
(0,2),-6.46257 # DEPENDENCYPART_ARC
(0,3),-6.42663 # DEPENDENCYPART_ARC
(0,4),-6.7516 # DEPENDENCYPART_ARC
(0,5),-6.52513 # DEPENDENCYPART_ARC
(0,6),-6.78001 # DEPENDENCYPART_ARC
(0,7),-0.478311 # DEPENDENCYPART_ARC
(0,8),-7.90928 # DEPENDENCYPART_ARC
(0,9),-6.6724 # DEPENDENCYPART_ARC
(0,10),-6.65685 # DEPENDENCYPART_ARC
(0,11),-6.90124 # DEPENDENCYPART_ARC
(0,12),-7.53262 # DEPENDENCYPART_ARC
(0,13),-2.41637 # DEPENDENCYPART_ARC
(0,14),-7.46219 # DEPENDENCYPART_ARC
(0,15),-8.03448 # DEPENDENCYPART_ARC
(0,16),-8.18358 # DEPENDENCYPART_ARC
(0,17),-6.91225 # DEPENDENCYPART_ARC
(0,18),-6.37166 # DEPENDENCYPART_ARC
(0,19),-7.11317 # DEPENDENCYPART_ARC
(0,20),-4.72445 # DEPENDENCYPART_ARC
(1,2),0.231584 # DEPENDENCYPART_ARC
(1,3),0.0801943 # DEPENDENCYPART_ARC
(1,4),-1.65819 # DEPENDENCYPART_ARC
(1,5),-0.942818 # DEPENDENCYPART_ARC
(1,6),-0.62962 # DEPENDENCYPART_ARC
(1,7),-1.07266 # DEPENDENCYPART_ARC
(1,8),-1.82583 # DEPENDENCYPART_ARC
(1,9),-1.80423 # DEPENDENCYPART_ARC
(1,10),-1.72425 # DEPENDENCYPART_ARC
(1,11),-1.74858 # DEPENDENCYPART_ARC
(1,12),-0.619994 # DEPENDENCYPART_ARC
(1,13),-3.28148 # DEPENDENCYPART_ARC
(1,14),-2.10343 # DEPENDENCYPART_ARC
(1,15),-1.92196 # DEPENDENCYPART_ARC
(1,16),-3.07946 # DEPENDENCYPART_ARC
(1,17),-2.75097 # DEPENDENCYPART_ARC
(1,18),-2.59785 # DEPENDENCYPART_ARC
(1,19),-2.09704 # DEPENDENCYPART_ARC
(1,20),-2.14204 # DEPENDENCYPART_ARC
(2,1),4.44249 # DEPENDENCYPART_ARC
(2,3),4.04778 # DEPENDENCYPART_ARC
(2,4),1.14963 # DEPENDENCYPART_ARC
(2,5),1.65299 # DEPENDENCYPART_ARC
(2,6),2.05415 # DEPENDENCYPART_ARC
(2,7),1.28525 # DEPENDENCYPART_ARC
(2,8),0.540152 # DEPENDENCYPART_ARC
(2,9),0.43169 # DEPENDENCYPART_ARC
(2,10),0.364408 # DEPENDENCYPART_ARC
(2,11),0.367322 # DEPENDENCYPART_ARC
(2,12),1.59391 # DEPENDENCYPART_ARC
(2,13),0.276397 # DEPENDENCYPART_ARC
(2,14),0.825116 # DEPENDENCYPART_ARC
(2,15),0.761421 # DEPENDENCYPART_ARC
(2,16),-0.286231 # DEPENDENCYPART_ARC
(2,17),-0.326209 # DEPENDENCYPART_ARC
(2,18),-1.13819 # DEPENDENCYPART_ARC
(2,19),1.60246 # DEPENDENCYPART_ARC
(2,20),1.92693 # DEPENDENCYPART_ARC
(3,1),-0.343527 # DEPENDENCYPART_ARC
(3,2),0.5398 # DEPENDENCYPART_ARC
(3,4),1.39669 # DEPENDENCYPART_ARC
(3,5),3.64405 # DEPENDENCYPART_ARC
(3,6),0.428727 # DEPENDENCYPART_ARC
(3,7),-0.0270878 # DEPENDENCYPART_ARC
(3,8),-0.660311 # DEPENDENCYPART_ARC
(3,9),-2.81464 # DEPENDENCYPART_ARC
(3,10),-1.79822 # DEPENDENCYPART_ARC
(3,11),0.244181 # DEPENDENCYPART_ARC
(3,12),-0.0437192 # DEPENDENCYPART_ARC
(3,13),-2.51493 # DEPENDENCYPART_ARC
(3,14),-1.49186 # DEPENDENCYPART_ARC
(3,15),-0.519294 # DEPENDENCYPART_ARC
(3,16),-3.45101 # DEPENDENCYPART_ARC
(3,17),-2.14911 # DEPENDENCYPART_ARC
(3,18),-3.23261 # DEPENDENCYPART_ARC
(3,19),-0.1741 # DEPENDENCYPART_ARC
(3,20),-0.0430271 # DEPENDENCYPART_ARC
(4,1),-0.744117 # DEPENDENCYPART_ARC
(4,2),-1.64578 # DEPENDENCYPART_ARC
(4,3),0.0132409 # DEPENDENCYPART_ARC
(4,5),-0.066132 # DEPENDENCYPART_ARC
(4,6),-0.438053 # DEPENDENCYPART_ARC
(4,7),1.38035 # DEPENDENCYPART_ARC
(4,8),-1.17051 # DEPENDENCYPART_ARC
(4,9),-2.17092 # DEPENDENCYPART_ARC
(4,10),-2.70868 # DEPENDENCYPART_ARC
(4,11),-1.77205 # DEPENDENCYPART_ARC
(4,12),-0.35886 # DEPENDENCYPART_ARC
(4,13),0.988432 # DEPENDENCYPART_ARC
(4,14),-1.38345 # DEPENDENCYPART_ARC
(4,15),-1.77793 # DEPENDENCYPART_ARC
(4,16),-3.21397 # DEPENDENCYPART_ARC
(4,17),-1.53739 # DEPENDENCYPART_ARC
(4,18),-2.87552 # DEPENDENCYPART_ARC
(4,19),-1.17987 # DEPENDENCYPART_ARC
(4,20),-1.14398 # DEPENDENCYPART_ARC
(5,1),0.996385 # DEPENDENCYPART_ARC
(5,2),-0.875152 # DEPENDENCYPART_ARC
(5,3),0.485749 # DEPENDENCYPART_ARC
(5,4),3.28671 # DEPENDENCYPART_ARC
(5,6),1.16552 # DEPENDENCYPART_ARC
(5,7),0.371087 # DEPENDENCYPART_ARC
(5,8),-0.393649 # DEPENDENCYPART_ARC
(5,9),-0.120189 # DEPENDENCYPART_ARC
(5,10),-0.495471 # DEPENDENCYPART_ARC
(5,11),-0.420749 # DEPENDENCYPART_ARC
(5,12),1.19417 # DEPENDENCYPART_ARC
(5,13),-0.866663 # DEPENDENCYPART_ARC
(5,14),-0.396028 # DEPENDENCYPART_ARC
(5,15),-0.402155 # DEPENDENCYPART_ARC
(5,16),-1.60224 # DEPENDENCYPART_ARC
(5,17),-1.33224 # DEPENDENCYPART_ARC
(5,18),-1.91985 # DEPENDENCYPART_ARC
(5,19),-0.394524 # DEPENDENCYPART_ARC
(5,20),0.467491 # DEPENDENCYPART_ARC
(6,1),-1.03171 # DEPENDENCYPART_ARC
(6,2),-1.30096 # DEPENDENCYPART_ARC
(6,3),-0.873865 # DEPENDENCYPART_ARC
(6,4),-0.502047 # DEPENDENCYPART_ARC
(6,5),-0.817222 # DEPENDENCYPART_ARC
(6,7),0.174037 # DEPENDENCYPART_ARC
(6,8),-0.95677 # DEPENDENCYPART_ARC
(6,9),-0.978791 # DEPENDENCYPART_ARC
(6,10),-1.26102 # DEPENDENCYPART_ARC
(6,11),-1.76899 # DEPENDENCYPART_ARC
(6,12),-0.157381 # DEPENDENCYPART_ARC
(6,13),-1.49845 # DEPENDENCYPART_ARC
(6,14),-0.814541 # DEPENDENCYPART_ARC
(6,15),-2.07723 # DEPENDENCYPART_ARC
(6,16),-2.25858 # DEPENDENCYPART_ARC
(6,17),-2.53591 # DEPENDENCYPART_ARC
(6,18),-2.8297 # DEPENDENCYPART_ARC
(6,19),-1.42996 # DEPENDENCYPART_ARC
(6,20),-1.92355 # DEPENDENCYPART_ARC
(7,1),-0.0745031 # DEPENDENCYPART_ARC
(7,2),1.10146 # DEPENDENCYPART_ARC
(7,3),-0.223819 # DEPENDENCYPART_ARC
(7,4),0.636979 # DEPENDENCYPART_ARC
(7,5),1.458 # DEPENDENCYPART_ARC
(7,6),2.49656 # DEPENDENCYPART_ARC
(7,8),1.50689 # DEPENDENCYPART_ARC
(7,9),0.792627 # DEPENDENCYPART_ARC
(7,10),0.641729 # DEPENDENCYPART_ARC
(7,11),0.556909 # DEPENDENCYPART_ARC
(7,12),1.82987 # DEPENDENCYPART_ARC
(7,13),2.84535 # DEPENDENCYPART_ARC
(7,14),1.13116 # DEPENDENCYPART_ARC
(7,15),-0.340994 # DEPENDENCYPART_ARC
(7,16),-1.42628 # DEPENDENCYPART_ARC
(7,17),-1.20508 # DEPENDENCYPART_ARC
(7,18),-0.93284 # DEPENDENCYPART_ARC
(7,19),3.07684 # DEPENDENCYPART_ARC
(7,20),7.21171 # DEPENDENCYPART_ARC
(8,1),-0.488549 # DEPENDENCYPART_ARC
(8,2),-1.98836 # DEPENDENCYPART_ARC
(8,3),-1.15545 # DEPENDENCYPART_ARC
(8,4),-0.111681 # DEPENDENCYPART_ARC
(8,5),-1.04857 # DEPENDENCYPART_ARC
(8,6),-0.0148252 # DEPENDENCYPART_ARC
(8,7),0.376667 # DEPENDENCYPART_ARC
(8,9),1.3177 # DEPENDENCYPART_ARC
(8,10),0.930798 # DEPENDENCYPART_ARC
(8,11),0.313185 # DEPENDENCYPART_ARC
(8,12),0.880362 # DEPENDENCYPART_ARC
(8,13),0.573048 # DEPENDENCYPART_ARC
(8,14),0.072892 # DEPENDENCYPART_ARC
(8,15),0.0512751 # DEPENDENCYPART_ARC
(8,16),-0.261308 # DEPENDENCYPART_ARC
(8,17),-0.243982 # DEPENDENCYPART_ARC
(8,18),-0.587683 # DEPENDENCYPART_ARC
(8,19),0.539424 # DEPENDENCYPART_ARC
(8,20),0.271605 # DEPENDENCYPART_ARC
(9,1),-3.37061 # DEPENDENCYPART_ARC
(9,2),-4.72597 # DEPENDENCYPART_ARC
(9,3),-2.95533 # DEPENDENCYPART_ARC
(9,4),-3.10507 # DEPENDENCYPART_ARC
(9,5),-3.10763 # DEPENDENCYPART_ARC
(9,6),-2.26437 # DEPENDENCYPART_ARC
(9,7),-2.05018 # DEPENDENCYPART_ARC
(9,8),-0.290984 # DEPENDENCYPART_ARC
(9,10),0.215993 # DEPENDENCYPART_ARC
(9,11),0.328526 # DEPENDENCYPART_ARC
(9,12),0.0561562 # DEPENDENCYPART_ARC
(9,13),-1.46285 # DEPENDENCYPART_ARC
(9,14),-1.51438 # DEPENDENCYPART_ARC
(9,15),-1.90801 # DEPENDENCYPART_ARC
(9,16),-1.96013 # DEPENDENCYPART_ARC
(9,17),-2.22363 # DEPENDENCYPART_ARC
(9,18),-2.21083 # DEPENDENCYPART_ARC
(9,19),-1.64943 # DEPENDENCYPART_ARC
(9,20),-0.901274 # DEPENDENCYPART_ARC
(10,1),-1.93142 # DEPENDENCYPART_ARC
(10,2),-3.67978 # DEPENDENCYPART_ARC
(10,3),-1.59796 # DEPENDENCYPART_ARC
(10,4),-2.52886 # DEPENDENCYPART_ARC
(10,5),-2.28589 # DEPENDENCYPART_ARC
(10,6),-1.15631 # DEPENDENCYPART_ARC
(10,7),-1.06275 # DEPENDENCYPART_ARC
(10,8),0.929395 # DEPENDENCYPART_ARC
(10,9),2.1976 # DEPENDENCYPART_ARC
(10,11),0.429579 # DEPENDENCYPART_ARC
(10,12),-0.299729 # DEPENDENCYPART_ARC
(10,13),-0.890529 # DEPENDENCYPART_ARC
(10,14),-1.46286 # DEPENDENCYPART_ARC
(10,15),-1.54531 # DEPENDENCYPART_ARC
(10,16),-1.9001 # DEPENDENCYPART_ARC
(10,17),-1.94384 # DEPENDENCYPART_ARC
(10,18),-2.46386 # DEPENDENCYPART_ARC
(10,19),-1.21551 # DEPENDENCYPART_ARC
(10,20),-0.616016 # DEPENDENCYPART_ARC
(11,1),1.047 # DEPENDENCYPART_ARC
(11,2),-1.80813 # DEPENDENCYPART_ARC
(11,3),0.100557 # DEPENDENCYPART_ARC
(11,4),1.00126 # DEPENDENCYPART_ARC
(11,5),-0.00908243 # DEPENDENCYPART_ARC
(11,6),0.505415 # DEPENDENCYPART_ARC
(11,7),0.299355 # DEPENDENCYPART_ARC
(11,8),3.85656 # DEPENDENCYPART_ARC
(11,9),4.14746 # DEPENDENCYPART_ARC
(11,10),4.08768 # DEPENDENCYPART_ARC
(11,12),1.60081 # DEPENDENCYPART_ARC
(11,13),0.38282 # DEPENDENCYPART_ARC
(11,14),0.180372 # DEPENDENCYPART_ARC
(11,15),-0.0161007 # DEPENDENCYPART_ARC
(11,16),-0.973605 # DEPENDENCYPART_ARC
(11,17),-0.801447 # DEPENDENCYPART_ARC
(11,18),-0.512006 # DEPENDENCYPART_ARC
(11,19),-0.0141599 # DEPENDENCYPART_ARC
(11,20),0.466661 # DEPENDENCYPART_ARC
(12,1),-1.78353 # DEPENDENCYPART_ARC
(12,2),-1.74107 # DEPENDENCYPART_ARC
(12,3),-1.66684 # DEPENDENCYPART_ARC
(12,4),-1.31689 # DEPENDENCYPART_ARC
(12,5),-1.62768 # DEPENDENCYPART_ARC
(12,6),-0.100105 # DEPENDENCYPART_ARC
(12,7),-1.61774 # DEPENDENCYPART_ARC
(12,8),-1.23538 # DEPENDENCYPART_ARC
(12,9),-1.18747 # DEPENDENCYPART_ARC
(12,10),-1.31277 # DEPENDENCYPART_ARC
(12,11),-0.734273 # DEPENDENCYPART_ARC
(12,13),-0.607848 # DEPENDENCYPART_ARC
(12,14),-1.0261 # DEPENDENCYPART_ARC
(12,15),-2.02943 # DEPENDENCYPART_ARC
(12,16),-2.43379 # DEPENDENCYPART_ARC
(12,17),-2.45956 # DEPENDENCYPART_ARC
(12,18),-2.97258 # DEPENDENCYPART_ARC
(12,19),-1.71779 # DEPENDENCYPART_ARC
(12,20),-2.2682 # DEPENDENCYPART_ARC
(13,1),-0.464707 # DEPENDENCYPART_ARC
(13,2),0.736507 # DEPENDENCYPART_ARC
(13,3),-0.893445 # DEPENDENCYPART_ARC
(13,4),-0.751848 # DEPENDENCYPART_ARC
(13,5),1.44748 # DEPENDENCYPART_ARC
(13,6),0.365799 # DEPENDENCYPART_ARC
(13,7),0.0769815 # DEPENDENCYPART_ARC
(13,8),-0.0122185 # DEPENDENCYPART_ARC
(13,9),1.23652 # DEPENDENCYPART_ARC
(13,10),1.42201 # DEPENDENCYPART_ARC
(13,11),1.50401 # DEPENDENCYPART_ARC
(13,12),1.77305 # DEPENDENCYPART_ARC
(13,14),3.0044 # DEPENDENCYPART_ARC
(13,15),2.08358 # DEPENDENCYPART_ARC
(13,16),0.642221 # DEPENDENCYPART_ARC
(13,17),0.959001 # DEPENDENCYPART_ARC
(13,18),2.12399 # DEPENDENCYPART_ARC
(13,19),2.81431 # DEPENDENCYPART_ARC
(13,20),6.17021 # DEPENDENCYPART_ARC
(14,1),-2.83036 # DEPENDENCYPART_ARC
(14,2),-2.96978 # DEPENDENCYPART_ARC
(14,3),-2.58284 # DEPENDENCYPART_ARC
(14,4),-2.29759 # DEPENDENCYPART_ARC
(14,5),-2.49944 # DEPENDENCYPART_ARC
(14,6),-2.25917 # DEPENDENCYPART_ARC
(14,7),-2.18336 # DEPENDENCYPART_ARC
(14,8),-1.96857 # DEPENDENCYPART_ARC
(14,9),-2.03464 # DEPENDENCYPART_ARC
(14,10),-1.8149 # DEPENDENCYPART_ARC
(14,11),-1.3544 # DEPENDENCYPART_ARC
(14,12),-1.14778 # DEPENDENCYPART_ARC
(14,13),-0.774846 # DEPENDENCYPART_ARC
(14,15),0.234048 # DEPENDENCYPART_ARC
(14,16),-1.00336 # DEPENDENCYPART_ARC
(14,17),-0.368769 # DEPENDENCYPART_ARC
(14,18),-0.952106 # DEPENDENCYPART_ARC
(14,19),-0.750337 # DEPENDENCYPART_ARC
(14,20),-0.656429 # DEPENDENCYPART_ARC
(15,1),-1.18124 # DEPENDENCYPART_ARC
(15,2),-2.05351 # DEPENDENCYPART_ARC
(15,3),-1.25181 # DEPENDENCYPART_ARC
(15,4),-1.17781 # DEPENDENCYPART_ARC
(15,5),-1.58961 # DEPENDENCYPART_ARC
(15,6),-0.980993 # DEPENDENCYPART_ARC
(15,7),-1.32767 # DEPENDENCYPART_ARC
(15,8),-1.22123 # DEPENDENCYPART_ARC
(15,9),-1.211 # DEPENDENCYPART_ARC
(15,10),-1.27246 # DEPENDENCYPART_ARC
(15,11),-1.01895 # DEPENDENCYPART_ARC
(15,12),0.0625284 # DEPENDENCYPART_ARC
(15,13),-0.538042 # DEPENDENCYPART_ARC
(15,14),0.717035 # DEPENDENCYPART_ARC
(15,16),2.07438 # DEPENDENCYPART_ARC
(15,17),0.815953 # DEPENDENCYPART_ARC
(15,18),0.3794 # DEPENDENCYPART_ARC
(15,19),0.8693 # DEPENDENCYPART_ARC
(15,20),-0.746071 # DEPENDENCYPART_ARC
(16,1),-2.24273 # DEPENDENCYPART_ARC
(16,2),-3.20347 # DEPENDENCYPART_ARC
(16,3),-2.31436 # DEPENDENCYPART_ARC
(16,4),-1.99958 # DEPENDENCYPART_ARC
(16,5),-2.85646 # DEPENDENCYPART_ARC
(16,6),-2.22005 # DEPENDENCYPART_ARC
(16,7),-2.13213 # DEPENDENCYPART_ARC
(16,8),-1.82355 # DEPENDENCYPART_ARC
(16,9),-1.82847 # DEPENDENCYPART_ARC
(16,10),-1.79477 # DEPENDENCYPART_ARC
(16,11),-1.84462 # DEPENDENCYPART_ARC
(16,12),-1.27513 # DEPENDENCYPART_ARC
(16,13),-1.23543 # DEPENDENCYPART_ARC
(16,14),-0.876603 # DEPENDENCYPART_ARC
(16,15),0.273034 # DEPENDENCYPART_ARC
(16,17),0.0100918 # DEPENDENCYPART_ARC
(16,18),-0.424597 # DEPENDENCYPART_ARC
(16,19),-0.522487 # DEPENDENCYPART_ARC
(16,20),-1.5247 # DEPENDENCYPART_ARC
(17,1),-1.22263 # DEPENDENCYPART_ARC
(17,2),-2.40565 # DEPENDENCYPART_ARC
(17,3),-1.95793 # DEPENDENCYPART_ARC
(17,4),-1.95611 # DEPENDENCYPART_ARC
(17,5),-2.32432 # DEPENDENCYPART_ARC
(17,6),-1.55515 # DEPENDENCYPART_ARC
(17,7),-2.19864 # DEPENDENCYPART_ARC
(17,8),-1.3406 # DEPENDENCYPART_ARC
(17,9),-0.455932 # DEPENDENCYPART_ARC
(17,10),-1.64533 # DEPENDENCYPART_ARC
(17,11),-1.5204 # DEPENDENCYPART_ARC
(17,12),-0.763589 # DEPENDENCYPART_ARC
(17,13),-1.14397 # DEPENDENCYPART_ARC
(17,14),0.223496 # DEPENDENCYPART_ARC
(17,15),0.291482 # DEPENDENCYPART_ARC
(17,16),1.93197 # DEPENDENCYPART_ARC
(17,18),0.839245 # DEPENDENCYPART_ARC
(17,19),-0.133583 # DEPENDENCYPART_ARC
(17,20),-0.500367 # DEPENDENCYPART_ARC
(18,1),-1.70613 # DEPENDENCYPART_ARC
(18,2),-4.85899 # DEPENDENCYPART_ARC
(18,3),-2.06298 # DEPENDENCYPART_ARC
(18,4),-2.68702 # DEPENDENCYPART_ARC
(18,5),-3.02152 # DEPENDENCYPART_ARC
