# _root_ Barry Wright , acquired by Applied for $ 147 million , makes computer-room equipment and vibration-control systems .
#goldHeads=2,12,2,2,4,5,4,7,8,8,2,0,14,12,14,17,15,12,
#predictedHeads=2,12,2,2,4,5,4,7,8,8,2,0,14,12,14,17,15,12,
(0,1),-5.7081 # DEPENDENCYPART_ARC
(0,2),-6.60963 # DEPENDENCYPART_ARC
(0,3),-6.57115 # DEPENDENCYPART_ARC
(0,4),-4.93927 # DEPENDENCYPART_ARC
(0,5),-7.82616 # DEPENDENCYPART_ARC
(0,6),-7.50457 # DEPENDENCYPART_ARC
(0,7),-7.99375 # DEPENDENCYPART_ARC
(0,8),-8.51313 # DEPENDENCYPART_ARC
(0,9),-8.45292 # DEPENDENCYPART_ARC
(0,10),-8.60247 # DEPENDENCYPART_ARC
(0,11),-7.23265 # DEPENDENCYPART_ARC
(0,12),-2.29845 # DEPENDENCYPART_ARC
(0,13),-7.17131 # DEPENDENCYPART_ARC
(0,14),-7.70049 # DEPENDENCYPART_ARC
(0,15),-8.45688 # DEPENDENCYPART_ARC
(0,16),-7.1088 # DEPENDENCYPART_ARC
(0,17),-6.52103 # DEPENDENCYPART_ARC
(0,18),-6.9859 # DEPENDENCYPART_ARC
(1,2),1.59814 # DEPENDENCYPART_ARC
(1,3),1.24195 # DEPENDENCYPART_ARC
(1,4),0.692573 # DEPENDENCYPART_ARC
(1,5),0.120066 # DEPENDENCYPART_ARC
(1,6),-0.257566 # DEPENDENCYPART_ARC
(1,7),-0.699739 # DEPENDENCYPART_ARC
(1,8),-0.907865 # DEPENDENCYPART_ARC
(1,9),-0.838115 # DEPENDENCYPART_ARC
(1,10),-1.21284 # DEPENDENCYPART_ARC
(1,11),1.37251 # DEPENDENCYPART_ARC
(1,12),0.101159 # DEPENDENCYPART_ARC
(1,13),-0.9994 # DEPENDENCYPART_ARC
(1,14),-2.07889 # DEPENDENCYPART_ARC
(1,15),-0.298797 # DEPENDENCYPART_ARC
(1,16),-1.29595 # DEPENDENCYPART_ARC
(1,17),-1.22194 # DEPENDENCYPART_ARC
(1,18),1.99247 # DEPENDENCYPART_ARC
(2,1),4.65089 # DEPENDENCYPART_ARC
(2,3),2.82778 # DEPENDENCYPART_ARC
(2,4),2.29933 # DEPENDENCYPART_ARC
(2,5),1.0061 # DEPENDENCYPART_ARC
(2,6),0.364193 # DEPENDENCYPART_ARC
(2,7),0.276587 # DEPENDENCYPART_ARC
(2,8),-0.183737 # DEPENDENCYPART_ARC
(2,9),-0.129548 # DEPENDENCYPART_ARC
(2,10),-0.4351 # DEPENDENCYPART_ARC
(2,11),3.22057 # DEPENDENCYPART_ARC
(2,12),0.892882 # DEPENDENCYPART_ARC
(2,13),-0.158464 # DEPENDENCYPART_ARC
(2,14),-0.888838 # DEPENDENCYPART_ARC
(2,15),0.442434 # DEPENDENCYPART_ARC
(2,16),-0.473248 # DEPENDENCYPART_ARC
(2,17),-0.52034 # DEPENDENCYPART_ARC
(2,18),1.89753 # DEPENDENCYPART_ARC
(3,1),-1.71649 # DEPENDENCYPART_ARC
(3,2),-1.15948 # DEPENDENCYPART_ARC
(3,4),-0.600712 # DEPENDENCYPART_ARC
(3,5),-1.3905 # DEPENDENCYPART_ARC
(3,6),-1.35526 # DEPENDENCYPART_ARC
(3,7),-1.60422 # DEPENDENCYPART_ARC
(3,8),-2.17335 # DEPENDENCYPART_ARC
(3,9),-2.55444 # DEPENDENCYPART_ARC
(3,10),-2.66868 # DEPENDENCYPART_ARC
(3,11),-0.670231 # DEPENDENCYPART_ARC
(3,12),-2.04771 # DEPENDENCYPART_ARC
(3,13),-2.69678 # DEPENDENCYPART_ARC
(3,14),-2.9757 # DEPENDENCYPART_ARC
(3,15),-2.49299 # DEPENDENCYPART_ARC
(3,16),-3.08775 # DEPENDENCYPART_ARC
(3,17),-3.29505 # DEPENDENCYPART_ARC
(3,18),-2.22814 # DEPENDENCYPART_ARC
(4,1),0.521664 # DEPENDENCYPART_ARC
(4,2),0.36883 # DEPENDENCYPART_ARC
(4,3),0.660588 # DEPENDENCYPART_ARC
(4,5),4.77661 # DEPENDENCYPART_ARC
(4,6),1.56558 # DEPENDENCYPART_ARC
(4,7),2.73417 # DEPENDENCYPART_ARC
(4,8),0.687507 # DEPENDENCYPART_ARC
(4,9),0.189831 # DEPENDENCYPART_ARC
(4,10),-0.244725 # DEPENDENCYPART_ARC
(4,11),1.1397 # DEPENDENCYPART_ARC
(4,12),-0.075363 # DEPENDENCYPART_ARC
(4,13),-0.403038 # DEPENDENCYPART_ARC
(4,14),-0.50203 # DEPENDENCYPART_ARC
(4,15),0.696358 # DEPENDENCYPART_ARC
(4,16),-0.852514 # DEPENDENCYPART_ARC
(4,17),-1.09958 # DEPENDENCYPART_ARC
(4,18),2.24305 # DEPENDENCYPART_ARC
(5,1),-0.830182 # DEPENDENCYPART_ARC
