# _root_ SHV , which last year merged its North Sea oil and gas operations with those of Calor Group PLC , has been pegged by speculators as a possible suitor for Burmah Oil in recent weeks .
#goldHeads=21,1,6,5,6,1,10,10,10,6,10,13,11,6,14,15,19,19,16,1,0,21,22,23,24,23,29,29,26,29,32,30,23,35,33,21,
#predictedHeads=21,1,6,5,6,1,10,10,10,6,10,13,11,6,14,15,19,19,16,1,0,21,22,23,24,25,29,29,26,29,32,30,23,35,33,21,
(0,1),-6.5887 # DEPENDENCYPART_ARC
(0,2),-7.01536 # DEPENDENCYPART_ARC
(0,3),-7.1013 # DEPENDENCYPART_ARC
(0,4),-6.73815 # DEPENDENCYPART_ARC
(0,5),-6.93317 # DEPENDENCYPART_ARC
(0,6),-4.1337 # DEPENDENCYPART_ARC
(0,7),-7.2911 # DEPENDENCYPART_ARC
(0,8),-7.38504 # DEPENDENCYPART_ARC
(0,9),-7.02509 # DEPENDENCYPART_ARC
(0,10),-8.75468 # DEPENDENCYPART_ARC
(0,11),-8.24095 # DEPENDENCYPART_ARC
(0,12),-8.08078 # DEPENDENCYPART_ARC
(0,13),-7.92297 # DEPENDENCYPART_ARC
(0,14),-9.16085 # DEPENDENCYPART_ARC
(0,15),-8.48271 # DEPENDENCYPART_ARC
(0,16),-9.21966 # DEPENDENCYPART_ARC
(0,17),-8.25534 # DEPENDENCYPART_ARC
(0,18),-9.24281 # DEPENDENCYPART_ARC
(0,19),-9.1729 # DEPENDENCYPART_ARC
(0,20),-9.06105 # DEPENDENCYPART_ARC
(0,21),-2.93253 # DEPENDENCYPART_ARC
(0,22),-3.8299 # DEPENDENCYPART_ARC
(0,23),-5.35004 # DEPENDENCYPART_ARC
(0,24),-11.165 # DEPENDENCYPART_ARC
(0,25),-7.56121 # DEPENDENCYPART_ARC
(0,26),-10.7182 # DEPENDENCYPART_ARC
(0,27),-9.84956 # DEPENDENCYPART_ARC
(0,28),-6.69011 # DEPENDENCYPART_ARC
(0,29),-9.65267 # DEPENDENCYPART_ARC
(0,30),-10.3369 # DEPENDENCYPART_ARC
(0,31),-9.71934 # DEPENDENCYPART_ARC
(0,32),-9.92856 # DEPENDENCYPART_ARC
(0,33),-13.3953 # DEPENDENCYPART_ARC
(0,34),-6.43328 # DEPENDENCYPART_ARC
(0,35),-8.18412 # DEPENDENCYPART_ARC
(0,36),-7.93357 # DEPENDENCYPART_ARC
(1,2),3.78738 # DEPENDENCYPART_ARC
(1,3),0.604075 # DEPENDENCYPART_ARC
(1,4),1.50191 # DEPENDENCYPART_ARC
(1,5),1.62196 # DEPENDENCYPART_ARC
(1,6),2.76161 # DEPENDENCYPART_ARC
(1,7),0.219474 # DEPENDENCYPART_ARC
(1,8),-0.0768374 # DEPENDENCYPART_ARC
(1,9),0.064709 # DEPENDENCYPART_ARC
(1,10),0.203159 # DEPENDENCYPART_ARC
(1,11),0.65182 # DEPENDENCYPART_ARC
(1,12),-1.76056 # DEPENDENCYPART_ARC
(1,13),-0.212168 # DEPENDENCYPART_ARC
(1,14),0.441628 # DEPENDENCYPART_ARC
(1,15),-0.234656 # DEPENDENCYPART_ARC
(1,16),-0.167689 # DEPENDENCYPART_ARC
(1,17),-1.98844 # DEPENDENCYPART_ARC
(1,18),-0.974664 # DEPENDENCYPART_ARC
(1,19),-0.876463 # DEPENDENCYPART_ARC
(1,20),4.98841 # DEPENDENCYPART_ARC
(1,21),-0.533888 # DEPENDENCYPART_ARC
(1,22),-0.529679 # DEPENDENCYPART_ARC
(1,23),-0.787345 # DEPENDENCYPART_ARC
(1,24),-1.73686 # DEPENDENCYPART_ARC
(1,25),-1.70334 # DEPENDENCYPART_ARC
(1,26),-2.21372 # DEPENDENCYPART_ARC
(1,27),-1.26939 # DEPENDENCYPART_ARC
(1,28),-1.89929 # DEPENDENCYPART_ARC
(1,29),-5.21415 # DEPENDENCYPART_ARC
(1,30),-2.46196 # DEPENDENCYPART_ARC
(1,31),-4.54057 # DEPENDENCYPART_ARC
(1,32),-3.80668 # DEPENDENCYPART_ARC
(1,33),-3.24773 # DEPENDENCYPART_ARC
(1,34),-2.62059 # DEPENDENCYPART_ARC
(1,35),-2.72149 # DEPENDENCYPART_ARC
(1,36),1.24561 # DEPENDENCYPART_ARC
(2,1),-0.877503 # DEPENDENCYPART_ARC
(2,3),-0.826313 # DEPENDENCYPART_ARC
(2,4),-0.955588 # DEPENDENCYPART_ARC
(2,5),-1.55551 # DEPENDENCYPART_ARC
(2,6),-1.18067 # DEPENDENCYPART_ARC
(2,7),-2.14187 # DEPENDENCYPART_ARC
(2,8),-1.96813 # DEPENDENCYPART_ARC
(2,9),-2.09827 # DEPENDENCYPART_ARC
(2,10),-2.48283 # DEPENDENCYPART_ARC
(2,11),-1.92316 # DEPENDENCYPART_ARC
(2,12),-2.65553 # DEPENDENCYPART_ARC
(2,13),-2.7024 # DEPENDENCYPART_ARC
(2,14),-2.19083 # DEPENDENCYPART_ARC
(2,15),-2.74689 # DEPENDENCYPART_ARC
(2,16),-2.3099 # DEPENDENCYPART_ARC
(2,17),-2.94709 # DEPENDENCYPART_ARC
(2,18),-3.07081 # DEPENDENCYPART_ARC
(2,19),-3.20975 # DEPENDENCYPART_ARC
(2,20),-2.37886 # DEPENDENCYPART_ARC
(2,21),-2.87036 # DEPENDENCYPART_ARC
(2,22),-3.19197 # DEPENDENCYPART_ARC
(2,23),-3.38775 # DEPENDENCYPART_ARC
(2,24),-3.09742 # DEPENDENCYPART_ARC
(2,25),-3.94603 # DEPENDENCYPART_ARC
(2,26),-3.26479 # DEPENDENCYPART_ARC
(2,27),-3.90989 # DEPENDENCYPART_ARC
(2,28),-4.25277 # DEPENDENCYPART_ARC
(2,29),-4.69091 # DEPENDENCYPART_ARC
(2,30),-3.55889 # DEPENDENCYPART_ARC
(2,31),-4.47093 # DEPENDENCYPART_ARC
(2,32),-4.54513 # DEPENDENCYPART_ARC
(2,33),-3.95896 # DEPENDENCYPART_ARC
(2,34),-4.82407 # DEPENDENCYPART_ARC
(2,35),-5.04631 # DEPENDENCYPART_ARC
(2,36),-3.90361 # DEPENDENCYPART_ARC
(3,1),-0.422764 # DEPENDENCYPART_ARC
(3,2),0.402687 # DEPENDENCYPART_ARC
(3,4),0.690796 # DEPENDENCYPART_ARC
(3,5),0.513587 # DEPENDENCYPART_ARC
(3,6),-0.0967123 # DEPENDENCYPART_ARC
(3,7),-1.18722 # DEPENDENCYPART_ARC
(3,8),-0.717458 # DEPENDENCYPART_ARC
(3,9),-1.21863 # DEPENDENCYPART_ARC
(3,10),-0.871907 # DEPENDENCYPART_ARC
(3,11),-0.901177 # DEPENDENCYPART_ARC
(3,12),-1.06302 # DEPENDENCYPART_ARC
(3,13),-1.64634 # DEPENDENCYPART_ARC
(3,14),-1.43723 # DEPENDENCYPART_ARC
(3,15),-2.10225 # DEPENDENCYPART_ARC
(3,16),-1.44518 # DEPENDENCYPART_ARC
(3,17),-2.17384 # DEPENDENCYPART_ARC
(3,18),-2.24099 # DEPENDENCYPART_ARC
(3,19),-2.34517 # DEPENDENCYPART_ARC
(3,20),-1.5812 # DEPENDENCYPART_ARC
(3,21),-2.5788 # DEPENDENCYPART_ARC
(3,22),-2.36086 # DEPENDENCYPART_ARC
(3,23),-2.42118 # DEPENDENCYPART_ARC
(3,24),-2.5856 # DEPENDENCYPART_ARC
(3,25),-2.97697 # DEPENDENCYPART_ARC
(3,26),-2.83173 # DEPENDENCYPART_ARC
(3,27),-3.30699 # DEPENDENCYPART_ARC
(3,28),-3.25818 # DEPENDENCYPART_ARC
(3,29),-2.89676 # DEPENDENCYPART_ARC
(3,30),-3.35218 # DEPENDENCYPART_ARC
(3,31),-3.66183 # DEPENDENCYPART_ARC
(3,32),-3.75604 # DEPENDENCYPART_ARC
(3,33),-3.65021 # DEPENDENCYPART_ARC
(3,34),-3.83338 # DEPENDENCYPART_ARC
(3,35),-4.11816 # DEPENDENCYPART_ARC
(3,36),-2.99501 # DEPENDENCYPART_ARC
(4,1),-1.56368 # DEPENDENCYPART_ARC
(4,2),-1.40809 # DEPENDENCYPART_ARC
(4,3),0.294036 # DEPENDENCYPART_ARC
(4,5),0.488199 # DEPENDENCYPART_ARC
(4,6),-0.313337 # DEPENDENCYPART_ARC
(4,7),-1.7805 # DEPENDENCYPART_ARC
(4,8),-1.5568 # DEPENDENCYPART_ARC
(4,9),-1.63329 # DEPENDENCYPART_ARC
(4,10),-1.58865 # DEPENDENCYPART_ARC
(4,11),-1.10676 # DEPENDENCYPART_ARC
(4,12),-2.20223 # DEPENDENCYPART_ARC
(4,13),-1.7337 # DEPENDENCYPART_ARC
(4,14),-2.39187 # DEPENDENCYPART_ARC
(4,15),-3.0703 # DEPENDENCYPART_ARC
(4,16),-2.92704 # DEPENDENCYPART_ARC
(4,17),-2.96899 # DEPENDENCYPART_ARC
(4,18),-2.77871 # DEPENDENCYPART_ARC
(4,19),-2.62139 # DEPENDENCYPART_ARC
(4,20),-2.11373 # DEPENDENCYPART_ARC
(4,21),-2.2517 # DEPENDENCYPART_ARC
(4,22),-2.17858 # DEPENDENCYPART_ARC
(4,23),-2.21439 # DEPENDENCYPART_ARC
(4,24),-3.04057 # DEPENDENCYPART_ARC
(4,25),-3.11601 # DEPENDENCYPART_ARC
(4,26),-2.87397 # DEPENDENCYPART_ARC
(4,27),-4.36333 # DEPENDENCYPART_ARC
(4,28),-3.4806 # DEPENDENCYPART_ARC
(4,29),-3.83742 # DEPENDENCYPART_ARC
(4,30),-4.34899 # DEPENDENCYPART_ARC
(4,31),-4.48336 # DEPENDENCYPART_ARC
(4,32),-4.47291 # DEPENDENCYPART_ARC
(4,33),-4.55063 # DEPENDENCYPART_ARC
(4,34),-4.05276 # DEPENDENCYPART_ARC
(4,35),-3.94535 # DEPENDENCYPART_ARC
(4,36),-0.149578 # DEPENDENCYPART_ARC
(5,1),-1.40992 # DEPENDENCYPART_ARC
(5,2),-0.0463587 # DEPENDENCYPART_ARC
(5,3),0.526879 # DEPENDENCYPART_ARC
(5,4),4.52275 # DEPENDENCYPART_ARC
(5,6),0.497167 # DEPENDENCYPART_ARC
(5,7),-0.972177 # DEPENDENCYPART_ARC
(5,8),-0.679176 # DEPENDENCYPART_ARC
(5,9),-0.81439 # DEPENDENCYPART_ARC
(5,10),-1.28897 # DEPENDENCYPART_ARC
(5,11),0.0305395 # DEPENDENCYPART_ARC
(5,12),-1.64868 # DEPENDENCYPART_ARC
(5,13),-1.56119 # DEPENDENCYPART_ARC
(5,14),-0.604523 # DEPENDENCYPART_ARC
(5,15),-1.36296 # DEPENDENCYPART_ARC
(5,16),-1.9242 # DEPENDENCYPART_ARC
(5,17),-2.5866 # DEPENDENCYPART_ARC
(5,18),-2.52967 # DEPENDENCYPART_ARC
(5,19),-2.41141 # DEPENDENCYPART_ARC
(5,20),-1.02516 # DEPENDENCYPART_ARC
(5,21),-0.09337 # DEPENDENCYPART_ARC
(5,22),-1.54563 # DEPENDENCYPART_ARC
(5,23),-1.77704 # DEPENDENCYPART_ARC
(5,24),-1.57178 # DEPENDENCYPART_ARC
(5,25),-3.06327 # DEPENDENCYPART_ARC
(5,26),-1.95011 # DEPENDENCYPART_ARC
(5,27),-3.04228 # DEPENDENCYPART_ARC
(5,28),-2.88069 # DEPENDENCYPART_ARC
