# _root_ She pointed out that even after Monday 's 10 % decline , the Straits Times index is up 24 % this year , so investors who bailed out generally did so profitably .
#goldHeads=2,0,2,2,6,17,11,7,10,11,6,17,16,16,16,17,4,17,20,18,22,17,2,2,30,27,25,27,30,24,30,30,2,
#predictedHeads=2,0,2,2,6,2,11,7,10,11,6,17,16,16,16,17,4,17,18,18,22,17,17,17,30,27,25,27,30,17,30,30,2,
(0,1),-5.37334 # DEPENDENCYPART_ARC
(0,2),-2.58072 # DEPENDENCYPART_ARC
(0,3),-5.69728 # DEPENDENCYPART_ARC
(0,4),-5.77155 # DEPENDENCYPART_ARC
(0,5),-6.69446 # DEPENDENCYPART_ARC
(0,6),-6.02204 # DEPENDENCYPART_ARC
(0,7),-6.12377 # DEPENDENCYPART_ARC
(0,8),-7.33675 # DEPENDENCYPART_ARC
(0,9),-8.02221 # DEPENDENCYPART_ARC
(0,10),-6.59272 # DEPENDENCYPART_ARC
(0,11),-6.2788 # DEPENDENCYPART_ARC
(0,12),-7.27957 # DEPENDENCYPART_ARC
(0,13),-7.92344 # DEPENDENCYPART_ARC
(0,14),-6.8113 # DEPENDENCYPART_ARC
(0,15),-6.87927 # DEPENDENCYPART_ARC
(0,16),-6.86833 # DEPENDENCYPART_ARC
(0,17),-3.65108 # DEPENDENCYPART_ARC
(0,18),-7.81466 # DEPENDENCYPART_ARC
(0,19),-8.95954 # DEPENDENCYPART_ARC
(0,20),-8.22282 # DEPENDENCYPART_ARC
(0,21),-8.57385 # DEPENDENCYPART_ARC
(0,22),-7.82588 # DEPENDENCYPART_ARC
(0,23),-9.22992 # DEPENDENCYPART_ARC
(0,24),-8.65024 # DEPENDENCYPART_ARC
(0,25),-6.59737 # DEPENDENCYPART_ARC
(0,26),-8.34846 # DEPENDENCYPART_ARC
(0,27),-5.84163 # DEPENDENCYPART_ARC
(0,28),-8.23495 # DEPENDENCYPART_ARC
(0,29),-9.2279 # DEPENDENCYPART_ARC
(0,30),-4.17945 # DEPENDENCYPART_ARC
(0,31),-9.57907 # DEPENDENCYPART_ARC
(0,32),-9.40005 # DEPENDENCYPART_ARC
(0,33),-5.14975 # DEPENDENCYPART_ARC
(1,2),1.10938 # DEPENDENCYPART_ARC
(1,3),0.0204169 # DEPENDENCYPART_ARC
(1,4),0.174895 # DEPENDENCYPART_ARC
(1,5),-0.368568 # DEPENDENCYPART_ARC
(1,6),-0.228138 # DEPENDENCYPART_ARC
(1,7),-0.62936 # DEPENDENCYPART_ARC
(1,8),-1.43592 # DEPENDENCYPART_ARC
(1,9),-1.36667 # DEPENDENCYPART_ARC
(1,10),-0.95653 # DEPENDENCYPART_ARC
(1,11),-0.963798 # DEPENDENCYPART_ARC
(1,12),-0.25839 # DEPENDENCYPART_ARC
(1,13),-1.14708 # DEPENDENCYPART_ARC
(1,14),-1.42032 # DEPENDENCYPART_ARC
