# _root_ As usual , few favorable reviews were heard for that ever-present marching band of program traders , although most serious studies suggest they only play the music that others write .
#goldHeads=7,1,7,6,6,7,0,7,6,13,13,13,9,13,16,14,8,8,21,21,22,18,25,25,22,27,25,30,30,27,7,
#predictedHeads=7,1,7,6,6,7,0,7,8,13,13,13,9,13,16,14,22,8,21,21,22,18,22,25,22,27,25,30,30,27,7,
(0,1),-6.06512 # DEPENDENCYPART_ARC
(0,2),-6.41481 # DEPENDENCYPART_ARC
(0,3),-6.58882 # DEPENDENCYPART_ARC
(0,4),-6.78462 # DEPENDENCYPART_ARC
(0,5),-6.52154 # DEPENDENCYPART_ARC
(0,6),-6.2252 # DEPENDENCYPART_ARC
(0,7),-2.84528 # DEPENDENCYPART_ARC
(0,8),-5.17435 # DEPENDENCYPART_ARC
(0,9),-7.28966 # DEPENDENCYPART_ARC
(0,10),-7.46901 # DEPENDENCYPART_ARC
(0,11),-6.92232 # DEPENDENCYPART_ARC
(0,12),-7.02806 # DEPENDENCYPART_ARC
(0,13),-7.30812 # DEPENDENCYPART_ARC
(0,14),-7.86451 # DEPENDENCYPART_ARC
(0,15),-7.75349 # DEPENDENCYPART_ARC
(0,16),-6.56848 # DEPENDENCYPART_ARC
(0,17),-8.4802 # DEPENDENCYPART_ARC
(0,18),-7.40058 # DEPENDENCYPART_ARC
(0,19),-9.13376 # DEPENDENCYPART_ARC
(0,20),-6.52716 # DEPENDENCYPART_ARC
(0,21),-6.5022 # DEPENDENCYPART_ARC
(0,22),-2.37135 # DEPENDENCYPART_ARC
(0,23),-7.23146 # DEPENDENCYPART_ARC
(0,24),-9.60404 # DEPENDENCYPART_ARC
(0,25),-5.7116 # DEPENDENCYPART_ARC
(0,26),-9.8838 # DEPENDENCYPART_ARC
(0,27),-7.52856 # DEPENDENCYPART_ARC
(0,28),-8.90487 # DEPENDENCYPART_ARC
(0,29),-6.5145 # DEPENDENCYPART_ARC
(0,30),-4.48378 # DEPENDENCYPART_ARC
(0,31),-7.416 # DEPENDENCYPART_ARC
(1,2),2.98137 # DEPENDENCYPART_ARC
(1,3),1.41936 # DEPENDENCYPART_ARC
(1,4),0.443947 # DEPENDENCYPART_ARC
(1,5),0.478626 # DEPENDENCYPART_ARC
(1,6),0.156771 # DEPENDENCYPART_ARC
(1,7),3.28021 # DEPENDENCYPART_ARC
(1,8),0.827371 # DEPENDENCYPART_ARC
(1,9),0.307158 # DEPENDENCYPART_ARC
(1,10),-1.10335 # DEPENDENCYPART_ARC
(1,11),-0.353489 # DEPENDENCYPART_ARC
(1,12),-1.34849 # DEPENDENCYPART_ARC
(1,13),-2.45225 # DEPENDENCYPART_ARC
(1,14),-0.878679 # DEPENDENCYPART_ARC
(1,15),-4.3598 # DEPENDENCYPART_ARC
(1,16),-3.85369 # DEPENDENCYPART_ARC
(1,17),0.563044 # DEPENDENCYPART_ARC
(1,18),-2.49366 # DEPENDENCYPART_ARC
(1,19),-2.63185 # DEPENDENCYPART_ARC
(1,20),-2.59685 # DEPENDENCYPART_ARC
(1,21),-7.14317 # DEPENDENCYPART_ARC
(1,22),0.20684 # DEPENDENCYPART_ARC
(1,23),-4.0288 # DEPENDENCYPART_ARC
(1,24),-2.21438 # DEPENDENCYPART_ARC
(1,25),-1.27771 # DEPENDENCYPART_ARC
(1,26),-4.85345 # DEPENDENCYPART_ARC
(1,27),-9.67659 # DEPENDENCYPART_ARC
(1,28),-4.86945 # DEPENDENCYPART_ARC
(1,29),-11.264 # DEPENDENCYPART_ARC
(1,30),-1.83881 # DEPENDENCYPART_ARC
(1,31),2.44321 # DEPENDENCYPART_ARC
(2,1),0.648763 # DEPENDENCYPART_ARC
(2,3),1.48474 # DEPENDENCYPART_ARC
(2,4),1.30936 # DEPENDENCYPART_ARC
(2,5),0.435472 # DEPENDENCYPART_ARC
(2,6),0.388796 # DEPENDENCYPART_ARC
(2,7),-0.260832 # DEPENDENCYPART_ARC
(2,8),-0.0367895 # DEPENDENCYPART_ARC
(2,9),-0.197291 # DEPENDENCYPART_ARC
(2,10),-1.10605 # DEPENDENCYPART_ARC
(2,11),-0.776628 # DEPENDENCYPART_ARC
(2,12),-0.586071 # DEPENDENCYPART_ARC
(2,13),-1.11606 # DEPENDENCYPART_ARC
(2,14),-0.588517 # DEPENDENCYPART_ARC
(2,15),-1.30451 # DEPENDENCYPART_ARC
(2,16),-0.913843 # DEPENDENCYPART_ARC
(2,17),-0.728102 # DEPENDENCYPART_ARC
(2,18),-2.03868 # DEPENDENCYPART_ARC
(2,19),-1.85211 # DEPENDENCYPART_ARC
(2,20),-1.58403 # DEPENDENCYPART_ARC
(2,21),-1.76878 # DEPENDENCYPART_ARC
(2,22),-0.990228 # DEPENDENCYPART_ARC
(2,23),-1.82184 # DEPENDENCYPART_ARC
(2,24),-2.0807 # DEPENDENCYPART_ARC
(2,25),-2.38033 # DEPENDENCYPART_ARC
(2,26),-3.2882 # DEPENDENCYPART_ARC
(2,27),-2.41599 # DEPENDENCYPART_ARC
(2,28),-2.28023 # DEPENDENCYPART_ARC
(2,29),-2.45522 # DEPENDENCYPART_ARC
(2,30),-1.7046 # DEPENDENCYPART_ARC
(2,31),-0.245557 # DEPENDENCYPART_ARC
(3,1),-1.38738 # DEPENDENCYPART_ARC
(3,2),-0.893827 # DEPENDENCYPART_ARC
(3,4),-0.181989 # DEPENDENCYPART_ARC
(3,5),-0.758016 # DEPENDENCYPART_ARC
(3,6),-1.19995 # DEPENDENCYPART_ARC
(3,7),-0.957936 # DEPENDENCYPART_ARC
(3,8),-1.48969 # DEPENDENCYPART_ARC
(3,9),-1.38512 # DEPENDENCYPART_ARC
(3,10),-1.72 # DEPENDENCYPART_ARC
(3,11),-2.08621 # DEPENDENCYPART_ARC
(3,12),-1.70838 # DEPENDENCYPART_ARC
(3,13),-2.6638 # DEPENDENCYPART_ARC
(3,14),-1.80945 # DEPENDENCYPART_ARC
(3,15),-2.79697 # DEPENDENCYPART_ARC
(3,16),-2.7656 # DEPENDENCYPART_ARC
(3,17),-1.09978 # DEPENDENCYPART_ARC
(3,18),-2.04389 # DEPENDENCYPART_ARC
(3,19),-2.95907 # DEPENDENCYPART_ARC
(3,20),-3.05437 # DEPENDENCYPART_ARC
(3,21),-3.32677 # DEPENDENCYPART_ARC
(3,22),-2.83004 # DEPENDENCYPART_ARC
(3,23),-2.99954 # DEPENDENCYPART_ARC
(3,24),-3.16045 # DEPENDENCYPART_ARC
(3,25),-2.89575 # DEPENDENCYPART_ARC
(3,26),-3.53113 # DEPENDENCYPART_ARC
(3,27),-4.11533 # DEPENDENCYPART_ARC
(3,28),-4.04107 # DEPENDENCYPART_ARC
(3,29),-4.18956 # DEPENDENCYPART_ARC
(3,30),-3.71135 # DEPENDENCYPART_ARC
(3,31),-3.13131 # DEPENDENCYPART_ARC
(4,1),0.236187 # DEPENDENCYPART_ARC
(4,2),1.47951 # DEPENDENCYPART_ARC
(4,3),1.09244 # DEPENDENCYPART_ARC
(4,5),1.45562 # DEPENDENCYPART_ARC
(4,6),0.910111 # DEPENDENCYPART_ARC
(4,7),0.248344 # DEPENDENCYPART_ARC
(4,8),0.27017 # DEPENDENCYPART_ARC
(4,9),-0.0172085 # DEPENDENCYPART_ARC
(4,10),-1.136 # DEPENDENCYPART_ARC
(4,11),-0.715035 # DEPENDENCYPART_ARC
(4,12),-0.587179 # DEPENDENCYPART_ARC
(4,13),-1.0337 # DEPENDENCYPART_ARC
(4,14),-0.558938 # DEPENDENCYPART_ARC
(4,15),-1.29792 # DEPENDENCYPART_ARC
(4,16),-0.729092 # DEPENDENCYPART_ARC
(4,17),-0.878558 # DEPENDENCYPART_ARC
(4,18),-2.12974 # DEPENDENCYPART_ARC
(4,19),-1.69778 # DEPENDENCYPART_ARC
(4,20),-1.38581 # DEPENDENCYPART_ARC
(4,21),-1.77538 # DEPENDENCYPART_ARC
(4,22),-1.05081 # DEPENDENCYPART_ARC
(4,23),-1.84137 # DEPENDENCYPART_ARC
(4,24),-2.19585 # DEPENDENCYPART_ARC
(4,25),-2.19757 # DEPENDENCYPART_ARC
(4,26),-3.06721 # DEPENDENCYPART_ARC
(4,27),-2.47989 # DEPENDENCYPART_ARC
(4,28),-2.65782 # DEPENDENCYPART_ARC
(4,29),-2.23787 # DEPENDENCYPART_ARC
(4,30),-1.82438 # DEPENDENCYPART_ARC
(4,31),-0.292639 # DEPENDENCYPART_ARC
(5,1),-0.356176 # DEPENDENCYPART_ARC
(5,2),0.869806 # DEPENDENCYPART_ARC
(5,3),0.390384 # DEPENDENCYPART_ARC
(5,4),1.85635 # DEPENDENCYPART_ARC
(5,6),0.77618 # DEPENDENCYPART_ARC
(5,7),0.00698999 # DEPENDENCYPART_ARC
(5,8),-0.367069 # DEPENDENCYPART_ARC
(5,9),-0.975929 # DEPENDENCYPART_ARC
(5,10),-1.69584 # DEPENDENCYPART_ARC
(5,11),-1.31062 # DEPENDENCYPART_ARC
(5,12),-1.23525 # DEPENDENCYPART_ARC
(5,13),-1.66127 # DEPENDENCYPART_ARC
(5,14),-1.38556 # DEPENDENCYPART_ARC
(5,15),-1.99556 # DEPENDENCYPART_ARC
(5,16),-1.39278 # DEPENDENCYPART_ARC
(5,17),-1.30775 # DEPENDENCYPART_ARC
(5,18),-2.68242 # DEPENDENCYPART_ARC
(5,19),-2.42573 # DEPENDENCYPART_ARC
(5,20),-2.09526 # DEPENDENCYPART_ARC
(5,21),-2.38191 # DEPENDENCYPART_ARC
(5,22),-1.66833 # DEPENDENCYPART_ARC
(5,23),-2.53092 # DEPENDENCYPART_ARC
(5,24),-2.85968 # DEPENDENCYPART_ARC
(5,25),-3.0283 # DEPENDENCYPART_ARC
(5,26),-3.65121 # DEPENDENCYPART_ARC
(5,27),-3.09931 # DEPENDENCYPART_ARC
(5,28),-2.91166 # DEPENDENCYPART_ARC
(5,29),-2.88352 # DEPENDENCYPART_ARC
(5,30),-2.33145 # DEPENDENCYPART_ARC
(5,31),-0.56592 # DEPENDENCYPART_ARC
(6,1),0.221658 # DEPENDENCYPART_ARC
(6,2),2.6095 # DEPENDENCYPART_ARC
(6,3),2.10102 # DEPENDENCYPART_ARC
(6,4),3.59155 # DEPENDENCYPART_ARC
(6,5),4.28314 # DEPENDENCYPART_ARC
(6,7),0.800682 # DEPENDENCYPART_ARC
(6,8),0.829368 # DEPENDENCYPART_ARC
(6,9),1.75085 # DEPENDENCYPART_ARC
(6,10),-0.516019 # DEPENDENCYPART_ARC
(6,11),-0.409456 # DEPENDENCYPART_ARC
(6,12),0.337643 # DEPENDENCYPART_ARC
(6,13),-0.596139 # DEPENDENCYPART_ARC
(6,14),-0.252121 # DEPENDENCYPART_ARC
(6,15),-0.784192 # DEPENDENCYPART_ARC
(6,16),-0.784902 # DEPENDENCYPART_ARC
(6,17),0.447067 # DEPENDENCYPART_ARC
(6,18),-1.3737 # DEPENDENCYPART_ARC
(6,19),-1.59999 # DEPENDENCYPART_ARC
(6,20),-1.18673 # DEPENDENCYPART_ARC
(6,21),-1.77017 # DEPENDENCYPART_ARC
(6,22),-0.597619 # DEPENDENCYPART_ARC
(6,23),-2.07163 # DEPENDENCYPART_ARC
(6,24),-1.6148 # DEPENDENCYPART_ARC
(6,25),-1.2431 # DEPENDENCYPART_ARC
(6,26),-1.82122 # DEPENDENCYPART_ARC
(6,27),-2.00283 # DEPENDENCYPART_ARC
(6,28),-2.50119 # DEPENDENCYPART_ARC
(6,29),-2.86888 # DEPENDENCYPART_ARC
(6,30),-1.3398 # DEPENDENCYPART_ARC
(6,31),-0.116027 # DEPENDENCYPART_ARC
(7,1),2.56691 # DEPENDENCYPART_ARC
(7,2),1.55198 # DEPENDENCYPART_ARC
(7,3),2.22371 # DEPENDENCYPART_ARC
(7,4),1.78724 # DEPENDENCYPART_ARC
(7,5),1.18395 # DEPENDENCYPART_ARC
(7,6),2.93153 # DEPENDENCYPART_ARC
(7,8),4.09016 # DEPENDENCYPART_ARC
(7,9),1.24896 # DEPENDENCYPART_ARC
(7,10),0.697513 # DEPENDENCYPART_ARC
(7,11),0.0529283 # DEPENDENCYPART_ARC
(7,12),0.497472 # DEPENDENCYPART_ARC
(7,13),-0.84228 # DEPENDENCYPART_ARC
(7,14),-1.68856 # DEPENDENCYPART_ARC
(7,15),-2.07443 # DEPENDENCYPART_ARC
(7,16),-0.68035 # DEPENDENCYPART_ARC
(7,17),1.27566 # DEPENDENCYPART_ARC
(7,18),0.784307 # DEPENDENCYPART_ARC
(7,19),-1.15106 # DEPENDENCYPART_ARC
(7,20),-1.41894 # DEPENDENCYPART_ARC
(7,21),-2.02571 # DEPENDENCYPART_ARC
(7,22),0.442958 # DEPENDENCYPART_ARC
(7,23),-1.62916 # DEPENDENCYPART_ARC
(7,24),-2.45559 # DEPENDENCYPART_ARC
(7,25),-1.17055 # DEPENDENCYPART_ARC
(7,26),-2.57555 # DEPENDENCYPART_ARC
(7,27),-3.43927 # DEPENDENCYPART_ARC
(7,28),-5.86225 # DEPENDENCYPART_ARC
(7,29),-3.53697 # DEPENDENCYPART_ARC
(7,30),-0.383273 # DEPENDENCYPART_ARC
(7,31),5.67518 # DEPENDENCYPART_ARC
(8,1),0.0715583 # DEPENDENCYPART_ARC
(8,2),-0.00977439 # DEPENDENCYPART_ARC
(8,3),0.761586 # DEPENDENCYPART_ARC
(8,4),0.394399 # DEPENDENCYPART_ARC
(8,5),0.689139 # DEPENDENCYPART_ARC
(8,6),0.290993 # DEPENDENCYPART_ARC
(8,7),0.541542 # DEPENDENCYPART_ARC
(8,9),3.2552 # DEPENDENCYPART_ARC
(8,10),0.5611 # DEPENDENCYPART_ARC
(8,11),0.668279 # DEPENDENCYPART_ARC
(8,12),1.25923 # DEPENDENCYPART_ARC
(8,13),0.735714 # DEPENDENCYPART_ARC
(8,14),0.940377 # DEPENDENCYPART_ARC
(8,15),-0.492733 # DEPENDENCYPART_ARC
(8,16),-0.037908 # DEPENDENCYPART_ARC
(8,17),1.48558 # DEPENDENCYPART_ARC
(8,18),1.92771 # DEPENDENCYPART_ARC
(8,19),-0.795306 # DEPENDENCYPART_ARC
(8,20),-0.724432 # DEPENDENCYPART_ARC
(8,21),-1.76837 # DEPENDENCYPART_ARC
(8,22),-0.218884 # DEPENDENCYPART_ARC
(8,23),-0.808096 # DEPENDENCYPART_ARC
(8,24),-0.564077 # DEPENDENCYPART_ARC
(8,25),-0.693099 # DEPENDENCYPART_ARC
(8,26),-1.50177 # DEPENDENCYPART_ARC
(8,27),-1.84447 # DEPENDENCYPART_ARC
(8,28),-2.81499 # DEPENDENCYPART_ARC
(8,29),-3.18443 # DEPENDENCYPART_ARC
(8,30),-0.968559 # DEPENDENCYPART_ARC
(8,31),-0.553723 # DEPENDENCYPART_ARC
(9,1),-0.63119 # DEPENDENCYPART_ARC
(9,2),-0.727864 # DEPENDENCYPART_ARC
(9,3),-0.711632 # DEPENDENCYPART_ARC
(9,4),-0.569871 # DEPENDENCYPART_ARC
(9,5),-0.284957 # DEPENDENCYPART_ARC
(9,6),-0.398044 # DEPENDENCYPART_ARC
(9,7),-0.202604 # DEPENDENCYPART_ARC
(9,8),0.489333 # DEPENDENCYPART_ARC
(9,10),0.970462 # DEPENDENCYPART_ARC
(9,11),1.66461 # DEPENDENCYPART_ARC
(9,12),0.324263 # DEPENDENCYPART_ARC
(9,13),2.42901 # DEPENDENCYPART_ARC
(9,14),-0.0402141 # DEPENDENCYPART_ARC
(9,15),-0.494699 # DEPENDENCYPART_ARC
(9,16),0.126368 # DEPENDENCYPART_ARC
(9,17),0.623568 # DEPENDENCYPART_ARC
(9,18),-0.362623 # DEPENDENCYPART_ARC
(9,19),-1.68673 # DEPENDENCYPART_ARC
(9,20),-1.55462 # DEPENDENCYPART_ARC
(9,21),-1.92449 # DEPENDENCYPART_ARC
(9,22),-1.06924 # DEPENDENCYPART_ARC
(9,23),-2.53239 # DEPENDENCYPART_ARC
(9,24),-1.22971 # DEPENDENCYPART_ARC
(9,25),-1.42195 # DEPENDENCYPART_ARC
(9,26),-3.58731 # DEPENDENCYPART_ARC
(9,27),-6.06446 # DEPENDENCYPART_ARC
(9,28),-3.81019 # DEPENDENCYPART_ARC
(9,29),-7.15363 # DEPENDENCYPART_ARC
(9,30),-3.84753 # DEPENDENCYPART_ARC
(9,31),0.379742 # DEPENDENCYPART_ARC
(10,1),-2.60762 # DEPENDENCYPART_ARC
(10,2),-2.61905 # DEPENDENCYPART_ARC
(10,3),-2.16285 # DEPENDENCYPART_ARC
(10,4),-2.37874 # DEPENDENCYPART_ARC
(10,5),-2.12571 # DEPENDENCYPART_ARC
(10,6),-2.2189 # DEPENDENCYPART_ARC
(10,7),-1.73175 # DEPENDENCYPART_ARC
(10,8),-1.49104 # DEPENDENCYPART_ARC
(10,9),-0.654133 # DEPENDENCYPART_ARC
(10,11),0.907863 # DEPENDENCYPART_ARC
(10,12),-0.0901593 # DEPENDENCYPART_ARC
(10,13),-0.879045 # DEPENDENCYPART_ARC
(10,14),0.174684 # DEPENDENCYPART_ARC
(10,15),-1.06775 # DEPENDENCYPART_ARC
(10,16),-1.8562 # DEPENDENCYPART_ARC
(10,17),0.178037 # DEPENDENCYPART_ARC
(10,18),-0.783947 # DEPENDENCYPART_ARC
(10,19),-1.89943 # DEPENDENCYPART_ARC
(10,20),-0.612473 # DEPENDENCYPART_ARC
(10,21),-2.52797 # DEPENDENCYPART_ARC
(10,22),0.45131 # DEPENDENCYPART_ARC
(10,23),-1.64495 # DEPENDENCYPART_ARC
(10,24),-1.76023 # DEPENDENCYPART_ARC
(10,25),-0.651731 # DEPENDENCYPART_ARC
(10,26),-2.90786 # DEPENDENCYPART_ARC
(10,27),-1.97488 # DEPENDENCYPART_ARC
(10,28),-1.80987 # DEPENDENCYPART_ARC
(10,29),-2.90764 # DEPENDENCYPART_ARC
(10,30),0.0132661 # DEPENDENCYPART_ARC
(10,31),1.12872 # DEPENDENCYPART_ARC
(11,1),-1.25935 # DEPENDENCYPART_ARC
(11,2),-0.767868 # DEPENDENCYPART_ARC
(11,3),-1.17256 # DEPENDENCYPART_ARC
(11,4),-0.763369 # DEPENDENCYPART_ARC
(11,5),-0.532275 # DEPENDENCYPART_ARC
(11,6),-0.880965 # DEPENDENCYPART_ARC
(11,7),-1.29983 # DEPENDENCYPART_ARC
(11,8),-0.571636 # DEPENDENCYPART_ARC
(11,9),0.501124 # DEPENDENCYPART_ARC
(11,10),1.8848 # DEPENDENCYPART_ARC
(11,12),1.62424 # DEPENDENCYPART_ARC
(11,13),0.808853 # DEPENDENCYPART_ARC
(11,14),1.19525 # DEPENDENCYPART_ARC
(11,15),-0.177547 # DEPENDENCYPART_ARC
(11,16),0.0821169 # DEPENDENCYPART_ARC
(11,17),0.280623 # DEPENDENCYPART_ARC
(11,18),-0.904634 # DEPENDENCYPART_ARC
(11,19),-0.81119 # DEPENDENCYPART_ARC
(11,20),-0.514047 # DEPENDENCYPART_ARC
(11,21),-1.00377 # DEPENDENCYPART_ARC
(11,22),-0.161509 # DEPENDENCYPART_ARC
(11,23),-1.01991 # DEPENDENCYPART_ARC
(11,24),-1.10726 # DEPENDENCYPART_ARC
(11,25),-1.51295 # DEPENDENCYPART_ARC
(11,26),-1.97897 # DEPENDENCYPART_ARC
(11,27),-1.52271 # DEPENDENCYPART_ARC
(11,28),-1.48427 # DEPENDENCYPART_ARC
(11,29),-1.56653 # DEPENDENCYPART_ARC
(11,30),-0.942141 # DEPENDENCYPART_ARC
(11,31),-0.029043 # DEPENDENCYPART_ARC
(12,1),-1.07908 # DEPENDENCYPART_ARC
(12,2),-0.924279 # DEPENDENCYPART_ARC
(12,3),-0.598724 # DEPENDENCYPART_ARC
(12,4),-0.757904 # DEPENDENCYPART_ARC
(12,5),-0.682412 # DEPENDENCYPART_ARC
(12,6),0.0417246 # DEPENDENCYPART_ARC
(12,7),-0.534806 # DEPENDENCYPART_ARC
(12,8),0.0909301 # DEPENDENCYPART_ARC
(12,9),0.347262 # DEPENDENCYPART_ARC
(12,10),1.33408 # DEPENDENCYPART_ARC
(12,11),0.600711 # DEPENDENCYPART_ARC
(12,13),1.94159 # DEPENDENCYPART_ARC
(12,14),0.884468 # DEPENDENCYPART_ARC
(12,15),-0.152666 # DEPENDENCYPART_ARC
(12,16),0.493429 # DEPENDENCYPART_ARC
(12,17),0.532977 # DEPENDENCYPART_ARC
(12,18),-0.202732 # DEPENDENCYPART_ARC
(12,19),-0.892539 # DEPENDENCYPART_ARC
(12,20),-0.827538 # DEPENDENCYPART_ARC
(12,21),-2.57986 # DEPENDENCYPART_ARC
(12,22),-0.394459 # DEPENDENCYPART_ARC
(12,23),-1.2184 # DEPENDENCYPART_ARC
(12,24),-1.48607 # DEPENDENCYPART_ARC
(12,25),-1.33139 # DEPENDENCYPART_ARC
(12,26),-2.21111 # DEPENDENCYPART_ARC
(12,27),-3.1782 # DEPENDENCYPART_ARC
(12,28),-4.38937 # DEPENDENCYPART_ARC
(12,29),-4.671 # DEPENDENCYPART_ARC
(12,30),-1.14884 # DEPENDENCYPART_ARC
(12,31),-0.703258 # DEPENDENCYPART_ARC
(13,1),-1.54287 # DEPENDENCYPART_ARC
(13,2),-1.61534 # DEPENDENCYPART_ARC
(13,3),-0.361878 # DEPENDENCYPART_ARC
(13,4),-0.705103 # DEPENDENCYPART_ARC
(13,5),-0.688643 # DEPENDENCYPART_ARC
(13,6),-0.7971 # DEPENDENCYPART_ARC
(13,7),-0.652742 # DEPENDENCYPART_ARC
(13,8),0.317272 # DEPENDENCYPART_ARC
(13,9),0.195561 # DEPENDENCYPART_ARC
(13,10),2.29468 # DEPENDENCYPART_ARC
(13,11),3.04466 # DEPENDENCYPART_ARC
(13,12),3.05122 # DEPENDENCYPART_ARC
(13,14),3.39709 # DEPENDENCYPART_ARC
(13,15),1.13858 # DEPENDENCYPART_ARC
(13,16),1.01832 # DEPENDENCYPART_ARC
(13,17),0.789177 # DEPENDENCYPART_ARC
(13,18),0.0980604 # DEPENDENCYPART_ARC
(13,19),-0.540072 # DEPENDENCYPART_ARC
(13,20),-0.0490672 # DEPENDENCYPART_ARC
(13,21),-0.236729 # DEPENDENCYPART_ARC
(13,22),0.497548 # DEPENDENCYPART_ARC
(13,23),-0.414963 # DEPENDENCYPART_ARC
(13,24),-0.807307 # DEPENDENCYPART_ARC
(13,25),-1.05487 # DEPENDENCYPART_ARC
(13,26),-1.07106 # DEPENDENCYPART_ARC
(13,27),-0.28705 # DEPENDENCYPART_ARC
(13,28),-1.42688 # DEPENDENCYPART_ARC
(13,29),-1.3558 # DEPENDENCYPART_ARC
