# _root_ Hertz Corp. of Park Ridge , N.J. , said it retained Merrill Lynch Capital Markets to sell its Hertz Equipment Rental Corp. unit .
#goldHeads=9,1,1,5,3,5,5,5,0,11,9,15,15,15,11,11,16,23,23,23,23,23,17,9,
#predictedHeads=9,1,1,5,3,5,5,5,0,11,9,15,15,15,11,11,16,23,23,23,23,23,17,9,
(0,1),-5.93938 # DEPENDENCYPART_ARC
(0,2),-5.84919 # DEPENDENCYPART_ARC
(0,3),-7.307 # DEPENDENCYPART_ARC
(0,4),-6.90459 # DEPENDENCYPART_ARC
(0,5),-7.36332 # DEPENDENCYPART_ARC
(0,6),-6.98322 # DEPENDENCYPART_ARC
(0,7),-9.19178 # DEPENDENCYPART_ARC
(0,8),-7.27261 # DEPENDENCYPART_ARC
(0,9),-1.0699 # DEPENDENCYPART_ARC
(0,10),-6.63363 # DEPENDENCYPART_ARC
(0,11),-2.87101 # DEPENDENCYPART_ARC
(0,12),-8.39093 # DEPENDENCYPART_ARC
(0,13),-8.34406 # DEPENDENCYPART_ARC
(0,14),-8.9941 # DEPENDENCYPART_ARC
(0,15),-9.26653 # DEPENDENCYPART_ARC
(0,16),-7.25561 # DEPENDENCYPART_ARC
(0,17),-7.06605 # DEPENDENCYPART_ARC
(0,18),-8.11038 # DEPENDENCYPART_ARC
(0,19),-10.4127 # DEPENDENCYPART_ARC
(0,20),-10.1467 # DEPENDENCYPART_ARC
(0,21),-10.5295 # DEPENDENCYPART_ARC
(0,22),-8.97377 # DEPENDENCYPART_ARC
(0,23),-10.602 # DEPENDENCYPART_ARC
(0,24),-7.25081 # DEPENDENCYPART_ARC
(1,2),4.54225 # DEPENDENCYPART_ARC
(1,3),3.54497 # DEPENDENCYPART_ARC
(1,4),1.45663 # DEPENDENCYPART_ARC
(1,5),2.08235 # DEPENDENCYPART_ARC
(1,6),2.50557 # DEPENDENCYPART_ARC
(1,7),1.47543 # DEPENDENCYPART_ARC
(1,8),2.68217 # DEPENDENCYPART_ARC
(1,9),1.098 # DEPENDENCYPART_ARC
(1,10),-0.0967606 # DEPENDENCYPART_ARC
(1,11),0.850369 # DEPENDENCYPART_ARC
(1,12),-0.743488 # DEPENDENCYPART_ARC
(1,13),-1.07003 # DEPENDENCYPART_ARC
