# _root_ BMA 's investment banker , Alex . Brown & Sons Inc. , has been authorized to contact possible buyers for the unit .
#goldHeads=4,1,4,13,4,8,8,4,8,9,10,4,0,13,14,15,16,19,17,19,22,20,13,
#predictedHeads=4,1,4,8,4,8,8,13,8,9,10,4,0,13,14,15,16,19,17,19,22,20,13,
(0,1),-6.21291 # DEPENDENCYPART_ARC
(0,2),-6.90447 # DEPENDENCYPART_ARC
(0,3),-6.31167 # DEPENDENCYPART_ARC
(0,4),-6.66552 # DEPENDENCYPART_ARC
(0,5),-7.35844 # DEPENDENCYPART_ARC
(0,6),-7.37509 # DEPENDENCYPART_ARC
(0,7),-6.32579 # DEPENDENCYPART_ARC
(0,8),-7.99726 # DEPENDENCYPART_ARC
(0,9),-7.83936 # DEPENDENCYPART_ARC
(0,10),-8.15715 # DEPENDENCYPART_ARC
(0,11),-7.84875 # DEPENDENCYPART_ARC
(0,12),-7.69123 # DEPENDENCYPART_ARC
(0,13),-1.98087 # DEPENDENCYPART_ARC
(0,14),-3.35522 # DEPENDENCYPART_ARC
(0,15),-4.28156 # DEPENDENCYPART_ARC
(0,16),-7.83744 # DEPENDENCYPART_ARC
(0,17),-6.09552 # DEPENDENCYPART_ARC
(0,18),-6.71263 # DEPENDENCYPART_ARC
(0,19),-7.11234 # DEPENDENCYPART_ARC
(0,20),-8.91213 # DEPENDENCYPART_ARC
(0,21),-9.134 # DEPENDENCYPART_ARC
(0,22),-8.4534 # DEPENDENCYPART_ARC
(0,23),-6.64866 # DEPENDENCYPART_ARC
(1,2),4.30838 # DEPENDENCYPART_ARC
(1,3),0.719385 # DEPENDENCYPART_ARC
(1,4),0.686213 # DEPENDENCYPART_ARC
(1,5),0.885554 # DEPENDENCYPART_ARC
(1,6),0.257211 # DEPENDENCYPART_ARC
(1,7),0.657965 # DEPENDENCYPART_ARC
(1,8),-0.372536 # DEPENDENCYPART_ARC
(1,9),0.867227 # DEPENDENCYPART_ARC
(1,10),-1.86245 # DEPENDENCYPART_ARC
