# _root_ Besides spurring Barry Wright 's sales , which were $ 201.7 million in 1988 , Mr. Sim must pare its costs and product line .
#goldHeads=18,1,4,6,4,2,6,9,6,9,10,10,9,13,6,17,18,0,18,21,19,21,24,22,18,
#predictedHeads=18,1,4,6,4,2,6,9,6,9,10,10,10,13,18,17,18,0,18,21,19,21,24,22,18,
(0,1),-6.70946 # DEPENDENCYPART_ARC
(0,2),-6.2139 # DEPENDENCYPART_ARC
(0,3),-5.30067 # DEPENDENCYPART_ARC
(0,4),-5.43859 # DEPENDENCYPART_ARC
(0,5),-7.91937 # DEPENDENCYPART_ARC
(0,6),-6.44321 # DEPENDENCYPART_ARC
(0,7),-6.7477 # DEPENDENCYPART_ARC
(0,8),-7.33004 # DEPENDENCYPART_ARC
(0,9),-4.51785 # DEPENDENCYPART_ARC
(0,10),-8.32102 # DEPENDENCYPART_ARC
(0,11),-8.29732 # DEPENDENCYPART_ARC
(0,12),-8.61018 # DEPENDENCYPART_ARC
(0,13),-8.66777 # DEPENDENCYPART_ARC
(0,14),-8.769 # DEPENDENCYPART_ARC
(0,15),-7.49863 # DEPENDENCYPART_ARC
(0,16),-8.49556 # DEPENDENCYPART_ARC
(0,17),-7.55938 # DEPENDENCYPART_ARC
(0,18),-3.39693 # DEPENDENCYPART_ARC
(0,19),-6.75322 # DEPENDENCYPART_ARC
(0,20),-8.0181 # DEPENDENCYPART_ARC
(0,21),-7.08619 # DEPENDENCYPART_ARC
(0,22),-9.19045 # DEPENDENCYPART_ARC
(0,23),-7.53574 # DEPENDENCYPART_ARC
(0,24),-7.57149 # DEPENDENCYPART_ARC
(0,25),-7.06879 # DEPENDENCYPART_ARC
(1,2),2.90404 # DEPENDENCYPART_ARC
(1,3),0.518514 # DEPENDENCYPART_ARC
(1,4),-0.173624 # DEPENDENCYPART_ARC
(1,5),-0.587373 # DEPENDENCYPART_ARC
(1,6),1.22435 # DEPENDENCYPART_ARC
(1,7),0.631025 # DEPENDENCYPART_ARC
(1,8),-0.947941 # DEPENDENCYPART_ARC
(1,9),0.0717199 # DEPENDENCYPART_ARC
(1,10),-2.511 # DEPENDENCYPART_ARC
(1,11),-2.26545 # DEPENDENCYPART_ARC
(1,12),-2.18699 # DEPENDENCYPART_ARC
(1,13),-1.08272 # DEPENDENCYPART_ARC
(1,14),-2.29366 # DEPENDENCYPART_ARC
(1,15),-0.266171 # DEPENDENCYPART_ARC
(1,16),-5.20096 # DEPENDENCYPART_ARC
(1,17),-4.67965 # DEPENDENCYPART_ARC
(1,18),-0.312481 # DEPENDENCYPART_ARC
(1,19),-1.41803 # DEPENDENCYPART_ARC
(1,20),-2.42009 # DEPENDENCYPART_ARC
(1,21),-6.99659 # DEPENDENCYPART_ARC
(1,22),-1.0587 # DEPENDENCYPART_ARC
(1,23),-6.39335 # DEPENDENCYPART_ARC
(1,24),-5.55443 # DEPENDENCYPART_ARC
(1,25),0.00286345 # DEPENDENCYPART_ARC
(2,1),-0.0863666 # DEPENDENCYPART_ARC
(2,3),2.48205 # DEPENDENCYPART_ARC
(2,4),2.41615 # DEPENDENCYPART_ARC
(2,5),0.390862 # DEPENDENCYPART_ARC
(2,6),2.72509 # DEPENDENCYPART_ARC
(2,7),1.35674 # DEPENDENCYPART_ARC
(2,8),-0.536071 # DEPENDENCYPART_ARC
(2,9),0.748449 # DEPENDENCYPART_ARC
(2,10),0.0083925 # DEPENDENCYPART_ARC
(2,11),-0.391409 # DEPENDENCYPART_ARC
(2,12),-0.254546 # DEPENDENCYPART_ARC
(2,13),0.055979 # DEPENDENCYPART_ARC
(2,14),-0.758588 # DEPENDENCYPART_ARC
(2,15),0.874939 # DEPENDENCYPART_ARC
(2,16),-1.33155 # DEPENDENCYPART_ARC
(2,17),-0.447293 # DEPENDENCYPART_ARC
(2,18),-0.612325 # DEPENDENCYPART_ARC
(2,19),-0.188168 # DEPENDENCYPART_ARC
(2,20),-1.67092 # DEPENDENCYPART_ARC
(2,21),-1.82757 # DEPENDENCYPART_ARC
(2,22),-0.0398265 # DEPENDENCYPART_ARC
(2,23),-2.37901 # DEPENDENCYPART_ARC
(2,24),-1.71358 # DEPENDENCYPART_ARC
(2,25),1.15232 # DEPENDENCYPART_ARC
(3,1),-2.11968 # DEPENDENCYPART_ARC
(3,2),-0.685251 # DEPENDENCYPART_ARC
(3,4),0.0891784 # DEPENDENCYPART_ARC
(3,5),1.03405 # DEPENDENCYPART_ARC
(3,6),-0.820214 # DEPENDENCYPART_ARC
(3,7),0.302418 # DEPENDENCYPART_ARC
(3,8),-2.95551 # DEPENDENCYPART_ARC
(3,9),-0.0723617 # DEPENDENCYPART_ARC
(3,10),-2.48229 # DEPENDENCYPART_ARC
(3,11),-1.98916 # DEPENDENCYPART_ARC
(3,12),-2.4828 # DEPENDENCYPART_ARC
(3,13),-2.61607 # DEPENDENCYPART_ARC
(3,14),-2.18802 # DEPENDENCYPART_ARC
(3,15),0.284127 # DEPENDENCYPART_ARC
(3,16),-1.92355 # DEPENDENCYPART_ARC
(3,17),-1.9391 # DEPENDENCYPART_ARC
(3,18),-2.89755 # DEPENDENCYPART_ARC
(3,19),-3.2776 # DEPENDENCYPART_ARC
(3,20),-3.57274 # DEPENDENCYPART_ARC
(3,21),-3.16195 # DEPENDENCYPART_ARC
(3,22),-3.67309 # DEPENDENCYPART_ARC
(3,23),-5.22304 # DEPENDENCYPART_ARC
(3,24),-5.07812 # DEPENDENCYPART_ARC
(3,25),-0.361458 # DEPENDENCYPART_ARC
(4,1),-0.500153 # DEPENDENCYPART_ARC
(4,2),1.0871 # DEPENDENCYPART_ARC
(4,3),6.37536 # DEPENDENCYPART_ARC
(4,5),4.90363 # DEPENDENCYPART_ARC
(4,6),0.82218 # DEPENDENCYPART_ARC
(4,7),1.63211 # DEPENDENCYPART_ARC
(4,8),-1.2616 # DEPENDENCYPART_ARC
(4,9),1.54255 # DEPENDENCYPART_ARC
(4,10),-0.575364 # DEPENDENCYPART_ARC
(4,11),-0.183149 # DEPENDENCYPART_ARC
