# _root_ Similarly , Agfa is sponsoring scores of photography contests at high schools and colleges , offering free black-and-white film and paper as prizes .
#goldHeads=4,4,4,0,4,5,6,9,7,9,12,10,12,13,5,5,19,19,16,19,20,16,22,4,
#predictedHeads=4,4,4,0,4,5,6,9,7,9,12,10,12,13,4,5,19,19,16,19,20,16,22,4,
(0,1),-5.24415 # DEPENDENCYPART_ARC
(0,2),-6.72943 # DEPENDENCYPART_ARC
(0,3),-5.35378 # DEPENDENCYPART_ARC
(0,4),-2.98979 # DEPENDENCYPART_ARC
(0,5),-6.37988 # DEPENDENCYPART_ARC
(0,6),-5.92201 # DEPENDENCYPART_ARC
(0,7),-6.6969 # DEPENDENCYPART_ARC
(0,8),-6.6786 # DEPENDENCYPART_ARC
(0,9),-6.14718 # DEPENDENCYPART_ARC
(0,10),-7.58634 # DEPENDENCYPART_ARC
(0,11),-6.02154 # DEPENDENCYPART_ARC
(0,12),-6.21907 # DEPENDENCYPART_ARC
(0,13),-8.0677 # DEPENDENCYPART_ARC
(0,14),-6.45834 # DEPENDENCYPART_ARC
(0,15),-7.79248 # DEPENDENCYPART_ARC
(0,16),-7.45257 # DEPENDENCYPART_ARC
(0,17),-6.21023 # DEPENDENCYPART_ARC
(0,18),-6.01347 # DEPENDENCYPART_ARC
(0,19),-7.84655 # DEPENDENCYPART_ARC
(0,20),-8.95581 # DEPENDENCYPART_ARC
(0,21),-7.11929 # DEPENDENCYPART_ARC
(0,22),-8.14812 # DEPENDENCYPART_ARC
(0,23),-6.5681 # DEPENDENCYPART_ARC
(0,24),-6.87568 # DEPENDENCYPART_ARC
(1,2),1.03386 # DEPENDENCYPART_ARC
(1,3),0.0172912 # DEPENDENCYPART_ARC
(1,4),0.27078 # DEPENDENCYPART_ARC
(1,5),-0.450383 # DEPENDENCYPART_ARC
(1,6),-0.944924 # DEPENDENCYPART_ARC
(1,7),-0.0131483 # DEPENDENCYPART_ARC
(1,8),-1.80779 # DEPENDENCYPART_ARC
(1,9),-1.89714 # DEPENDENCYPART_ARC
(1,10),-1.35845 # DEPENDENCYPART_ARC
(1,11),-0.100654 # DEPENDENCYPART_ARC
(1,12),-1.9345 # DEPENDENCYPART_ARC
(1,13),-0.203741 # DEPENDENCYPART_ARC
(1,14),-2.42702 # DEPENDENCYPART_ARC
(1,15),-0.294311 # DEPENDENCYPART_ARC
(1,16),-1.62715 # DEPENDENCYPART_ARC
(1,17),-0.998238 # DEPENDENCYPART_ARC
(1,18),-1.11205 # DEPENDENCYPART_ARC
(1,19),-4.0395 # DEPENDENCYPART_ARC
(1,20),-0.872142 # DEPENDENCYPART_ARC
(1,21),-4.52313 # DEPENDENCYPART_ARC
(1,22),-2.18975 # DEPENDENCYPART_ARC
(1,23),-3.74257 # DEPENDENCYPART_ARC
(1,24),1.4551 # DEPENDENCYPART_ARC
(2,1),-1.00545 # DEPENDENCYPART_ARC
(2,3),-0.457988 # DEPENDENCYPART_ARC
(2,4),-0.783341 # DEPENDENCYPART_ARC
(2,5),-1.41211 # DEPENDENCYPART_ARC
(2,6),-1.87004 # DEPENDENCYPART_ARC
(2,7),-1.77596 # DEPENDENCYPART_ARC
(2,8),-2.41823 # DEPENDENCYPART_ARC
