# _root_ After Mr. Stanley 's article was published in two Namibian newspapers , Mr. O'Linn had criminal charges brought against their editors , publisher and lawyer .
#goldHeads=15,3,5,3,6,1,6,7,11,11,8,15,14,15,0,17,15,15,18,21,19,21,21,23,24,15,
#predictedHeads=15,3,5,3,6,1,6,7,11,11,8,15,14,15,0,17,15,17,18,21,19,21,21,23,24,6,
(0,1),-6.95057 # DEPENDENCYPART_ARC
(0,2),-6.03613 # DEPENDENCYPART_ARC
(0,3),-5.52486 # DEPENDENCYPART_ARC
(0,4),-8.03096 # DEPENDENCYPART_ARC
(0,5),-6.7937 # DEPENDENCYPART_ARC
(0,6),-3.65108 # DEPENDENCYPART_ARC
(0,7),-5.45838 # DEPENDENCYPART_ARC
(0,8),-8.28988 # DEPENDENCYPART_ARC
(0,9),-8.62862 # DEPENDENCYPART_ARC
(0,10),-6.66661 # DEPENDENCYPART_ARC
(0,11),-7.30003 # DEPENDENCYPART_ARC
(0,12),-7.69629 # DEPENDENCYPART_ARC
(0,13),-8.01505 # DEPENDENCYPART_ARC
(0,14),-6.22606 # DEPENDENCYPART_ARC
(0,15),-3.59498 # DEPENDENCYPART_ARC
(0,16),-6.48735 # DEPENDENCYPART_ARC
(0,17),-6.14104 # DEPENDENCYPART_ARC
(0,18),-4.74587 # DEPENDENCYPART_ARC
(0,19),-9.99886 # DEPENDENCYPART_ARC
(0,20),-8.27021 # DEPENDENCYPART_ARC
(0,21),-7.59183 # DEPENDENCYPART_ARC
(0,22),-9.11895 # DEPENDENCYPART_ARC
(0,23),-8.65739 # DEPENDENCYPART_ARC
(0,24),-9.87959 # DEPENDENCYPART_ARC
(0,25),-8.48831 # DEPENDENCYPART_ARC
(0,26),-8.65539 # DEPENDENCYPART_ARC
(1,2),1.33342 # DEPENDENCYPART_ARC
(1,3),0.20749 # DEPENDENCYPART_ARC
(1,4),0.131163 # DEPENDENCYPART_ARC
(1,5),2.26714 # DEPENDENCYPART_ARC
(1,6),4.39705 # DEPENDENCYPART_ARC
(1,7),0.804671 # DEPENDENCYPART_ARC
(1,8),0.0194966 # DEPENDENCYPART_ARC
(1,9),-2.23736 # DEPENDENCYPART_ARC
(1,10),-0.707733 # DEPENDENCYPART_ARC
(1,11),-0.937066 # DEPENDENCYPART_ARC
(1,12),0.742756 # DEPENDENCYPART_ARC
(1,13),-3.88244 # DEPENDENCYPART_ARC
(1,14),-3.64667 # DEPENDENCYPART_ARC
(1,15),0.847008 # DEPENDENCYPART_ARC
(1,16),-1.81916 # DEPENDENCYPART_ARC
(1,17),-5.54478 # DEPENDENCYPART_ARC
(1,18),0.0409359 # DEPENDENCYPART_ARC
(1,19),-1.40741 # DEPENDENCYPART_ARC
(1,20),-1.94688 # DEPENDENCYPART_ARC
(1,21),-6.47987 # DEPENDENCYPART_ARC
(1,22),0.0274153 # DEPENDENCYPART_ARC
(1,23),-7.24131 # DEPENDENCYPART_ARC
(1,24),-0.371109 # DEPENDENCYPART_ARC
(1,25),-7.37239 # DEPENDENCYPART_ARC
(1,26),1.38218 # DEPENDENCYPART_ARC
(2,1),-2.87721 # DEPENDENCYPART_ARC
(2,3),-1.32634 # DEPENDENCYPART_ARC
(2,4),-0.598541 # DEPENDENCYPART_ARC
(2,5),-2.00907 # DEPENDENCYPART_ARC
(2,6),-2.14066 # DEPENDENCYPART_ARC
(2,7),-2.89266 # DEPENDENCYPART_ARC
(2,8),-3.73387 # DEPENDENCYPART_ARC
(2,9),-3.6899 # DEPENDENCYPART_ARC
(2,10),-3.19884 # DEPENDENCYPART_ARC
(2,11),-3.27066 # DEPENDENCYPART_ARC
(2,12),-1.92199 # DEPENDENCYPART_ARC
(2,13),-3.37513 # DEPENDENCYPART_ARC
(2,14),-3.28733 # DEPENDENCYPART_ARC
(2,15),-3.72689 # DEPENDENCYPART_ARC
(2,16),-3.97677 # DEPENDENCYPART_ARC
(2,17),-4.2354 # DEPENDENCYPART_ARC
(2,18),-4.13453 # DEPENDENCYPART_ARC
(2,19),-4.36765 # DEPENDENCYPART_ARC
(2,20),-4.95053 # DEPENDENCYPART_ARC
(2,21),-4.91276 # DEPENDENCYPART_ARC
(2,22),-3.74137 # DEPENDENCYPART_ARC
(2,23),-7.42886 # DEPENDENCYPART_ARC
(2,24),-5.94552 # DEPENDENCYPART_ARC
(2,25),-8.4833 # DEPENDENCYPART_ARC
(2,26),-3.96067 # DEPENDENCYPART_ARC
(3,1),-0.828168 # DEPENDENCYPART_ARC
(3,2),7.75116 # DEPENDENCYPART_ARC
(3,4),4.24532 # DEPENDENCYPART_ARC
(3,5),0.115544 # DEPENDENCYPART_ARC
(3,6),0.253884 # DEPENDENCYPART_ARC
(3,7),-0.32883 # DEPENDENCYPART_ARC
(3,8),-1.0574 # DEPENDENCYPART_ARC
(3,9),-1.59118 # DEPENDENCYPART_ARC
(3,10),-0.854514 # DEPENDENCYPART_ARC
(3,11),-0.997096 # DEPENDENCYPART_ARC
(3,12),-0.191298 # DEPENDENCYPART_ARC
(3,13),-1.80216 # DEPENDENCYPART_ARC
(3,14),-1.73923 # DEPENDENCYPART_ARC
(3,15),-1.70693 # DEPENDENCYPART_ARC
(3,16),-1.64157 # DEPENDENCYPART_ARC
(3,17),-1.93629 # DEPENDENCYPART_ARC
(3,18),-1.51359 # DEPENDENCYPART_ARC
(3,19),-2.14367 # DEPENDENCYPART_ARC
(3,20),-2.69098 # DEPENDENCYPART_ARC
(3,21),-2.52573 # DEPENDENCYPART_ARC
(3,22),-1.79481 # DEPENDENCYPART_ARC
(3,23),-5.2968 # DEPENDENCYPART_ARC
(3,24),-3.34409 # DEPENDENCYPART_ARC
(3,25),-6.72344 # DEPENDENCYPART_ARC
(3,26),-0.880887 # DEPENDENCYPART_ARC
(4,1),-0.632011 # DEPENDENCYPART_ARC
(4,2),0.503523 # DEPENDENCYPART_ARC
(4,3),1.03172 # DEPENDENCYPART_ARC
(4,5),-0.64963 # DEPENDENCYPART_ARC
(4,6),-0.640699 # DEPENDENCYPART_ARC
(4,7),-1.46267 # DEPENDENCYPART_ARC
(4,8),-1.85182 # DEPENDENCYPART_ARC
(4,9),-2.22274 # DEPENDENCYPART_ARC
(4,10),-2.37917 # DEPENDENCYPART_ARC
(4,11),-2.95799 # DEPENDENCYPART_ARC
(4,12),-1.65276 # DEPENDENCYPART_ARC
(4,13),-2.89218 # DEPENDENCYPART_ARC
(4,14),-2.96816 # DEPENDENCYPART_ARC
(4,15),-1.66171 # DEPENDENCYPART_ARC
(4,16),-3.29245 # DEPENDENCYPART_ARC
(4,17),-3.75175 # DEPENDENCYPART_ARC
(4,18),-2.6161 # DEPENDENCYPART_ARC
(4,19),-3.5717 # DEPENDENCYPART_ARC
(4,20),-3.55212 # DEPENDENCYPART_ARC
(4,21),-4.2383 # DEPENDENCYPART_ARC
(4,22),-3.73319 # DEPENDENCYPART_ARC
(4,23),-4.44512 # DEPENDENCYPART_ARC
(4,24),-3.53971 # DEPENDENCYPART_ARC
(4,25),-4.54085 # DEPENDENCYPART_ARC
(4,26),-3.68801 # DEPENDENCYPART_ARC
(5,1),0.190417 # DEPENDENCYPART_ARC
