# _root_ Taped just as the market closed yesterday , it offers Ms. Farrell advising , `` We view the market here as going through a relatively normal cycle ... .
#goldHeads=10,3,1,5,6,3,6,10,10,0,12,10,12,13,13,17,13,19,17,17,17,21,22,27,26,27,23,10,10,
#predictedHeads=10,3,1,5,6,3,6,10,10,0,13,13,10,10,17,17,10,19,17,17,17,21,22,27,26,27,23,17,6,
(0,1),-6.28057 # DEPENDENCYPART_ARC
(0,2),-6.43211 # DEPENDENCYPART_ARC
(0,3),-6.09446 # DEPENDENCYPART_ARC
(0,4),-7.53082 # DEPENDENCYPART_ARC
(0,5),-6.17716 # DEPENDENCYPART_ARC
(0,6),-3.89154 # DEPENDENCYPART_ARC
(0,7),-6.023 # DEPENDENCYPART_ARC
(0,8),-7.4309 # DEPENDENCYPART_ARC
(0,9),-5.98914 # DEPENDENCYPART_ARC
(0,10),-2.71814 # DEPENDENCYPART_ARC
(0,11),-6.64199 # DEPENDENCYPART_ARC
(0,12),-6.45634 # DEPENDENCYPART_ARC
(0,13),-7.01371 # DEPENDENCYPART_ARC
(0,14),-8.10394 # DEPENDENCYPART_ARC
(0,15),-7.87586 # DEPENDENCYPART_ARC
(0,16),-7.05876 # DEPENDENCYPART_ARC
(0,17),-4.24254 # DEPENDENCYPART_ARC
(0,18),-9.011 # DEPENDENCYPART_ARC
(0,19),-7.15182 # DEPENDENCYPART_ARC
(0,20),-8.14603 # DEPENDENCYPART_ARC
(0,21),-7.90315 # DEPENDENCYPART_ARC
(0,22),-7.58614 # DEPENDENCYPART_ARC
(0,23),-8.58764 # DEPENDENCYPART_ARC
(0,24),-9.33866 # DEPENDENCYPART_ARC
(0,25),-8.58117 # DEPENDENCYPART_ARC
(0,26),-7.48526 # DEPENDENCYPART_ARC
(0,27),-6.5253 # DEPENDENCYPART_ARC
(0,28),-7.85602 # DEPENDENCYPART_ARC
(0,29),-4.62672 # DEPENDENCYPART_ARC
(1,2),2.37013 # DEPENDENCYPART_ARC
(1,3),2.77184 # DEPENDENCYPART_ARC
(1,4),0.0277796 # DEPENDENCYPART_ARC
(1,5),0.723381 # DEPENDENCYPART_ARC
(1,6),0.86637 # DEPENDENCYPART_ARC
(1,7),1.41519 # DEPENDENCYPART_ARC
(1,8),0.756899 # DEPENDENCYPART_ARC
(1,9),-0.0557568 # DEPENDENCYPART_ARC
(1,10),-0.0594693 # DEPENDENCYPART_ARC
(1,11),-0.797023 # DEPENDENCYPART_ARC
(1,12),-0.748847 # DEPENDENCYPART_ARC
(1,13),-0.43869 # DEPENDENCYPART_ARC
(1,14),-0.0710875 # DEPENDENCYPART_ARC
(1,15),0.0627121 # DEPENDENCYPART_ARC
(1,16),-0.515571 # DEPENDENCYPART_ARC
(1,17),-0.768436 # DEPENDENCYPART_ARC
(1,18),-1.44651 # DEPENDENCYPART_ARC
(1,19),-2.11554 # DEPENDENCYPART_ARC
(1,20),-1.43242 # DEPENDENCYPART_ARC
(1,21),-0.188913 # DEPENDENCYPART_ARC
(1,22),-1.25335 # DEPENDENCYPART_ARC
(1,23),-2.06952 # DEPENDENCYPART_ARC
(1,24),-1.80719 # DEPENDENCYPART_ARC
(1,25),-2.79823 # DEPENDENCYPART_ARC
(1,26),-1.84749 # DEPENDENCYPART_ARC
(1,27),-3.64363 # DEPENDENCYPART_ARC
(1,28),-1.16699 # DEPENDENCYPART_ARC
(1,29),1.30094 # DEPENDENCYPART_ARC
