# _root_ `` With a little patience , these businesses will perform very satisfactorily , '' Mr. Sim says .
#goldHeads=17,9,4,5,2,9,8,9,17,9,10,11,17,17,16,17,0,17,
#predictedHeads=17,9,5,5,2,9,8,9,17,9,10,11,17,17,16,17,0,17,
(0,1),-6.40454 # DEPENDENCYPART_ARC
(0,2),-6.72073 # DEPENDENCYPART_ARC
(0,3),-6.71269 # DEPENDENCYPART_ARC
(0,4),-6.54882 # DEPENDENCYPART_ARC
(0,5),-6.24957 # DEPENDENCYPART_ARC
(0,6),-6.65731 # DEPENDENCYPART_ARC
(0,7),-7.16409 # DEPENDENCYPART_ARC
(0,8),-5.8819 # DEPENDENCYPART_ARC
(0,9),-4.01617 # DEPENDENCYPART_ARC
(0,10),-5.15486 # DEPENDENCYPART_ARC
(0,11),-7.48873 # DEPENDENCYPART_ARC
(0,12),-7.00801 # DEPENDENCYPART_ARC
(0,13),-7.44951 # DEPENDENCYPART_ARC
(0,14),-6.67331 # DEPENDENCYPART_ARC
(0,15),-6.19779 # DEPENDENCYPART_ARC
(0,16),-5.60183 # DEPENDENCYPART_ARC
(0,17),0.858985 # DEPENDENCYPART_ARC
(0,18),-5.14566 # DEPENDENCYPART_ARC
(1,2),-1.80237 # DEPENDENCYPART_ARC
(1,3),-2.37729 # DEPENDENCYPART_ARC
(1,4),-1.86151 # DEPENDENCYPART_ARC
(1,5),-2.5628 # DEPENDENCYPART_ARC
(1,6),-2.15197 # DEPENDENCYPART_ARC
(1,7),-3.09367 # DEPENDENCYPART_ARC
(1,8),-3.45285 # DEPENDENCYPART_ARC
(1,9),-2.93376 # DEPENDENCYPART_ARC
(1,10),-3.14151 # DEPENDENCYPART_ARC
(1,11),-2.93767 # DEPENDENCYPART_ARC
(1,12),-3.04546 # DEPENDENCYPART_ARC
(1,13),-2.65163 # DEPENDENCYPART_ARC
(1,14),-1.22235 # DEPENDENCYPART_ARC
(1,15),-3.72094 # DEPENDENCYPART_ARC
(1,16),-3.78785 # DEPENDENCYPART_ARC
