# _root_ That 50 % is now held by Clifford Parker , Regatta 's president and chief executive officer , who will continue to manage Regatta 's operations under Gitano .
#goldHeads=3,3,4,0,4,4,6,9,7,9,13,11,9,13,17,17,14,9,20,9,20,21,22,26,24,23,23,27,4,
#predictedHeads=3,3,4,0,4,4,6,9,7,9,13,11,9,13,17,17,14,17,20,17,20,21,22,26,24,23,23,27,4,
(0,1),-5.87604 # DEPENDENCYPART_ARC
(0,2),-6.84551 # DEPENDENCYPART_ARC
(0,3),-6.20682 # DEPENDENCYPART_ARC
(0,4),-2.83259 # DEPENDENCYPART_ARC
(0,5),-7.0292 # DEPENDENCYPART_ARC
(0,6),-5.32449 # DEPENDENCYPART_ARC
(0,7),-6.85407 # DEPENDENCYPART_ARC
(0,8),-6.67698 # DEPENDENCYPART_ARC
(0,9),-6.58469 # DEPENDENCYPART_ARC
(0,10),-7.34812 # DEPENDENCYPART_ARC
(0,11),-7.80314 # DEPENDENCYPART_ARC
(0,12),-9.04063 # DEPENDENCYPART_ARC
(0,13),-8.01684 # DEPENDENCYPART_ARC
(0,14),-8.22588 # DEPENDENCYPART_ARC
(0,15),-6.84071 # DEPENDENCYPART_ARC
(0,16),-6.73886 # DEPENDENCYPART_ARC
(0,17),-8.61438 # DEPENDENCYPART_ARC
(0,18),-8.54708 # DEPENDENCYPART_ARC
(0,19),-7.94165 # DEPENDENCYPART_ARC
(0,20),-3.82148 # DEPENDENCYPART_ARC
(0,21),-6.33088 # DEPENDENCYPART_ARC
(0,22),-8.293 # DEPENDENCYPART_ARC
(0,23),-7.44124 # DEPENDENCYPART_ARC
(0,24),-8.60329 # DEPENDENCYPART_ARC
(0,25),-11.1057 # DEPENDENCYPART_ARC
(0,26),-7.61118 # DEPENDENCYPART_ARC
(0,27),-9.46471 # DEPENDENCYPART_ARC
(0,28),-8.60352 # DEPENDENCYPART_ARC
(0,29),-6.21252 # DEPENDENCYPART_ARC
(1,2),2.59374 # DEPENDENCYPART_ARC
(1,3),-0.56354 # DEPENDENCYPART_ARC
(1,4),2.37235 # DEPENDENCYPART_ARC
(1,5),-0.395295 # DEPENDENCYPART_ARC
(1,6),0.489353 # DEPENDENCYPART_ARC
(1,7),-0.00894865 # DEPENDENCYPART_ARC
(1,8),-1.79857 # DEPENDENCYPART_ARC
(1,9),-2.09362 # DEPENDENCYPART_ARC
(1,10),0.879397 # DEPENDENCYPART_ARC
(1,11),-2.4347 # DEPENDENCYPART_ARC
(1,12),-1.86051 # DEPENDENCYPART_ARC
(1,13),-1.49141 # DEPENDENCYPART_ARC
(1,14),0.315714 # DEPENDENCYPART_ARC
(1,15),-0.547693 # DEPENDENCYPART_ARC
(1,16),-0.603302 # DEPENDENCYPART_ARC
(1,17),-2.19696 # DEPENDENCYPART_ARC
(1,18),-0.0387545 # DEPENDENCYPART_ARC
(1,19),-2.98795 # DEPENDENCYPART_ARC
(1,20),1.15843 # DEPENDENCYPART_ARC
(1,21),-1.12315 # DEPENDENCYPART_ARC
(1,22),-2.64253 # DEPENDENCYPART_ARC
(1,23),-1.45354 # DEPENDENCYPART_ARC
(1,24),-4.25645 # DEPENDENCYPART_ARC
(1,25),-2.96897 # DEPENDENCYPART_ARC
(1,26),-3.6421 # DEPENDENCYPART_ARC
(1,27),-1.9328 # DEPENDENCYPART_ARC
(1,28),-4.93728 # DEPENDENCYPART_ARC
(1,29),0.0508672 # DEPENDENCYPART_ARC
(2,1),0.986219 # DEPENDENCYPART_ARC
(2,3),1.30709 # DEPENDENCYPART_ARC
(2,4),0.699899 # DEPENDENCYPART_ARC
