# _root_ At Jefferies & Co. , J. Francis Palamara did n't reach the office until 5:30 a.m. , but then he had been up most of the night at home .
#goldHeads=9,1,2,3,9,8,8,9,0,9,9,13,11,11,16,14,9,9,18,21,19,21,22,22,24,27,25,22,28,9,
#predictedHeads=9,1,2,3,9,8,8,9,0,9,9,13,11,11,16,14,9,9,9,21,18,21,22,22,24,27,25,27,28,9,
(0,1),-6.8619 # DEPENDENCYPART_ARC
(0,2),-6.04314 # DEPENDENCYPART_ARC
(0,3),-6.92454 # DEPENDENCYPART_ARC
(0,4),-6.26693 # DEPENDENCYPART_ARC
(0,5),-6.84277 # DEPENDENCYPART_ARC
(0,6),-7.34785 # DEPENDENCYPART_ARC
(0,7),-6.48408 # DEPENDENCYPART_ARC
(0,8),-6.00427 # DEPENDENCYPART_ARC
(0,9),-2.43078 # DEPENDENCYPART_ARC
(0,10),-6.78101 # DEPENDENCYPART_ARC
(0,11),-5.45719 # DEPENDENCYPART_ARC
(0,12),-7.81346 # DEPENDENCYPART_ARC
(0,13),-8.25802 # DEPENDENCYPART_ARC
(0,14),-9.01635 # DEPENDENCYPART_ARC
(0,15),-8.60029 # DEPENDENCYPART_ARC
(0,16),-7.44003 # DEPENDENCYPART_ARC
(0,17),-8.15912 # DEPENDENCYPART_ARC
(0,18),-8.67743 # DEPENDENCYPART_ARC
(0,19),-8.02048 # DEPENDENCYPART_ARC
(0,20),-5.78982 # DEPENDENCYPART_ARC
(0,21),-3.27444 # DEPENDENCYPART_ARC
(0,22),-4.65529 # DEPENDENCYPART_ARC
(0,23),-7.91965 # DEPENDENCYPART_ARC
(0,24),-7.97647 # DEPENDENCYPART_ARC
(0,25),-9.72396 # DEPENDENCYPART_ARC
(0,26),-9.60385 # DEPENDENCYPART_ARC
(0,27),-8.50568 # DEPENDENCYPART_ARC
(0,28),-10.11 # DEPENDENCYPART_ARC
(0,29),-8.36678 # DEPENDENCYPART_ARC
(0,30),-6.14791 # DEPENDENCYPART_ARC
(1,2),2.71415 # DEPENDENCYPART_ARC
(1,3),0.736183 # DEPENDENCYPART_ARC
(1,4),0.53291 # DEPENDENCYPART_ARC
(1,5),0.508186 # DEPENDENCYPART_ARC
(1,6),-0.192787 # DEPENDENCYPART_ARC
(1,7),-0.544225 # DEPENDENCYPART_ARC
(1,8),-0.336912 # DEPENDENCYPART_ARC
(1,9),1.06369 # DEPENDENCYPART_ARC
(1,10),-0.563254 # DEPENDENCYPART_ARC
(1,11),0.0954151 # DEPENDENCYPART_ARC
(1,12),-2.27599 # DEPENDENCYPART_ARC
(1,13),-0.121464 # DEPENDENCYPART_ARC
(1,14),-0.934778 # DEPENDENCYPART_ARC
(1,15),-3.24405 # DEPENDENCYPART_ARC
(1,16),-2.95195 # DEPENDENCYPART_ARC
(1,17),0.778086 # DEPENDENCYPART_ARC
(1,18),0.00450088 # DEPENDENCYPART_ARC
(1,19),-1.35622 # DEPENDENCYPART_ARC
(1,20),-2.63776 # DEPENDENCYPART_ARC
(1,21),-3.9889 # DEPENDENCYPART_ARC
(1,22),-2.35725 # DEPENDENCYPART_ARC
(1,23),-2.73477 # DEPENDENCYPART_ARC
(1,24),-2.18207 # DEPENDENCYPART_ARC
(1,25),-3.40704 # DEPENDENCYPART_ARC
(1,26),-4.52741 # DEPENDENCYPART_ARC
(1,27),-10.6505 # DEPENDENCYPART_ARC
(1,28),-3.93848 # DEPENDENCYPART_ARC
(1,29),-9.98722 # DEPENDENCYPART_ARC
(1,30),1.17529 # DEPENDENCYPART_ARC
(2,1),0.0865052 # DEPENDENCYPART_ARC
(2,3),3.85066 # DEPENDENCYPART_ARC
(2,4),2.04513 # DEPENDENCYPART_ARC
(2,5),1.7269 # DEPENDENCYPART_ARC
(2,6),0.636711 # DEPENDENCYPART_ARC
(2,7),-0.194789 # DEPENDENCYPART_ARC
(2,8),-0.251623 # DEPENDENCYPART_ARC
(2,9),-0.195924 # DEPENDENCYPART_ARC
(2,10),-0.555617 # DEPENDENCYPART_ARC
(2,11),-1.11015 # DEPENDENCYPART_ARC
(2,12),0.023161 # DEPENDENCYPART_ARC
(2,13),-1.4754 # DEPENDENCYPART_ARC
(2,14),-1.1977 # DEPENDENCYPART_ARC
(2,15),-1.70015 # DEPENDENCYPART_ARC
(2,16),-1.83367 # DEPENDENCYPART_ARC
(2,17),-0.761812 # DEPENDENCYPART_ARC
(2,18),-2.95949 # DEPENDENCYPART_ARC
(2,19),-1.67935 # DEPENDENCYPART_ARC
(2,20),-1.97829 # DEPENDENCYPART_ARC
(2,21),-1.62233 # DEPENDENCYPART_ARC
(2,22),-1.18848 # DEPENDENCYPART_ARC
(2,23),-1.65289 # DEPENDENCYPART_ARC
(2,24),-2.18988 # DEPENDENCYPART_ARC
(2,25),-3.09587 # DEPENDENCYPART_ARC
(2,26),-1.82368 # DEPENDENCYPART_ARC
(2,27),-5.66622 # DEPENDENCYPART_ARC
(2,28),-2.99924 # DEPENDENCYPART_ARC
(2,29),-6.14356 # DEPENDENCYPART_ARC
(2,30),-0.13117 # DEPENDENCYPART_ARC
