# _root_ In 1987 , despite a barrage of ads from most of the major investment firms , individuals ran from the market en masse .
#goldHeads=18,1,18,18,6,4,6,7,8,9,10,15,15,15,11,18,18,0,18,21,19,18,22,18,
#predictedHeads=18,1,18,18,6,4,6,7,8,9,10,15,15,15,11,18,18,0,18,21,19,23,19,18,
(0,1),-6.89983 # DEPENDENCYPART_ARC
(0,2),-6.85325 # DEPENDENCYPART_ARC
(0,3),-6.26275 # DEPENDENCYPART_ARC
(0,4),-6.74852 # DEPENDENCYPART_ARC
(0,5),-7.21592 # DEPENDENCYPART_ARC
(0,6),-6.03142 # DEPENDENCYPART_ARC
(0,7),-7.00437 # DEPENDENCYPART_ARC
(0,8),-6.53663 # DEPENDENCYPART_ARC
(0,9),-7.84361 # DEPENDENCYPART_ARC
(0,10),-8.13638 # DEPENDENCYPART_ARC
(0,11),-7.35341 # DEPENDENCYPART_ARC
(0,12),-7.98829 # DEPENDENCYPART_ARC
(0,13),-6.77929 # DEPENDENCYPART_ARC
(0,14),-5.5819 # DEPENDENCYPART_ARC
(0,15),-6.20465 # DEPENDENCYPART_ARC
(0,16),-8.0107 # DEPENDENCYPART_ARC
(0,17),-5.63286 # DEPENDENCYPART_ARC
(0,18),-3.35827 # DEPENDENCYPART_ARC
(0,19),-9.02845 # DEPENDENCYPART_ARC
(0,20),-9.01737 # DEPENDENCYPART_ARC
(0,21),-5.77889 # DEPENDENCYPART_ARC
(0,22),-7.34964 # DEPENDENCYPART_ARC
(0,23),-7.49059 # DEPENDENCYPART_ARC
(0,24),-5.47528 # DEPENDENCYPART_ARC
(1,2),3.3201 # DEPENDENCYPART_ARC
(1,3),0.064461 # DEPENDENCYPART_ARC
(1,4),0.0472757 # DEPENDENCYPART_ARC
(1,5),-1.40328 # DEPENDENCYPART_ARC
(1,6),-1.10797 # DEPENDENCYPART_ARC
(1,7),-0.489766 # DEPENDENCYPART_ARC
(1,8),-3.00045 # DEPENDENCYPART_ARC
(1,9),-0.782562 # DEPENDENCYPART_ARC
(1,10),-1.91756 # DEPENDENCYPART_ARC
(1,11),-1.2524 # DEPENDENCYPART_ARC
(1,12),-2.88282 # DEPENDENCYPART_ARC
(1,13),-2.16132 # DEPENDENCYPART_ARC
(1,14),-6.77771 # DEPENDENCYPART_ARC
