# _root_ `` It 's a problem that clearly has to be resolved , '' said David Cooke , executive director of the RTC .
#goldHeads=14,3,14,5,3,8,8,5,8,9,10,14,14,0,16,14,16,19,16,19,22,20,14,
#predictedHeads=14,3,14,5,3,8,8,5,8,9,10,14,14,0,16,14,16,19,16,19,22,20,14,
(0,1),-6.38143 # DEPENDENCYPART_ARC
(0,2),-5.5215 # DEPENDENCYPART_ARC
(0,3),-3.95759 # DEPENDENCYPART_ARC
(0,4),-6.98165 # DEPENDENCYPART_ARC
(0,5),-6.14805 # DEPENDENCYPART_ARC
(0,6),-6.67459 # DEPENDENCYPART_ARC
(0,7),-6.82382 # DEPENDENCYPART_ARC
(0,8),-4.88479 # DEPENDENCYPART_ARC
(0,9),-6.99539 # DEPENDENCYPART_ARC
(0,10),-6.16449 # DEPENDENCYPART_ARC
(0,11),-5.53703 # DEPENDENCYPART_ARC
(0,12),-7.06199 # DEPENDENCYPART_ARC
(0,13),-6.50941 # DEPENDENCYPART_ARC
(0,14),0.395973 # DEPENDENCYPART_ARC
(0,15),-6.96524 # DEPENDENCYPART_ARC
(0,16),-7.00997 # DEPENDENCYPART_ARC
(0,17),-7.67653 # DEPENDENCYPART_ARC
(0,18),-7.35227 # DEPENDENCYPART_ARC
(0,19),-7.65645 # DEPENDENCYPART_ARC
(0,20),-7.73341 # DEPENDENCYPART_ARC
(0,21),-8.75589 # DEPENDENCYPART_ARC
(0,22),-7.3799 # DEPENDENCYPART_ARC
(0,23),-4.42384 # DEPENDENCYPART_ARC
(1,2),-1.58687 # DEPENDENCYPART_ARC
(1,3),-1.95492 # DEPENDENCYPART_ARC
(1,4),-2.77913 # DEPENDENCYPART_ARC
(1,5),-2.72527 # DEPENDENCYPART_ARC
(1,6),-3.38508 # DEPENDENCYPART_ARC
(1,7),-2.5938 # DEPENDENCYPART_ARC
(1,8),-2.73438 # DEPENDENCYPART_ARC
(1,9),-3.02491 # DEPENDENCYPART_ARC
(1,10),-3.20973 # DEPENDENCYPART_ARC
(1,11),-3.00487 # DEPENDENCYPART_ARC
(1,12),-2.57933 # DEPENDENCYPART_ARC
(1,13),-1.61528 # DEPENDENCYPART_ARC
(1,14),-3.27127 # DEPENDENCYPART_ARC
(1,15),-3.78916 # DEPENDENCYPART_ARC
(1,16),-3.86249 # DEPENDENCYPART_ARC
(1,17),-3.08476 # DEPENDENCYPART_ARC
(1,18),-3.68129 # DEPENDENCYPART_ARC
(1,19),-3.93223 # DEPENDENCYPART_ARC
(1,20),-4.13719 # DEPENDENCYPART_ARC
(1,21),-4.6416 # DEPENDENCYPART_ARC
(1,22),-4.44964 # DEPENDENCYPART_ARC
(1,23),-3.34144 # DEPENDENCYPART_ARC
(2,1),0.00839533 # DEPENDENCYPART_ARC
(2,3),1.19877 # DEPENDENCYPART_ARC
(2,4),0.470035 # DEPENDENCYPART_ARC
(2,5),0.746107 # DEPENDENCYPART_ARC
(2,6),-0.820782 # DEPENDENCYPART_ARC
(2,7),-0.301856 # DEPENDENCYPART_ARC
(2,8),0.138642 # DEPENDENCYPART_ARC
(2,9),0.933486 # DEPENDENCYPART_ARC
(2,10),-1.24735 # DEPENDENCYPART_ARC
(2,11),-0.980734 # DEPENDENCYPART_ARC
(2,12),-0.277566 # DEPENDENCYPART_ARC
