# _root_ Telephone service has been improved for customers trying to reach their brokers , and specialists -- who I believe should stay , despite the urgings of some post-crash critics -- have larger capital positions .
#goldHeads=2,3,0,3,4,2,6,7,8,9,12,10,3,3,31,15,20,19,15,19,20,19,19,25,23,25,29,29,26,15,14,34,34,31,3,
#predictedHeads=2,3,0,3,4,5,6,7,8,9,12,10,3,3,14,15,19,19,15,19,20,21,21,25,23,25,29,29,26,31,29,34,34,31,3,
(0,1),-6.32229 # DEPENDENCYPART_ARC
(0,2),-6.44279 # DEPENDENCYPART_ARC
(0,3),-3.58032 # DEPENDENCYPART_ARC
(0,4),-4.57861 # DEPENDENCYPART_ARC
(0,5),-5.51604 # DEPENDENCYPART_ARC
(0,6),-6.39121 # DEPENDENCYPART_ARC
(0,7),-6.59873 # DEPENDENCYPART_ARC
(0,8),-7.27905 # DEPENDENCYPART_ARC
(0,9),-7.74772 # DEPENDENCYPART_ARC
(0,10),-6.94063 # DEPENDENCYPART_ARC
(0,11),-7.67757 # DEPENDENCYPART_ARC
(0,12),-6.72293 # DEPENDENCYPART_ARC
(0,13),-7.97117 # DEPENDENCYPART_ARC
(0,14),-8.77497 # DEPENDENCYPART_ARC
(0,15),-6.46915 # DEPENDENCYPART_ARC
(0,16),-7.74961 # DEPENDENCYPART_ARC
(0,17),-8.28802 # DEPENDENCYPART_ARC
(0,18),-6.98683 # DEPENDENCYPART_ARC
(0,19),-3.93652 # DEPENDENCYPART_ARC
(0,20),-3.2354 # DEPENDENCYPART_ARC
(0,21),-6.39239 # DEPENDENCYPART_ARC
(0,22),-9.06377 # DEPENDENCYPART_ARC
(0,23),-8.8083 # DEPENDENCYPART_ARC
(0,24),-9.79213 # DEPENDENCYPART_ARC
(0,25),-7.49899 # DEPENDENCYPART_ARC
(0,26),-9.70353 # DEPENDENCYPART_ARC
(0,27),-9.9569 # DEPENDENCYPART_ARC
(0,28),-7.75028 # DEPENDENCYPART_ARC
(0,29),-6.86917 # DEPENDENCYPART_ARC
(0,30),-8.57225 # DEPENDENCYPART_ARC
(0,31),-6.8899 # DEPENDENCYPART_ARC
(0,32),-10.1951 # DEPENDENCYPART_ARC
(0,33),-7.18579 # DEPENDENCYPART_ARC
(0,34),-7.42558 # DEPENDENCYPART_ARC
(0,35),-6.14963 # DEPENDENCYPART_ARC
(1,2),1.3717 # DEPENDENCYPART_ARC
(1,3),0.614283 # DEPENDENCYPART_ARC
(1,4),0.560167 # DEPENDENCYPART_ARC
(1,5),0.104619 # DEPENDENCYPART_ARC
(1,6),0.459839 # DEPENDENCYPART_ARC
(1,7),-0.930752 # DEPENDENCYPART_ARC
(1,8),-0.044872 # DEPENDENCYPART_ARC
(1,9),-0.856468 # DEPENDENCYPART_ARC
(1,10),-0.606803 # DEPENDENCYPART_ARC
(1,11),-1.86166 # DEPENDENCYPART_ARC
(1,12),-1.21272 # DEPENDENCYPART_ARC
(1,13),-1.06689 # DEPENDENCYPART_ARC
(1,14),-1.13082 # DEPENDENCYPART_ARC
(1,15),-1.65154 # DEPENDENCYPART_ARC
(1,16),-0.220357 # DEPENDENCYPART_ARC
(1,17),-2.81506 # DEPENDENCYPART_ARC
(1,18),-1.69876 # DEPENDENCYPART_ARC
(1,19),-1.4355 # DEPENDENCYPART_ARC
(1,20),-2.44952 # DEPENDENCYPART_ARC
(1,21),-1.80878 # DEPENDENCYPART_ARC
(1,22),-2.84906 # DEPENDENCYPART_ARC
(1,23),-4.52677 # DEPENDENCYPART_ARC
(1,24),-2.8229 # DEPENDENCYPART_ARC
(1,25),-3.33182 # DEPENDENCYPART_ARC
(1,26),-7.35829 # DEPENDENCYPART_ARC
(1,27),-3.0087 # DEPENDENCYPART_ARC
(1,28),-3.70979 # DEPENDENCYPART_ARC
(1,29),-3.05712 # DEPENDENCYPART_ARC
(1,30),-1.72653 # DEPENDENCYPART_ARC
(1,31),-2.00362 # DEPENDENCYPART_ARC
(1,32),-3.22194 # DEPENDENCYPART_ARC
(1,33),-3.84433 # DEPENDENCYPART_ARC
(1,34),-3.81281 # DEPENDENCYPART_ARC
(1,35),2.616 # DEPENDENCYPART_ARC
(2,1),3.55918 # DEPENDENCYPART_ARC
(2,3),0.91713 # DEPENDENCYPART_ARC
(2,4),1.34294 # DEPENDENCYPART_ARC
(2,5),1.13293 # DEPENDENCYPART_ARC
(2,6),0.956029 # DEPENDENCYPART_ARC
(2,7),-0.0767089 # DEPENDENCYPART_ARC
(2,8),0.578573 # DEPENDENCYPART_ARC
(2,9),0.868119 # DEPENDENCYPART_ARC
(2,10),-0.108749 # DEPENDENCYPART_ARC
(2,11),-1.19057 # DEPENDENCYPART_ARC
(2,12),-0.150036 # DEPENDENCYPART_ARC
(2,13),1.05992 # DEPENDENCYPART_ARC
(2,14),-0.659444 # DEPENDENCYPART_ARC
(2,15),-0.804777 # DEPENDENCYPART_ARC
(2,16),0.225751 # DEPENDENCYPART_ARC
(2,17),-2.16162 # DEPENDENCYPART_ARC
(2,18),-0.98648 # DEPENDENCYPART_ARC
(2,19),-1.1955 # DEPENDENCYPART_ARC
(2,20),-1.4941 # DEPENDENCYPART_ARC
(2,21),-1.29549 # DEPENDENCYPART_ARC
(2,22),-0.196131 # DEPENDENCYPART_ARC
(2,23),-3.98666 # DEPENDENCYPART_ARC
(2,24),-2.46053 # DEPENDENCYPART_ARC
(2,25),-2.38993 # DEPENDENCYPART_ARC
(2,26),-6.85968 # DEPENDENCYPART_ARC
(2,27),-2.52766 # DEPENDENCYPART_ARC
(2,28),-3.43047 # DEPENDENCYPART_ARC
(2,29),-2.12452 # DEPENDENCYPART_ARC
(2,30),-1.49537 # DEPENDENCYPART_ARC
(2,31),-1.54536 # DEPENDENCYPART_ARC
(2,32),-2.47235 # DEPENDENCYPART_ARC
(2,33),-3.05998 # DEPENDENCYPART_ARC
(2,34),-2.97136 # DEPENDENCYPART_ARC
(2,35),1.49919 # DEPENDENCYPART_ARC
(3,1),1.3696 # DEPENDENCYPART_ARC
(3,2),3.03043 # DEPENDENCYPART_ARC
(3,4),4.65668 # DEPENDENCYPART_ARC
(3,5),1.92111 # DEPENDENCYPART_ARC
