# _root_ Concerning your Sept. 19 article `` Wall Street Firms Link Analysts ' Pay to Performance , '' I 'm delighted that Wall Street is finally tuning in to the hard , cold facts of the real working world .
#goldHeads=19,5,5,5,1,5,9,9,10,5,13,11,10,10,14,19,19,19,0,19,20,23,24,21,24,24,26,26,33,33,33,33,28,33,38,38,38,34,19,
#predictedHeads=10,5,5,5,1,5,9,9,11,0,13,11,10,13,14,10,19,19,10,19,20,23,24,21,24,24,26,26,33,33,33,33,28,33,38,38,38,34,10,
(0,1),-6.30163 # DEPENDENCYPART_ARC
(0,2),-6.50344 # DEPENDENCYPART_ARC
(0,3),-6.12277 # DEPENDENCYPART_ARC
(0,4),-7.56104 # DEPENDENCYPART_ARC
(0,5),-7.09684 # DEPENDENCYPART_ARC
(0,6),-7.07546 # DEPENDENCYPART_ARC
(0,7),-7.64822 # DEPENDENCYPART_ARC
(0,8),-7.41003 # DEPENDENCYPART_ARC
(0,9),-7.66027 # DEPENDENCYPART_ARC
(0,10),-3.39524 # DEPENDENCYPART_ARC
(0,11),-8.84544 # DEPENDENCYPART_ARC
(0,12),-7.45104 # DEPENDENCYPART_ARC
(0,13),-8.19184 # DEPENDENCYPART_ARC
(0,14),-7.65256 # DEPENDENCYPART_ARC
(0,15),-8.43034 # DEPENDENCYPART_ARC
(0,16),-8.11572 # DEPENDENCYPART_ARC
(0,17),-7.13315 # DEPENDENCYPART_ARC
(0,18),-7.1662 # DEPENDENCYPART_ARC
(0,19),-3.94848 # DEPENDENCYPART_ARC
(0,20),-5.58809 # DEPENDENCYPART_ARC
(0,21),-9.57551 # DEPENDENCYPART_ARC
(0,22),-10.0743 # DEPENDENCYPART_ARC
(0,23),-9.44753 # DEPENDENCYPART_ARC
(0,24),-2.1863 # DEPENDENCYPART_ARC
(0,25),-8.64344 # DEPENDENCYPART_ARC
(0,26),-7.00038 # DEPENDENCYPART_ARC
(0,27),-9.43521 # DEPENDENCYPART_ARC
(0,28),-9.14634 # DEPENDENCYPART_ARC
(0,29),-9.94688 # DEPENDENCYPART_ARC
(0,30),-7.30282 # DEPENDENCYPART_ARC
(0,31),-10.4559 # DEPENDENCYPART_ARC
(0,32),-7.51497 # DEPENDENCYPART_ARC
(0,33),-7.80049 # DEPENDENCYPART_ARC
(0,34),-11.7563 # DEPENDENCYPART_ARC
(0,35),-10.9274 # DEPENDENCYPART_ARC
(0,36),-7.47285 # DEPENDENCYPART_ARC
(0,37),-10.0838 # DEPENDENCYPART_ARC
(0,38),-9.73812 # DEPENDENCYPART_ARC
(0,39),-6.58342 # DEPENDENCYPART_ARC
(1,2),1.73051 # DEPENDENCYPART_ARC
(1,3),2.14092 # DEPENDENCYPART_ARC
(1,4),0.928241 # DEPENDENCYPART_ARC
(1,5),2.67853 # DEPENDENCYPART_ARC
(1,6),1.1131 # DEPENDENCYPART_ARC
