# _root_ For example , Halliburton jumped 3 1\/4 to 38 , Schlumberger rose 2 1\/2 to 43 1\/4 and Baker Hughes rose 1 1\/8 to 22 .
#goldHeads=0,1,1,5,1,7,5,5,8,5,12,5,14,12,12,17,15,12,20,21,18,23,21,21,24,1,
#predictedHeads=5,1,5,5,0,7,5,5,8,12,12,5,14,12,12,17,15,12,20,21,18,23,21,21,24,5,
(0,1),-6.39923 # DEPENDENCYPART_ARC
(0,2),-5.7937 # DEPENDENCYPART_ARC
(0,3),-6.55745 # DEPENDENCYPART_ARC
(0,4),-5.47913 # DEPENDENCYPART_ARC
(0,5),-2.74001 # DEPENDENCYPART_ARC
(0,6),-7.91438 # DEPENDENCYPART_ARC
(0,7),-8.1126 # DEPENDENCYPART_ARC
(0,8),-7.1446 # DEPENDENCYPART_ARC
(0,9),-8.29662 # DEPENDENCYPART_ARC
(0,10),-7.1735 # DEPENDENCYPART_ARC
(0,11),-7.26632 # DEPENDENCYPART_ARC
(0,12),-4.36957 # DEPENDENCYPART_ARC
(0,13),-8.63116 # DEPENDENCYPART_ARC
(0,14),-8.78324 # DEPENDENCYPART_ARC
(0,15),-8.07726 # DEPENDENCYPART_ARC
(0,16),-8.99822 # DEPENDENCYPART_ARC
(0,17),-9.26237 # DEPENDENCYPART_ARC
(0,18),-8.56434 # DEPENDENCYPART_ARC
(0,19),-9.72087 # DEPENDENCYPART_ARC
(0,20),-8.40229 # DEPENDENCYPART_ARC
(0,21),-6.69651 # DEPENDENCYPART_ARC
(0,22),-9.66102 # DEPENDENCYPART_ARC
(0,23),-9.81136 # DEPENDENCYPART_ARC
(0,24),-9.45829 # DEPENDENCYPART_ARC
(0,25),-10.056 # DEPENDENCYPART_ARC
(0,26),-6.37149 # DEPENDENCYPART_ARC
(1,2),3.8328 # DEPENDENCYPART_ARC
(1,3),0.492889 # DEPENDENCYPART_ARC
(1,4),-0.693718 # DEPENDENCYPART_ARC
(1,5),-0.145273 # DEPENDENCYPART_ARC
(1,6),-1.37914 # DEPENDENCYPART_ARC
(1,7),-1.06969 # DEPENDENCYPART_ARC
(1,8),-1.26501 # DEPENDENCYPART_ARC
(1,9),-1.35618 # DEPENDENCYPART_ARC
(1,10),-0.949095 # DEPENDENCYPART_ARC
(1,11),-3.62655 # DEPENDENCYPART_ARC
(1,12),-1.65951 # DEPENDENCYPART_ARC
(1,13),-2.52515 # DEPENDENCYPART_ARC
(1,14),-2.56421 # DEPENDENCYPART_ARC
(1,15),-5.01276 # DEPENDENCYPART_ARC
(1,16),-2.55848 # DEPENDENCYPART_ARC
(1,17),-1.15465 # DEPENDENCYPART_ARC
(1,18),-1.26912 # DEPENDENCYPART_ARC
(1,19),-6.18317 # DEPENDENCYPART_ARC
(1,20),-5.30914 # DEPENDENCYPART_ARC
(1,21),-3.18671 # DEPENDENCYPART_ARC
(1,22),-3.92532 # DEPENDENCYPART_ARC
(1,23),-3.06967 # DEPENDENCYPART_ARC
(1,24),-8.85569 # DEPENDENCYPART_ARC
(1,25),-3.02294 # DEPENDENCYPART_ARC
(1,26),3.67427 # DEPENDENCYPART_ARC
(2,1),0.418104 # DEPENDENCYPART_ARC
(2,3),-0.172905 # DEPENDENCYPART_ARC
(2,4),-0.580424 # DEPENDENCYPART_ARC
(2,5),-0.271577 # DEPENDENCYPART_ARC
(2,6),-0.468046 # DEPENDENCYPART_ARC
(2,7),-0.857697 # DEPENDENCYPART_ARC
(2,8),-0.698706 # DEPENDENCYPART_ARC
(2,9),-0.893542 # DEPENDENCYPART_ARC
(2,10),-0.586456 # DEPENDENCYPART_ARC
(2,11),-1.90172 # DEPENDENCYPART_ARC
(2,12),-2.26916 # DEPENDENCYPART_ARC
(2,13),-2.05009 # DEPENDENCYPART_ARC
(2,14),-2.58795 # DEPENDENCYPART_ARC
(2,15),-2.08079 # DEPENDENCYPART_ARC
(2,16),-2.33054 # DEPENDENCYPART_ARC
(2,17),-2.78683 # DEPENDENCYPART_ARC
(2,18),-1.43068 # DEPENDENCYPART_ARC
(2,19),-2.81758 # DEPENDENCYPART_ARC
(2,20),-3.29382 # DEPENDENCYPART_ARC
(2,21),-4.17687 # DEPENDENCYPART_ARC
(2,22),-3.34534 # DEPENDENCYPART_ARC
(2,23),-3.92466 # DEPENDENCYPART_ARC
(2,24),-3.71959 # DEPENDENCYPART_ARC
(2,25),-3.76091 # DEPENDENCYPART_ARC
(2,26),0.280706 # DEPENDENCYPART_ARC
(3,1),-1.42197 # DEPENDENCYPART_ARC
(3,2),-0.970566 # DEPENDENCYPART_ARC
(3,4),-0.325517 # DEPENDENCYPART_ARC
(3,5),-0.708904 # DEPENDENCYPART_ARC
(3,6),-1.69006 # DEPENDENCYPART_ARC
(3,7),-1.95667 # DEPENDENCYPART_ARC
(3,8),-1.87979 # DEPENDENCYPART_ARC
(3,9),-2.51023 # DEPENDENCYPART_ARC
(3,10),-0.442061 # DEPENDENCYPART_ARC
(3,11),-2.35713 # DEPENDENCYPART_ARC
(3,12),-1.98869 # DEPENDENCYPART_ARC
(3,13),-2.93703 # DEPENDENCYPART_ARC
(3,14),-3.02257 # DEPENDENCYPART_ARC
(3,15),-2.61511 # DEPENDENCYPART_ARC
(3,16),-3.23423 # DEPENDENCYPART_ARC
(3,17),-3.35356 # DEPENDENCYPART_ARC
(3,18),-2.75325 # DEPENDENCYPART_ARC
(3,19),-3.2166 # DEPENDENCYPART_ARC
(3,20),-3.34786 # DEPENDENCYPART_ARC
(3,21),-2.90822 # DEPENDENCYPART_ARC
(3,22),-3.87171 # DEPENDENCYPART_ARC
(3,23),-3.93204 # DEPENDENCYPART_ARC
(3,24),-3.56361 # DEPENDENCYPART_ARC
(3,25),-4.11222 # DEPENDENCYPART_ARC
(3,26),-2.8369 # DEPENDENCYPART_ARC
(4,1),-0.603745 # DEPENDENCYPART_ARC
(4,2),-0.498403 # DEPENDENCYPART_ARC
(4,3),1.56763 # DEPENDENCYPART_ARC
(4,5),0.461809 # DEPENDENCYPART_ARC
(4,6),0.212587 # DEPENDENCYPART_ARC
(4,7),-0.249514 # DEPENDENCYPART_ARC
(4,8),-0.817637 # DEPENDENCYPART_ARC
(4,9),-0.432107 # DEPENDENCYPART_ARC
(4,10),0.230294 # DEPENDENCYPART_ARC
(4,11),-0.0262087 # DEPENDENCYPART_ARC
(4,12),-1.79942 # DEPENDENCYPART_ARC
(4,13),-2.3232 # DEPENDENCYPART_ARC
(4,14),-2.4535 # DEPENDENCYPART_ARC
(4,15),-2.14763 # DEPENDENCYPART_ARC
(4,16),-2.69014 # DEPENDENCYPART_ARC
(4,17),-3.24012 # DEPENDENCYPART_ARC
(4,18),-0.310787 # DEPENDENCYPART_ARC
(4,19),-1.3954 # DEPENDENCYPART_ARC
(4,20),-1.091 # DEPENDENCYPART_ARC
(4,21),-3.75399 # DEPENDENCYPART_ARC
(4,22),-3.94644 # DEPENDENCYPART_ARC
(4,23),-4.16991 # DEPENDENCYPART_ARC
(4,24),-3.27704 # DEPENDENCYPART_ARC
(4,25),-4.20598 # DEPENDENCYPART_ARC
(4,26),0.345622 # DEPENDENCYPART_ARC
(5,1),2.50144 # DEPENDENCYPART_ARC
(5,2),1.32293 # DEPENDENCYPART_ARC
(5,3),3.61383 # DEPENDENCYPART_ARC
(5,4),3.52001 # DEPENDENCYPART_ARC
(5,6),1.6526 # DEPENDENCYPART_ARC
(5,7),2.90182 # DEPENDENCYPART_ARC
(5,8),3.70149 # DEPENDENCYPART_ARC
(5,9),0.591355 # DEPENDENCYPART_ARC
(5,10),2.82405 # DEPENDENCYPART_ARC
(5,11),0.110583 # DEPENDENCYPART_ARC
(5,12),2.07078 # DEPENDENCYPART_ARC
(5,13),-0.735539 # DEPENDENCYPART_ARC
(5,14),1.28177 # DEPENDENCYPART_ARC
(5,15),2.2631 # DEPENDENCYPART_ARC
(5,16),-0.851084 # DEPENDENCYPART_ARC
(5,17),-0.136697 # DEPENDENCYPART_ARC
(5,18),1.66981 # DEPENDENCYPART_ARC
(5,19),-0.890871 # DEPENDENCYPART_ARC
(5,20),-0.732837 # DEPENDENCYPART_ARC
(5,21),0.661344 # DEPENDENCYPART_ARC
(5,22),-1.35596 # DEPENDENCYPART_ARC
(5,23),-0.168841 # DEPENDENCYPART_ARC
(5,24),1.0407 # DEPENDENCYPART_ARC
(5,25),-1.3009 # DEPENDENCYPART_ARC
(5,26),7.07927 # DEPENDENCYPART_ARC
(6,1),-1.69372 # DEPENDENCYPART_ARC
(6,2),-1.61165 # DEPENDENCYPART_ARC
(6,3),-0.845642 # DEPENDENCYPART_ARC
(6,4),-0.268089 # DEPENDENCYPART_ARC
(6,5),0.0669922 # DEPENDENCYPART_ARC
(6,7),0.846621 # DEPENDENCYPART_ARC
(6,8),0.69259 # DEPENDENCYPART_ARC
(6,9),-0.176936 # DEPENDENCYPART_ARC
(6,10),0.110071 # DEPENDENCYPART_ARC
(6,11),-0.529335 # DEPENDENCYPART_ARC
(6,12),-0.214034 # DEPENDENCYPART_ARC
