# _root_ The 7 1\/8 % issue of Triborough Bridge and Tunnel Authority of New York , due 2019 , was off 5\/8 at 98 1\/8 bid .
#goldHeads=5,3,5,3,19,5,8,6,8,11,9,8,14,12,5,5,16,5,0,19,20,19,24,25,22,19,
#predictedHeads=5,3,5,3,19,5,8,6,8,11,9,11,14,12,8,5,16,8,0,19,20,19,24,22,24,19,
(0,1),-6.17175 # DEPENDENCYPART_ARC
(0,2),-6.6741 # DEPENDENCYPART_ARC
(0,3),-7.07911 # DEPENDENCYPART_ARC
(0,4),-6.23638 # DEPENDENCYPART_ARC
(0,5),-5.73373 # DEPENDENCYPART_ARC
(0,6),-7.0422 # DEPENDENCYPART_ARC
(0,7),-6.86685 # DEPENDENCYPART_ARC
(0,8),-7.12867 # DEPENDENCYPART_ARC
(0,9),-7.63581 # DEPENDENCYPART_ARC
(0,10),-7.83641 # DEPENDENCYPART_ARC
(0,11),-6.98222 # DEPENDENCYPART_ARC
(0,12),-8.68033 # DEPENDENCYPART_ARC
(0,13),-8.41109 # DEPENDENCYPART_ARC
(0,14),-9.37627 # DEPENDENCYPART_ARC
(0,15),-7.77112 # DEPENDENCYPART_ARC
(0,16),-6.99304 # DEPENDENCYPART_ARC
(0,17),-8.80627 # DEPENDENCYPART_ARC
(0,18),-8.22251 # DEPENDENCYPART_ARC
(0,19),-2.37601 # DEPENDENCYPART_ARC
(0,20),-7.04368 # DEPENDENCYPART_ARC
(0,21),-9.31309 # DEPENDENCYPART_ARC
(0,22),-10.7653 # DEPENDENCYPART_ARC
(0,23),-9.61414 # DEPENDENCYPART_ARC
(0,24),-9.76376 # DEPENDENCYPART_ARC
(0,25),-8.04701 # DEPENDENCYPART_ARC
(0,26),-6.94505 # DEPENDENCYPART_ARC
(1,2),1.20801 # DEPENDENCYPART_ARC
(1,3),0.563335 # DEPENDENCYPART_ARC
(1,4),-0.89429 # DEPENDENCYPART_ARC
(1,5),-1.07835 # DEPENDENCYPART_ARC
(1,6),-0.56543 # DEPENDENCYPART_ARC
(1,7),-1.81073 # DEPENDENCYPART_ARC
(1,8),-1.87458 # DEPENDENCYPART_ARC
(1,9),-1.26594 # DEPENDENCYPART_ARC
(1,10),-2.06869 # DEPENDENCYPART_ARC
(1,11),-2.13304 # DEPENDENCYPART_ARC
(1,12),-1.73167 # DEPENDENCYPART_ARC
(1,13),-2.55185 # DEPENDENCYPART_ARC
(1,14),-2.51711 # DEPENDENCYPART_ARC
(1,15),-1.0799 # DEPENDENCYPART_ARC
(1,16),-2.27513 # DEPENDENCYPART_ARC
(1,17),-2.42259 # DEPENDENCYPART_ARC
(1,18),-1.32044 # DEPENDENCYPART_ARC
