# _root_ Even food products and automobiles , which have long depended on color , are making the switch .
#goldHeads=3,3,14,3,4,3,8,3,10,8,10,11,3,0,14,17,15,14,
#predictedHeads=3,3,14,3,4,3,8,3,8,8,10,11,5,0,14,17,15,14,
(0,1),-5.80193 # DEPENDENCYPART_ARC
(0,2),-5.9103 # DEPENDENCYPART_ARC
(0,3),-6.26937 # DEPENDENCYPART_ARC
(0,4),-7.4105 # DEPENDENCYPART_ARC
(0,5),-6.58096 # DEPENDENCYPART_ARC
(0,6),-6.67652 # DEPENDENCYPART_ARC
(0,7),-7.11414 # DEPENDENCYPART_ARC
(0,8),-4.24575 # DEPENDENCYPART_ARC
(0,9),-7.451 # DEPENDENCYPART_ARC
(0,10),-5.40186 # DEPENDENCYPART_ARC
(0,11),-6.72085 # DEPENDENCYPART_ARC
(0,12),-6.36142 # DEPENDENCYPART_ARC
(0,13),-7.5656 # DEPENDENCYPART_ARC
(0,14),-2.84843 # DEPENDENCYPART_ARC
(0,15),-7.58091 # DEPENDENCYPART_ARC
(0,16),-8.35324 # DEPENDENCYPART_ARC
(0,17),-6.15587 # DEPENDENCYPART_ARC
(0,18),-6.2146 # DEPENDENCYPART_ARC
(1,2),0.86438 # DEPENDENCYPART_ARC
(1,3),0.34078 # DEPENDENCYPART_ARC
(1,4),0.518354 # DEPENDENCYPART_ARC
(1,5),-0.587716 # DEPENDENCYPART_ARC
(1,6),0.0326229 # DEPENDENCYPART_ARC
(1,7),-0.792984 # DEPENDENCYPART_ARC
(1,8),0.261274 # DEPENDENCYPART_ARC
(1,9),-0.423539 # DEPENDENCYPART_ARC
(1,10),-0.814336 # DEPENDENCYPART_ARC
(1,11),-0.690984 # DEPENDENCYPART_ARC
(1,12),-2.37869 # DEPENDENCYPART_ARC
(1,13),-0.0998596 # DEPENDENCYPART_ARC
(1,14),-0.847849 # DEPENDENCYPART_ARC
(1,15),-1.21767 # DEPENDENCYPART_ARC
(1,16),-1.728 # DEPENDENCYPART_ARC
(1,17),-3.52824 # DEPENDENCYPART_ARC
(1,18),0.16655 # DEPENDENCYPART_ARC
(2,1),1.26305 # DEPENDENCYPART_ARC
(2,3),1.59274 # DEPENDENCYPART_ARC
(2,4),0.920344 # DEPENDENCYPART_ARC
(2,5),0.256495 # DEPENDENCYPART_ARC
(2,6),0.669375 # DEPENDENCYPART_ARC
(2,7),-1.32213 # DEPENDENCYPART_ARC
(2,8),1.2397 # DEPENDENCYPART_ARC
(2,9),-0.876576 # DEPENDENCYPART_ARC
(2,10),-0.587796 # DEPENDENCYPART_ARC
(2,11),-0.662151 # DEPENDENCYPART_ARC
(2,12),-1.24343 # DEPENDENCYPART_ARC
(2,13),0.267159 # DEPENDENCYPART_ARC
(2,14),-0.221514 # DEPENDENCYPART_ARC
(2,15),-1.18316 # DEPENDENCYPART_ARC
(2,16),-1.82258 # DEPENDENCYPART_ARC
(2,17),-2.02607 # DEPENDENCYPART_ARC
(2,18),0.665814 # DEPENDENCYPART_ARC
(3,1),2.4193 # DEPENDENCYPART_ARC
(3,2),4.67117 # DEPENDENCYPART_ARC
(3,4),3.89878 # DEPENDENCYPART_ARC
(3,5),1.49456 # DEPENDENCYPART_ARC
(3,6),2.2515 # DEPENDENCYPART_ARC
(3,7),-1.06072 # DEPENDENCYPART_ARC
(3,8),2.66765 # DEPENDENCYPART_ARC
(3,9),0.169063 # DEPENDENCYPART_ARC
(3,10),0.62908 # DEPENDENCYPART_ARC
(3,11),-0.18924 # DEPENDENCYPART_ARC
(3,12),0.1885 # DEPENDENCYPART_ARC
(3,13),1.94734 # DEPENDENCYPART_ARC
(3,14),0.342567 # DEPENDENCYPART_ARC
(3,15),-0.480916 # DEPENDENCYPART_ARC
(3,16),-0.762992 # DEPENDENCYPART_ARC
(3,17),-1.26693 # DEPENDENCYPART_ARC
(3,18),-0.230837 # DEPENDENCYPART_ARC
(4,1),-1.02116 # DEPENDENCYPART_ARC
(4,2),-0.51207 # DEPENDENCYPART_ARC
(4,3),0.31933 # DEPENDENCYPART_ARC
(4,5),3.68529 # DEPENDENCYPART_ARC
(4,6),0.817615 # DEPENDENCYPART_ARC
(4,7),-1.4375 # DEPENDENCYPART_ARC
(4,8),0.575521 # DEPENDENCYPART_ARC
(4,9),-1.08457 # DEPENDENCYPART_ARC
(4,10),-0.505439 # DEPENDENCYPART_ARC
(4,11),-1.48815 # DEPENDENCYPART_ARC
(4,12),-1.59831 # DEPENDENCYPART_ARC
(4,13),-0.450734 # DEPENDENCYPART_ARC
(4,14),-0.288241 # DEPENDENCYPART_ARC
(4,15),-0.945711 # DEPENDENCYPART_ARC
(4,16),-2.69543 # DEPENDENCYPART_ARC
(4,17),-3.57037 # DEPENDENCYPART_ARC
(4,18),-1.19766 # DEPENDENCYPART_ARC
(5,1),-0.214119 # DEPENDENCYPART_ARC
(5,2),0.494125 # DEPENDENCYPART_ARC
(5,3),-0.25414 # DEPENDENCYPART_ARC
(5,4),0.219714 # DEPENDENCYPART_ARC
(5,6),1.66755 # DEPENDENCYPART_ARC
(5,7),-0.912226 # DEPENDENCYPART_ARC
(5,8),2.06421 # DEPENDENCYPART_ARC
(5,9),-0.428173 # DEPENDENCYPART_ARC
(5,10),0.0409984 # DEPENDENCYPART_ARC
(5,11),0.188714 # DEPENDENCYPART_ARC
(5,12),0.292628 # DEPENDENCYPART_ARC
(5,13),2.20064 # DEPENDENCYPART_ARC
(5,14),-0.203272 # DEPENDENCYPART_ARC
(5,15),-1.12754 # DEPENDENCYPART_ARC
(5,16),-1.08046 # DEPENDENCYPART_ARC
(5,17),-1.50871 # DEPENDENCYPART_ARC
(5,18),-0.854322 # DEPENDENCYPART_ARC
(6,1),-2.18899 # DEPENDENCYPART_ARC
(6,2),-1.51704 # DEPENDENCYPART_ARC
(6,3),-1.69635 # DEPENDENCYPART_ARC
(6,4),-1.25239 # DEPENDENCYPART_ARC
(6,5),-1.17076 # DEPENDENCYPART_ARC
(6,7),-0.853241 # DEPENDENCYPART_ARC
(6,8),-0.601594 # DEPENDENCYPART_ARC
(6,9),-1.39657 # DEPENDENCYPART_ARC
(6,10),-1.56356 # DEPENDENCYPART_ARC
(6,11),-1.53774 # DEPENDENCYPART_ARC
(6,12),-2.19885 # DEPENDENCYPART_ARC
(6,13),0.0775162 # DEPENDENCYPART_ARC
(6,14),-1.95735 # DEPENDENCYPART_ARC
(6,15),-1.92452 # DEPENDENCYPART_ARC
(6,16),-2.42234 # DEPENDENCYPART_ARC
(6,17),-2.79029 # DEPENDENCYPART_ARC
(6,18),-1.84964 # DEPENDENCYPART_ARC
(7,1),-1.35341 # DEPENDENCYPART_ARC
(7,2),-1.20523 # DEPENDENCYPART_ARC
(7,3),-1.09894 # DEPENDENCYPART_ARC
(7,4),-0.898974 # DEPENDENCYPART_ARC
(7,5),-0.635183 # DEPENDENCYPART_ARC
(7,6),0.37362 # DEPENDENCYPART_ARC
(7,8),0.691346 # DEPENDENCYPART_ARC
(7,9),-0.757289 # DEPENDENCYPART_ARC
(7,10),-0.811756 # DEPENDENCYPART_ARC
(7,11),-1.0622 # DEPENDENCYPART_ARC
(7,12),-0.860861 # DEPENDENCYPART_ARC
(7,13),-0.836845 # DEPENDENCYPART_ARC
(7,14),-1.27258 # DEPENDENCYPART_ARC
(7,15),-1.52656 # DEPENDENCYPART_ARC
(7,16),-2.11534 # DEPENDENCYPART_ARC
(7,17),-1.63308 # DEPENDENCYPART_ARC
(7,18),-1.32459 # DEPENDENCYPART_ARC
(8,1),-0.203188 # DEPENDENCYPART_ARC
(8,2),-0.970081 # DEPENDENCYPART_ARC
(8,3),-0.962385 # DEPENDENCYPART_ARC
(8,4),-1.19282 # DEPENDENCYPART_ARC
(8,5),0.0199117 # DEPENDENCYPART_ARC
(8,6),-0.27773 # DEPENDENCYPART_ARC
(8,7),3.05347 # DEPENDENCYPART_ARC
(8,9),3.44716 # DEPENDENCYPART_ARC
(8,10),3.76565 # DEPENDENCYPART_ARC
(8,11),1.86439 # DEPENDENCYPART_ARC
(8,12),0.848275 # DEPENDENCYPART_ARC
(8,13),1.70596 # DEPENDENCYPART_ARC
(8,14),1.03317 # DEPENDENCYPART_ARC
(8,15),0.825944 # DEPENDENCYPART_ARC
(8,16),-1.20327 # DEPENDENCYPART_ARC
(8,17),-0.208354 # DEPENDENCYPART_ARC
(8,18),2.03281 # DEPENDENCYPART_ARC
(9,1),-1.58395 # DEPENDENCYPART_ARC
(9,2),-1.77388 # DEPENDENCYPART_ARC
(9,3),-1.506 # DEPENDENCYPART_ARC
(9,4),-1.63056 # DEPENDENCYPART_ARC
(9,5),-1.31994 # DEPENDENCYPART_ARC
(9,6),-0.382244 # DEPENDENCYPART_ARC
(9,7),0.181761 # DEPENDENCYPART_ARC
(9,8),-0.0662443 # DEPENDENCYPART_ARC
(9,10),0.808932 # DEPENDENCYPART_ARC
(9,11),1.07455 # DEPENDENCYPART_ARC
(9,12),-0.00157121 # DEPENDENCYPART_ARC
(9,13),0.185149 # DEPENDENCYPART_ARC
(9,14),-0.0289897 # DEPENDENCYPART_ARC
(9,15),-0.422413 # DEPENDENCYPART_ARC
(9,16),-0.880416 # DEPENDENCYPART_ARC
(9,17),-1.7465 # DEPENDENCYPART_ARC
(9,18),-0.896563 # DEPENDENCYPART_ARC
(10,1),-0.258511 # DEPENDENCYPART_ARC
(10,2),-0.254879 # DEPENDENCYPART_ARC
(10,3),-0.360557 # DEPENDENCYPART_ARC
(10,4),-0.714812 # DEPENDENCYPART_ARC
(10,5),-0.271922 # DEPENDENCYPART_ARC
(10,6),0.415307 # DEPENDENCYPART_ARC
(10,7),1.79226 # DEPENDENCYPART_ARC
(10,8),0.511551 # DEPENDENCYPART_ARC
(10,9),2.33895 # DEPENDENCYPART_ARC
(10,11),3.92867 # DEPENDENCYPART_ARC
(10,12),1.57882 # DEPENDENCYPART_ARC
(10,13),1.72985 # DEPENDENCYPART_ARC
(10,14),0.859614 # DEPENDENCYPART_ARC
(10,15),1.11872 # DEPENDENCYPART_ARC
(10,16),-0.212601 # DEPENDENCYPART_ARC
(10,17),-0.193209 # DEPENDENCYPART_ARC
(10,18),0.879706 # DEPENDENCYPART_ARC
(11,1),-0.496591 # DEPENDENCYPART_ARC
(11,2),-1.68024 # DEPENDENCYPART_ARC
(11,3),-0.397191 # DEPENDENCYPART_ARC
(11,4),-0.938907 # DEPENDENCYPART_ARC
(11,5),-0.583145 # DEPENDENCYPART_ARC
(11,6),-0.687962 # DEPENDENCYPART_ARC
(11,7),0.843047 # DEPENDENCYPART_ARC
(11,8),-0.38606 # DEPENDENCYPART_ARC
(11,9),0.473201 # DEPENDENCYPART_ARC
(11,10),0.643724 # DEPENDENCYPART_ARC
(11,12),3.96422 # DEPENDENCYPART_ARC
(11,13),0.640029 # DEPENDENCYPART_ARC
(11,14),0.339305 # DEPENDENCYPART_ARC
(11,15),-0.239829 # DEPENDENCYPART_ARC
