# _root_ Then , nine minutes later , Wall Street suddenly rebounded to a gain on the day .
#goldHeads=10,10,4,5,10,10,8,10,10,0,10,13,11,13,16,14,10,
#predictedHeads=4,10,4,5,10,10,8,10,10,0,10,13,11,13,16,14,10,
(0,1),-5.43544 # DEPENDENCYPART_ARC
(0,2),-6.66073 # DEPENDENCYPART_ARC
(0,3),-7.11032 # DEPENDENCYPART_ARC
(0,4),-6.04416 # DEPENDENCYPART_ARC
(0,5),-6.50646 # DEPENDENCYPART_ARC
(0,6),-6.64692 # DEPENDENCYPART_ARC
(0,7),-6.51659 # DEPENDENCYPART_ARC
(0,8),-5.66991 # DEPENDENCYPART_ARC
(0,9),-6.90502 # DEPENDENCYPART_ARC
(0,10),-5.09685 # DEPENDENCYPART_ARC
(0,11),-6.79642 # DEPENDENCYPART_ARC
(0,12),-7.55848 # DEPENDENCYPART_ARC
(0,13),-6.45239 # DEPENDENCYPART_ARC
(0,14),-7.37595 # DEPENDENCYPART_ARC
(0,15),-8.17742 # DEPENDENCYPART_ARC
(0,16),-6.11354 # DEPENDENCYPART_ARC
(0,17),-5.4043 # DEPENDENCYPART_ARC
(1,2),0.635811 # DEPENDENCYPART_ARC
(1,3),0.99465 # DEPENDENCYPART_ARC
(1,4),-0.622001 # DEPENDENCYPART_ARC
(1,5),-0.929943 # DEPENDENCYPART_ARC
(1,6),-0.140506 # DEPENDENCYPART_ARC
(1,7),-1.69224 # DEPENDENCYPART_ARC
(1,8),-1.75985 # DEPENDENCYPART_ARC
(1,9),-2.0414 # DEPENDENCYPART_ARC
(1,10),-1.55898 # DEPENDENCYPART_ARC
(1,11),-1.38327 # DEPENDENCYPART_ARC
(1,12),-1.12236 # DEPENDENCYPART_ARC
(1,13),-3.24145 # DEPENDENCYPART_ARC
(1,14),-1.66783 # DEPENDENCYPART_ARC
(1,15),-1.82869 # DEPENDENCYPART_ARC
(1,16),-3.44415 # DEPENDENCYPART_ARC
(1,17),-0.209402 # DEPENDENCYPART_ARC
(2,1),-1.88071 # DEPENDENCYPART_ARC
(2,3),-0.528871 # DEPENDENCYPART_ARC
(2,4),-1.07094 # DEPENDENCYPART_ARC
(2,5),-1.43273 # DEPENDENCYPART_ARC
(2,6),0.00568859 # DEPENDENCYPART_ARC
(2,7),-1.65716 # DEPENDENCYPART_ARC
(2,8),-2.09422 # DEPENDENCYPART_ARC
(2,9),-2.05783 # DEPENDENCYPART_ARC
(2,10),-1.92747 # DEPENDENCYPART_ARC
(2,11),-2.11153 # DEPENDENCYPART_ARC
(2,12),-2.47861 # DEPENDENCYPART_ARC
(2,13),-2.99257 # DEPENDENCYPART_ARC
(2,14),-2.07353 # DEPENDENCYPART_ARC
(2,15),-2.84993 # DEPENDENCYPART_ARC
(2,16),-3.36021 # DEPENDENCYPART_ARC
(2,17),-2.21224 # DEPENDENCYPART_ARC
(3,1),-0.315791 # DEPENDENCYPART_ARC
(3,2),0.0785767 # DEPENDENCYPART_ARC
(3,4),0.547945 # DEPENDENCYPART_ARC
(3,5),-0.215267 # DEPENDENCYPART_ARC
(3,6),0.3591 # DEPENDENCYPART_ARC
(3,7),-0.622717 # DEPENDENCYPART_ARC
(3,8),-0.722125 # DEPENDENCYPART_ARC
(3,9),-0.725916 # DEPENDENCYPART_ARC
(3,10),-1.04839 # DEPENDENCYPART_ARC
(3,11),-1.086 # DEPENDENCYPART_ARC
(3,12),-1.33331 # DEPENDENCYPART_ARC
(3,13),-1.07151 # DEPENDENCYPART_ARC
(3,14),-1.18393 # DEPENDENCYPART_ARC
(3,15),-1.89214 # DEPENDENCYPART_ARC
(3,16),-1.01213 # DEPENDENCYPART_ARC
(3,17),-0.94374 # DEPENDENCYPART_ARC
(4,1),0.727415 # DEPENDENCYPART_ARC
(4,2),0.893516 # DEPENDENCYPART_ARC
(4,3),4.19599 # DEPENDENCYPART_ARC
(4,5),0.971975 # DEPENDENCYPART_ARC
(4,6),0.033352 # DEPENDENCYPART_ARC
(4,7),0.3942 # DEPENDENCYPART_ARC
(4,8),0.340784 # DEPENDENCYPART_ARC
(4,9),-0.0104742 # DEPENDENCYPART_ARC
(4,10),-0.402615 # DEPENDENCYPART_ARC
(4,11),-0.339695 # DEPENDENCYPART_ARC
(4,12),-0.372128 # DEPENDENCYPART_ARC
(4,13),0.183276 # DEPENDENCYPART_ARC
(4,14),0.935299 # DEPENDENCYPART_ARC
(4,15),-1.01031 # DEPENDENCYPART_ARC
(4,16),0.0283924 # DEPENDENCYPART_ARC
(4,17),0.410017 # DEPENDENCYPART_ARC
(5,1),-0.147289 # DEPENDENCYPART_ARC
(5,2),0.63181 # DEPENDENCYPART_ARC
(5,3),0.76935 # DEPENDENCYPART_ARC
(5,4),2.5735 # DEPENDENCYPART_ARC
(5,6),1.02384 # DEPENDENCYPART_ARC
(5,7),0.238182 # DEPENDENCYPART_ARC
(5,8),-0.0610388 # DEPENDENCYPART_ARC
(5,9),-0.123767 # DEPENDENCYPART_ARC
(5,10),-0.688277 # DEPENDENCYPART_ARC
(5,11),-0.0942296 # DEPENDENCYPART_ARC
(5,12),-0.413509 # DEPENDENCYPART_ARC
(5,13),-1.26175 # DEPENDENCYPART_ARC
(5,14),-0.56471 # DEPENDENCYPART_ARC
(5,15),-1.18021 # DEPENDENCYPART_ARC
(5,16),-1.57814 # DEPENDENCYPART_ARC
(5,17),0.425872 # DEPENDENCYPART_ARC
(6,1),-2.75978 # DEPENDENCYPART_ARC
(6,2),-0.464843 # DEPENDENCYPART_ARC
(6,3),-1.52656 # DEPENDENCYPART_ARC
(6,4),-1.92961 # DEPENDENCYPART_ARC
(6,5),-1.25341 # DEPENDENCYPART_ARC
