# _root_ Far better for policy makers to concentrate on the war against drugs , Panama and the deficit , all of them parades that seem never to end .
#goldHeads=3,1,0,5,6,3,6,7,10,8,10,11,10,10,14,17,15,10,22,19,20,10,24,22,26,24,26,3,
#predictedHeads=0,1,2,5,3,3,6,7,10,8,10,11,12,12,14,17,15,17,17,19,22,20,24,22,24,24,26,2,
(0,1),-5.9428 # DEPENDENCYPART_ARC
(0,2),-5.82044 # DEPENDENCYPART_ARC
(0,3),-6.0663 # DEPENDENCYPART_ARC
(0,4),-6.06354 # DEPENDENCYPART_ARC
(0,5),-5.66622 # DEPENDENCYPART_ARC
(0,6),-6.79991 # DEPENDENCYPART_ARC
(0,7),-6.03956 # DEPENDENCYPART_ARC
(0,8),-6.84372 # DEPENDENCYPART_ARC
(0,9),-7.82094 # DEPENDENCYPART_ARC
(0,10),-6.33595 # DEPENDENCYPART_ARC
(0,11),-7.29462 # DEPENDENCYPART_ARC
(0,12),-6.21083 # DEPENDENCYPART_ARC
(0,13),-7.74464 # DEPENDENCYPART_ARC
(0,14),-7.18701 # DEPENDENCYPART_ARC
(0,15),-8.47367 # DEPENDENCYPART_ARC
(0,16),-8.6283 # DEPENDENCYPART_ARC
(0,17),-6.44034 # DEPENDENCYPART_ARC
(0,18),-8.54797 # DEPENDENCYPART_ARC
(0,19),-8.81319 # DEPENDENCYPART_ARC
(0,20),-8.66054 # DEPENDENCYPART_ARC
(0,21),-8.78466 # DEPENDENCYPART_ARC
(0,22),-6.17626 # DEPENDENCYPART_ARC
(0,23),-8.26409 # DEPENDENCYPART_ARC
(0,24),-3.62322 # DEPENDENCYPART_ARC
(0,25),-9.33365 # DEPENDENCYPART_ARC
(0,26),-9.35073 # DEPENDENCYPART_ARC
(0,27),-7.8567 # DEPENDENCYPART_ARC
(0,28),-5.05299 # DEPENDENCYPART_ARC
(1,2),2.59914 # DEPENDENCYPART_ARC
(1,3),1.34583 # DEPENDENCYPART_ARC
(1,4),0.245974 # DEPENDENCYPART_ARC
(1,5),0.279371 # DEPENDENCYPART_ARC
(1,6),0.531966 # DEPENDENCYPART_ARC
(1,7),0.0241164 # DEPENDENCYPART_ARC
(1,8),0.92823 # DEPENDENCYPART_ARC
(1,9),-0.333871 # DEPENDENCYPART_ARC
(1,10),-1.65504 # DEPENDENCYPART_ARC
(1,11),0.00830674 # DEPENDENCYPART_ARC
(1,12),-1.37401 # DEPENDENCYPART_ARC
(1,13),-0.104402 # DEPENDENCYPART_ARC
(1,14),-1.29164 # DEPENDENCYPART_ARC
(1,15),-0.0822722 # DEPENDENCYPART_ARC
(1,16),-1.1559 # DEPENDENCYPART_ARC
(1,17),-2.81726 # DEPENDENCYPART_ARC
(1,18),-0.591701 # DEPENDENCYPART_ARC
(1,19),-1.25539 # DEPENDENCYPART_ARC
(1,20),-1.55507 # DEPENDENCYPART_ARC
(1,21),-1.51627 # DEPENDENCYPART_ARC
(1,22),-3.39111 # DEPENDENCYPART_ARC
(1,23),-1.39971 # DEPENDENCYPART_ARC
(1,24),-1.31126 # DEPENDENCYPART_ARC
(1,25),-1.92313 # DEPENDENCYPART_ARC
(1,26),-3.72579 # DEPENDENCYPART_ARC
(1,27),-1.72892 # DEPENDENCYPART_ARC
(1,28),0.190269 # DEPENDENCYPART_ARC
(2,1),1.90697 # DEPENDENCYPART_ARC
(2,3),1.82074 # DEPENDENCYPART_ARC
(2,4),1.19799 # DEPENDENCYPART_ARC
(2,5),0.829914 # DEPENDENCYPART_ARC
(2,6),0.639051 # DEPENDENCYPART_ARC
(2,7),0.0103674 # DEPENDENCYPART_ARC
(2,8),0.603157 # DEPENDENCYPART_ARC
(2,9),-0.325708 # DEPENDENCYPART_ARC
(2,10),-0.442243 # DEPENDENCYPART_ARC
(2,11),0.301906 # DEPENDENCYPART_ARC
(2,12),-0.387006 # DEPENDENCYPART_ARC
(2,13),-0.298079 # DEPENDENCYPART_ARC
(2,14),-0.783424 # DEPENDENCYPART_ARC
(2,15),-0.319997 # DEPENDENCYPART_ARC
