# _root_ In fact , Lever Bros. confirms that its Sunlight brand does contain chlorine bleach , even though it is n't listed on the label for the powder version .
#goldHeads=6,1,6,6,4,0,6,10,10,11,7,11,14,12,12,17,12,19,17,19,19,21,24,22,24,28,28,25,6,
#predictedHeads=6,1,6,5,6,0,6,10,10,11,7,11,14,12,12,17,6,19,17,19,19,21,24,22,24,28,28,25,6,
(0,1),-6.34841 # DEPENDENCYPART_ARC
(0,2),-5.80127 # DEPENDENCYPART_ARC
(0,3),-6.44488 # DEPENDENCYPART_ARC
(0,4),-6.13127 # DEPENDENCYPART_ARC
(0,5),-4.82674 # DEPENDENCYPART_ARC
(0,6),-3.07776 # DEPENDENCYPART_ARC
(0,7),-6.90656 # DEPENDENCYPART_ARC
(0,8),-6.9747 # DEPENDENCYPART_ARC
(0,9),-6.85576 # DEPENDENCYPART_ARC
(0,10),-7.17423 # DEPENDENCYPART_ARC
(0,11),-3.61951 # DEPENDENCYPART_ARC
(0,12),-5.81656 # DEPENDENCYPART_ARC
(0,13),-6.74913 # DEPENDENCYPART_ARC
(0,14),-6.89497 # DEPENDENCYPART_ARC
(0,15),-7.94849 # DEPENDENCYPART_ARC
(0,16),-7.78884 # DEPENDENCYPART_ARC
(0,17),-7.5078 # DEPENDENCYPART_ARC
(0,18),-7.07513 # DEPENDENCYPART_ARC
(0,19),-3.40434 # DEPENDENCYPART_ARC
(0,20),-7.91395 # DEPENDENCYPART_ARC
(0,21),-6.20366 # DEPENDENCYPART_ARC
(0,22),-7.99682 # DEPENDENCYPART_ARC
(0,23),-9.24811 # DEPENDENCYPART_ARC
(0,24),-7.60486 # DEPENDENCYPART_ARC
(0,25),-6.36758 # DEPENDENCYPART_ARC
(0,26),-9.78483 # DEPENDENCYPART_ARC
(0,27),-7.27902 # DEPENDENCYPART_ARC
(0,28),-7.04824 # DEPENDENCYPART_ARC
(0,29),-4.78665 # DEPENDENCYPART_ARC
(1,2),4.33665 # DEPENDENCYPART_ARC
(1,3),0.639633 # DEPENDENCYPART_ARC
(1,4),-0.166998 # DEPENDENCYPART_ARC
