# _root_ `` This is not the sort of market to have a big position in , '' said David Smith , who heads trading in all non-U.S. stocks .
#goldHeads=17,3,17,3,6,3,6,7,6,9,13,13,10,10,17,17,0,19,17,19,22,19,22,23,27,27,24,17,
#predictedHeads=17,3,17,3,6,3,6,7,6,9,13,13,10,13,17,17,0,19,17,19,22,19,22,23,27,27,24,17,
(0,1),-6.40372 # DEPENDENCYPART_ARC
(0,2),-6.56405 # DEPENDENCYPART_ARC
(0,3),-3.04524 # DEPENDENCYPART_ARC
(0,4),-7.08885 # DEPENDENCYPART_ARC
(0,5),-7.32093 # DEPENDENCYPART_ARC
(0,6),-6.62901 # DEPENDENCYPART_ARC
(0,7),-6.64824 # DEPENDENCYPART_ARC
(0,8),-6.34554 # DEPENDENCYPART_ARC
(0,9),-6.94941 # DEPENDENCYPART_ARC
(0,10),-6.02376 # DEPENDENCYPART_ARC
(0,11),-7.51405 # DEPENDENCYPART_ARC
(0,12),-6.81944 # DEPENDENCYPART_ARC
(0,13),-6.14518 # DEPENDENCYPART_ARC
(0,14),-7.52878 # DEPENDENCYPART_ARC
(0,15),-7.86818 # DEPENDENCYPART_ARC
(0,16),-6.87991 # DEPENDENCYPART_ARC
(0,17),1.33666 # DEPENDENCYPART_ARC
(0,18),-6.64564 # DEPENDENCYPART_ARC
(0,19),-6.38378 # DEPENDENCYPART_ARC
(0,20),-8.51865 # DEPENDENCYPART_ARC
(0,21),-7.79919 # DEPENDENCYPART_ARC
(0,22),-4.44994 # DEPENDENCYPART_ARC
(0,23),-7.52027 # DEPENDENCYPART_ARC
(0,24),-8.82387 # DEPENDENCYPART_ARC
(0,25),-9.16151 # DEPENDENCYPART_ARC
(0,26),-7.18691 # DEPENDENCYPART_ARC
(0,27),-5.76657 # DEPENDENCYPART_ARC
(0,28),-4.48033 # DEPENDENCYPART_ARC
(1,2),-1.92668 # DEPENDENCYPART_ARC
(1,3),-1.76264 # DEPENDENCYPART_ARC
(1,4),-2.0969 # DEPENDENCYPART_ARC
(1,5),-3.08845 # DEPENDENCYPART_ARC
(1,6),-3.0335 # DEPENDENCYPART_ARC
(1,7),-2.75438 # DEPENDENCYPART_ARC
(1,8),-3.03123 # DEPENDENCYPART_ARC
(1,9),-3.05201 # DEPENDENCYPART_ARC
(1,10),-3.23684 # DEPENDENCYPART_ARC
(1,11),-3.63141 # DEPENDENCYPART_ARC
(1,12),-3.19445 # DEPENDENCYPART_ARC
(1,13),-3.501 # DEPENDENCYPART_ARC
(1,14),-3.49682 # DEPENDENCYPART_ARC
(1,15),-2.93743 # DEPENDENCYPART_ARC
(1,16),-1.58703 # DEPENDENCYPART_ARC
(1,17),-3.56004 # DEPENDENCYPART_ARC
(1,18),-4.10143 # DEPENDENCYPART_ARC
(1,19),-4.23554 # DEPENDENCYPART_ARC
(1,20),-3.45558 # DEPENDENCYPART_ARC
(1,21),-4.86505 # DEPENDENCYPART_ARC
(1,22),-3.94171 # DEPENDENCYPART_ARC
(1,23),-4.20481 # DEPENDENCYPART_ARC
(1,24),-4.66573 # DEPENDENCYPART_ARC
(1,25),-5.09419 # DEPENDENCYPART_ARC
(1,26),-4.58815 # DEPENDENCYPART_ARC
(1,27),-5.6413 # DEPENDENCYPART_ARC
(1,28),-3.94211 # DEPENDENCYPART_ARC
(2,1),0.070632 # DEPENDENCYPART_ARC
(2,3),0.121473 # DEPENDENCYPART_ARC
(2,4),-0.925607 # DEPENDENCYPART_ARC
(2,5),-1.76607 # DEPENDENCYPART_ARC
(2,6),-1.25395 # DEPENDENCYPART_ARC
(2,7),-1.08358 # DEPENDENCYPART_ARC
(2,8),-1.63785 # DEPENDENCYPART_ARC
(2,9),-1.48835 # DEPENDENCYPART_ARC
(2,10),-1.80117 # DEPENDENCYPART_ARC
(2,11),-2.50338 # DEPENDENCYPART_ARC
(2,12),-2.10564 # DEPENDENCYPART_ARC
(2,13),-2.34342 # DEPENDENCYPART_ARC
(2,14),-2.61291 # DEPENDENCYPART_ARC
(2,15),-2.18556 # DEPENDENCYPART_ARC
(2,16),-0.692467 # DEPENDENCYPART_ARC
(2,17),-3.13202 # DEPENDENCYPART_ARC
(2,18),-3.12435 # DEPENDENCYPART_ARC
(2,19),-3.14343 # DEPENDENCYPART_ARC
