# _root_ However , this was brushed aside by concern over the stock market , the analyst said .
#goldHeads=4,4,4,16,4,5,5,7,8,12,12,9,16,15,16,0,16,
#predictedHeads=4,4,4,16,4,5,5,7,5,12,12,9,16,15,16,0,16,
(0,1),-5.13373 # DEPENDENCYPART_ARC
(0,2),-6.78326 # DEPENDENCYPART_ARC
(0,3),-6.94721 # DEPENDENCYPART_ARC
(0,4),-3.08769 # DEPENDENCYPART_ARC
(0,5),-5.08085 # DEPENDENCYPART_ARC
(0,6),-6.84516 # DEPENDENCYPART_ARC
(0,7),-6.62002 # DEPENDENCYPART_ARC
(0,8),-6.66916 # DEPENDENCYPART_ARC
(0,9),-6.6584 # DEPENDENCYPART_ARC
(0,10),-7.90282 # DEPENDENCYPART_ARC
(0,11),-6.09566 # DEPENDENCYPART_ARC
(0,12),-6.08486 # DEPENDENCYPART_ARC
(0,13),-7.87802 # DEPENDENCYPART_ARC
(0,14),-8.40794 # DEPENDENCYPART_ARC
(0,15),-5.95445 # DEPENDENCYPART_ARC
(0,16),-0.373138 # DEPENDENCYPART_ARC
(0,17),-5.03806 # DEPENDENCYPART_ARC
(1,2),0.44648 # DEPENDENCYPART_ARC
(1,3),-0.0414786 # DEPENDENCYPART_ARC
(1,4),0.516548 # DEPENDENCYPART_ARC
(1,5),-0.424947 # DEPENDENCYPART_ARC
(1,6),-0.676651 # DEPENDENCYPART_ARC
(1,7),-0.730491 # DEPENDENCYPART_ARC
(1,8),-2.40689 # DEPENDENCYPART_ARC
(1,9),-0.852876 # DEPENDENCYPART_ARC
(1,10),-1.26344 # DEPENDENCYPART_ARC
(1,11),-2.77056 # DEPENDENCYPART_ARC
(1,12),-2.63271 # DEPENDENCYPART_ARC
(1,13),-0.543863 # DEPENDENCYPART_ARC
(1,14),-1.95689 # DEPENDENCYPART_ARC
(1,15),-3.69098 # DEPENDENCYPART_ARC
(1,16),-1.09085 # DEPENDENCYPART_ARC
(1,17),1.90323 # DEPENDENCYPART_ARC
(2,1),-1.23065 # DEPENDENCYPART_ARC
(2,3),-0.616617 # DEPENDENCYPART_ARC
(2,4),-0.597901 # DEPENDENCYPART_ARC
(2,5),-1.34173 # DEPENDENCYPART_ARC
(2,6),-1.72838 # DEPENDENCYPART_ARC
(2,7),-1.5488 # DEPENDENCYPART_ARC
(2,8),-2.54851 # DEPENDENCYPART_ARC
(2,9),-1.56696 # DEPENDENCYPART_ARC
(2,10),-2.30017 # DEPENDENCYPART_ARC
(2,11),-2.87063 # DEPENDENCYPART_ARC
(2,12),-2.92566 # DEPENDENCYPART_ARC
(2,13),-1.03549 # DEPENDENCYPART_ARC
(2,14),-2.75014 # DEPENDENCYPART_ARC
(2,15),-3.32168 # DEPENDENCYPART_ARC
(2,16),-2.36563 # DEPENDENCYPART_ARC
(2,17),-2.3386 # DEPENDENCYPART_ARC
(3,1),-0.194021 # DEPENDENCYPART_ARC
(3,2),0.403373 # DEPENDENCYPART_ARC
(3,4),0.825926 # DEPENDENCYPART_ARC
(3,5),-0.0687305 # DEPENDENCYPART_ARC
(3,6),-0.851411 # DEPENDENCYPART_ARC
(3,7),-1.2924 # DEPENDENCYPART_ARC
(3,8),-1.19216 # DEPENDENCYPART_ARC
(3,9),-1.45352 # DEPENDENCYPART_ARC
(3,10),-1.97136 # DEPENDENCYPART_ARC
(3,11),-1.63869 # DEPENDENCYPART_ARC
(3,12),-1.61221 # DEPENDENCYPART_ARC
(3,13),-1.22781 # DEPENDENCYPART_ARC
(3,14),-2.61725 # DEPENDENCYPART_ARC
(3,15),-2.11303 # DEPENDENCYPART_ARC
(3,16),-2.60734 # DEPENDENCYPART_ARC
(3,17),-0.614149 # DEPENDENCYPART_ARC
(4,1),2.47116 # DEPENDENCYPART_ARC
(4,2),3.26541 # DEPENDENCYPART_ARC
(4,3),2.75824 # DEPENDENCYPART_ARC
(4,5),3.62148 # DEPENDENCYPART_ARC
(4,6),0.353889 # DEPENDENCYPART_ARC
(4,7),0.151542 # DEPENDENCYPART_ARC
(4,8),-0.233581 # DEPENDENCYPART_ARC
(4,9),0.0554005 # DEPENDENCYPART_ARC
(4,10),-1.67163 # DEPENDENCYPART_ARC
(4,11),-1.4257 # DEPENDENCYPART_ARC
(4,12),-1.5354 # DEPENDENCYPART_ARC
(4,13),0.250803 # DEPENDENCYPART_ARC
(4,14),-1.86335 # DEPENDENCYPART_ARC
(4,15),-2.49362 # DEPENDENCYPART_ARC
(4,16),-0.855925 # DEPENDENCYPART_ARC
(4,17),4.29302 # DEPENDENCYPART_ARC
(5,1),-0.124802 # DEPENDENCYPART_ARC
(5,2),0.737729 # DEPENDENCYPART_ARC
(5,3),0.747712 # DEPENDENCYPART_ARC
(5,4),0.535918 # DEPENDENCYPART_ARC
(5,6),3.06364 # DEPENDENCYPART_ARC
(5,7),3.55312 # DEPENDENCYPART_ARC
(5,8),1.27783 # DEPENDENCYPART_ARC
(5,9),2.53644 # DEPENDENCYPART_ARC
(5,10),0.0210565 # DEPENDENCYPART_ARC
(5,11),-0.00768783 # DEPENDENCYPART_ARC
(5,12),0.700032 # DEPENDENCYPART_ARC
(5,13),1.4857 # DEPENDENCYPART_ARC
(5,14),-0.17124 # DEPENDENCYPART_ARC
(5,15),-0.818258 # DEPENDENCYPART_ARC
(5,16),0.472626 # DEPENDENCYPART_ARC
(5,17),2.03249 # DEPENDENCYPART_ARC
(6,1),-0.598947 # DEPENDENCYPART_ARC
(6,2),-0.306841 # DEPENDENCYPART_ARC
(6,3),0.294469 # DEPENDENCYPART_ARC
(6,4),-0.153635 # DEPENDENCYPART_ARC
(6,5),0.858186 # DEPENDENCYPART_ARC
(6,7),1.47644 # DEPENDENCYPART_ARC
(6,8),0.695877 # DEPENDENCYPART_ARC
(6,9),0.876091 # DEPENDENCYPART_ARC
(6,10),-0.0397968 # DEPENDENCYPART_ARC
(6,11),-0.118608 # DEPENDENCYPART_ARC
(6,12),-0.575025 # DEPENDENCYPART_ARC
(6,13),0.0472386 # DEPENDENCYPART_ARC
(6,14),-0.813245 # DEPENDENCYPART_ARC
(6,15),-1.53696 # DEPENDENCYPART_ARC
(6,16),-0.549611 # DEPENDENCYPART_ARC
(6,17),0.40367 # DEPENDENCYPART_ARC
(7,1),-0.988079 # DEPENDENCYPART_ARC
(7,2),-0.300862 # DEPENDENCYPART_ARC
(7,3),-0.025191 # DEPENDENCYPART_ARC
(7,4),0.157405 # DEPENDENCYPART_ARC
(7,5),0.142843 # DEPENDENCYPART_ARC
(7,6),2.06435 # DEPENDENCYPART_ARC
(7,8),3.50091 # DEPENDENCYPART_ARC
(7,9),0.213313 # DEPENDENCYPART_ARC
(7,10),-1.31025 # DEPENDENCYPART_ARC
(7,11),-1.31983 # DEPENDENCYPART_ARC
(7,12),0.311959 # DEPENDENCYPART_ARC
(7,13),0.670538 # DEPENDENCYPART_ARC
(7,14),-2.47873 # DEPENDENCYPART_ARC
(7,15),-3.87536 # DEPENDENCYPART_ARC
(7,16),-1.16633 # DEPENDENCYPART_ARC
(7,17),-0.335038 # DEPENDENCYPART_ARC
(8,1),-2.67874 # DEPENDENCYPART_ARC
(8,2),-1.48308 # DEPENDENCYPART_ARC
(8,3),0.439083 # DEPENDENCYPART_ARC
(8,4),-0.783085 # DEPENDENCYPART_ARC
(8,5),0.321231 # DEPENDENCYPART_ARC
(8,6),1.1658 # DEPENDENCYPART_ARC
(8,7),1.18352 # DEPENDENCYPART_ARC
(8,9),2.44124 # DEPENDENCYPART_ARC
(8,10),-0.136527 # DEPENDENCYPART_ARC
(8,11),0.26612 # DEPENDENCYPART_ARC
(8,12),0.458037 # DEPENDENCYPART_ARC
(8,13),0.880002 # DEPENDENCYPART_ARC
(8,14),-0.409214 # DEPENDENCYPART_ARC
(8,15),-0.40738 # DEPENDENCYPART_ARC
(8,16),-0.441046 # DEPENDENCYPART_ARC
(8,17),-0.313439 # DEPENDENCYPART_ARC
(9,1),-1.7572 # DEPENDENCYPART_ARC
(9,2),-1.32484 # DEPENDENCYPART_ARC
(9,3),-0.513231 # DEPENDENCYPART_ARC
(9,4),-0.951074 # DEPENDENCYPART_ARC
(9,5),-0.622144 # DEPENDENCYPART_ARC
(9,6),-0.127229 # DEPENDENCYPART_ARC
(9,7),0.227371 # DEPENDENCYPART_ARC
(9,8),0.345439 # DEPENDENCYPART_ARC
(9,10),0.288137 # DEPENDENCYPART_ARC
(9,11),1.93771 # DEPENDENCYPART_ARC
(9,12),3.32706 # DEPENDENCYPART_ARC
(9,13),0.488196 # DEPENDENCYPART_ARC
(9,14),-1.87082 # DEPENDENCYPART_ARC
(9,15),0.281446 # DEPENDENCYPART_ARC
(9,16),-0.0151272 # DEPENDENCYPART_ARC
(9,17),0.0939762 # DEPENDENCYPART_ARC
(10,1),-2.87714 # DEPENDENCYPART_ARC
(10,2),-2.59199 # DEPENDENCYPART_ARC
(10,3),-2.04356 # DEPENDENCYPART_ARC
