# _root_ The stock market has lost some precursory power , analysts at the Columbia center claim , because of the growing impact of international developments .
#goldHeads=3,3,4,15,4,8,8,5,5,15,10,14,14,11,0,5,5,17,21,21,17,21,24,22,4,
#predictedHeads=3,3,4,0,4,8,8,5,8,8,10,15,15,15,11,8,5,17,21,21,17,21,24,22,4,
(0,1),-6.22455 # DEPENDENCYPART_ARC
(0,2),-5.9764 # DEPENDENCYPART_ARC
(0,3),-5.76919 # DEPENDENCYPART_ARC
(0,4),-2.76369 # DEPENDENCYPART_ARC
(0,5),-4.62972 # DEPENDENCYPART_ARC
(0,6),-7.09701 # DEPENDENCYPART_ARC
(0,7),-6.3092 # DEPENDENCYPART_ARC
(0,8),-7.25785 # DEPENDENCYPART_ARC
(0,9),-7.24977 # DEPENDENCYPART_ARC
(0,10),-5.83479 # DEPENDENCYPART_ARC
(0,11),-7.65888 # DEPENDENCYPART_ARC
(0,12),-8.07763 # DEPENDENCYPART_ARC
(0,13),-6.1529 # DEPENDENCYPART_ARC
(0,14),-6.20052 # DEPENDENCYPART_ARC
(0,15),-5.37552 # DEPENDENCYPART_ARC
(0,16),-8.27387 # DEPENDENCYPART_ARC
(0,17),-7.20932 # DEPENDENCYPART_ARC
(0,18),-8.21854 # DEPENDENCYPART_ARC
(0,19),-9.06152 # DEPENDENCYPART_ARC
(0,20),-7.15901 # DEPENDENCYPART_ARC
(0,21),-7.09736 # DEPENDENCYPART_ARC
(0,22),-8.91426 # DEPENDENCYPART_ARC
(0,23),-5.65281 # DEPENDENCYPART_ARC
(0,24),-5.62999 # DEPENDENCYPART_ARC
(0,25),-5.12348 # DEPENDENCYPART_ARC
(1,2),-0.258155 # DEPENDENCYPART_ARC
(1,3),-0.784513 # DEPENDENCYPART_ARC
(1,4),-0.467115 # DEPENDENCYPART_ARC
(1,5),-1.51436 # DEPENDENCYPART_ARC
(1,6),-2.51983 # DEPENDENCYPART_ARC
(1,7),-2.09731 # DEPENDENCYPART_ARC
(1,8),-2.10845 # DEPENDENCYPART_ARC
(1,9),-1.52439 # DEPENDENCYPART_ARC
(1,10),-2.27622 # DEPENDENCYPART_ARC
(1,11),-2.70214 # DEPENDENCYPART_ARC
(1,12),-3.24716 # DEPENDENCYPART_ARC
(1,13),-3.24925 # DEPENDENCYPART_ARC
(1,14),-2.66419 # DEPENDENCYPART_ARC
(1,15),-2.76471 # DEPENDENCYPART_ARC
(1,16),-2.20199 # DEPENDENCYPART_ARC
(1,17),-3.78951 # DEPENDENCYPART_ARC
(1,18),-3.5595 # DEPENDENCYPART_ARC
(1,19),-4.01279 # DEPENDENCYPART_ARC
(1,20),-3.45272 # DEPENDENCYPART_ARC
(1,21),-3.43298 # DEPENDENCYPART_ARC
(1,22),-4.53704 # DEPENDENCYPART_ARC
(1,23),-4.0783 # DEPENDENCYPART_ARC
(1,24),-3.96332 # DEPENDENCYPART_ARC
(1,25),-2.15334 # DEPENDENCYPART_ARC
(2,1),2.48431 # DEPENDENCYPART_ARC
(2,3),0.934567 # DEPENDENCYPART_ARC
(2,4),0.835092 # DEPENDENCYPART_ARC
(2,5),0.348918 # DEPENDENCYPART_ARC
(2,6),-1.03155 # DEPENDENCYPART_ARC
(2,7),-0.920085 # DEPENDENCYPART_ARC
(2,8),-1.10802 # DEPENDENCYPART_ARC
(2,9),-0.226382 # DEPENDENCYPART_ARC
(2,10),-1.44619 # DEPENDENCYPART_ARC
(2,11),-1.5632 # DEPENDENCYPART_ARC
(2,12),-1.60719 # DEPENDENCYPART_ARC
(2,13),-1.45472 # DEPENDENCYPART_ARC
(2,14),-2.00322 # DEPENDENCYPART_ARC
(2,15),-2.01114 # DEPENDENCYPART_ARC
(2,16),-0.319612 # DEPENDENCYPART_ARC
(2,17),-3.0503 # DEPENDENCYPART_ARC
(2,18),-5.17919 # DEPENDENCYPART_ARC
(2,19),-2.25801 # DEPENDENCYPART_ARC
(2,20),-2.71843 # DEPENDENCYPART_ARC
(2,21),-2.66166 # DEPENDENCYPART_ARC
(2,22),-6.50201 # DEPENDENCYPART_ARC
(2,23),-3.43495 # DEPENDENCYPART_ARC
