# _root_ `` Most of the action was during the night session , '' said Michael Moore , trading manager at Continental Bank .
#goldHeads=6,6,2,5,3,13,6,10,10,7,6,6,0,15,13,15,18,15,18,21,19,13,
#predictedHeads=13,6,2,5,3,13,6,10,10,7,13,13,0,15,13,15,18,15,18,21,19,13,
(0,1),-6.35437 # DEPENDENCYPART_ARC
(0,2),-6.84194 # DEPENDENCYPART_ARC
(0,3),-6.24816 # DEPENDENCYPART_ARC
(0,4),-7.15077 # DEPENDENCYPART_ARC
(0,5),-6.11616 # DEPENDENCYPART_ARC
(0,6),-3.06241 # DEPENDENCYPART_ARC
(0,7),-6.91132 # DEPENDENCYPART_ARC
(0,8),-7.5532 # DEPENDENCYPART_ARC
(0,9),-6.38824 # DEPENDENCYPART_ARC
(0,10),-6.23126 # DEPENDENCYPART_ARC
(0,11),-7.30109 # DEPENDENCYPART_ARC
(0,12),-6.43032 # DEPENDENCYPART_ARC
(0,13),0.997437 # DEPENDENCYPART_ARC
(0,14),-6.74444 # DEPENDENCYPART_ARC
(0,15),-6.77964 # DEPENDENCYPART_ARC
(0,16),-7.89517 # DEPENDENCYPART_ARC
(0,17),-7.17228 # DEPENDENCYPART_ARC
(0,18),-7.28327 # DEPENDENCYPART_ARC
(0,19),-9.16155 # DEPENDENCYPART_ARC
(0,20),-7.6751 # DEPENDENCYPART_ARC
(0,21),-7.03226 # DEPENDENCYPART_ARC
(0,22),-5.69212 # DEPENDENCYPART_ARC
(1,2),-1.21489 # DEPENDENCYPART_ARC
(1,3),-2.02477 # DEPENDENCYPART_ARC
(1,4),-2.57145 # DEPENDENCYPART_ARC
(1,5),-2.51758 # DEPENDENCYPART_ARC
(1,6),-2.28288 # DEPENDENCYPART_ARC
(1,7),-2.53003 # DEPENDENCYPART_ARC
(1,8),-3.06845 # DEPENDENCYPART_ARC
(1,9),-3.04522 # DEPENDENCYPART_ARC
(1,10),-2.92902 # DEPENDENCYPART_ARC
(1,11),-2.27576 # DEPENDENCYPART_ARC
(1,12),-1.40707 # DEPENDENCYPART_ARC
(1,13),-2.96035 # DEPENDENCYPART_ARC
(1,14),-3.46215 # DEPENDENCYPART_ARC
(1,15),-3.5879 # DEPENDENCYPART_ARC
(1,16),-2.76955 # DEPENDENCYPART_ARC
(1,17),-3.40842 # DEPENDENCYPART_ARC
(1,18),-3.43644 # DEPENDENCYPART_ARC
(1,19),-3.81871 # DEPENDENCYPART_ARC
(1,20),-4.09963 # DEPENDENCYPART_ARC
(1,21),-4.15996 # DEPENDENCYPART_ARC
(1,22),-2.97615 # DEPENDENCYPART_ARC
(2,1),1.18203 # DEPENDENCYPART_ARC
(2,3),3.78561 # DEPENDENCYPART_ARC
(2,4),1.1351 # DEPENDENCYPART_ARC
(2,5),1.599 # DEPENDENCYPART_ARC
(2,6),1.57979 # DEPENDENCYPART_ARC
(2,7),1.35223 # DEPENDENCYPART_ARC
(2,8),0.290832 # DEPENDENCYPART_ARC
(2,9),0.925228 # DEPENDENCYPART_ARC
(2,10),0.80553 # DEPENDENCYPART_ARC
(2,11),0.693415 # DEPENDENCYPART_ARC
(2,12),0.947454 # DEPENDENCYPART_ARC
(2,13),0.562115 # DEPENDENCYPART_ARC
(2,14),-0.242867 # DEPENDENCYPART_ARC
(2,15),-0.331468 # DEPENDENCYPART_ARC
(2,16),0.117435 # DEPENDENCYPART_ARC
(2,17),0.178518 # DEPENDENCYPART_ARC
(2,18),0.100237 # DEPENDENCYPART_ARC
(2,19),-0.793748 # DEPENDENCYPART_ARC
(2,20),-0.888334 # DEPENDENCYPART_ARC
(2,21),-1.01109 # DEPENDENCYPART_ARC
(2,22),-0.132908 # DEPENDENCYPART_ARC
(3,1),0.114979 # DEPENDENCYPART_ARC
