# _root_ Sales climbed to an estimated $ 245 million in fiscal 1989 , ended Aug. 31 , from $ 99.9 million in fiscal 1985 .
#goldHeads=2,0,2,6,6,3,6,6,3,11,9,11,11,13,14,11,2,17,18,18,17,23,21,2,
#predictedHeads=2,0,2,6,6,3,6,6,6,11,9,2,6,13,14,2,2,17,18,18,18,23,21,2,
(0,1),-6.43815 # DEPENDENCYPART_ARC
(0,2),-3.46581 # DEPENDENCYPART_ARC
(0,3),-6.99526 # DEPENDENCYPART_ARC
(0,4),-7.51699 # DEPENDENCYPART_ARC
(0,5),-5.27095 # DEPENDENCYPART_ARC
(0,6),-8.01777 # DEPENDENCYPART_ARC
(0,7),-8.40392 # DEPENDENCYPART_ARC
(0,8),-8.73917 # DEPENDENCYPART_ARC
(0,9),-7.8449 # DEPENDENCYPART_ARC
(0,10),-7.58872 # DEPENDENCYPART_ARC
(0,11),-8.73177 # DEPENDENCYPART_ARC
(0,12),-7.57082 # DEPENDENCYPART_ARC
(0,13),-5.84768 # DEPENDENCYPART_ARC
(0,14),-8.05797 # DEPENDENCYPART_ARC
(0,15),-9.28306 # DEPENDENCYPART_ARC
(0,16),-8.03884 # DEPENDENCYPART_ARC
(0,17),-8.8542 # DEPENDENCYPART_ARC
(0,18),-9.49079 # DEPENDENCYPART_ARC
(0,19),-9.7942 # DEPENDENCYPART_ARC
(0,20),-10.0499 # DEPENDENCYPART_ARC
(0,21),-9.71435 # DEPENDENCYPART_ARC
(0,22),-8.73352 # DEPENDENCYPART_ARC
(0,23),-10.3664 # DEPENDENCYPART_ARC
(0,24),-7.0193 # DEPENDENCYPART_ARC
(1,2),1.62729 # DEPENDENCYPART_ARC
(1,3),1.2973 # DEPENDENCYPART_ARC
(1,4),0.0350008 # DEPENDENCYPART_ARC
(1,5),-0.218745 # DEPENDENCYPART_ARC
(1,6),-0.0263362 # DEPENDENCYPART_ARC
(1,7),-0.388066 # DEPENDENCYPART_ARC
(1,8),-0.409272 # DEPENDENCYPART_ARC
(1,9),0.328178 # DEPENDENCYPART_ARC
(1,10),-0.404585 # DEPENDENCYPART_ARC
(1,11),-0.449224 # DEPENDENCYPART_ARC
(1,12),0.176523 # DEPENDENCYPART_ARC
(1,13),-1.6695 # DEPENDENCYPART_ARC
(1,14),-0.897787 # DEPENDENCYPART_ARC
(1,15),-0.887714 # DEPENDENCYPART_ARC
(1,16),-0.330104 # DEPENDENCYPART_ARC
(1,17),-0.876824 # DEPENDENCYPART_ARC
(1,18),-2.33091 # DEPENDENCYPART_ARC
(1,19),-1.3832 # DEPENDENCYPART_ARC
(1,20),-1.62433 # DEPENDENCYPART_ARC
(1,21),-1.60768 # DEPENDENCYPART_ARC
(1,22),-1.62243 # DEPENDENCYPART_ARC
(1,23),-1.81114 # DEPENDENCYPART_ARC
(1,24),0.661135 # DEPENDENCYPART_ARC
(2,1),3.56951 # DEPENDENCYPART_ARC
(2,3),4.31461 # DEPENDENCYPART_ARC
(2,4),0.869243 # DEPENDENCYPART_ARC
(2,5),0.857212 # DEPENDENCYPART_ARC
(2,6),0.502202 # DEPENDENCYPART_ARC
(2,7),0.106912 # DEPENDENCYPART_ARC
(2,8),0.051006 # DEPENDENCYPART_ARC
(2,9),3.01831 # DEPENDENCYPART_ARC
(2,10),-0.498482 # DEPENDENCYPART_ARC
(2,11),0.0325302 # DEPENDENCYPART_ARC
(2,12),3.12831 # DEPENDENCYPART_ARC
(2,13),0.482436 # DEPENDENCYPART_ARC
(2,14),-0.224921 # DEPENDENCYPART_ARC
(2,15),-0.349727 # DEPENDENCYPART_ARC
(2,16),2.40452 # DEPENDENCYPART_ARC
(2,17),2.97334 # DEPENDENCYPART_ARC
(2,18),-1.83793 # DEPENDENCYPART_ARC
(2,19),-0.998175 # DEPENDENCYPART_ARC
(2,20),-0.692829 # DEPENDENCYPART_ARC
(2,21),1.34345 # DEPENDENCYPART_ARC
(2,22),-1.75778 # DEPENDENCYPART_ARC
(2,23),-0.984346 # DEPENDENCYPART_ARC
(2,24),4.81124 # DEPENDENCYPART_ARC
(3,1),-0.596135 # DEPENDENCYPART_ARC
(3,2),0.713661 # DEPENDENCYPART_ARC
(3,4),1.8716 # DEPENDENCYPART_ARC
(3,5),1.22632 # DEPENDENCYPART_ARC
(3,6),1.8984 # DEPENDENCYPART_ARC
(3,7),0.761687 # DEPENDENCYPART_ARC
(3,8),0.833507 # DEPENDENCYPART_ARC
(3,9),1.3032 # DEPENDENCYPART_ARC
(3,10),0.121907 # DEPENDENCYPART_ARC
(3,11),0.678332 # DEPENDENCYPART_ARC
(3,12),1.04898 # DEPENDENCYPART_ARC
(3,13),0.0781454 # DEPENDENCYPART_ARC
(3,14),-1.51617 # DEPENDENCYPART_ARC
(3,15),-0.011845 # DEPENDENCYPART_ARC
(3,16),0.915133 # DEPENDENCYPART_ARC
(3,17),-0.582409 # DEPENDENCYPART_ARC
(3,18),-1.64869 # DEPENDENCYPART_ARC
(3,19),-1.06038 # DEPENDENCYPART_ARC
(3,20),-1.30013 # DEPENDENCYPART_ARC
(3,21),-0.625886 # DEPENDENCYPART_ARC
(3,22),-1.16018 # DEPENDENCYPART_ARC
(3,23),-0.600485 # DEPENDENCYPART_ARC
(3,24),0.766713 # DEPENDENCYPART_ARC
(4,1),-1.12261 # DEPENDENCYPART_ARC
(4,2),-1.0244 # DEPENDENCYPART_ARC
(4,3),-0.064859 # DEPENDENCYPART_ARC
(4,5),0.919391 # DEPENDENCYPART_ARC
(4,6),-0.714137 # DEPENDENCYPART_ARC
(4,7),0.452775 # DEPENDENCYPART_ARC
(4,8),0.138866 # DEPENDENCYPART_ARC
(4,9),-0.392931 # DEPENDENCYPART_ARC
(4,10),-1.01284 # DEPENDENCYPART_ARC
(4,11),-0.491458 # DEPENDENCYPART_ARC
(4,12),-0.0378014 # DEPENDENCYPART_ARC
(4,13),-0.916013 # DEPENDENCYPART_ARC
(4,14),-1.63805 # DEPENDENCYPART_ARC
(4,15),-1.03979 # DEPENDENCYPART_ARC
(4,16),-0.249324 # DEPENDENCYPART_ARC
(4,17),-2.03469 # DEPENDENCYPART_ARC
(4,18),-2.80621 # DEPENDENCYPART_ARC
(4,19),-1.27318 # DEPENDENCYPART_ARC
(4,20),-1.44962 # DEPENDENCYPART_ARC
(4,21),-2.05963 # DEPENDENCYPART_ARC
(4,22),-2.5047 # DEPENDENCYPART_ARC
(4,23),-1.81409 # DEPENDENCYPART_ARC
(4,24),-0.889772 # DEPENDENCYPART_ARC
(5,1),0.506801 # DEPENDENCYPART_ARC
(5,2),0.204195 # DEPENDENCYPART_ARC
(5,3),0.78693 # DEPENDENCYPART_ARC
(5,4),1.52709 # DEPENDENCYPART_ARC
(5,6),0.936804 # DEPENDENCYPART_ARC
(5,7),0.612504 # DEPENDENCYPART_ARC
(5,8),0.0668877 # DEPENDENCYPART_ARC
(5,9),1.77843 # DEPENDENCYPART_ARC
(5,10),0.420887 # DEPENDENCYPART_ARC
(5,11),-0.663304 # DEPENDENCYPART_ARC
(5,12),2.15664 # DEPENDENCYPART_ARC
(5,13),0.47991 # DEPENDENCYPART_ARC
(5,14),-0.825046 # DEPENDENCYPART_ARC
(5,15),-0.879854 # DEPENDENCYPART_ARC
(5,16),1.94413 # DEPENDENCYPART_ARC
(5,17),-0.0941397 # DEPENDENCYPART_ARC
(5,18),-1.89386 # DEPENDENCYPART_ARC
(5,19),-1.34109 # DEPENDENCYPART_ARC
(5,20),-1.64282 # DEPENDENCYPART_ARC
(5,21),-0.413442 # DEPENDENCYPART_ARC
(5,22),-0.48411 # DEPENDENCYPART_ARC
(5,23),-1.66193 # DEPENDENCYPART_ARC
(5,24),2.72197 # DEPENDENCYPART_ARC
(6,1),0.194975 # DEPENDENCYPART_ARC
(6,2),0.271108 # DEPENDENCYPART_ARC
(6,3),1.46052 # DEPENDENCYPART_ARC
(6,4),3.94233 # DEPENDENCYPART_ARC
(6,5),3.60571 # DEPENDENCYPART_ARC
(6,7),5.45776 # DEPENDENCYPART_ARC
(6,8),4.95141 # DEPENDENCYPART_ARC
(6,9),3.40987 # DEPENDENCYPART_ARC
(6,10),1.62011 # DEPENDENCYPART_ARC
(6,11),1.4437 # DEPENDENCYPART_ARC
(6,12),2.0364 # DEPENDENCYPART_ARC
(6,13),1.05462 # DEPENDENCYPART_ARC
(6,14),-0.421886 # DEPENDENCYPART_ARC
(6,15),-0.928733 # DEPENDENCYPART_ARC
(6,16),1.65381 # DEPENDENCYPART_ARC
(6,17),-0.122047 # DEPENDENCYPART_ARC
(6,18),0.182931 # DEPENDENCYPART_ARC
(6,19),-1.07585 # DEPENDENCYPART_ARC
(6,20),-0.628278 # DEPENDENCYPART_ARC
(6,21),0.905221 # DEPENDENCYPART_ARC
(6,22),-1.24754 # DEPENDENCYPART_ARC
(6,23),-4.51629 # DEPENDENCYPART_ARC
(6,24),1.35169 # DEPENDENCYPART_ARC
(7,1),-2.68258 # DEPENDENCYPART_ARC
(7,2),-2.47235 # DEPENDENCYPART_ARC
(7,3),-1.99408 # DEPENDENCYPART_ARC
(7,4),-0.730323 # DEPENDENCYPART_ARC
(7,5),-0.93673 # DEPENDENCYPART_ARC
(7,6),-0.676185 # DEPENDENCYPART_ARC
(7,8),1.50843 # DEPENDENCYPART_ARC
(7,9),-0.64124 # DEPENDENCYPART_ARC
(7,10),-0.654133 # DEPENDENCYPART_ARC
(7,11),-0.789183 # DEPENDENCYPART_ARC
(7,12),-1.01528 # DEPENDENCYPART_ARC
(7,13),-0.77609 # DEPENDENCYPART_ARC
(7,14),-1.37792 # DEPENDENCYPART_ARC
(7,15),-1.19842 # DEPENDENCYPART_ARC
(7,16),-1.22168 # DEPENDENCYPART_ARC
(7,17),-1.85013 # DEPENDENCYPART_ARC
(7,18),-2.00142 # DEPENDENCYPART_ARC
(7,19),-1.66408 # DEPENDENCYPART_ARC
(7,20),-1.28838 # DEPENDENCYPART_ARC
(7,21),-2.11458 # DEPENDENCYPART_ARC
(7,22),-2.28636 # DEPENDENCYPART_ARC
(7,23),-2.14742 # DEPENDENCYPART_ARC
(7,24),-1.20529 # DEPENDENCYPART_ARC
(8,1),-1.13036 # DEPENDENCYPART_ARC
(8,2),-0.893143 # DEPENDENCYPART_ARC
(8,3),-0.0967772 # DEPENDENCYPART_ARC
(8,4),0.796628 # DEPENDENCYPART_ARC
(8,5),0.203989 # DEPENDENCYPART_ARC
(8,6),0.538878 # DEPENDENCYPART_ARC
(8,7),1.8447 # DEPENDENCYPART_ARC
(8,9),0.153221 # DEPENDENCYPART_ARC
(8,10),-0.205188 # DEPENDENCYPART_ARC
(8,11),-0.757143 # DEPENDENCYPART_ARC
(8,12),-0.298369 # DEPENDENCYPART_ARC
(8,13),-0.759842 # DEPENDENCYPART_ARC
(8,14),-0.971422 # DEPENDENCYPART_ARC
(8,15),-1.29312 # DEPENDENCYPART_ARC
(8,16),-0.495836 # DEPENDENCYPART_ARC
(8,17),-1.52181 # DEPENDENCYPART_ARC
(8,18),-1.78266 # DEPENDENCYPART_ARC
(8,19),-1.77238 # DEPENDENCYPART_ARC
(8,20),-1.81232 # DEPENDENCYPART_ARC
(8,21),-1.76279 # DEPENDENCYPART_ARC
(8,22),-2.2238 # DEPENDENCYPART_ARC
(8,23),-2.27869 # DEPENDENCYPART_ARC
(8,24),-1.06211 # DEPENDENCYPART_ARC
(9,1),-1.15353 # DEPENDENCYPART_ARC
(9,2),-0.899924 # DEPENDENCYPART_ARC
(9,3),-0.686343 # DEPENDENCYPART_ARC
(9,4),-0.605558 # DEPENDENCYPART_ARC
(9,5),-0.661188 # DEPENDENCYPART_ARC
(9,6),0.168786 # DEPENDENCYPART_ARC
(9,7),0.0262965 # DEPENDENCYPART_ARC
(9,8),0.328252 # DEPENDENCYPART_ARC
(9,10),1.27365 # DEPENDENCYPART_ARC
