# _root_ Currently , average pay for machinists is $ 13.39 an hour , Boeing said .
#goldHeads=7,7,4,7,4,5,14,7,8,11,8,14,14,0,14,
#predictedHeads=7,7,4,7,4,5,14,7,8,11,8,14,7,0,14,
(0,1),-5.29797 # DEPENDENCYPART_ARC
(0,2),-6.6686 # DEPENDENCYPART_ARC
(0,3),-6.01553 # DEPENDENCYPART_ARC
(0,4),-6.59465 # DEPENDENCYPART_ARC
(0,5),-6.06152 # DEPENDENCYPART_ARC
(0,6),-5.77472 # DEPENDENCYPART_ARC
(0,7),-3.10135 # DEPENDENCYPART_ARC
(0,8),-7.75564 # DEPENDENCYPART_ARC
(0,9),-8.21545 # DEPENDENCYPART_ARC
(0,10),-7.55898 # DEPENDENCYPART_ARC
(0,11),-6.21322 # DEPENDENCYPART_ARC
(0,12),-7.52118 # DEPENDENCYPART_ARC
(0,13),-7.01554 # DEPENDENCYPART_ARC
(0,14),-0.73261 # DEPENDENCYPART_ARC
(0,15),-5.28666 # DEPENDENCYPART_ARC
(1,2),-0.155173 # DEPENDENCYPART_ARC
(1,3),-0.201342 # DEPENDENCYPART_ARC
(1,4),-1.76719 # DEPENDENCYPART_ARC
(1,5),-0.847038 # DEPENDENCYPART_ARC
(1,6),-1.48819 # DEPENDENCYPART_ARC
(1,7),-0.7972 # DEPENDENCYPART_ARC
(1,8),-1.96153 # DEPENDENCYPART_ARC
(1,9),-2.51222 # DEPENDENCYPART_ARC
(1,10),-1.55158 # DEPENDENCYPART_ARC
(1,11),-3.40976 # DEPENDENCYPART_ARC
(1,12),-0.797247 # DEPENDENCYPART_ARC
(1,13),-2.20969 # DEPENDENCYPART_ARC
(1,14),-1.52374 # DEPENDENCYPART_ARC
(1,15),-0.0172046 # DEPENDENCYPART_ARC
(2,1),-1.31653 # DEPENDENCYPART_ARC
(2,3),-0.837497 # DEPENDENCYPART_ARC
(2,4),-1.72124 # DEPENDENCYPART_ARC
(2,5),-1.4409 # DEPENDENCYPART_ARC
(2,6),-2.09133 # DEPENDENCYPART_ARC
(2,7),-1.76958 # DEPENDENCYPART_ARC
(2,8),-2.73843 # DEPENDENCYPART_ARC
(2,9),-2.8688 # DEPENDENCYPART_ARC
(2,10),-2.63478 # DEPENDENCYPART_ARC
(2,11),-3.12948 # DEPENDENCYPART_ARC
(2,12),-1.16411 # DEPENDENCYPART_ARC
(2,13),-2.53713 # DEPENDENCYPART_ARC
(2,14),-2.52573 # DEPENDENCYPART_ARC
(2,15),-2.31844 # DEPENDENCYPART_ARC
(3,1),0.0145114 # DEPENDENCYPART_ARC
(3,2),0.843225 # DEPENDENCYPART_ARC
(3,4),1.00284 # DEPENDENCYPART_ARC
(3,5),0.0494265 # DEPENDENCYPART_ARC
(3,6),-0.324285 # DEPENDENCYPART_ARC
(3,7),-0.595419 # DEPENDENCYPART_ARC
(3,8),-1.53095 # DEPENDENCYPART_ARC
(3,9),-1.94046 # DEPENDENCYPART_ARC
(3,10),-1.67736 # DEPENDENCYPART_ARC
(3,11),-1.25473 # DEPENDENCYPART_ARC
(3,12),-1.40125 # DEPENDENCYPART_ARC
(3,13),-1.68927 # DEPENDENCYPART_ARC
(3,14),-1.37381 # DEPENDENCYPART_ARC
(3,15),-0.397642 # DEPENDENCYPART_ARC
