# _root_ 9.83 % , standard conventional fixedrate mortgages ; 7.875 % , 2 % rate capped one-year adjustable rate mortgages .
#goldHeads=2,0,2,7,7,7,2,2,10,2,10,13,14,19,14,19,19,19,10,2,
#predictedHeads=2,0,2,7,7,7,2,2,10,2,10,13,19,19,14,19,19,19,10,2,
(0,1),-6.4622 # DEPENDENCYPART_ARC
(0,2),-5.81587 # DEPENDENCYPART_ARC
(0,3),-6.3811 # DEPENDENCYPART_ARC
(0,4),-6.4384 # DEPENDENCYPART_ARC
(0,5),-6.41644 # DEPENDENCYPART_ARC
(0,6),-6.21122 # DEPENDENCYPART_ARC
(0,7),-6.98679 # DEPENDENCYPART_ARC
(0,8),-7.02717 # DEPENDENCYPART_ARC
(0,9),-8.34757 # DEPENDENCYPART_ARC
(0,10),-7.59285 # DEPENDENCYPART_ARC
(0,11),-7.31735 # DEPENDENCYPART_ARC
(0,12),-8.57123 # DEPENDENCYPART_ARC
(0,13),-7.57109 # DEPENDENCYPART_ARC
(0,14),-6.56476 # DEPENDENCYPART_ARC
(0,15),-6.28861 # DEPENDENCYPART_ARC
(0,16),-6.4296 # DEPENDENCYPART_ARC
(0,17),-6.30598 # DEPENDENCYPART_ARC
(0,18),-7.94932 # DEPENDENCYPART_ARC
(0,19),-8.5751 # DEPENDENCYPART_ARC
(0,20),-7.58988 # DEPENDENCYPART_ARC
(1,2),1.27055 # DEPENDENCYPART_ARC
(1,3),0.426148 # DEPENDENCYPART_ARC
(1,4),-0.137523 # DEPENDENCYPART_ARC
(1,5),-0.340269 # DEPENDENCYPART_ARC
(1,6),-0.490514 # DEPENDENCYPART_ARC
(1,7),-0.738612 # DEPENDENCYPART_ARC
(1,8),0.290424 # DEPENDENCYPART_ARC
(1,9),-0.987889 # DEPENDENCYPART_ARC
(1,10),-0.608961 # DEPENDENCYPART_ARC
(1,11),-0.147643 # DEPENDENCYPART_ARC
(1,12),-1.08348 # DEPENDENCYPART_ARC
(1,13),-0.897497 # DEPENDENCYPART_ARC
(1,14),-1.43647 # DEPENDENCYPART_ARC
(1,15),-0.923909 # DEPENDENCYPART_ARC
(1,16),-1.51392 # DEPENDENCYPART_ARC
(1,17),-1.57755 # DEPENDENCYPART_ARC
(1,18),-1.08068 # DEPENDENCYPART_ARC
(1,19),-1.82043 # DEPENDENCYPART_ARC
(1,20),-1.70159 # DEPENDENCYPART_ARC
(2,1),4.0828 # DEPENDENCYPART_ARC
(2,3),2.76846 # DEPENDENCYPART_ARC
(2,4),1.40191 # DEPENDENCYPART_ARC
(2,5),0.763345 # DEPENDENCYPART_ARC
(2,6),0.338976 # DEPENDENCYPART_ARC
(2,7),2.32144 # DEPENDENCYPART_ARC
(2,8),2.62446 # DEPENDENCYPART_ARC
(2,9),-0.0359086 # DEPENDENCYPART_ARC
(2,10),3.1827 # DEPENDENCYPART_ARC
(2,11),1.12499 # DEPENDENCYPART_ARC
(2,12),-0.686979 # DEPENDENCYPART_ARC
(2,13),2.45002 # DEPENDENCYPART_ARC
(2,14),0.238491 # DEPENDENCYPART_ARC
(2,15),-1.42416 # DEPENDENCYPART_ARC
(2,16),-0.619304 # DEPENDENCYPART_ARC
(2,17),-0.77998 # DEPENDENCYPART_ARC
(2,18),-0.305578 # DEPENDENCYPART_ARC
(2,19),0.452879 # DEPENDENCYPART_ARC
(2,20),3.34539 # DEPENDENCYPART_ARC
(3,1),-1.64181 # DEPENDENCYPART_ARC
(3,2),-1.16974 # DEPENDENCYPART_ARC
(3,4),-0.131592 # DEPENDENCYPART_ARC
(3,5),-0.72094 # DEPENDENCYPART_ARC
(3,6),-1.12345 # DEPENDENCYPART_ARC
(3,7),-1.46733 # DEPENDENCYPART_ARC
(3,8),-0.891464 # DEPENDENCYPART_ARC
(3,9),-2.07338 # DEPENDENCYPART_ARC
(3,10),-2.15922 # DEPENDENCYPART_ARC
(3,11),-0.248831 # DEPENDENCYPART_ARC
(3,12),-2.4362 # DEPENDENCYPART_ARC
(3,13),-2.47134 # DEPENDENCYPART_ARC
(3,14),-2.53386 # DEPENDENCYPART_ARC
(3,15),-1.84564 # DEPENDENCYPART_ARC
(3,16),-2.61281 # DEPENDENCYPART_ARC
(3,17),-2.73213 # DEPENDENCYPART_ARC
(3,18),-3.05669 # DEPENDENCYPART_ARC
(3,19),-3.04565 # DEPENDENCYPART_ARC
(3,20),-2.09762 # DEPENDENCYPART_ARC
(4,1),0.0645628 # DEPENDENCYPART_ARC
(4,2),0.128085 # DEPENDENCYPART_ARC
(4,3),0.0241589 # DEPENDENCYPART_ARC
(4,5),1.32185 # DEPENDENCYPART_ARC
(4,6),0.849108 # DEPENDENCYPART_ARC
(4,7),0.58853 # DEPENDENCYPART_ARC
(4,8),-0.0185395 # DEPENDENCYPART_ARC
(4,9),-0.0489057 # DEPENDENCYPART_ARC
(4,10),-0.0580914 # DEPENDENCYPART_ARC
(4,11),-0.448963 # DEPENDENCYPART_ARC
(4,12),-0.996569 # DEPENDENCYPART_ARC
(4,13),-0.492345 # DEPENDENCYPART_ARC
(4,14),-0.945114 # DEPENDENCYPART_ARC
(4,15),-0.0574584 # DEPENDENCYPART_ARC
(4,16),-0.738061 # DEPENDENCYPART_ARC
(4,17),-0.952406 # DEPENDENCYPART_ARC
(4,18),-1.13728 # DEPENDENCYPART_ARC
(4,19),-0.958194 # DEPENDENCYPART_ARC
(4,20),-0.230773 # DEPENDENCYPART_ARC
(5,1),-0.102662 # DEPENDENCYPART_ARC
(5,2),0.0790472 # DEPENDENCYPART_ARC
(5,3),-0.207749 # DEPENDENCYPART_ARC
(5,4),1.64053 # DEPENDENCYPART_ARC
(5,6),1.22647 # DEPENDENCYPART_ARC
(5,7),0.875969 # DEPENDENCYPART_ARC
(5,8),0.111862 # DEPENDENCYPART_ARC
(5,9),-0.256289 # DEPENDENCYPART_ARC
(5,10),-0.20416 # DEPENDENCYPART_ARC
(5,11),-0.396432 # DEPENDENCYPART_ARC
(5,12),-1.20534 # DEPENDENCYPART_ARC
(5,13),-0.592944 # DEPENDENCYPART_ARC
(5,14),-1.07798 # DEPENDENCYPART_ARC
(5,15),-0.474368 # DEPENDENCYPART_ARC
(5,16),-0.956851 # DEPENDENCYPART_ARC
(5,17),-1.25055 # DEPENDENCYPART_ARC
(5,18),-1.28793 # DEPENDENCYPART_ARC
(5,19),-1.11944 # DEPENDENCYPART_ARC
(5,20),-0.314312 # DEPENDENCYPART_ARC
(6,1),-0.253488 # DEPENDENCYPART_ARC
(6,2),-0.165455 # DEPENDENCYPART_ARC
(6,3),-0.251831 # DEPENDENCYPART_ARC
(6,4),1.07608 # DEPENDENCYPART_ARC
(6,5),2.26924 # DEPENDENCYPART_ARC
(6,7),0.867391 # DEPENDENCYPART_ARC
(6,8),-0.394398 # DEPENDENCYPART_ARC
(6,9),-0.406485 # DEPENDENCYPART_ARC
(6,10),-0.509649 # DEPENDENCYPART_ARC
(6,11),-0.612627 # DEPENDENCYPART_ARC
(6,12),-1.50791 # DEPENDENCYPART_ARC
(6,13),-0.999046 # DEPENDENCYPART_ARC
(6,14),-1.54508 # DEPENDENCYPART_ARC
