# _root_ Differences remained between the North and South Korean governments , however , over conditions for the exchanges .
#goldHeads=2,0,2,5,3,5,9,9,6,2,2,2,1,13,14,17,15,2,
#predictedHeads=2,0,2,5,3,5,6,9,6,9,2,2,2,13,14,17,15,2,
(0,1),-6.30874 # DEPENDENCYPART_ARC
(0,2),-3.53742 # DEPENDENCYPART_ARC
(0,3),-7.07985 # DEPENDENCYPART_ARC
(0,4),-7.82995 # DEPENDENCYPART_ARC
(0,5),-7.15365 # DEPENDENCYPART_ARC
(0,6),-7.89974 # DEPENDENCYPART_ARC
(0,7),-7.25851 # DEPENDENCYPART_ARC
(0,8),-7.08804 # DEPENDENCYPART_ARC
(0,9),-7.84659 # DEPENDENCYPART_ARC
(0,10),-7.81961 # DEPENDENCYPART_ARC
(0,11),-7.63672 # DEPENDENCYPART_ARC
(0,12),-7.97171 # DEPENDENCYPART_ARC
(0,13),-7.66017 # DEPENDENCYPART_ARC
(0,14),-7.65764 # DEPENDENCYPART_ARC
(0,15),-8.04932 # DEPENDENCYPART_ARC
(0,16),-8.90918 # DEPENDENCYPART_ARC
(0,17),-6.9015 # DEPENDENCYPART_ARC
(0,18),-7.22878 # DEPENDENCYPART_ARC
(1,2),2.59957 # DEPENDENCYPART_ARC
(1,3),2.98734 # DEPENDENCYPART_ARC
(1,4),0.245403 # DEPENDENCYPART_ARC
(1,5),0.498909 # DEPENDENCYPART_ARC
(1,6),0.739862 # DEPENDENCYPART_ARC
(1,7),0.311617 # DEPENDENCYPART_ARC
(1,8),0.198555 # DEPENDENCYPART_ARC
(1,9),0.683857 # DEPENDENCYPART_ARC
(1,10),0.654841 # DEPENDENCYPART_ARC
(1,11),-0.449379 # DEPENDENCYPART_ARC
(1,12),-0.155217 # DEPENDENCYPART_ARC
(1,13),0.319313 # DEPENDENCYPART_ARC
(1,14),-0.615083 # DEPENDENCYPART_ARC
(1,15),0.528915 # DEPENDENCYPART_ARC
(1,16),-0.86487 # DEPENDENCYPART_ARC
(1,17),-1.18389 # DEPENDENCYPART_ARC
(1,18),2.28827 # DEPENDENCYPART_ARC
(2,1),2.75874 # DEPENDENCYPART_ARC
(2,3),3.06918 # DEPENDENCYPART_ARC
(2,4),-0.089315 # DEPENDENCYPART_ARC
(2,5),0.403216 # DEPENDENCYPART_ARC
(2,6),1.67426 # DEPENDENCYPART_ARC
(2,7),-0.361584 # DEPENDENCYPART_ARC
(2,8),-1.09408 # DEPENDENCYPART_ARC
(2,9),0.102294 # DEPENDENCYPART_ARC
(2,10),1.1809 # DEPENDENCYPART_ARC
(2,11),1.61578 # DEPENDENCYPART_ARC
(2,12),1.80075 # DEPENDENCYPART_ARC
(2,13),0.844774 # DEPENDENCYPART_ARC
(2,14),-2.74632 # DEPENDENCYPART_ARC
(2,15),0.565418 # DEPENDENCYPART_ARC
(2,16),-2.32042 # DEPENDENCYPART_ARC
(2,17),-2.67111 # DEPENDENCYPART_ARC
(2,18),4.64197 # DEPENDENCYPART_ARC
(3,1),-0.471248 # DEPENDENCYPART_ARC
(3,2),0.207668 # DEPENDENCYPART_ARC
(3,4),0.110592 # DEPENDENCYPART_ARC
(3,5),1.8728 # DEPENDENCYPART_ARC
(3,6),0.349846 # DEPENDENCYPART_ARC
(3,7),0.0751457 # DEPENDENCYPART_ARC
(3,8),0.685328 # DEPENDENCYPART_ARC
(3,9),2.37479 # DEPENDENCYPART_ARC
(3,10),0.471994 # DEPENDENCYPART_ARC
(3,11),-0.101549 # DEPENDENCYPART_ARC
(3,12),0.325498 # DEPENDENCYPART_ARC
(3,13),-0.801939 # DEPENDENCYPART_ARC
(3,14),-1.82173 # DEPENDENCYPART_ARC
(3,15),-0.83175 # DEPENDENCYPART_ARC
(3,16),-3.09687 # DEPENDENCYPART_ARC
(3,17),-3.43409 # DEPENDENCYPART_ARC
(3,18),0.403097 # DEPENDENCYPART_ARC
(4,1),-1.4687 # DEPENDENCYPART_ARC
(4,2),-1.35329 # DEPENDENCYPART_ARC
(4,3),-0.402249 # DEPENDENCYPART_ARC
(4,5),-0.00199768 # DEPENDENCYPART_ARC
(4,6),-0.272897 # DEPENDENCYPART_ARC
(4,7),-1.02698 # DEPENDENCYPART_ARC
(4,8),-1.34596 # DEPENDENCYPART_ARC
(4,9),-1.56612 # DEPENDENCYPART_ARC
(4,10),-1.06871 # DEPENDENCYPART_ARC
(4,11),-1.66687 # DEPENDENCYPART_ARC
(4,12),-1.52561 # DEPENDENCYPART_ARC
(4,13),-2.15569 # DEPENDENCYPART_ARC
(4,14),-1.88273 # DEPENDENCYPART_ARC
(4,15),-2.16125 # DEPENDENCYPART_ARC
(4,16),-3.20535 # DEPENDENCYPART_ARC
(4,17),-2.48285 # DEPENDENCYPART_ARC
(4,18),-1.22744 # DEPENDENCYPART_ARC
(5,1),-0.0872606 # DEPENDENCYPART_ARC
(5,2),-0.500532 # DEPENDENCYPART_ARC
(5,3),0.8507 # DEPENDENCYPART_ARC
(5,4),3.43405 # DEPENDENCYPART_ARC
(5,6),4.76432 # DEPENDENCYPART_ARC
(5,7),1.29392 # DEPENDENCYPART_ARC
(5,8),0.841387 # DEPENDENCYPART_ARC
(5,9),0.792942 # DEPENDENCYPART_ARC
(5,10),0.989763 # DEPENDENCYPART_ARC
(5,11),0.296769 # DEPENDENCYPART_ARC
(5,12),0.947381 # DEPENDENCYPART_ARC
(5,13),0.300316 # DEPENDENCYPART_ARC
(5,14),-0.160269 # DEPENDENCYPART_ARC
(5,15),0.430125 # DEPENDENCYPART_ARC
(5,16),-1.15777 # DEPENDENCYPART_ARC
(5,17),-0.369703 # DEPENDENCYPART_ARC
(5,18),0.666336 # DEPENDENCYPART_ARC
(6,1),-0.366192 # DEPENDENCYPART_ARC
(6,2),0.224356 # DEPENDENCYPART_ARC
(6,3),0.0619093 # DEPENDENCYPART_ARC
(6,4),0.287692 # DEPENDENCYPART_ARC
(6,5),0.436646 # DEPENDENCYPART_ARC
(6,7),4.73354 # DEPENDENCYPART_ARC
(6,8),3.06523 # DEPENDENCYPART_ARC
(6,9),2.47303 # DEPENDENCYPART_ARC
(6,10),0.766379 # DEPENDENCYPART_ARC
(6,11),0.091011 # DEPENDENCYPART_ARC
(6,12),0.339793 # DEPENDENCYPART_ARC
(6,13),-0.734484 # DEPENDENCYPART_ARC
(6,14),-1.90473 # DEPENDENCYPART_ARC
(6,15),-0.103102 # DEPENDENCYPART_ARC
(6,16),-1.1084 # DEPENDENCYPART_ARC
(6,17),-4.01716 # DEPENDENCYPART_ARC
(6,18),0.206119 # DEPENDENCYPART_ARC
(7,1),-2.10721 # DEPENDENCYPART_ARC
(7,2),-2.55782 # DEPENDENCYPART_ARC
(7,3),-1.3606 # DEPENDENCYPART_ARC
(7,4),-0.253379 # DEPENDENCYPART_ARC
(7,5),0.273349 # DEPENDENCYPART_ARC
(7,6),-0.161065 # DEPENDENCYPART_ARC
(7,8),1.96902 # DEPENDENCYPART_ARC
(7,9),1.27368 # DEPENDENCYPART_ARC
(7,10),0.52366 # DEPENDENCYPART_ARC
(7,11),-0.237384 # DEPENDENCYPART_ARC
(7,12),0.133499 # DEPENDENCYPART_ARC
(7,13),-0.367952 # DEPENDENCYPART_ARC
(7,14),-0.216175 # DEPENDENCYPART_ARC
(7,15),-0.690214 # DEPENDENCYPART_ARC
(7,16),-1.62759 # DEPENDENCYPART_ARC
(7,17),-0.433307 # DEPENDENCYPART_ARC
(7,18),0.174555 # DEPENDENCYPART_ARC
(8,1),-0.493138 # DEPENDENCYPART_ARC
(8,2),-0.869187 # DEPENDENCYPART_ARC
(8,3),0.0951334 # DEPENDENCYPART_ARC
(8,4),1.49237 # DEPENDENCYPART_ARC
(8,5),1.89057 # DEPENDENCYPART_ARC
(8,6),0.7901 # DEPENDENCYPART_ARC
(8,7),4.09102 # DEPENDENCYPART_ARC
(8,9),0.787094 # DEPENDENCYPART_ARC
(8,10),-0.218471 # DEPENDENCYPART_ARC
(8,11),-0.72154 # DEPENDENCYPART_ARC
(8,12),-0.401917 # DEPENDENCYPART_ARC
(8,13),-1.33327 # DEPENDENCYPART_ARC
(8,14),-1.11214 # DEPENDENCYPART_ARC
(8,15),-1.79637 # DEPENDENCYPART_ARC
(8,16),-2.34742 # DEPENDENCYPART_ARC
(8,17),-1.45172 # DEPENDENCYPART_ARC
(8,18),-0.584675 # DEPENDENCYPART_ARC
(9,1),-1.59218 # DEPENDENCYPART_ARC
(9,2),-0.742238 # DEPENDENCYPART_ARC
(9,3),-0.654635 # DEPENDENCYPART_ARC
(9,4),2.88913 # DEPENDENCYPART_ARC
(9,5),1.54865 # DEPENDENCYPART_ARC
(9,6),-0.64312 # DEPENDENCYPART_ARC
(9,7),2.43321 # DEPENDENCYPART_ARC
(9,8),3.31629 # DEPENDENCYPART_ARC
(9,10),1.51347 # DEPENDENCYPART_ARC
(9,11),0.18052 # DEPENDENCYPART_ARC
(9,12),1.09733 # DEPENDENCYPART_ARC
(9,13),0.0931304 # DEPENDENCYPART_ARC
(9,14),0.109011 # DEPENDENCYPART_ARC
(9,15),0.560094 # DEPENDENCYPART_ARC
(9,16),-0.128597 # DEPENDENCYPART_ARC
(9,17),-0.339788 # DEPENDENCYPART_ARC
(9,18),0.293698 # DEPENDENCYPART_ARC
(10,1),-1.78627 # DEPENDENCYPART_ARC
(10,2),-1.33214 # DEPENDENCYPART_ARC
(10,3),-1.56804 # DEPENDENCYPART_ARC
(10,4),-1.1411 # DEPENDENCYPART_ARC
(10,5),-1.60032 # DEPENDENCYPART_ARC
(10,6),-1.70687 # DEPENDENCYPART_ARC
(10,7),-1.02491 # DEPENDENCYPART_ARC
(10,8),-1.17684 # DEPENDENCYPART_ARC
(10,9),-1.10296 # DEPENDENCYPART_ARC
(10,11),-0.321433 # DEPENDENCYPART_ARC
