# _root_ The Watertown , Mass. , company 's sales have been dormant and its profits have dropped .
#goldHeads=6,4,4,6,4,8,6,9,0,9,10,9,14,15,12,15,9,
#predictedHeads=6,4,4,6,4,8,6,9,0,9,10,9,14,15,12,15,9,
(0,1),-6.20509 # DEPENDENCYPART_ARC
(0,2),-6.10738 # DEPENDENCYPART_ARC
(0,3),-6.24523 # DEPENDENCYPART_ARC
(0,4),-6.80489 # DEPENDENCYPART_ARC
(0,5),-6.71789 # DEPENDENCYPART_ARC
(0,6),-6.22245 # DEPENDENCYPART_ARC
(0,7),-8.08687 # DEPENDENCYPART_ARC
(0,8),-4.93981 # DEPENDENCYPART_ARC
(0,9),-2.07885 # DEPENDENCYPART_ARC
(0,10),-3.39143 # DEPENDENCYPART_ARC
(0,11),-6.30304 # DEPENDENCYPART_ARC
(0,12),-7.84411 # DEPENDENCYPART_ARC
(0,13),-7.13188 # DEPENDENCYPART_ARC
(0,14),-5.79928 # DEPENDENCYPART_ARC
(0,15),-2.33466 # DEPENDENCYPART_ARC
(0,16),-4.41117 # DEPENDENCYPART_ARC
(0,17),-6.65725 # DEPENDENCYPART_ARC
(1,2),-0.443461 # DEPENDENCYPART_ARC
(1,3),-0.728842 # DEPENDENCYPART_ARC
(1,4),-0.890502 # DEPENDENCYPART_ARC
(1,5),-0.696129 # DEPENDENCYPART_ARC
(1,6),-1.25273 # DEPENDENCYPART_ARC
(1,7),-2.01736 # DEPENDENCYPART_ARC
(1,8),-1.67777 # DEPENDENCYPART_ARC
(1,9),-1.6465 # DEPENDENCYPART_ARC
(1,10),-1.88758 # DEPENDENCYPART_ARC
(1,11),-1.96701 # DEPENDENCYPART_ARC
(1,12),-1.94203 # DEPENDENCYPART_ARC
(1,13),-2.81639 # DEPENDENCYPART_ARC
(1,14),-2.35071 # DEPENDENCYPART_ARC
(1,15),-2.69675 # DEPENDENCYPART_ARC
(1,16),-2.36512 # DEPENDENCYPART_ARC
(1,17),-1.3461 # DEPENDENCYPART_ARC
(2,1),3.02324 # DEPENDENCYPART_ARC
(2,3),2.30851 # DEPENDENCYPART_ARC
(2,4),2.5133 # DEPENDENCYPART_ARC
(2,5),2.22307 # DEPENDENCYPART_ARC
(2,6),0.964556 # DEPENDENCYPART_ARC
(2,7),1.06401 # DEPENDENCYPART_ARC
(2,8),0.541892 # DEPENDENCYPART_ARC
(2,9),0.952802 # DEPENDENCYPART_ARC
(2,10),0.496939 # DEPENDENCYPART_ARC
(2,11),0.137066 # DEPENDENCYPART_ARC
(2,12),0.0970931 # DEPENDENCYPART_ARC
(2,13),-0.807385 # DEPENDENCYPART_ARC
(2,14),-0.675913 # DEPENDENCYPART_ARC
(2,15),0.475258 # DEPENDENCYPART_ARC
(2,16),0.000160383 # DEPENDENCYPART_ARC
(2,17),-0.0303437 # DEPENDENCYPART_ARC
(3,1),-0.79619 # DEPENDENCYPART_ARC
(3,2),-1.12036 # DEPENDENCYPART_ARC
(3,4),-0.337274 # DEPENDENCYPART_ARC
(3,5),0.173822 # DEPENDENCYPART_ARC
(3,6),-1.55573 # DEPENDENCYPART_ARC
(3,7),-1.67136 # DEPENDENCYPART_ARC
(3,8),-1.8426 # DEPENDENCYPART_ARC
(3,9),-1.69113 # DEPENDENCYPART_ARC
(3,10),-1.94079 # DEPENDENCYPART_ARC
(3,11),-2.3365 # DEPENDENCYPART_ARC
(3,12),-1.96357 # DEPENDENCYPART_ARC
(3,13),-2.69645 # DEPENDENCYPART_ARC
(3,14),-2.7313 # DEPENDENCYPART_ARC
(3,15),-2.35404 # DEPENDENCYPART_ARC
(3,16),-2.54022 # DEPENDENCYPART_ARC
(3,17),-1.96699 # DEPENDENCYPART_ARC
(4,1),2.89836 # DEPENDENCYPART_ARC
(4,2),4.32631 # DEPENDENCYPART_ARC
(4,3),3.66437 # DEPENDENCYPART_ARC
(4,5),3.8194 # DEPENDENCYPART_ARC
(4,6),0.611998 # DEPENDENCYPART_ARC
(4,7),1.39843 # DEPENDENCYPART_ARC
(4,8),0.0139605 # DEPENDENCYPART_ARC
(4,9),0.298062 # DEPENDENCYPART_ARC
(4,10),0.0865432 # DEPENDENCYPART_ARC
(4,11),-0.103102 # DEPENDENCYPART_ARC
(4,12),-0.0657792 # DEPENDENCYPART_ARC
(4,13),-1.16402 # DEPENDENCYPART_ARC
(4,14),-1.08321 # DEPENDENCYPART_ARC
(4,15),-0.131149 # DEPENDENCYPART_ARC
(4,16),-0.494884 # DEPENDENCYPART_ARC
(4,17),-0.412033 # DEPENDENCYPART_ARC
(5,1),-1.1399 # DEPENDENCYPART_ARC
(5,2),-1.73557 # DEPENDENCYPART_ARC
(5,3),-0.389022 # DEPENDENCYPART_ARC
(5,4),-1.10901 # DEPENDENCYPART_ARC
(5,6),-1.20443 # DEPENDENCYPART_ARC
(5,7),-1.31536 # DEPENDENCYPART_ARC
(5,8),-2.03871 # DEPENDENCYPART_ARC
(5,9),-2.0185 # DEPENDENCYPART_ARC
(5,10),-2.38194 # DEPENDENCYPART_ARC
(5,11),-2.71666 # DEPENDENCYPART_ARC
(5,12),-2.38271 # DEPENDENCYPART_ARC
(5,13),-3.15801 # DEPENDENCYPART_ARC
(5,14),-3.15521 # DEPENDENCYPART_ARC
(5,15),-2.77039 # DEPENDENCYPART_ARC
(5,16),-2.96282 # DEPENDENCYPART_ARC
(5,17),-2.41079 # DEPENDENCYPART_ARC
(6,1),5.32759 # DEPENDENCYPART_ARC
(6,2),2.58066 # DEPENDENCYPART_ARC
(6,3),1.81722 # DEPENDENCYPART_ARC
(6,4),3.70945 # DEPENDENCYPART_ARC
(6,5),1.96324 # DEPENDENCYPART_ARC
(6,7),3.96232 # DEPENDENCYPART_ARC
(6,8),0.521709 # DEPENDENCYPART_ARC
(6,9),0.944405 # DEPENDENCYPART_ARC
(6,10),0.336398 # DEPENDENCYPART_ARC
(6,11),0.0737185 # DEPENDENCYPART_ARC
(6,12),1.0873 # DEPENDENCYPART_ARC
(6,13),-1.27677 # DEPENDENCYPART_ARC
(6,14),-0.504459 # DEPENDENCYPART_ARC
(6,15),-0.0112805 # DEPENDENCYPART_ARC
(6,16),-0.837496 # DEPENDENCYPART_ARC
(6,17),0.733725 # DEPENDENCYPART_ARC
(7,1),-0.408352 # DEPENDENCYPART_ARC
(7,2),-0.782952 # DEPENDENCYPART_ARC
(7,3),-0.576399 # DEPENDENCYPART_ARC
(7,4),-0.241118 # DEPENDENCYPART_ARC
(7,5),0.0108578 # DEPENDENCYPART_ARC
(7,6),-0.0365939 # DEPENDENCYPART_ARC
(7,8),-0.233545 # DEPENDENCYPART_ARC
(7,9),-0.155971 # DEPENDENCYPART_ARC
(7,10),-0.99969 # DEPENDENCYPART_ARC
(7,11),-1.41976 # DEPENDENCYPART_ARC
(7,12),-0.95376 # DEPENDENCYPART_ARC
(7,13),-2.1543 # DEPENDENCYPART_ARC
(7,14),-2.40182 # DEPENDENCYPART_ARC
(7,15),-1.40127 # DEPENDENCYPART_ARC
(7,16),-1.72485 # DEPENDENCYPART_ARC
(7,17),-1.36389 # DEPENDENCYPART_ARC
(8,1),1.58292 # DEPENDENCYPART_ARC
(8,2),0.412866 # DEPENDENCYPART_ARC
(8,3),0.913286 # DEPENDENCYPART_ARC
(8,4),1.76227 # DEPENDENCYPART_ARC
(8,5),0.903042 # DEPENDENCYPART_ARC
(8,6),4.319 # DEPENDENCYPART_ARC
(8,7),1.24375 # DEPENDENCYPART_ARC
(8,9),0.315809 # DEPENDENCYPART_ARC
(8,10),0.0318733 # DEPENDENCYPART_ARC
(8,11),-0.169821 # DEPENDENCYPART_ARC
(8,12),0.521576 # DEPENDENCYPART_ARC
(8,13),-1.02589 # DEPENDENCYPART_ARC
(8,14),-0.660061 # DEPENDENCYPART_ARC
(8,15),-1.74631 # DEPENDENCYPART_ARC
(8,16),-1.17516 # DEPENDENCYPART_ARC
(8,17),-0.329529 # DEPENDENCYPART_ARC
(9,1),0.214712 # DEPENDENCYPART_ARC
(9,2),0.803506 # DEPENDENCYPART_ARC
(9,3),3.01813 # DEPENDENCYPART_ARC
(9,4),0.612066 # DEPENDENCYPART_ARC
(9,5),3.09369 # DEPENDENCYPART_ARC
(9,6),1.23211 # DEPENDENCYPART_ARC
(9,7),1.12599 # DEPENDENCYPART_ARC
(9,8),2.9927 # DEPENDENCYPART_ARC
(9,10),4.72002 # DEPENDENCYPART_ARC
(9,11),0.76777 # DEPENDENCYPART_ARC
(9,12),2.84006 # DEPENDENCYPART_ARC
(9,13),-0.237343 # DEPENDENCYPART_ARC
(9,14),0.165989 # DEPENDENCYPART_ARC
(9,15),0.772691 # DEPENDENCYPART_ARC
(9,16),1.26059 # DEPENDENCYPART_ARC
(9,17),4.28006 # DEPENDENCYPART_ARC
(10,1),-0.4438 # DEPENDENCYPART_ARC
(10,2),-0.571339 # DEPENDENCYPART_ARC
(10,3),0.462459 # DEPENDENCYPART_ARC
(10,4),-0.27592 # DEPENDENCYPART_ARC
(10,5),0.707918 # DEPENDENCYPART_ARC
(10,6),0.380654 # DEPENDENCYPART_ARC
(10,7),0.193783 # DEPENDENCYPART_ARC
(10,8),0.329829 # DEPENDENCYPART_ARC
(10,9),0.853987 # DEPENDENCYPART_ARC
(10,11),2.54639 # DEPENDENCYPART_ARC
(10,12),1.24602 # DEPENDENCYPART_ARC
(10,13),0.34818 # DEPENDENCYPART_ARC
(10,14),2.36245 # DEPENDENCYPART_ARC
(10,15),1.08379 # DEPENDENCYPART_ARC
(10,16),1.27181 # DEPENDENCYPART_ARC
(10,17),1.28566 # DEPENDENCYPART_ARC
(11,1),0.352669 # DEPENDENCYPART_ARC
(11,2),-0.221077 # DEPENDENCYPART_ARC
(11,3),-0.604667 # DEPENDENCYPART_ARC
(11,4),-0.484245 # DEPENDENCYPART_ARC
(11,5),-0.544936 # DEPENDENCYPART_ARC
(11,6),0.128442 # DEPENDENCYPART_ARC
(11,7),0.0522323 # DEPENDENCYPART_ARC
(11,8),0.57022 # DEPENDENCYPART_ARC
(11,9),0.129325 # DEPENDENCYPART_ARC
(11,10),1.30432 # DEPENDENCYPART_ARC
(11,12),2.22793 # DEPENDENCYPART_ARC
(11,13),0.561591 # DEPENDENCYPART_ARC
(11,14),0.940655 # DEPENDENCYPART_ARC
(11,15),1.35144 # DEPENDENCYPART_ARC
(11,16),0.685312 # DEPENDENCYPART_ARC
(11,17),0.66254 # DEPENDENCYPART_ARC
(12,1),-1.46713 # DEPENDENCYPART_ARC
(12,2),-0.578563 # DEPENDENCYPART_ARC
(12,3),-1.55672 # DEPENDENCYPART_ARC
(12,4),-0.373869 # DEPENDENCYPART_ARC
(12,5),-1.32264 # DEPENDENCYPART_ARC
(12,6),-0.666341 # DEPENDENCYPART_ARC
(12,7),-0.932409 # DEPENDENCYPART_ARC
(12,8),-0.522901 # DEPENDENCYPART_ARC
(12,9),-0.294882 # DEPENDENCYPART_ARC
(12,10),-0.429329 # DEPENDENCYPART_ARC
(12,11),0.224073 # DEPENDENCYPART_ARC
(12,13),1.022 # DEPENDENCYPART_ARC
(12,14),3.08639 # DEPENDENCYPART_ARC
(12,15),2.51854 # DEPENDENCYPART_ARC
(12,16),1.96082 # DEPENDENCYPART_ARC
(12,17),0.0926523 # DEPENDENCYPART_ARC
