# _root_ Now , the analyst said , only minor points remain to be cleaned up .
#goldHeads=10,5,4,5,0,5,9,9,10,5,10,11,12,13,10,
#predictedHeads=10,5,4,5,0,5,9,9,10,5,10,11,12,13,5,
(0,1),-5.22974 # DEPENDENCYPART_ARC
(0,2),-6.57987 # DEPENDENCYPART_ARC
(0,3),-6.80884 # DEPENDENCYPART_ARC
(0,4),-5.63075 # DEPENDENCYPART_ARC
(0,5),-1.64763 # DEPENDENCYPART_ARC
(0,6),-6.57348 # DEPENDENCYPART_ARC
(0,7),-6.67074 # DEPENDENCYPART_ARC
(0,8),-6.54458 # DEPENDENCYPART_ARC
(0,9),-4.49781 # DEPENDENCYPART_ARC
(0,10),-3.30256 # DEPENDENCYPART_ARC
(0,11),-6.88839 # DEPENDENCYPART_ARC
(0,12),-4.96999 # DEPENDENCYPART_ARC
(0,13),-4.74915 # DEPENDENCYPART_ARC
(0,14),-6.96737 # DEPENDENCYPART_ARC
(0,15),-5.85483 # DEPENDENCYPART_ARC
(1,2),0.122625 # DEPENDENCYPART_ARC
(1,3),-0.0803144 # DEPENDENCYPART_ARC
(1,4),-1.26708 # DEPENDENCYPART_ARC
(1,5),0.00669841 # DEPENDENCYPART_ARC
(1,6),-0.477291 # DEPENDENCYPART_ARC
(1,7),-1.34357 # DEPENDENCYPART_ARC
(1,8),-0.818004 # DEPENDENCYPART_ARC
(1,9),-1.44137 # DEPENDENCYPART_ARC
(1,10),-0.690014 # DEPENDENCYPART_ARC
(1,11),-1.68082 # DEPENDENCYPART_ARC
(1,12),-1.52295 # DEPENDENCYPART_ARC
(1,13),-1.72638 # DEPENDENCYPART_ARC
(1,14),-1.26026 # DEPENDENCYPART_ARC
(1,15),1.12715 # DEPENDENCYPART_ARC
(2,1),-1.32849 # DEPENDENCYPART_ARC
(2,3),-0.515882 # DEPENDENCYPART_ARC
(2,4),-1.2209 # DEPENDENCYPART_ARC
(2,5),-0.864035 # DEPENDENCYPART_ARC
(2,6),0.0861686 # DEPENDENCYPART_ARC
(2,7),-1.7953 # DEPENDENCYPART_ARC
(2,8),-1.98911 # DEPENDENCYPART_ARC
(2,9),-2.28815 # DEPENDENCYPART_ARC
(2,10),-1.90545 # DEPENDENCYPART_ARC
(2,11),-1.98778 # DEPENDENCYPART_ARC
(2,12),-1.95965 # DEPENDENCYPART_ARC
(2,13),-2.22956 # DEPENDENCYPART_ARC
(2,14),-2.52099 # DEPENDENCYPART_ARC
(2,15),-1.81618 # DEPENDENCYPART_ARC
(3,1),-1.45634 # DEPENDENCYPART_ARC
(3,2),-0.904931 # DEPENDENCYPART_ARC
(3,4),-0.201434 # DEPENDENCYPART_ARC
(3,5),-0.214917 # DEPENDENCYPART_ARC
(3,6),-1.1228 # DEPENDENCYPART_ARC
(3,7),-1.59294 # DEPENDENCYPART_ARC
(3,8),-1.79265 # DEPENDENCYPART_ARC
(3,9),-1.90393 # DEPENDENCYPART_ARC
(3,10),-1.81319 # DEPENDENCYPART_ARC
(3,11),-2.17673 # DEPENDENCYPART_ARC
(3,12),-2.16258 # DEPENDENCYPART_ARC
(3,13),-2.15909 # DEPENDENCYPART_ARC
(3,14),-2.60891 # DEPENDENCYPART_ARC
(3,15),-1.41432 # DEPENDENCYPART_ARC
(4,1),-0.668815 # DEPENDENCYPART_ARC
(4,2),0.530779 # DEPENDENCYPART_ARC
(4,3),4.13606 # DEPENDENCYPART_ARC
(4,5),1.39694 # DEPENDENCYPART_ARC
(4,6),0.404206 # DEPENDENCYPART_ARC
(4,7),-0.0821357 # DEPENDENCYPART_ARC
(4,8),0.181593 # DEPENDENCYPART_ARC
(4,9),-0.370113 # DEPENDENCYPART_ARC
(4,10),0.416625 # DEPENDENCYPART_ARC
(4,11),0.153643 # DEPENDENCYPART_ARC
(4,12),-0.211293 # DEPENDENCYPART_ARC
(4,13),-0.613534 # DEPENDENCYPART_ARC
(4,14),-0.954535 # DEPENDENCYPART_ARC
(4,15),0.740734 # DEPENDENCYPART_ARC
(5,1),0.926874 # DEPENDENCYPART_ARC
(5,2),4.05431 # DEPENDENCYPART_ARC
(5,3),0.744471 # DEPENDENCYPART_ARC
(5,4),3.37418 # DEPENDENCYPART_ARC
(5,6),2.7517 # DEPENDENCYPART_ARC
(5,7),0.785901 # DEPENDENCYPART_ARC
(5,8),-0.164032 # DEPENDENCYPART_ARC
(5,9),-1.49482 # DEPENDENCYPART_ARC
(5,10),1.81775 # DEPENDENCYPART_ARC
(5,11),-0.851924 # DEPENDENCYPART_ARC
(5,12),0.202727 # DEPENDENCYPART_ARC
(5,13),-0.472462 # DEPENDENCYPART_ARC
(5,14),-0.493447 # DEPENDENCYPART_ARC
(5,15),3.82139 # DEPENDENCYPART_ARC
(6,1),-2.39098 # DEPENDENCYPART_ARC
(6,2),-0.509469 # DEPENDENCYPART_ARC
(6,3),-0.8689 # DEPENDENCYPART_ARC
(6,4),-1.83056 # DEPENDENCYPART_ARC
(6,5),-0.791723 # DEPENDENCYPART_ARC
(6,7),-0.00960495 # DEPENDENCYPART_ARC
(6,8),-0.383582 # DEPENDENCYPART_ARC
(6,9),-0.820503 # DEPENDENCYPART_ARC
(6,10),-0.764781 # DEPENDENCYPART_ARC
(6,11),-1.13296 # DEPENDENCYPART_ARC
(6,12),-1.01084 # DEPENDENCYPART_ARC
(6,13),-1.3167 # DEPENDENCYPART_ARC
(6,14),-1.63389 # DEPENDENCYPART_ARC
