# _root_ Bear Stearns 's chief economist , Lawrence Kudlow , in the Sept. 29 issue of the firm 's Global Spectator :
#goldHeads=2,5,2,5,0,5,8,5,5,5,14,14,14,10,14,17,20,17,20,15,5,
#predictedHeads=2,5,2,5,0,5,8,5,5,5,14,14,14,10,14,17,20,17,20,15,20,
(0,1),-6.13309 # DEPENDENCYPART_ARC
(0,2),-6.14503 # DEPENDENCYPART_ARC
(0,3),-8.09955 # DEPENDENCYPART_ARC
(0,4),-6.63513 # DEPENDENCYPART_ARC
(0,5),-7.65946 # DEPENDENCYPART_ARC
(0,6),-7.2031 # DEPENDENCYPART_ARC
(0,7),-8.13154 # DEPENDENCYPART_ARC
(0,8),-7.90183 # DEPENDENCYPART_ARC
(0,9),-7.59864 # DEPENDENCYPART_ARC
(0,10),-8.60927 # DEPENDENCYPART_ARC
(0,11),-8.20278 # DEPENDENCYPART_ARC
(0,12),-8.29837 # DEPENDENCYPART_ARC
(0,13),-8.88418 # DEPENDENCYPART_ARC
(0,14),-7.88425 # DEPENDENCYPART_ARC
(0,15),-9.39692 # DEPENDENCYPART_ARC
(0,16),-8.91098 # DEPENDENCYPART_ARC
(0,17),-8.10988 # DEPENDENCYPART_ARC
(0,18),-11.1441 # DEPENDENCYPART_ARC
(0,19),-8.75951 # DEPENDENCYPART_ARC
(0,20),-7.89285 # DEPENDENCYPART_ARC
(0,21),-6.19388 # DEPENDENCYPART_ARC
(1,2),-0.782758 # DEPENDENCYPART_ARC
(1,3),0.674321 # DEPENDENCYPART_ARC
(1,4),-0.834728 # DEPENDENCYPART_ARC
(1,5),0.307143 # DEPENDENCYPART_ARC
(1,6),-0.115241 # DEPENDENCYPART_ARC
(1,7),-1.35667 # DEPENDENCYPART_ARC
(1,8),-1.59703 # DEPENDENCYPART_ARC
(1,9),-1.05305 # DEPENDENCYPART_ARC
(1,10),-3.35085 # DEPENDENCYPART_ARC
(1,11),-2.10067 # DEPENDENCYPART_ARC
(1,12),-2.94607 # DEPENDENCYPART_ARC
(1,13),-3.05211 # DEPENDENCYPART_ARC
(1,14),-2.25049 # DEPENDENCYPART_ARC
(1,15),-3.86353 # DEPENDENCYPART_ARC
(1,16),-2.64615 # DEPENDENCYPART_ARC
(1,17),-3.26364 # DEPENDENCYPART_ARC
(1,18),-3.98857 # DEPENDENCYPART_ARC
(1,19),-3.93617 # DEPENDENCYPART_ARC
(1,20),-3.41987 # DEPENDENCYPART_ARC
(1,21),-1.53005 # DEPENDENCYPART_ARC
(2,1),6.96046 # DEPENDENCYPART_ARC
(2,3),4.87919 # DEPENDENCYPART_ARC
(2,4),1.32269 # DEPENDENCYPART_ARC
(2,5),1.25306 # DEPENDENCYPART_ARC
(2,6),0.777188 # DEPENDENCYPART_ARC
(2,7),0.193714 # DEPENDENCYPART_ARC
(2,8),0.0454084 # DEPENDENCYPART_ARC
(2,9),0.35721 # DEPENDENCYPART_ARC
(2,10),-1.36619 # DEPENDENCYPART_ARC
(2,11),-0.701604 # DEPENDENCYPART_ARC
(2,12),-1.39407 # DEPENDENCYPART_ARC
(2,13),-1.56021 # DEPENDENCYPART_ARC
(2,14),-1.05312 # DEPENDENCYPART_ARC
(2,15),-1.76174 # DEPENDENCYPART_ARC
(2,16),-1.29961 # DEPENDENCYPART_ARC
(2,17),-2.04845 # DEPENDENCYPART_ARC
(2,18),-1.59029 # DEPENDENCYPART_ARC
(2,19),-2.66145 # DEPENDENCYPART_ARC
(2,20),-2.02634 # DEPENDENCYPART_ARC
(2,21),-0.00902662 # DEPENDENCYPART_ARC
(3,1),0.369334 # DEPENDENCYPART_ARC
(3,2),1.08923 # DEPENDENCYPART_ARC
(3,4),-0.099696 # DEPENDENCYPART_ARC
(3,5),-0.988238 # DEPENDENCYPART_ARC
(3,6),-0.518105 # DEPENDENCYPART_ARC
(3,7),-1.54899 # DEPENDENCYPART_ARC
(3,8),-1.69907 # DEPENDENCYPART_ARC
(3,9),-1.67705 # DEPENDENCYPART_ARC
