# _root_ Commodities : Dow Jones futures index 129.72 , off 0.15 ; spot index 130.16 , up 0.91 .
#goldHeads=0,1,6,6,6,1,6,7,7,9,6,13,6,13,14,14,16,1,
#predictedHeads=0,1,6,6,6,1,6,6,13,9,6,13,6,13,13,13,16,1,
(0,1),-5.88001 # DEPENDENCYPART_ARC
(0,2),-7.12695 # DEPENDENCYPART_ARC
(0,3),-6.2194 # DEPENDENCYPART_ARC
(0,4),-5.91996 # DEPENDENCYPART_ARC
(0,5),-6.8486 # DEPENDENCYPART_ARC
(0,6),-7.18164 # DEPENDENCYPART_ARC
(0,7),-8.42918 # DEPENDENCYPART_ARC
(0,8),-7.3363 # DEPENDENCYPART_ARC
(0,9),-6.71388 # DEPENDENCYPART_ARC
(0,10),-8.81181 # DEPENDENCYPART_ARC
(0,11),-7.1561 # DEPENDENCYPART_ARC
(0,12),-7.48462 # DEPENDENCYPART_ARC
(0,13),-7.65151 # DEPENDENCYPART_ARC
(0,14),-9.1311 # DEPENDENCYPART_ARC
(0,15),-8.25587 # DEPENDENCYPART_ARC
(0,16),-8.91298 # DEPENDENCYPART_ARC
(0,17),-9.60738 # DEPENDENCYPART_ARC
(0,18),-6.5282 # DEPENDENCYPART_ARC
(1,2),2.6471 # DEPENDENCYPART_ARC
(1,3),1.42519 # DEPENDENCYPART_ARC
(1,4),1.52702 # DEPENDENCYPART_ARC
(1,5),1.43672 # DEPENDENCYPART_ARC
(1,6),1.68888 # DEPENDENCYPART_ARC
(1,7),0.834327 # DEPENDENCYPART_ARC
(1,8),0.693947 # DEPENDENCYPART_ARC
(1,9),0.841518 # DEPENDENCYPART_ARC
(1,10),0.278508 # DEPENDENCYPART_ARC
(1,11),1.15539 # DEPENDENCYPART_ARC
(1,12),1.15481 # DEPENDENCYPART_ARC
(1,13),0.856911 # DEPENDENCYPART_ARC
(1,14),0.15415 # DEPENDENCYPART_ARC
(1,15),-1.07799 # DEPENDENCYPART_ARC
(1,16),-0.92921 # DEPENDENCYPART_ARC
(1,17),-0.363215 # DEPENDENCYPART_ARC
(1,18),3.64768 # DEPENDENCYPART_ARC
(2,1),-1.08223 # DEPENDENCYPART_ARC
(2,3),-0.189045 # DEPENDENCYPART_ARC
(2,4),-0.811891 # DEPENDENCYPART_ARC
(2,5),-1.08022 # DEPENDENCYPART_ARC
(2,6),-1.09006 # DEPENDENCYPART_ARC
(2,7),-1.66633 # DEPENDENCYPART_ARC
(2,8),-0.694201 # DEPENDENCYPART_ARC
(2,9),-1.67087 # DEPENDENCYPART_ARC
(2,10),-2.24767 # DEPENDENCYPART_ARC
(2,11),-0.304393 # DEPENDENCYPART_ARC
(2,12),-1.96292 # DEPENDENCYPART_ARC
(2,13),-1.95836 # DEPENDENCYPART_ARC
(2,14),-2.64651 # DEPENDENCYPART_ARC
(2,15),-1.43855 # DEPENDENCYPART_ARC
(2,16),-2.11681 # DEPENDENCYPART_ARC
(2,17),-2.90389 # DEPENDENCYPART_ARC
(2,18),0.0559017 # DEPENDENCYPART_ARC
(3,1),-1.79098 # DEPENDENCYPART_ARC
(3,2),-1.57465 # DEPENDENCYPART_ARC
(3,4),0.942107 # DEPENDENCYPART_ARC
(3,5),-0.302828 # DEPENDENCYPART_ARC
(3,6),0.058501 # DEPENDENCYPART_ARC
(3,7),-0.311139 # DEPENDENCYPART_ARC
(3,8),0.37055 # DEPENDENCYPART_ARC
(3,9),-1.14324 # DEPENDENCYPART_ARC
(3,10),-1.39199 # DEPENDENCYPART_ARC
(3,11),0.010024 # DEPENDENCYPART_ARC
(3,12),-1.25674 # DEPENDENCYPART_ARC
(3,13),-1.60044 # DEPENDENCYPART_ARC
(3,14),-2.16771 # DEPENDENCYPART_ARC
(3,15),-0.750717 # DEPENDENCYPART_ARC
(3,16),-1.70112 # DEPENDENCYPART_ARC
(3,17),-2.64204 # DEPENDENCYPART_ARC
(3,18),0.214663 # DEPENDENCYPART_ARC
(4,1),-0.657765 # DEPENDENCYPART_ARC
(4,2),-0.359126 # DEPENDENCYPART_ARC
(4,3),2.3663 # DEPENDENCYPART_ARC
(4,5),0.468273 # DEPENDENCYPART_ARC
(4,6),0.769664 # DEPENDENCYPART_ARC
(4,7),0.405963 # DEPENDENCYPART_ARC
(4,8),0.708357 # DEPENDENCYPART_ARC
(4,9),-0.415013 # DEPENDENCYPART_ARC
(4,10),-0.887735 # DEPENDENCYPART_ARC
(4,11),0.810081 # DEPENDENCYPART_ARC
(4,12),-1.01459 # DEPENDENCYPART_ARC
(4,13),-0.886216 # DEPENDENCYPART_ARC
(4,14),-1.55821 # DEPENDENCYPART_ARC
(4,15),-0.661293 # DEPENDENCYPART_ARC
(4,16),-0.819809 # DEPENDENCYPART_ARC
(4,17),-1.99499 # DEPENDENCYPART_ARC
(4,18),0.663671 # DEPENDENCYPART_ARC
(5,1),-0.776197 # DEPENDENCYPART_ARC
(5,2),-0.362774 # DEPENDENCYPART_ARC
(5,3),2.17354 # DEPENDENCYPART_ARC
(5,4),1.9449 # DEPENDENCYPART_ARC
(5,6),1.10761 # DEPENDENCYPART_ARC
(5,7),0.291503 # DEPENDENCYPART_ARC
(5,8),0.600692 # DEPENDENCYPART_ARC
(5,9),-0.34671 # DEPENDENCYPART_ARC
(5,10),-0.681896 # DEPENDENCYPART_ARC
(5,11),0.551013 # DEPENDENCYPART_ARC
(5,12),-0.299708 # DEPENDENCYPART_ARC
(5,13),-0.643327 # DEPENDENCYPART_ARC
(5,14),-0.902437 # DEPENDENCYPART_ARC
(5,15),-0.783526 # DEPENDENCYPART_ARC
(5,16),-0.761858 # DEPENDENCYPART_ARC
(5,17),-1.46072 # DEPENDENCYPART_ARC
(5,18),0.818734 # DEPENDENCYPART_ARC
(6,1),0.399988 # DEPENDENCYPART_ARC
(6,2),0.593706 # DEPENDENCYPART_ARC
(6,3),4.56374 # DEPENDENCYPART_ARC
(6,4),4.28435 # DEPENDENCYPART_ARC
(6,5),4.01168 # DEPENDENCYPART_ARC
(6,7),2.68096 # DEPENDENCYPART_ARC
(6,8),1.57946 # DEPENDENCYPART_ARC
(6,9),1.53784 # DEPENDENCYPART_ARC
(6,10),0.732546 # DEPENDENCYPART_ARC
(6,11),2.33547 # DEPENDENCYPART_ARC
(6,12),1.23618 # DEPENDENCYPART_ARC
(6,13),1.63438 # DEPENDENCYPART_ARC
(6,14),0.0720509 # DEPENDENCYPART_ARC
(6,15),0.284094 # DEPENDENCYPART_ARC
(6,16),0.423 # DEPENDENCYPART_ARC
(6,17),-0.582772 # DEPENDENCYPART_ARC
(6,18),1.56883 # DEPENDENCYPART_ARC
(7,1),-0.587578 # DEPENDENCYPART_ARC
(7,2),-0.144353 # DEPENDENCYPART_ARC
(7,3),0.167709 # DEPENDENCYPART_ARC
(7,4),0.474006 # DEPENDENCYPART_ARC
(7,5),0.757677 # DEPENDENCYPART_ARC
(7,6),1.20895 # DEPENDENCYPART_ARC
(7,8),1.09377 # DEPENDENCYPART_ARC
(7,9),0.887367 # DEPENDENCYPART_ARC
(7,10),0.317955 # DEPENDENCYPART_ARC
(7,11),0.706235 # DEPENDENCYPART_ARC
(7,12),0.319239 # DEPENDENCYPART_ARC
(7,13),-0.0161312 # DEPENDENCYPART_ARC
(7,14),0.235932 # DEPENDENCYPART_ARC
(7,15),0.264516 # DEPENDENCYPART_ARC
(7,16),0.199417 # DEPENDENCYPART_ARC
(7,17),-0.477135 # DEPENDENCYPART_ARC
(7,18),0.345208 # DEPENDENCYPART_ARC
(8,1),-2.20818 # DEPENDENCYPART_ARC
(8,2),-1.3878 # DEPENDENCYPART_ARC
(8,3),-2.0933 # DEPENDENCYPART_ARC
(8,4),-1.88065 # DEPENDENCYPART_ARC
(8,5),-1.53165 # DEPENDENCYPART_ARC
(8,6),-1.48152 # DEPENDENCYPART_ARC
(8,7),-0.65588 # DEPENDENCYPART_ARC
(8,9),-0.135572 # DEPENDENCYPART_ARC
(8,10),-0.732683 # DEPENDENCYPART_ARC
(8,11),-0.454285 # DEPENDENCYPART_ARC
(8,12),-1.52433 # DEPENDENCYPART_ARC
(8,13),-1.69587 # DEPENDENCYPART_ARC
(8,14),-2.06858 # DEPENDENCYPART_ARC
(8,15),-0.264996 # DEPENDENCYPART_ARC
(8,16),-1.91726 # DEPENDENCYPART_ARC
(8,17),-2.39794 # DEPENDENCYPART_ARC
(8,18),-1.50609 # DEPENDENCYPART_ARC
(9,1),-1.20613 # DEPENDENCYPART_ARC
(9,2),-0.682825 # DEPENDENCYPART_ARC
(9,3),0.195333 # DEPENDENCYPART_ARC
(9,4),-0.441556 # DEPENDENCYPART_ARC
(9,5),-0.434943 # DEPENDENCYPART_ARC
(9,6),0.294967 # DEPENDENCYPART_ARC
(9,7),0.78308 # DEPENDENCYPART_ARC
(9,8),0.727889 # DEPENDENCYPART_ARC
(9,10),2.21006 # DEPENDENCYPART_ARC
